component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_184225,FLW0_184225,ANLT0_184225,FLW0_181225
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7c2908af-34f4-4dc2-bb37-c05eb4c75952,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,689.8025512695312,599.2623901367188,5093.29931640625,6558.6376953125,4238.18212890625,4028.18408203125,6938.8896484375,6595.2216796875,276.0673828125,10282.4892578125,8064.537109375,2570.261474609375,1879.5087890625,2059.365966796875,23379.623046875,14407.71484375,674.798583984375,1900.81982421875,7402.82275390625,772.3431396484375,84176.5234375,60061.84765625,19053.32421875,17600.42578125,112.5108413696289,126.67536926269533,1194.9566650390625,1360.656494140625,105.82840728759766,121.2759246826172,527.0127563476562,646.140869140625,371.4824523925781,399.5505981445313,360.9980773925781,317.7391662597656,3486.487060546875,2151.123779296875,912.2047119140624,741.5890502929688,875.0618896484375,5196.77392578125,7204.97119140625,8416.857421875,27588.724609375,878.3404541015625,973.5087890625,1088.2869873046875,85257.6484375,86333.5859375,68925.1015625,72303.3828125,42338.4609375,238.2172698974609,515.4702758789062,230.7128753662109,21107.361328125,17041.546875,15167.91796875,15870.1923828125,7268.49267578125,6895.9697265625,6465.822265625,5953.19140625,8398,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.97435569763184,20.128955841064453,994.22216796875,89579.0,4.37291431427002,0,183179065,True,BME690,416103,0,0,0,183178587,24484,0,27.45145606994629,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:42:51.506,"{'cid': 'ab6d19e4-cefe-4238-a5e2-31f2aa3c1370', 'uuid': 'f0d28935-8e4c-4bee-aeff-a22414ddffd5', 'annotationId': '7c2908af-34f4-4dc2-bb37-c05eb4c75952', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272571148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:42:51.374Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.95,17.48,3700.0,3697.56,000000000DFEC3B1,1400.0,1397.2,21470046.0,300.0,302.15,000000000DFEC3B8,1600.0,1593.76,22450161.0,0.0,0.06,22160332.0,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7c2908af-34f4-4dc2-bb37-c05eb4c75952,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,689.4701538085938,598.642333984375,5092.9453125,6558.126953125,4238.20068359375,4027.499267578125,6939.5400390625,6594.99609375,276.0295715332031,10276.748046875,8076.5400390625,2561.300048828125,1881.762451171875,2058.869873046875,23335.87890625,14445.8623046875,675.5339965820312,1902.10009765625,7376.34716796875,772.9884033203125,84169.1640625,60072.515625,19051.16015625,17579.10546875,112.50749206542967,126.65194702148438,1194.528564453125,1358.6480712890625,105.82205963134766,121.290283203125,527.0288696289062,646.6757202148438,371.478759765625,399.5691223144531,361.057373046875,317.8017578125,3486.884765625,2151.236328125,912.37158203125,741.641845703125,875.82470703125,5198.0302734375,7204.23046875,8417.8623046875,27615.953125,878.3268432617188,972.1981201171876,1090.1390380859375,85255.6953125,86347.9609375,68918.484375,72306.2109375,42332.34375,238.24288940429688,515.0810546875,230.7069549560547,21106.296875,17041.4609375,15167.0302734375,15870.251953125,7269.22412109375,6895.736328125,6465.95361328125,5953.091796875,8699,27.36263656616211,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.97435569763184,20.128955841064453,994.22216796875,89579.0,4.37291431427002,0,183179065,True,BME690,416103,0,0,0,183178587,24484,0,27.45145606994629,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:42:51.807,"{'cid': 'ab6d19e4-cefe-4238-a5e2-31f2aa3c1370', 'uuid': 'f0d28935-8e4c-4bee-aeff-a22414ddffd5', 'annotationId': '7c2908af-34f4-4dc2-bb37-c05eb4c75952', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272571148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:42:51.374Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.95,17.48,3700.0,3697.56,000000000DFEC3B1,1400.0,1397.2,21470046.0,300.0,302.15,000000000DFEC3B8,1600.0,1593.76,22450161.0,0.0,0.06,22160332.0,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7c2908af-34f4-4dc2-bb37-c05eb4c75952,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,692.330078125,598.4889526367188,5094.15625,6558.94091796875,4238.79248046875,4027.226806640625,6936.7109375,6595.7822265625,276.1547546386719,10289.9716796875,8084.8798828125,2569.477294921875,1881.5355224609373,2059.879638671875,23562.404296875,14408.9140625,675.342529296875,1898.8717041015625,7388.6884765625,773.2723388671875,84163.203125,60069.2578125,19053.734375,17580.8046875,112.47467041015624,126.68695068359376,1193.3538818359375,1355.5321044921875,105.84459686279295,121.27009582519533,527.2413940429688,646.5487670898438,371.4586486816406,399.60687255859375,361.0431823730469,317.8150939941406,3487.007568359375,2151.19482421875,912.3118286132812,741.6011352539062,874.240478515625,5206.40234375,7205.08056640625,8416.1630859375,27592.9609375,878.2680053710938,972.0452880859376,1087.8238525390625,85254.375,86332.7421875,68929.765625,72304.953125,42361.421875,238.250732421875,515.1376342773438,230.5306854248047,21106.3359375,17042.169921875,15166.5546875,15869.673828125,7268.95849609375,6894.03466796875,6463.7705078125,5953.23095703125,9000,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.97468376159668,20.117298126220703,994.2229614257812,90921.203125,4.370463848114014,0,183179505,True,BME690,416104,0,0,0,183178587,24484,0,27.45145606994629,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:42:52.114,"{'cid': 'ab6d19e4-cefe-4238-a5e2-31f2aa3c1370', 'uuid': 'f0d28935-8e4c-4bee-aeff-a22414ddffd5', 'annotationId': '7c2908af-34f4-4dc2-bb37-c05eb4c75952', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272571148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:42:51.374Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.95,17.5,3700.0,3697.71,000000000DFEC3B1,1400.0,1397.28,21470046.0,300.0,302.11,000000000DFEC3B8,1600.0,1593.92,22450161.0,0.0,0.06,22160332.0,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7c2908af-34f4-4dc2-bb37-c05eb4c75952,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,690.3602905273438,598.778076171875,5094.11474609375,6559.6748046875,4238.41015625,4027.537109375,6938.08984375,6595.43798828125,276.0420227050781,10302.181640625,8064.46533203125,2568.358154296875,1879.3599853515625,2058.457275390625,23348.40234375,14479.2275390625,675.3198852539062,1903.51708984375,7395.25244140625,773.2083129882812,84170.1875,60070.7421875,19053.126953125,17584.0546875,112.4945297241211,126.69200897216795,1194.8203125,1356.4462890625,105.84814453125,121.28288269042967,527.3851928710938,646.553955078125,371.4111328125,399.560546875,361.0606384277344,317.66668701171875,3487.23974609375,2151.07763671875,912.355712890625,741.5711059570312,874.6901245117188,5214.91357421875,7205.31201171875,8416.6904296875,27610.865234375,878.5162963867188,971.6533203125,1090.3323974609375,85254.109375,86329.28125,68922.8046875,72302.1796875,42367.0546875,238.1539459228516,515.1648559570312,230.7494964599609,21107.677734375,17041.185546875,15167.7314453125,15868.6650390625,7268.67919921875,6894.0673828125,6466.29931640625,5953.59423828125,9301,27.604394912719727,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.97435569763184,20.12313461303711,994.22216796875,90996.953125,4.371649742126465,0,183179945,True,BME690,416105,0,0,0,183178587,24484,0,27.45145606994629,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:42:52.409,"{'cid': 'ab6d19e4-cefe-4238-a5e2-31f2aa3c1370', 'uuid': 'f0d28935-8e4c-4bee-aeff-a22414ddffd5', 'annotationId': '7c2908af-34f4-4dc2-bb37-c05eb4c75952', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272571148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:42:51.374Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.95,17.53,3700.0,3698.76,000000000DFEC3B1,1400.0,1397.93,21470046.0,300.0,301.75,000000000DFEC3B8,1600.0,1595.42,22450161.0,0.0,0.06,22160332.0,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7c2908af-34f4-4dc2-bb37-c05eb4c75952,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,690.3275146484375,598.836669921875,5094.20654296875,6559.77392578125,4239.31494140625,4028.044677734375,6938.28857421875,6592.60986328125,276.0573425292969,10269.9599609375,8105.58984375,2564.3583984375,1884.5205078125,2060.911865234375,23259.087890625,14461.552734375,675.2388916015625,1901.0455322265625,7408.7138671875,772.9258422851562,84185.03125,60069.91796875,19049.6484375,17586.154296875,112.51062774658205,126.68649291992188,1196.2203369140625,1355.3531494140625,105.85467529296876,121.28063201904295,526.9771728515625,646.2440185546875,371.4654541015625,399.6129455566406,361.0866088867188,317.767333984375,3487.214111328125,2151.238525390625,912.4387817382812,741.6160278320312,875.3129272460938,5191.73779296875,7201.62548828125,8417.5205078125,27616.3515625,878.3598022460938,971.4505615234376,1087.6156005859375,85253.4609375,86334.3515625,68921.75,72297.7734375,42568.03515625,238.22457885742188,515.0889892578125,230.62966918945312,21107.609375,17041.59765625,15167.1376953125,15870.0576171875,7269.634765625,6897.03662109375,6465.92138671875,5954.0576171875,9602,27.36263656616211,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.97435569763184,20.12313461303711,994.22216796875,90996.953125,4.371649742126465,0,183179945,True,BME690,416105,0,0,0,183178587,24484,0,27.45145606994629,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:42:52.712,"{'cid': 'ab6d19e4-cefe-4238-a5e2-31f2aa3c1370', 'uuid': 'f0d28935-8e4c-4bee-aeff-a22414ddffd5', 'annotationId': '7c2908af-34f4-4dc2-bb37-c05eb4c75952', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272571148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:42:51.374Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.94,17.57,3700.0,3699.84,000000000DFEC3B1,1400.0,1398.6,21470046.0,300.0,301.38,000000000DFEC3B8,1600.0,1596.96,22450161.0,0.0,0.06,22160332.0,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7c2908af-34f4-4dc2-bb37-c05eb4c75952,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,691.1643676757812,598.8370361328125,5093.20458984375,6559.3203125,4239.08984375,4027.744140625,6937.9423828125,6595.52099609375,276.1662292480469,10282.345703125,8078.3251953125,2567.467041015625,1875.4161376953125,2059.73291015625,23101.10546875,14468.228515625,675.3893432617188,1904.41796875,7379.05029296875,773.3687133789062,84167.78125,60072.31640625,19049.765625,17584.201171875,112.49075317382812,126.71638488769533,1194.6951904296875,1359.4925537109375,105.85379791259766,121.27130126953124,527.3096923828125,646.5641479492188,371.4540100097656,399.5631408691406,361.0534973144531,317.8192443847656,3486.197998046875,2150.99853515625,912.310791015625,741.5697021484375,876.5529174804688,5202.3955078125,7206.369140625,8416.7783203125,27618.65625,878.4237060546875,972.2845458984376,1089.708251953125,85260.78125,86340.9609375,68916.578125,72294.25,42478.0234375,238.20993041992188,515.1307983398438,230.82516479492188,21106.2265625,17041.482421875,15167.224609375,15869.9453125,7270.00341796875,6897.22216796875,6466.01953125,5953.7626953125,9903,27.5238094329834,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.97468376159668,20.123119354248047,994.2213134765624,90694.7109375,4.371728420257568,0,183180385,True,BME690,416106,0,0,0,183178587,24484,0,27.45145606994629,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:42:53.015,"{'cid': 'ab6d19e4-cefe-4238-a5e2-31f2aa3c1370', 'uuid': 'f0d28935-8e4c-4bee-aeff-a22414ddffd5', 'annotationId': '7c2908af-34f4-4dc2-bb37-c05eb4c75952', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272571148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:42:51.374Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.94,17.6,3700.0,3700.93,000000000DFEC3B1,1400.0,1399.28,21470046.0,300.0,301.02,000000000DFEC3B8,1600.0,1598.49,22450161.0,0.0,0.06,22160332.0,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7c2908af-34f4-4dc2-bb37-c05eb4c75952,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,690.9303588867188,599.0546264648438,5093.36181640625,6559.44384765625,4238.79541015625,4027.42333984375,6938.50048828125,6595.60791015625,275.92144775390625,10320.8125,8107.96435546875,2567.2880859375,1878.1036376953125,2059.96337890625,23223.134765625,14449.6611328125,674.7845458984375,1903.199951171875,7395.455078125,773.3626098632812,84173.2421875,60072.296875,19046.916015625,17581.1953125,112.48867797851562,126.6823501586914,1196.81591796875,1361.73974609375,105.84664154052734,121.30447387695312,526.7395629882812,646.5220336914062,371.4721984863281,399.5765380859375,361.0491027832031,317.75262451171875,3487.0341796875,2150.9541015625,912.397216796875,741.5900268554688,876.17724609375,5195.08251953125,7206.62353515625,8417.0107421875,27639.09765625,878.5648803710938,971.4267578125,1090.0634765625,85259.90625,86336.2578125,68918.21875,72291.9609375,42245.85546875,238.24424743652344,515.0908203125,230.58628845214844,21106.677734375,17042.248046875,15167.7109375,15871.0732421875,7269.2138671875,6895.90673828125,6466.263671875,5953.6796875,10204,27.44322204589844,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.97468376159668,20.123119354248047,994.1618041992188,91684.390625,4.371728420257568,0,183180825,True,BME690,416107,0,0,0,183178587,24484,0,27.45145606994629,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:42:53.313,"{'cid': 'ab6d19e4-cefe-4238-a5e2-31f2aa3c1370', 'uuid': 'f0d28935-8e4c-4bee-aeff-a22414ddffd5', 'annotationId': '7c2908af-34f4-4dc2-bb37-c05eb4c75952', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272571148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:42:51.374Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.94,17.62,3700.0,3700.61,000000000DFEC3B1,1400.0,1399.42,21470046.0,300.0,300.66,000000000DFEC3B8,1600.0,1599.13,22450161.0,0.0,0.08,22160332.0,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7c2908af-34f4-4dc2-bb37-c05eb4c75952,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,691.014404296875,599.2703247070312,5093.9814453125,6559.505859375,4239.46044921875,4027.869140625,6939.5224609375,6593.94921875,275.8636474609375,10315.0712890625,8109.18310546875,2565.643310546875,1881.845703125,2058.53564453125,22843.806640625,14398.9873046875,674.302490234375,1902.365966796875,7396.40869140625,773.2528686523438,84158.59375,60058.9765625,19044.525390625,17597.830078125,112.48716735839844,126.6546859741211,1194.4139404296875,1359.0235595703125,105.8596649169922,121.278076171875,527.1619262695312,646.7153930664062,371.5011596679688,399.5372009277344,360.9573059082031,317.8006286621094,3486.818603515625,2151.2939453125,912.3107299804688,741.6388549804688,875.2249755859375,5188.34228515625,7203.26318359375,8417.138671875,27618.84375,878.62841796875,971.9108276367188,1090.8590087890625,85251.3828125,86338.4921875,68915.8828125,72297.7421875,42353.9609375,238.1480255126953,515.0491943359375,230.6391143798828,21105.853515625,17042.6875,15167.3984375,15870.00390625,7269.43505859375,6893.40673828125,6466.259765625,5953.42138671875,10505,27.28205108642578,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.97468376159668,20.123119354248047,994.1618041992188,91684.390625,4.371728420257568,0,183180825,True,BME690,416107,0,0,0,183178587,24484,0,27.45145606994629,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:42:53.612,"{'cid': 'ab6d19e4-cefe-4238-a5e2-31f2aa3c1370', 'uuid': 'f0d28935-8e4c-4bee-aeff-a22414ddffd5', 'annotationId': '7c2908af-34f4-4dc2-bb37-c05eb4c75952', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272571148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:42:51.374Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.94,17.64,3700.0,3699.89,000000000DFEC3B1,1400.0,1399.4,21470046.0,300.0,300.29,000000000DFEC3B8,1600.0,1599.46,22450161.0,0.0,0.1,22160332.0,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7c2908af-34f4-4dc2-bb37-c05eb4c75952,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,690.5169067382812,599.2490234375,5092.1845703125,6558.42529296875,4238.20263671875,4027.672607421875,6936.80712890625,6595.23291015625,275.9096374511719,10293.509765625,8116.39111328125,2568.498779296875,1882.2288818359373,2058.894287109375,22802.0703125,14465.8232421875,675.2369384765625,1904.784423828125,7390.7958984375,773.4125366210938,84151.671875,60061.203125,19045.337890625,17600.609375,112.5197296142578,126.67842864990234,1193.8826904296875,1360.7601318359375,105.80877685546876,121.29261016845705,527.5007934570312,646.661865234375,371.4818420410156,399.5622253417969,361.0089416503906,317.7635803222656,3487.225830078125,2150.97119140625,912.2759399414062,741.517822265625,875.268798828125,5196.552734375,7204.37646484375,8418.1083984375,27651.505859375,878.3515014648438,970.954345703125,1087.6962890625,85261.0625,86337.2421875,68918.1875,72296.8984375,42281.5703125,238.2020263671875,515.1046142578125,230.6663818359375,21106.32421875,17041.431640625,15168.3857421875,15871.1142578125,7269.640625,6893.69482421875,6466.466796875,5953.46923828125,10806,27.5238094329834,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.975011825561523,20.123104095458984,994.1080322265624,91301.203125,4.371806144714356,0,183181265,True,BME690,416108,0,0,0,183178587,24484,0,27.45145606994629,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:42:53.915,"{'cid': 'ab6d19e4-cefe-4238-a5e2-31f2aa3c1370', 'uuid': 'f0d28935-8e4c-4bee-aeff-a22414ddffd5', 'annotationId': '7c2908af-34f4-4dc2-bb37-c05eb4c75952', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272571148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:42:51.374Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.94,17.67,3700.0,3699.16,000000000DFEC3B1,1400.0,1399.37,21470046.0,300.0,299.93,000000000DFEC3B8,1600.0,1599.8,22450161.0,0.0,0.12,22160332.0,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7c2908af-34f4-4dc2-bb37-c05eb4c75952,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,690.9747314453125,599.4376831054688,5093.734375,6558.79296875,4238.20361328125,4028.157958984375,6938.53662109375,6595.27490234375,276.1095275878906,10298.1435546875,8109.56005859375,2566.463134765625,1882.175048828125,2059.058349609375,23359.470703125,14453.0048828125,674.1893920898438,1904.4884033203125,7383.7392578125,773.3544921875,84141.28125,60066.87109375,19047.12890625,17596.51953125,112.47721862792967,126.70148468017578,1191.687255859375,1355.65087890625,105.82717895507812,121.31297302246094,527.0997924804688,646.4097900390625,371.5034484863281,399.6224670410156,360.9356384277344,317.7909851074219,3486.287841796875,2151.271484375,912.3263549804688,741.4547119140625,874.8550415039062,5201.314453125,7206.59912109375,8417.6162109375,27682.75390625,878.4129028320312,971.074462890625,1091.5015869140625,85266.0078125,86341.1875,68917.9765625,72291.8125,42509.17578125,238.18853759765625,515.0986328125,230.6767120361328,21107.0703125,17040.814453125,15169.0078125,15871.55859375,7269.57373046875,6896.09814453125,6463.36376953125,5953.83935546875,11107,27.604394912719727,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.975339889526367,20.123090744018555,994.0609130859376,90694.7109375,4.371884822845459,0,183181706,True,BME690,416109,0,0,0,183178587,24484,0,27.45145606994629,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:42:54.216,"{'cid': 'ab6d19e4-cefe-4238-a5e2-31f2aa3c1370', 'uuid': 'f0d28935-8e4c-4bee-aeff-a22414ddffd5', 'annotationId': '7c2908af-34f4-4dc2-bb37-c05eb4c75952', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272571148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:42:51.374Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.94,17.67,3700.0,3699.02,000000000DFEC3B1,1400.0,1399.35,21470046.0,300.0,300.2,000000000DFEC3B8,1600.0,1599.95,22450161.0,0.0,0.13,22160332.0,-0.0
