component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_813024,FLW0_813024,ANLT0_813024,FLW0_181225,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_454625,FLW0_454625,ANLT0_454625
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,692.939453125,601.9948120117188,5085.35205078125,6549.171875,4230.63427734375,4018.57373046875,6944.87255859375,6586.88916015625,273.5188293457031,10228.2353515625,7981.60205078125,2574.58154296875,1879.5357666015625,2051.758544921875,23437.2734375,14328.4609375,664.382080078125,1886.3975830078125,7334.38671875,771.9580078125,83888.9921875,59852.05078125,19027.767578125,17564.375,112.05206298828124,126.1487808227539,1188.0692138671875,1332.625732421875,105.95299530029295,121.31222534179688,528.2838134765625,646.9983520507812,371.1951904296875,399.2222595214844,360.5647888183594,317.28662109375,3479.900390625,2146.09130859375,909.7454223632812,740.2261352539062,877.3922729492188,5305.45361328125,7194.05712890625,8402.9912109375,27266.20703125,864.8602905273438,952.7308959960938,1080.312255859375,84992.46875,86065.96875,68736.7734375,72089.4921875,42324.890625,234.9945831298828,505.4891357421875,227.1736297607422,21069.376953125,17018.369140625,15146.765625,15850.12890625,7258.048828125,6889.361328125,6457.703125,5946.97998046875,9969,27.28205108642578,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.71441078186035,20.012889862060547,993.6550903320312,91993.2578125,4.284062385559082,0,187949534,True,BME690,426938,0,0,0,187946037,24484,0,26.944595336914062,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:02:22.944,"{'cid': 'ec9af3ae-69e2-4a7f-8828-9698d9be597e', 'uuid': '37eb1ae1-41a8-46fc-91ec-d8aeb9ee9dde', 'annotationId': 'cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277342604, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:02:22.826Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.7,18.21,1600.0,1592.96,22450161.0,-0.0,1370.0,1367.36,21470046.0,300.0,297.27,000000000DFEC3B8,30.0,29.34,22160332.0,3700.0,3697.56,000000000DFEC3B1
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,693.2133178710938,601.6309814453125,5085.21630859375,6549.44677734375,4230.2607421875,4018.488525390625,6945.11572265625,6587.93994140625,273.37091064453125,10227.775390625,7957.20166015625,2577.594482421875,1880.703857421875,2054.0205078125,23358.8203125,14268.0517578125,665.2014770507812,1887.9368896484373,7375.390625,771.6319580078125,83880.0625,59856.1953125,19025.951171875,17565.224609375,112.06995391845705,126.13182830810548,1188.5335693359375,1335.0771484375,105.89767456054688,121.30776977539062,527.7894287109375,647.3692626953125,371.2273254394531,399.2294006347656,360.5191040039063,317.30816650390625,3478.737548828125,2145.7431640625,909.5491943359376,740.28857421875,878.309814453125,5312.869140625,7195.09765625,8403.0205078125,27285.220703125,864.7527465820312,953.77099609375,1078.3251953125,84998.4375,86074.6171875,68738.234375,72093.4609375,42241.0625,234.99691772460935,505.1164245605469,227.17593383789065,21068.20703125,17018.279296875,15146.4716796875,15850.3544921875,7258.15478515625,6888.99462890625,6458.13427734375,5946.5283203125,10270,27.120880126953125,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.714082717895508,20.01290512084961,993.6558837890624,93170.3203125,4.283985137939453,0,187949974,True,BME690,426939,0,0,0,187946037,24484,0,26.944595336914062,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:02:23.245,"{'cid': 'ec9af3ae-69e2-4a7f-8828-9698d9be597e', 'uuid': '37eb1ae1-41a8-46fc-91ec-d8aeb9ee9dde', 'annotationId': 'cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277342604, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:02:22.826Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.71,18.21,1600.0,1592.96,22450161.0,-0.0,1370.0,1367.36,21470046.0,300.0,297.27,000000000DFEC3B8,30.0,29.34,22160332.0,3700.0,3697.56,000000000DFEC3B1
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,692.8480224609375,601.7365112304688,5085.517578125,6547.4541015625,4229.66552734375,4018.24462890625,6943.63818359375,6588.18798828125,273.38482666015625,10224.2109375,7943.30615234375,2576.837158203125,1880.3775634765625,2053.476318359375,23389.35546875,14363.6630859375,665.119140625,1887.9080810546875,7409.6171875,772.0288696289062,83881.5,59866.26171875,19023.892578125,17561.0625,112.07810974121094,126.08318328857422,1187.3990478515625,1335.61962890625,105.89868927001952,121.31961059570312,527.6890258789062,647.1509399414062,371.21771240234375,399.2471618652344,360.5419921875,317.3251037597656,3479.167724609375,2145.162109375,909.7666015625,740.2109375,879.7123413085938,5309.4921875,7193.619140625,8403.1865234375,27263.865234375,864.97021484375,954.0072021484376,1076.6553955078125,85000.2890625,86071.046875,68739.9453125,72107.375,41827.70703125,235.0259552001953,505.28912353515625,227.17889404296875,21069.271484375,17019.29296875,15147.2138671875,15850.8046875,7258.35546875,6889.689453125,6457.67529296875,5946.6953125,10571,27.04029083251953,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.714082717895508,20.01290512084961,993.6575927734376,93649.609375,4.283985137939453,0,187950414,True,BME690,426940,0,0,0,187946037,24484,0,26.944595336914062,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:02:23.545,"{'cid': 'ec9af3ae-69e2-4a7f-8828-9698d9be597e', 'uuid': '37eb1ae1-41a8-46fc-91ec-d8aeb9ee9dde', 'annotationId': 'cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277342604, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:02:22.826Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.71,18.2,1600.0,1593.21,22450161.0,-0.0,1370.0,1367.46,21470046.0,300.0,297.45,000000000DFEC3B8,30.0,29.36,22160332.0,3700.0,3697.56,000000000DFEC3B1
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,692.358154296875,601.7080688476562,5084.33935546875,6548.8486328125,4229.64794921875,4018.423828125,6944.7783203125,6590.12158203125,273.3896484375,10224.1142578125,7960.8798828125,2576.00244140625,1876.87158203125,2057.269287109375,23361.337890625,14313.04296875,665.135009765625,1888.0557861328125,7398.5302734375,772.4326171875,83877.734375,59850.578125,19026.09765625,17564.517578125,112.06520080566406,126.09586334228516,1187.7078857421875,1333.0242919921875,105.95474243164062,121.32294464111328,527.8103637695312,648.000244140625,371.2052001953125,399.2769775390625,360.5923156738281,317.3247985839844,3479.3837890625,2145.581298828125,909.903076171875,740.2217407226562,879.0525512695312,5312.8193359375,7192.666015625,8402.7265625,27257.681640625,864.8491821289062,952.56298828125,1076.5770263671875,85001.7109375,86073.796875,68750.171875,72091.265625,42067.20703125,235.05880737304688,505.3528137207031,227.1257781982422,21069.3515625,17018.123046875,15145.7490234375,15851.3310546875,7259.4375,6889.26318359375,6457.470703125,5946.908203125,10872,27.120880126953125,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.714082717895508,20.01290512084961,993.6575927734376,92695.8984375,4.283985137939453,0,187950854,True,BME690,426941,0,0,0,187946037,24484,0,26.944595336914062,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:02:23.847,"{'cid': 'ec9af3ae-69e2-4a7f-8828-9698d9be597e', 'uuid': '37eb1ae1-41a8-46fc-91ec-d8aeb9ee9dde', 'annotationId': 'cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277342604, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:02:22.826Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.72,18.2,1600.0,1594.41,22450161.0,-0.0,1370.0,1367.99,21470046.0,300.0,298.44,000000000DFEC3B8,30.0,29.46,22160332.0,3700.0,3697.56,000000000DFEC3B1
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,690.9871826171875,602.3314208984375,5085.1484375,6549.15576171875,4230.630859375,4018.474853515625,6945.34716796875,6593.68896484375,273.3889465332031,10229.3603515625,7980.44189453125,2577.697265625,1879.425048828125,2052.111572265625,23295.361328125,14382.1689453125,665.2665405273438,1889.4129638671875,7403.400390625,771.8868408203125,83888.53125,59852.30859375,19027.251953125,17567.77734375,112.071044921875,126.10865020751952,1186.04736328125,1332.2891845703125,105.93363189697266,121.30257415771484,527.7872924804688,647.6340942382812,371.2118835449219,399.2256774902344,360.5415649414063,317.3578491210937,3479.5302734375,2145.546142578125,910.0125732421876,740.2177124023438,874.8904418945312,5317.29833984375,7193.5380859375,8401.7529296875,27283.666015625,864.8628540039062,954.6201782226562,1076.0640869140625,85002.7734375,86075.2734375,68743.6796875,72093.828125,42506.25,235.0442352294922,505.346435546875,227.1431427001953,21069.39453125,17019.064453125,15146.1943359375,15851.63671875,7259.49658203125,6886.75146484375,6457.8056640625,5946.78564453125,11173,27.201465606689453,28.81318664550781,0,0,0,0,0,0,0,0,0,0,0,1,23.714082717895508,20.01290512084961,993.6575927734376,92695.8984375,4.283985137939453,0,187950854,True,BME690,426941,0,0,0,187951040,24484,0,26.84379196166992,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:02:24.148,"{'cid': 'ec9af3ae-69e2-4a7f-8828-9698d9be597e', 'uuid': '37eb1ae1-41a8-46fc-91ec-d8aeb9ee9dde', 'annotationId': 'cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277342604, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:02:22.826Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.72,18.21,1600.0,1595.61,22450161.0,-0.0,1370.0,1368.51,21470046.0,300.0,299.43,000000000DFEC3B8,30.0,29.56,22160332.0,3700.0,3697.56,000000000DFEC3B1
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,691.5368041992188,602.4337158203125,5084.8603515625,6549.080078125,4228.8642578125,4018.77099609375,6943.59716796875,6592.32177734375,273.4759826660156,10241.4765625,7958.18798828125,2574.63671875,1878.73583984375,2057.522705078125,23208.03515625,14332.2470703125,665.5438842773438,1886.0911865234373,7393.26904296875,772.0795288085938,83882.84375,59857.0,19021.654296875,17557.341796875,112.03929138183594,126.10197448730467,1189.068603515625,1334.64306640625,105.91461181640624,121.31282806396484,527.8147583007812,647.3011474609375,371.2008666992188,399.2327575683594,360.6325988769531,317.3053894042969,3478.619873046875,2145.722412109375,909.7255859375,740.2454833984375,874.0557861328125,5313.74267578125,7195.76611328125,8402.6767578125,27261.79296875,864.8555908203125,953.9369506835938,1075.5362548828125,85005.1484375,86077.3515625,68739.34375,72091.15625,42465.7578125,235.00347900390625,505.7810668945313,227.17025756835935,21069.515625,17018.775390625,15146.5908203125,15851.6845703125,7258.74365234375,6886.599609375,6457.7822265625,5946.720703125,11474,27.201465606689453,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.714082717895508,20.01290512084961,993.6575927734376,92853.5,4.283985137939453,0,187951294,True,BME690,426942,0,0,0,187951040,24484,0,26.84379196166992,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:02:24.449,"{'cid': 'ec9af3ae-69e2-4a7f-8828-9698d9be597e', 'uuid': '37eb1ae1-41a8-46fc-91ec-d8aeb9ee9dde', 'annotationId': 'cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277342604, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:02:22.826Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.71,18.22,1600.0,1596.8,22450161.0,-0.0,1370.0,1369.04,21470046.0,300.0,300.42,000000000DFEC3B8,30.0,29.66,22160332.0,3700.0,3697.56,000000000DFEC3B1
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,691.9164428710938,601.6931762695312,5084.31689453125,6548.658203125,4228.916015625,4019.076904296875,6943.80322265625,6591.66796875,273.51055908203125,10227.13671875,7980.99853515625,2574.674560546875,1881.05419921875,2055.604736328125,23403.16015625,14352.0986328125,665.2970581054688,1886.966796875,7388.07177734375,772.030029296875,83902.0390625,59858.87109375,19026.853515625,17569.88671875,112.04533386230467,126.10274505615234,1188.5556640625,1340.4578857421875,105.93954467773438,121.3017120361328,527.8410034179688,647.8853759765625,371.17681884765625,399.2035217285156,360.57073974609375,317.2942199707031,3480.258544921875,2145.654296875,909.7692260742188,740.1066284179688,875.6429443359375,5311.2431640625,7192.822265625,8404.458984375,27283.26953125,864.8040161132812,954.454345703125,1075.4002685546875,84985.015625,86071.7890625,68741.53125,72092.171875,42447.99609375,234.95550537109372,506.2325744628906,227.23516845703125,21070.46484375,17019.154296875,15145.3876953125,15850.9482421875,7258.13232421875,6889.73681640625,6457.9326171875,5947.19482421875,11775,27.120880126953125,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.714082717895508,20.01290512084961,993.596435546875,92538.828125,4.283985137939453,0,187951735,True,BME690,426943,0,0,0,187951040,24484,0,26.84379196166992,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:02:24.750,"{'cid': 'ec9af3ae-69e2-4a7f-8828-9698d9be597e', 'uuid': '37eb1ae1-41a8-46fc-91ec-d8aeb9ee9dde', 'annotationId': 'cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277342604, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:02:22.826Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.7,18.23,1600.0,1597.13,22450161.0,-0.0,1370.0,1369.38,21470046.0,300.0,300.56,000000000DFEC3B8,30.0,29.75,22160332.0,3700.0,3698.08,000000000DFEC3B1
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,692.9887084960938,601.890380859375,5084.51708984375,6549.052734375,4229.962890625,4018.873291015625,6943.75732421875,6590.07177734375,273.4246520996094,10235.3857421875,7968.68896484375,2577.00146484375,1874.921630859375,2056.164794921875,23269.5625,14388.1572265625,665.6946411132812,1887.2052001953125,7384.0390625,771.7759399414062,83896.328125,59861.8046875,19027.244140625,17563.953125,112.08619689941406,126.1267318725586,1186.5079345703125,1338.8515625,105.89350128173828,121.28221893310548,527.9491577148438,647.6217041015625,371.2037353515625,399.2135009765625,360.5101623535156,317.2929077148437,3479.695068359375,2145.47705078125,909.6632080078124,740.211669921875,875.2405395507812,5326.0302734375,7191.4677734375,8403.2919921875,27275.4453125,864.9612426757812,953.76953125,1076.34765625,84997.4140625,86078.96875,68738.4375,72106.28125,42305.8671875,234.97308349609372,505.9317626953125,227.2480010986328,21069.587890625,17017.712890625,15145.9013671875,15850.5458984375,7259.0087890625,6890.06494140625,6457.955078125,5946.841796875,12076,27.120880126953125,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.714082717895508,20.01290512084961,993.596435546875,92538.828125,4.283985137939453,0,187951735,True,BME690,426943,0,0,0,187951040,24484,0,26.84379196166992,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:02:25.051,"{'cid': 'ec9af3ae-69e2-4a7f-8828-9698d9be597e', 'uuid': '37eb1ae1-41a8-46fc-91ec-d8aeb9ee9dde', 'annotationId': 'cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277342604, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:02:22.826Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.7,18.24,1600.0,1597.32,22450161.0,-0.0,1370.0,1369.69,21470046.0,300.0,300.53,000000000DFEC3B8,30.0,29.85,22160332.0,3700.0,3698.7,000000000DFEC3B1
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,693.720458984375,601.9691772460938,5084.978515625,6549.52490234375,4230.04248046875,4018.68603515625,6943.2919921875,6589.12939453125,273.3533020019531,10218.96484375,7997.28515625,2574.0791015625,1875.5535888671875,2053.955078125,22954.078125,14376.560546875,666.0750732421875,1886.597900390625,7401.24462890625,772.3158569335938,83886.34375,59858.24609375,19027.982421875,17563.51953125,112.0682601928711,126.13114166259766,1187.9552001953125,1339.3758544921875,105.92047119140624,121.32073974609376,527.9563598632812,648.0872802734375,371.2210083007813,399.276611328125,360.6372680664063,317.3126525878906,3480.044677734375,2145.387939453125,909.6075439453124,740.261474609375,876.4330444335938,5303.26416015625,7193.05078125,8403.876953125,27263.83203125,865.08837890625,954.2646484375,1078.082275390625,84981.3671875,86091.96875,68744.9609375,72100.890625,42190.5,234.91311645507807,505.447021484375,227.1837158203125,21068.806640625,17017.32421875,15145.884765625,15850.361328125,7259.3671875,6887.31298828125,6455.845703125,5946.779296875,12377,27.120880126953125,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.71441078186035,20.012889862060547,993.5443725585938,92617.296875,4.284062385559082,0,187952175,True,BME690,426944,0,0,0,187951040,24484,0,26.84379196166992,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:02:25.352,"{'cid': 'ec9af3ae-69e2-4a7f-8828-9698d9be597e', 'uuid': '37eb1ae1-41a8-46fc-91ec-d8aeb9ee9dde', 'annotationId': 'cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277342604, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:02:22.826Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.71,18.22,1600.0,1597.51,22450161.0,-0.0,1370.0,1370.0,21470046.0,300.0,300.5,000000000DFEC3B8,30.0,29.95,22160332.0,3700.0,3699.33,000000000DFEC3B1
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,692.9369506835938,602.1192626953125,5085.2216796875,6547.97314453125,4230.32861328125,4018.51806640625,6943.62744140625,6589.5908203125,273.3493957519531,10200.767578125,7972.1259765625,2577.145751953125,1872.8253173828125,2053.175048828125,23324.98828125,14467.6396484375,665.9486694335938,1886.2213134765625,7384.33056640625,772.8485107421875,83883.4609375,59853.08984375,19029.20703125,17566.94921875,112.0662841796875,126.14423370361328,1186.3343505859375,1336.09521484375,105.93265533447266,121.29486846923828,527.6415405273438,647.91650390625,371.2148742675781,399.2418212890625,360.5284118652344,317.31915283203125,3479.19384765625,2145.30224609375,909.8787841796876,740.2095336914062,876.9091796875,5309.1376953125,7194.43701171875,8402.326171875,27236.052734375,864.9228515625,954.6298828125,1077.44091796875,84983.9453125,86077.171875,68746.7734375,72093.0625,42117.1640625,234.9541473388672,505.1155395507813,227.32472229003903,21068.861328125,17017.560546875,15146.9638671875,15850.759765625,7258.2412109375,6886.37255859375,6455.22900390625,5947.6328125,12678,27.120880126953125,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.714738845825195,20.007055282592773,993.4972534179688,93489.296875,4.282893180847168,0,187952615,True,BME690,426945,0,0,0,187951040,24484,0,26.84379196166992,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:02:25.653,"{'cid': 'ec9af3ae-69e2-4a7f-8828-9698d9be597e', 'uuid': '37eb1ae1-41a8-46fc-91ec-d8aeb9ee9dde', 'annotationId': 'cc723a1d-8cfc-4c39-9da3-f0f3e588a3c6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277342604, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:02:22.826Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.72,18.21,1600.0,1597.87,22450161.0,-0.0,1370.0,1370.14,21470046.0,300.0,300.62,000000000DFEC3B8,30.0,30.0,22160332.0,3700.0,3699.96,000000000DFEC3B1
