component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_364625,FLW0_364625,ANLT0_364625,FLW0_181225,T0_093225,H0_093225,SETP0_184225,FLW0_184225,ANLT0_184225
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,4090.711669921875,4801.23486328125,17375.029296875,33798.94921875,6495.83056640625,6354.48291015625,11231.19140625,9711.09375,787.1448364257812,1136.5948486328125,9615.080078125,5980.26416015625,8541.275390625,14931.26171875,3133.880859375,5514.76708984375,6381.1708984375,850.2741088867188,9324.8349609375,7743.3330078125,279025.8125,115024.234375,30453.857421875,23102.119140625,916.5958862304688,716.3146362304688,333.3937072753906,597.689697265625,5525.5361328125,5581.17626953125,349.8955383300781,3687.513427734375,518.5347290039062,509.5641174316406,491.1861267089844,379.1875915527344,2630.848388671875,1793.0413818359375,607.1349487304688,909.4696655273438,4357.7138671875,2671.232177734375,19546.53125,9448.638671875,496.176513671875,2396.180908203125,391.4723815917969,1999.53466796875,137016.1875,153722.015625,116540.3984375,210774.3125,858.8943481445312,967.54931640625,814.0697631835938,477.27978515625,31286.560546875,38662.96875,32155.123046875,28964.763671875,13888.9873046875,11153.07421875,10945.3388671875,12205.9033203125,8097,27.68498039245605,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.56043243408203,21.96232795715332,1003.9813232421876,215366.421875,4.660417556762695,0,2500618,True,BME690,5676,0,0,0,2496777,24484,0,28.75252914428711,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:47:21.222,"{'cid': '3d74c31a-d7fa-4922-a4e7-7e49824a17a5', 'uuid': 'bc178655-4acb-4314-bc7d-35e319c8f402', 'annotationId': '3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341240852, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:47:21.078Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3697.46,000000000DFEC3B1,1370.0,1368.4,21470046.0,1600.0,1594.64,22450161.0,300.0,305.18,000000000DFEC3B8,0.0,22.94,16.22,30.0,29.88,22160332.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,4093.256591796875,4795.44091796875,17382.591796875,33825.6484375,6495.59912109375,6354.0927734375,11231.5322265625,9711.3720703125,786.4947509765625,1137.4901123046875,9620.0791015625,5977.25927734375,8530.330078125,14994.640625,3144.1572265625,5511.96630859375,6365.5419921875,849.7474975585938,9331.4267578125,7730.20458984375,279000.59375,115028.71875,30467.91015625,23103.974609375,916.7413940429688,716.8505859375,333.4707336425781,597.8426513671875,5518.1513671875,5582.3779296875,349.9338073730469,3698.47509765625,518.4935913085938,509.48779296875,491.1619873046875,379.3145446777344,2630.338623046875,1792.901123046875,607.1586303710938,909.4801635742188,4355.2021484375,2673.6162109375,19541.439453125,9448.9130859375,495.8133544921875,2402.9248046875,390.9024658203125,2000.0341796875,136987.984375,153748.78125,116562.1171875,210779.1875,859.1642456054688,967.689453125,812.29443359375,477.5639953613281,31283.3515625,38649.71875,32150.431640625,28941.900390625,13887.900390625,11152.736328125,10945.3046875,12205.3740234375,8397,27.604394912719727,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.56043243408203,21.96232795715332,1003.9813232421876,215366.421875,4.660417556762695,0,2500618,True,BME690,5676,0,0,0,2496777,24484,0,28.75252914428711,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:47:21.519,"{'cid': '3d74c31a-d7fa-4922-a4e7-7e49824a17a5', 'uuid': 'bc178655-4acb-4314-bc7d-35e319c8f402', 'annotationId': '3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341240852, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:47:21.078Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3697.46,000000000DFEC3B1,1370.0,1368.4,21470046.0,1600.0,1594.64,22450161.0,300.0,305.18,000000000DFEC3B8,0.0,22.94,16.22,30.0,29.88,22160332.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,4099.2314453125,4792.04736328125,17375.1171875,33831.84765625,6494.97998046875,6355.0107421875,11232.2783203125,9711.5654296875,787.0880737304688,1137.150146484375,9618.42578125,5995.82861328125,8548.5947265625,14965.8408203125,3149.642578125,5516.26611328125,6357.59375,851.0596923828125,9337.5283203125,7733.33203125,278958.15625,115035.890625,30466.9140625,23103.41015625,917.4893798828124,716.6002807617188,333.1623229980469,598.0684814453125,5534.71826171875,5579.72509765625,349.9162902832031,3697.4423828125,518.551513671875,509.6145629882813,491.2866516113281,379.3151550292969,2630.257080078125,1793.1156005859375,607.073486328125,909.4690551757812,4366.2060546875,2672.27197265625,19541.201171875,9446.73828125,495.9361267089844,2392.62109375,391.2193603515625,1997.398681640625,137026.015625,153712.640625,116558.71875,210767.734375,859.4022216796875,967.6702270507812,811.546142578125,477.8781433105469,31277.859375,38650.30859375,32137.373046875,28943.630859375,13890.177734375,11154.0439453125,10945.1484375,12204.833984375,8698,27.68498039245605,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.56110382080078,21.97426414489746,1003.9845581054688,216219.0625,4.663128852844238,0,2501058,True,BME690,5677,0,0,0,2496777,24484,0,28.75252914428711,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:47:21.827,"{'cid': '3d74c31a-d7fa-4922-a4e7-7e49824a17a5', 'uuid': 'bc178655-4acb-4314-bc7d-35e319c8f402', 'annotationId': '3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341240852, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:47:21.078Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3697.46,000000000DFEC3B1,1370.0,1368.42,21470046.0,1600.0,1594.72,22450161.0,300.0,305.0,000000000DFEC3B8,0.0,22.94,16.22,30.0,29.88,22160332.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,4097.00048828125,4802.7958984375,17375.939453125,33798.44921875,6495.96728515625,6353.3037109375,11231.275390625,9711.6259765625,787.6454467773438,1135.272216796875,9645.431640625,5979.96240234375,8520.8818359375,14968.7646484375,3140.84716796875,5497.37109375,6358.70361328125,852.7573852539062,9474.4755859375,7727.72607421875,278967.0,115058.5859375,30467.54296875,23103.8984375,916.1090698242188,715.6964111328125,333.10760498046875,598.0848388671875,5503.66748046875,5584.36083984375,349.9286193847656,3688.27294921875,518.4849243164062,509.5295104980469,491.1655883789063,379.2303771972656,2629.84716796875,1793.2235107421875,607.0979614257812,909.45556640625,4364.63427734375,2672.161376953125,19548.095703125,9443.955078125,495.9200439453125,2405.789306640625,390.9948120117188,1998.8367919921875,136956.765625,153704.515625,116542.71875,210770.703125,859.6220092773438,968.6871337890624,812.6746215820312,477.8247680664063,31275.171875,38647.25390625,32138.96484375,28941.08203125,13890.017578125,11152.4951171875,10945.66015625,12204.685546875,9000,27.44322204589844,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,23.56110382080078,21.98024559020996,1003.98291015625,216005.28125,4.664398193359375,0,2501499,True,BME690,5678,0,0,0,2496777,24484,0,28.75252914428711,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:47:22.125,"{'cid': '3d74c31a-d7fa-4922-a4e7-7e49824a17a5', 'uuid': 'bc178655-4acb-4314-bc7d-35e319c8f402', 'annotationId': '3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341240852, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:47:21.078Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3697.46,000000000DFEC3B1,1370.0,1368.54,21470046.0,1600.0,1595.24,22450161.0,300.0,303.7,000000000DFEC3B8,0.0,22.94,16.22,30.0,29.88,22160332.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,4098.69921875,4777.11181640625,17375.119140625,33798.5703125,6496.51513671875,6352.62451171875,11232.7734375,9711.3447265625,788.33251953125,1132.0821533203125,9566.955078125,5974.9951171875,8548.0654296875,14985.173828125,3137.303955078125,5513.88330078125,6402.16650390625,850.7269897460938,9352.4208984375,7722.0947265625,278983.1875,115044.734375,30470.48828125,23100.7421875,916.2420654296876,716.25634765625,333.2085876464844,598.2662963867188,5500.01220703125,5620.775390625,349.987548828125,3700.097900390625,518.7084350585938,509.5820007324219,491.0188293457031,379.2982482910156,2630.1884765625,1792.9349365234375,607.1649780273438,909.4132690429688,4359.4599609375,2672.461669921875,19536.064453125,9445.58203125,495.78369140625,2397.49560546875,391.4632263183594,2002.2862548828125,136943.921875,153733.34375,116546.9296875,210754.4375,859.8028564453125,968.0499267578124,812.0579833984375,477.4532470703125,31285.13671875,38648.46484375,32135.62109375,28947.541015625,13887.6376953125,11152.888671875,10945.6162109375,12204.9521484375,9300,27.5238094329834,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.56110382080078,21.98024559020996,1003.98291015625,216005.28125,4.664398193359375,0,2501499,True,BME690,5678,0,0,0,2501790,24484,0,27.18018341064453,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:47:22.424,"{'cid': '3d74c31a-d7fa-4922-a4e7-7e49824a17a5', 'uuid': 'bc178655-4acb-4314-bc7d-35e319c8f402', 'annotationId': '3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341240852, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:47:21.078Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3697.46,000000000DFEC3B1,1370.0,1368.65,21470046.0,1600.0,1595.76,22450161.0,300.0,302.39,000000000DFEC3B8,-0.0,22.94,16.22,30.0,29.88,22160332.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,4077.014892578125,4806.47314453125,17368.5625,33760.84765625,6497.27685546875,6354.19775390625,11232.267578125,9708.921875,787.1502685546875,1134.8148193359375,9566.9287109375,5946.44775390625,8562.7958984375,14990.01953125,3144.21337890625,5498.97314453125,6375.98291015625,851.84375,9347.1865234375,7728.00390625,278951.1875,115008.796875,30465.298828125,23099.71484375,915.5313720703124,716.4008178710938,333.04132080078125,597.7381591796875,5510.57177734375,5620.55224609375,349.96844482421875,3700.09033203125,518.6380615234375,509.5760803222656,491.0800476074219,379.2752990722656,2630.6298828125,1792.7684326171875,607.0952758789062,909.4365844726562,4351.4423828125,2670.139404296875,19544.44140625,9446.701171875,495.5897216796875,2401.84765625,391.4114685058594,2003.6341552734373,137011.6875,153703.28125,116538.015625,210712.28125,858.1539306640625,966.4521484375,811.86181640625,477.38623046875,31273.16796875,38652.82421875,32146.1640625,28953.8671875,13890.240234375,11155.248046875,10945.4765625,12205.73046875,9601,27.5238094329834,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.56177520751953,21.9921817779541,1003.9844360351562,216863.0,4.667109489440918,0,2501939,True,BME690,5679,0,0,0,2501790,24484,0,27.18018341064453,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:47:22.726,"{'cid': '3d74c31a-d7fa-4922-a4e7-7e49824a17a5', 'uuid': 'bc178655-4acb-4314-bc7d-35e319c8f402', 'annotationId': '3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341240852, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:47:21.078Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3697.46,000000000DFEC3B1,1370.0,1368.77,21470046.0,1600.0,1596.29,22450161.0,300.0,301.08,000000000DFEC3B8,-0.0,22.93,16.21,30.0,29.88,22160332.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,4085.128662109375,4780.94140625,17392.134765625,33803.3203125,6496.1396484375,6351.93896484375,11230.2041015625,9710.06640625,786.5599365234375,1133.4588623046875,9588.7705078125,6008.2060546875,8497.41796875,14923.7236328125,3140.228271484375,5507.09375,6381.279296875,850.3258056640625,9399.8935546875,7715.22705078125,278898.875,115023.1875,30466.244140625,23097.033203125,917.3541259765624,714.2850952148438,333.46490478515625,597.8619995117188,5494.3115234375,5616.99560546875,349.9794006347656,3682.869384765625,518.6092529296875,509.4935302734375,491.0610656738281,379.2189331054688,2630.791259765625,1792.7940673828125,607.0465698242188,909.5189208984376,4347.95751953125,2671.29150390625,19549.74609375,9447.9794921875,495.995849609375,2401.072021484375,391.4684143066406,2000.9775390625,136994.59375,153725.453125,116540.3984375,210720.8125,859.8772583007812,969.2437744140624,812.7407836914062,477.6406555175781,31278.1484375,38656.5,32141.568359375,28947.326171875,13894.2275390625,11153.791015625,10945.419921875,12205.9296875,9902,27.36263656616211,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.562448501586918,22.00411796569824,1003.9266357421876,216433.28125,4.669820785522461,0,2502379,True,BME690,5680,0,0,0,2501790,24484,0,27.18018341064453,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:47:23.028,"{'cid': '3d74c31a-d7fa-4922-a4e7-7e49824a17a5', 'uuid': 'bc178655-4acb-4314-bc7d-35e319c8f402', 'annotationId': '3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341240852, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:47:21.078Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3697.86,000000000DFEC3B1,1370.0,1368.86,21470046.0,1600.0,1596.81,22450161.0,300.0,300.28,000000000DFEC3B8,-0.0,22.93,16.21,30.0,29.88,22160332.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,4079.39404296875,4802.001953125,17387.736328125,33796.9609375,6495.4482421875,6351.71044921875,11231.2451171875,9709.27734375,786.802978515625,1135.5115966796875,9623.875,5970.4462890625,8532.4814453125,14974.6474609375,3140.571044921875,5515.2314453125,6388.251953125,851.577880859375,9345.7158203125,7745.3251953125,278901.0,115006.625,30467.673828125,23097.931640625,916.0526733398438,715.49169921875,333.1820678710937,597.73046875,5508.39501953125,5614.0380859375,350.0057983398437,3691.206787109375,518.629638671875,509.444091796875,491.2369079589844,379.255859375,2630.40234375,1792.7442626953125,607.0814819335938,909.428466796875,4364.220703125,2672.752197265625,19551.69140625,9449.939453125,495.7298583984375,2400.49951171875,391.3914184570313,2003.1947021484373,137003.90625,153706.890625,116536.8203125,210737.03125,859.3688354492188,967.706298828125,812.3538818359375,476.9098510742188,31265.875,38665.91015625,32149.533203125,28945.982421875,13886.9306640625,11152.154296875,10946.2216796875,12204.7939453125,10203,27.44322204589844,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.562448501586918,22.00411796569824,1003.9266357421876,216433.28125,4.669820785522461,0,2502379,True,BME690,5680,0,0,0,2501790,24484,0,27.18018341064453,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:47:23.330,"{'cid': '3d74c31a-d7fa-4922-a4e7-7e49824a17a5', 'uuid': 'bc178655-4acb-4314-bc7d-35e319c8f402', 'annotationId': '3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341240852, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:47:21.078Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3698.35,000000000DFEC3B1,1370.0,1368.93,21470046.0,1600.0,1597.34,22450161.0,300.0,299.64,000000000DFEC3B8,0.0,22.93,16.23,30.0,29.88,22160332.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,4083.96875,4784.37646484375,17394.837890625,33810.9609375,6495.5478515625,6352.9052734375,11232.845703125,9711.5107421875,786.6636962890625,1132.632568359375,9594.955078125,6011.96826171875,8553.8466796875,14940.2890625,3139.978759765625,5502.93505859375,6367.19873046875,850.0925903320312,9339.013671875,7734.16064453125,278898.90625,114986.265625,30475.6171875,23095.86328125,916.234375,714.3955688476562,333.2554626464844,597.98486328125,5502.13330078125,5613.06298828125,349.9929504394531,3695.8544921875,518.4074096679688,509.5195007324219,491.0745239257813,379.26904296875,2630.32373046875,1792.532470703125,607.0339965820312,909.3992309570312,4359.7216796875,2670.53076171875,19541.453125,9443.681640625,495.82122802734375,2404.751708984375,391.0858154296875,2004.1112060546875,136964.046875,153672.125,116560.828125,210726.421875,859.8175659179688,967.4746704101562,814.4733276367188,477.1456604003906,31272.4375,38660.01171875,32147.1953125,28952.478515625,13896.515625,11152.5712890625,10945.0849609375,12205.419921875,10504,27.604394912719727,29.37728881835937,0,0,0,0,0,0,0,0,0,0,0,1,23.56278419494629,22.010086059570312,1003.8746948242188,215366.421875,4.671177387237549,0,2502819,True,BME690,5681,0,0,0,2501790,24484,0,27.18018341064453,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:47:23.628,"{'cid': '3d74c31a-d7fa-4922-a4e7-7e49824a17a5', 'uuid': 'bc178655-4acb-4314-bc7d-35e319c8f402', 'annotationId': '3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341240852, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:47:21.078Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3698.84,000000000DFEC3B1,1370.0,1369.0,21470046.0,1600.0,1597.86,22450161.0,300.0,299.0,000000000DFEC3B8,0.0,22.94,16.25,30.0,29.89,22160332.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,4083.6748046875,4797.6455078125,17366.416015625,33805.484375,6495.201171875,6354.517578125,11231.0380859375,9708.7119140625,786.9508056640625,1134.7703857421875,9584.5009765625,5983.34716796875,8534.8759765625,14989.7548828125,3140.462890625,5493.40673828125,6385.4150390625,851.5592041015625,9333.2578125,7748.58642578125,278851.15625,114958.9921875,30472.609375,23097.322265625,916.673828125,715.361083984375,333.19976806640625,597.5763549804688,5499.77197265625,5580.67626953125,349.9811096191406,3694.2666015625,518.5755615234375,509.5179138183594,491.2137145996094,379.2015380859375,2630.963134765625,1792.575439453125,607.0869140625,909.5045776367188,4358.57421875,2669.565185546875,19542.056640625,9441.34375,495.9421997070313,2399.783935546875,391.2033081054688,2004.3828125,137002.796875,153651.359375,116551.125,210749.40625,859.2278442382812,967.5515747070312,811.49169921875,477.1037902832031,31277.400390625,38652.1875,32152.01171875,28956.7890625,13896.8681640625,11154.2724609375,10944.890625,12205.3310546875,10805,27.5238094329834,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,23.56211280822754,21.99216651916504,1003.82861328125,218162.453125,4.6671953201293945,0,2503259,True,BME690,5682,0,0,0,2501790,24484,0,27.18018341064453,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:47:23.930,"{'cid': '3d74c31a-d7fa-4922-a4e7-7e49824a17a5', 'uuid': 'bc178655-4acb-4314-bc7d-35e319c8f402', 'annotationId': '3f5d8f62-c1ed-4a8f-8e6f-e94449fd1896', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341240852, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:47:21.078Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3699.17,000000000DFEC3B1,1370.0,1369.07,21470046.0,1600.0,1598.41,22450161.0,300.0,298.36,000000000DFEC3B8,0.0,22.94,16.28,30.0,29.9,22160332.0
