component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_184324,FLW0_184324,ANLT0_184324,FLW0_181225
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,ddb2deba-c53b-48dd-afae-e8e3571636e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3952.587158203125,4474.72265625,17240.978515625,33521.609375,6446.74560546875,6308.57568359375,11061.3349609375,9556.9970703125,758.5548095703125,1097.703857421875,9143.7333984375,5714.51416015625,8258.9150390625,13641.3076171875,2946.18310546875,5176.2177734375,5996.93359375,811.103271484375,8622.541015625,7250.7666015625,275730.53125,114284.2421875,30280.947265625,22980.263671875,887.306640625,697.543701171875,328.05743408203125,573.870849609375,5298.49267578125,5484.12841796875,324.0467224121094,3542.3583984375,512.781005859375,503.97369384765625,488.97308349609375,377.5381774902344,2609.90283203125,1780.161376953125,605.52197265625,905.6505737304688,4083.277587890625,2411.4697265625,19457.4296875,9379.0234375,477.0420227050781,2304.68994140625,379.5330505371094,1933.3392333984373,135684.140625,152311.890625,115518.9609375,208821.890625,823.5489501953125,931.9277954101562,777.9564819335938,458.7742004394531,31077.1015625,38285.31640625,31968.859375,28787.115234375,13696.7197265625,10984.78515625,10772.4716796875,12009.87890625,9817,27.765565872192383,29.860803604125977,0,0,0,0,0,0,0,0,0,0,0,1,24.08294486999512,20.645029067993164,1004.57470703125,223063.296875,4.51270055770874,0,7991515,True,BME690,18145,0,0,0,7988536,24484,0,27.021163940429688,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:18:52.815,"{'cid': 'ee029e8b-ed9c-4895-9fec-8d8cf5145950', 'uuid': 'af4209d3-bdd1-437d-8c82-b2cdd901f45b', 'annotationId': 'ddb2deba-c53b-48dd-afae-e8e3571636e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773346732448, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:18:52.668Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.93,16.38,0.0,0.4,22450161.0,0.0,0.06,22160332.0,3700.0,3699.12,000000000DFEC3B1,300.0,297.07,000000000DFEC3B8,0.0,0.48,21470046.0,-0.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,ddb2deba-c53b-48dd-afae-e8e3571636e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3909.3759765625,4470.25439453125,17242.962890625,33510.16015625,6447.02978515625,6309.0048828125,11061.8330078125,9558.7353515625,757.7727661132812,1098.2572021484375,9120.896484375,5766.49560546875,8251.4912109375,13590.0224609375,2949.0625,5174.0673828125,6006.4013671875,811.4884033203125,8638.9130859375,7224.5478515625,275735.78125,114265.21875,30286.7265625,22978.58984375,889.3702392578125,697.1860961914062,328.01715087890625,572.964111328125,5304.115234375,5481.18310546875,324.0611267089844,3532.64990234375,512.751220703125,503.94671630859375,489.0379028320313,377.5406188964844,2609.30810546875,1780.2286376953125,605.4953002929688,905.6557006835938,4096.9775390625,2411.757568359375,19460.451171875,9380.705078125,476.86077880859375,2300.588623046875,379.22955322265625,1933.9091796875,135655.21875,152261.359375,115540.8046875,208838.140625,823.547607421875,932.1608276367188,778.2390747070312,458.4922180175781,31081.193359375,38279.6328125,31959.96875,28795.251953125,13695.5595703125,10984.1875,10772.671875,12010.1640625,10118,27.84615135192871,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,24.08294486999512,20.645029067993164,1004.57470703125,223063.296875,4.51270055770874,0,7991515,True,BME690,18145,0,0,0,7988536,24484,0,27.021163940429688,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:18:53.113,"{'cid': 'ee029e8b-ed9c-4895-9fec-8d8cf5145950', 'uuid': 'af4209d3-bdd1-437d-8c82-b2cdd901f45b', 'annotationId': 'ddb2deba-c53b-48dd-afae-e8e3571636e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773346732448, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:18:52.668Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.92,16.39,0.0,0.4,22450161.0,0.0,0.06,22160332.0,3700.0,3699.12,000000000DFEC3B1,300.0,297.07,000000000DFEC3B8,0.0,0.48,21470046.0,-0.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,ddb2deba-c53b-48dd-afae-e8e3571636e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3965.916015625,4469.19091796875,17237.833984375,33512.984375,6445.23779296875,6308.4931640625,11060.8896484375,9557.6455078125,758.871826171875,1096.923828125,9111.1328125,5738.4443359375,8231.1748046875,13633.44921875,2951.79248046875,5172.93115234375,6020.46533203125,812.0997314453125,8635.5576171875,7212.5087890625,275685.90625,114276.265625,30283.498046875,22981.865234375,887.7887573242188,696.9733276367188,328.1396484375,573.04541015625,5305.2412109375,5495.2109375,324.0272827148437,3519.364013671875,512.8416137695312,503.9526977539063,489.08197021484375,377.546875,2609.395263671875,1780.2559814453125,605.5260620117188,905.6663818359376,4092.55029296875,2411.505615234375,19463.46875,9380.0009765625,476.7588806152344,2305.52685546875,378.9224243164063,1938.7841796875,135705.859375,152293.71875,115521.875,208819.234375,823.443603515625,932.594482421875,778.4119262695312,459.0262756347656,31078.642578125,38309.234375,31962.15234375,28799.55078125,13694.8515625,10984.4658203125,10772.6298828125,12009.7490234375,10419,27.765565872192383,29.860803604125977,0,0,0,0,0,0,0,0,0,0,0,1,24.08328056335449,20.656997680664062,1004.5738525390624,223291.3125,4.515402793884277,0,7991956,True,BME690,18146,0,0,0,7988536,24484,0,27.021163940429688,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:18:53.420,"{'cid': 'ee029e8b-ed9c-4895-9fec-8d8cf5145950', 'uuid': 'af4209d3-bdd1-437d-8c82-b2cdd901f45b', 'annotationId': 'ddb2deba-c53b-48dd-afae-e8e3571636e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773346732448, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:18:52.668Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.92,16.4,0.0,0.43,22450161.0,0.0,0.06,22160332.0,3700.0,3699.09,000000000DFEC3B1,300.0,297.03,000000000DFEC3B8,0.0,0.48,21470046.0,-0.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,ddb2deba-c53b-48dd-afae-e8e3571636e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3897.985595703125,4466.1982421875,17251.048828125,33497.8515625,6445.62890625,6308.65283203125,11061.8134765625,9556.9931640625,758.6793823242188,1099.975830078125,9118.16015625,5768.61572265625,8289.291015625,13605.263671875,2937.451416015625,5187.14892578125,6020.11083984375,812.848388671875,8620.4130859375,7228.51025390625,275744.96875,114234.78125,30269.775390625,22978.009765625,887.2850952148438,698.1904296875,328.1162414550781,573.5183715820312,5310.70166015625,5485.9765625,324.0058288574219,3517.014892578125,512.8550415039062,504.0516052246094,488.9373168945313,377.4912414550781,2609.697021484375,1780.253662109375,605.5181884765625,905.6563110351562,4093.718505859375,2411.42724609375,19465.9765625,9381.896484375,476.745849609375,2299.067626953125,379.0058898925781,1934.515869140625,135683.09375,152286.703125,115511.5859375,208802.046875,823.500732421875,930.678466796875,778.924072265625,458.8103942871094,31061.9296875,38299.75,31958.103515625,28791.39453125,13696.7744140625,10983.8740234375,10772.5810546875,12010.0810546875,10720,27.765565872192383,29.78021812438965,0,0,0,0,0,0,0,0,0,0,0,1,24.082609176635746,20.65703010559082,1004.5722045898438,226298.34375,4.515237808227539,0,7992396,True,BME690,18147,0,0,0,7988536,24484,0,27.021163940429688,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:18:53.717,"{'cid': 'ee029e8b-ed9c-4895-9fec-8d8cf5145950', 'uuid': 'af4209d3-bdd1-437d-8c82-b2cdd901f45b', 'annotationId': 'ddb2deba-c53b-48dd-afae-e8e3571636e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773346732448, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:18:52.668Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.91,16.41,0.0,0.59,22450161.0,0.0,0.07,22160332.0,3700.0,3698.86,000000000DFEC3B1,300.0,296.74,000000000DFEC3B8,0.0,0.51,21470046.0,-0.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,ddb2deba-c53b-48dd-afae-e8e3571636e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3904.27197265625,4465.8955078125,17246.96484375,33513.94140625,6447.5595703125,6309.767578125,11061.076171875,9557.666015625,759.5336303710938,1094.63720703125,9119.6669921875,5783.3681640625,8248.216796875,13598.998046875,2943.352783203125,5175.16650390625,6019.8984375,811.8430786132812,8633.7529296875,7231.93310546875,275723.53125,114228.84375,30273.482421875,22981.177734375,888.4966430664062,697.7342529296875,328.20489501953125,573.3345336914062,5316.140625,5477.7705078125,323.9897766113281,3513.038818359375,512.818603515625,504.016845703125,488.9631958007813,377.5628662109375,2610.252197265625,1780.257568359375,605.5150756835938,905.5933227539062,4100.54248046875,2412.2177734375,19454.26953125,9379.1611328125,477.0370178222656,2307.326904296875,378.8375244140625,1934.0955810546875,135660.890625,152298.34375,115533.1171875,208798.515625,823.9729614257812,931.5724487304688,779.3480224609375,459.3884582519531,31076.564453125,38285.73046875,31960.6953125,28788.60546875,13698.212890625,10986.154296875,10772.3857421875,12010.5732421875,11022,27.765565872192383,29.78021812438965,0,0,0,0,0,0,0,0,0,0,0,1,24.082609176635746,20.65703010559082,1004.5722045898438,226298.34375,4.515237808227539,0,7992396,True,BME690,18147,0,0,0,7988536,24484,0,27.021163940429688,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:18:54.018,"{'cid': 'ee029e8b-ed9c-4895-9fec-8d8cf5145950', 'uuid': 'af4209d3-bdd1-437d-8c82-b2cdd901f45b', 'annotationId': 'ddb2deba-c53b-48dd-afae-e8e3571636e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773346732448, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:18:52.668Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.91,16.42,0.0,0.76,22450161.0,0.0,0.08,22160332.0,3700.0,3698.62,000000000DFEC3B1,300.0,296.45,000000000DFEC3B8,0.0,0.53,21470046.0,-0.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,ddb2deba-c53b-48dd-afae-e8e3571636e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3875.81103515625,4482.27392578125,17237.701171875,33497.0234375,6447.69384765625,6308.6767578125,11062.580078125,9557.0068359375,758.7822265625,1094.8214111328125,9117.8701171875,5764.47412109375,8267.45703125,13582.9248046875,2943.45703125,5166.55615234375,6008.57373046875,812.5376586914062,8601.609375,7222.404296875,275738.21875,114251.9921875,30283.263671875,22980.09765625,887.2655029296875,697.581787109375,328.0694274902344,573.1779174804688,5317.10107421875,5471.6513671875,323.9819641113281,3515.607177734375,512.7394409179688,503.9383544921875,488.8297729492188,377.45355224609375,2609.793212890625,1780.215087890625,605.5123291015625,905.5612182617188,4114.31396484375,2417.9296875,19463.244140625,9379.0703125,476.9722595214844,2307.255615234375,378.729736328125,1934.1053466796875,135678.46875,152278.828125,115552.625,208804.703125,824.967529296875,931.4051513671876,776.9913940429688,459.2677612304688,31065.5625,38277.18359375,31966.880859375,28788.62109375,13698.1328125,10985.8076171875,10768.6533203125,12010.314453125,11323,27.765565872192383,29.78021812438965,0,0,0,0,0,0,0,0,0,0,0,1,24.082609176635746,20.651037216186523,1004.570556640625,220808.625,4.513927459716797,0,7992837,True,BME690,18148,0,0,0,7988536,24484,0,27.021163940429688,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:18:54.323,"{'cid': 'ee029e8b-ed9c-4895-9fec-8d8cf5145950', 'uuid': 'af4209d3-bdd1-437d-8c82-b2cdd901f45b', 'annotationId': 'ddb2deba-c53b-48dd-afae-e8e3571636e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773346732448, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:18:52.668Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.9,16.44,0.0,0.93,22450161.0,0.0,0.09,22160332.0,3700.0,3698.39,000000000DFEC3B1,300.0,296.16,000000000DFEC3B8,0.0,0.55,21470046.0,-0.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,ddb2deba-c53b-48dd-afae-e8e3571636e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3903.465087890625,4476.52392578125,17242.580078125,33519.55859375,6447.720703125,6309.064453125,11061.505859375,9557.28515625,758.1947631835938,1097.0047607421875,9146.0546875,5755.84765625,8231.169921875,13596.923828125,2933.040283203125,5155.17138671875,6007.0595703125,811.1970825195312,8656.1689453125,7245.04150390625,275706.625,114252.375,30283.89453125,22983.15625,888.011962890625,698.062255859375,327.9652709960937,573.6243896484375,5314.6953125,5476.5849609375,324.0745544433594,3517.688232421875,512.8778686523438,504.047607421875,488.9041442871094,377.5337219238281,2610.281005859375,1780.2059326171875,605.4796752929688,905.6822509765624,4114.61962890625,2412.965087890625,19450.9765625,9385.3291015625,477.0838317871094,2295.859375,378.6585083007813,1933.2965087890625,135687.109375,152282.390625,115531.21875,208789.390625,825.3468627929688,931.4808959960938,780.6100463867188,459.3949890136719,31069.228515625,38291.26171875,31961.146484375,28792.205078125,13698.048828125,10985.5341796875,10772.044921875,12010.5732421875,11624,27.68498039245605,29.860803604125977,0,0,0,0,0,0,0,0,0,0,0,1,24.084287643432617,20.66294288635254,1004.5711669921876,225597.234375,4.516959190368652,0,7993277,True,BME690,18149,0,0,0,7988536,24484,0,27.021163940429688,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:18:54.619,"{'cid': 'ee029e8b-ed9c-4895-9fec-8d8cf5145950', 'uuid': 'af4209d3-bdd1-437d-8c82-b2cdd901f45b', 'annotationId': 'ddb2deba-c53b-48dd-afae-e8e3571636e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773346732448, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:18:52.668Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.89,16.45,0.0,0.98,22450161.0,0.0,0.09,22160332.0,3700.0,3698.93,000000000DFEC3B1,300.0,295.54,000000000DFEC3B8,0.0,0.56,21470046.0,-0.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,ddb2deba-c53b-48dd-afae-e8e3571636e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3897.232421875,4469.185546875,17247.63671875,33515.3125,6446.91162109375,6308.6396484375,11061.60546875,9556.33984375,759.7959594726562,1096.6429443359375,9128.6728515625,5733.828125,8229.6953125,13601.1865234375,2944.3935546875,5181.376953125,6006.03759765625,813.2411499023438,8667.2685546875,7244.98095703125,275692.03125,114227.6171875,30288.30078125,22981.951171875,887.6666870117188,696.9489135742188,328.0068664550781,573.3983764648438,5304.85107421875,5490.177734375,324.0770568847656,3526.48974609375,512.8482666015625,504.02874755859375,489.06298828125,377.5628967285156,2609.96630859375,1780.203125,605.4843139648438,905.5755004882812,4104.12841796875,2412.68701171875,19461.154296875,9379.0419921875,476.8975830078125,2296.97314453125,379.3604736328125,1937.8074951171875,135682.625,152297.328125,115518.8046875,208748.4375,824.1373291015625,931.5303955078124,778.8218383789062,459.0468444824219,31074.091796875,38287.234375,31959.48828125,28793.830078125,13696.322265625,10985.4541015625,10772.103515625,12010.4775390625,11925,27.68498039245605,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,24.084623336791992,20.66292762756348,1004.572021484375,225597.234375,4.51704216003418,0,7993717,True,BME690,18150,0,0,0,7993539,24484,0,28.574663162231445,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:18:54.922,"{'cid': 'ee029e8b-ed9c-4895-9fec-8d8cf5145950', 'uuid': 'af4209d3-bdd1-437d-8c82-b2cdd901f45b', 'annotationId': 'ddb2deba-c53b-48dd-afae-e8e3571636e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773346732448, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:18:52.668Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.89,16.46,0.0,1.0,22450161.0,0.0,0.08,22160332.0,3700.0,3699.69,000000000DFEC3B1,300.0,294.81,000000000DFEC3B8,0.0,0.56,21470046.0,-0.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,ddb2deba-c53b-48dd-afae-e8e3571636e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3889.920166015625,4480.65771484375,17244.298828125,33508.88671875,6446.79443359375,6308.9169921875,11062.123046875,9556.8388671875,758.4910278320312,1098.3284912109375,9117.2275390625,5679.08837890625,8334.287109375,13636.9736328125,2945.832275390625,5188.41552734375,6000.11865234375,812.7513427734375,8598.1376953125,7253.7529296875,275716.5625,114231.296875,30283.09375,22978.564453125,886.2818603515625,698.085205078125,327.94830322265625,573.2432250976562,5314.49072265625,5498.728515625,324.068603515625,3521.47509765625,512.7730712890625,504.1003112792969,488.9376220703125,377.54095458984375,2609.981689453125,1780.049560546875,605.5693359375,905.5429077148438,4108.404296875,2415.375244140625,19453.212890625,9381.216796875,477.1344604492188,2297.267578125,379.15863037109375,1936.849365234375,135693.8125,152328.734375,115531.921875,208729.4375,824.1937866210938,931.3901977539062,778.5729370117188,459.3757934570313,31086.453125,38302.83984375,31956.076171875,28785.919921875,13694.591796875,10986.1943359375,10772.8359375,12010.994140625,12226,27.68498039245605,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,24.084623336791992,20.66292762756348,1004.572021484375,225597.234375,4.51704216003418,0,7993717,True,BME690,18150,0,0,0,7993539,24484,0,28.574663162231445,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:18:55.222,"{'cid': 'ee029e8b-ed9c-4895-9fec-8d8cf5145950', 'uuid': 'af4209d3-bdd1-437d-8c82-b2cdd901f45b', 'annotationId': 'ddb2deba-c53b-48dd-afae-e8e3571636e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773346732448, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:18:52.668Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.9,16.46,0.0,1.03,22450161.0,0.0,0.07,22160332.0,3700.0,3700.45,000000000DFEC3B1,300.0,294.08,000000000DFEC3B8,0.0,0.56,21470046.0,-0.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,ddb2deba-c53b-48dd-afae-e8e3571636e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3897.900390625,4470.26025390625,17242.01171875,33527.21484375,6446.3466796875,6307.97509765625,11060.4248046875,9556.09765625,758.4833374023438,1095.3577880859375,9129.8232421875,5730.24072265625,8301.3759765625,13638.818359375,2944.109619140625,5180.45849609375,6008.943359375,811.8632202148438,8701.169921875,7219.4404296875,275672.40625,114235.234375,30283.818359375,22983.01953125,887.0367431640625,697.9278564453125,328.0221252441406,573.493896484375,5309.74072265625,5494.44775390625,324.0913391113281,3524.642822265625,512.7379760742188,503.9910583496094,488.7672119140625,377.494140625,2610.279052734375,1780.4737548828125,605.496337890625,905.6719360351562,4096.5126953125,2421.4248046875,19442.291015625,9379.0166015625,477.1396484375,2296.80126953125,379.01025390625,1936.0823974609373,135654.296875,152345.03125,115559.171875,208741.875,824.154296875,932.6177368164062,780.157470703125,458.8861083984375,31092.28515625,38283.21875,31962.732421875,28778.919921875,13696.5693359375,10985.263671875,10770.841796875,12011.0966796875,12527,27.84615135192871,29.94139289855957,0,0,0,0,0,0,0,0,0,0,0,1,24.084287643432617,20.66294288635254,1004.5695190429688,223519.78125,4.516959190368652,0,7994157,True,BME690,18151,0,0,0,7993539,24484,0,28.574663162231445,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:18:55.523,"{'cid': 'ee029e8b-ed9c-4895-9fec-8d8cf5145950', 'uuid': 'af4209d3-bdd1-437d-8c82-b2cdd901f45b', 'annotationId': 'ddb2deba-c53b-48dd-afae-e8e3571636e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773346732448, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:18:52.668Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.9,16.45,0.0,0.97,22450161.0,0.0,0.06,22160332.0,3700.0,3701.19,000000000DFEC3B1,300.0,293.74,000000000DFEC3B8,0.0,0.57,21470046.0,-0.0
