component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_364625,FLW0_364625,ANLT0_364625,FLW0_181225,SETP0_454625,FLW0_454625,ANLT0_454625
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b79c2652-cd85-4d8e-907c-7ec153583ec6,10c0f871-c230-4501-b91f-5028615cfa1c,644.5697631835938,937.4638061523438,5967.9267578125,5786.77392578125,5969.49853515625,5865.09423828125,10434.75,8499.033203125,535.388427734375,544.3214721679688,2387.770263671875,1442.536865234375,9638.029296875,580.5695190429688,1699.4241943359375,986.5928344726562,1090.0548095703125,664.7700805664062,6485.431640625,6062.4287109375,152030.0,72620.4453125,27335.5,18535.57421875,252.8228912353516,515.7779541015625,5406.21875,567.970458984375,135.1857147216797,137.91651916503906,1009.7539672851562,3556.307373046875,330.3456726074219,310.5416564941406,252.0738677978516,198.4460906982422,1485.8646240234375,1381.593017578125,737.6190185546875,1993.895263671875,4001.081298828125,3763.70703125,10913.69140625,4971.09326171875,223.90130615234372,2767.27880859375,2202.227783203125,31111.234375,86489.203125,86562.953125,75297.3984375,97941.2265625,216387248,17355.5,326.2011108398437,588.552001953125,37544.57421875,37676.4453125,30073.84765625,40024.47265625,7983.7333984375,8341.74609375,8215.8828125,9657.4150390625,8471,28.08791160583496,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,24.10484313964844,19.59981155395508,1002.9584350585938,116778.328125,4.289545059204102,0,9506007,True,BME690,21585,0,0,0,9502799,24484,0,29.170114517211918,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:38:21.621,"{'cid': '318e84a3-fdd9-44f6-9525-1ec35877c530', 'uuid': '8482bc0b-3aa2-4be8-9f02-fb9f8b69c758', 'annotationId': 'b79c2652-cd85-4d8e-907c-7ec153583ec6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773333501255, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:38:21.484Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.48,16.24,1175.0,1172.56,21470046.0,1600.0,1595.28,22450161.0,225.0,224.52,22160332.0,300.0,298.73,000000000DFEC3B8,0.0,3700.0,3699.32,000000000DFEC3B1
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b79c2652-cd85-4d8e-907c-7ec153583ec6,10c0f871-c230-4501-b91f-5028615cfa1c,644.4948120117188,937.1915283203124,5968.556640625,5786.7890625,5969.755859375,5866.9052734375,10431.84765625,8497.525390625,535.8427734375,544.789794921875,2386.78564453125,1440.652587890625,9592.953125,580.54736328125,1700.6763916015625,986.7294921875,1090.4151611328125,664.3822631835938,6479.69384765625,6074.44873046875,152018.046875,72616.234375,27319.609375,18536.626953125,252.6415557861328,515.4939575195312,5364.0859375,567.593017578125,135.19354248046875,137.94117736816406,1010.8263549804688,3545.46240234375,330.3616027832031,310.5217590332031,252.06951904296875,198.4199066162109,1485.73095703125,1381.773681640625,737.609619140625,1992.943115234375,4010.3447265625,3770.658935546875,10916.0029296875,4971.2451171875,224.01194763183597,2747.322998046875,2196.218505859375,31161.009765625,86495.1796875,86568.203125,75291.8671875,97929.1796875,216264976,17413.19140625,326.12066650390625,591.024169921875,37533.37109375,37667.09765625,30064.982421875,40043.7734375,7984.49560546875,8342.814453125,8216.98828125,9658.69140625,8772,28.16849708557129,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,24.10484313964844,19.59981155395508,1002.9617309570312,116404.96875,4.289545059204102,0,9506447,True,BME690,21586,0,0,0,9502799,24484,0,29.170114517211918,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:38:21.923,"{'cid': '318e84a3-fdd9-44f6-9525-1ec35877c530', 'uuid': '8482bc0b-3aa2-4be8-9f02-fb9f8b69c758', 'annotationId': 'b79c2652-cd85-4d8e-907c-7ec153583ec6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773333501255, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:38:21.484Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.48,16.24,1175.0,1172.56,21470046.0,1600.0,1595.28,22450161.0,225.0,224.52,22160332.0,300.0,298.73,000000000DFEC3B8,0.0,3700.0,3699.32,000000000DFEC3B1
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b79c2652-cd85-4d8e-907c-7ec153583ec6,10c0f871-c230-4501-b91f-5028615cfa1c,644.3678588867188,937.4361572265624,5968.3017578125,5786.36669921875,5968.703125,5866.49853515625,10434.2841796875,8499.1923828125,535.0839233398438,544.7140502929688,2383.856689453125,1441.498291015625,9594.4287109375,580.4287109375,1700.3431396484375,986.200927734375,1089.3701171875,664.2529907226562,6500.27294921875,6076.9716796875,151981.078125,72615.2890625,27315.103515625,18531.97265625,252.6859130859375,515.05029296875,5388.416015625,567.762939453125,135.21803283691406,137.98316955566406,1006.3325805664062,3556.534423828125,330.33551025390625,310.570068359375,252.0758056640625,198.4542388916016,1485.9656982421875,1381.7593994140625,737.64697265625,1993.0003662109373,4001.416748046875,3763.73779296875,10915.8935546875,4970.99169921875,224.0371856689453,2749.15576171875,2201.015869140625,31139.490234375,86497.3046875,86571.8359375,75290.1640625,97926.65625,217201632,17398.4765625,326.0699768066406,590.177734375,37542.6015625,37675.78125,30074.62890625,39999.32421875,7984.548828125,8343.3076171875,8216.88671875,9658.1767578125,9074,28.08791160583496,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,24.10484313964844,19.605899810791016,1002.9634399414062,116281.046875,4.290877819061279,0,9506888,True,BME690,21587,0,0,0,9502799,24484,0,29.170114517211918,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:38:22.230,"{'cid': '318e84a3-fdd9-44f6-9525-1ec35877c530', 'uuid': '8482bc0b-3aa2-4be8-9f02-fb9f8b69c758', 'annotationId': 'b79c2652-cd85-4d8e-907c-7ec153583ec6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773333501255, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:38:21.484Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.49,16.23,1175.0,1172.63,21470046.0,1600.0,1595.43,22450161.0,225.0,224.52,22160332.0,300.0,298.74,000000000DFEC3B8,0.0,3700.0,3699.32,000000000DFEC3B1
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b79c2652-cd85-4d8e-907c-7ec153583ec6,10c0f871-c230-4501-b91f-5028615cfa1c,644.4049072265625,937.4072875976562,5967.56884765625,5786.3525390625,5969.32958984375,5865.2080078125,10431.9130859375,8495.833984375,535.0274047851562,544.3369750976562,2385.60986328125,1441.9110107421875,9602.5947265625,580.585205078125,1699.4698486328125,986.3994750976562,1090.320068359375,664.77685546875,6488.85986328125,6071.3759765625,152007.359375,72606.75,27327.99609375,18534.412109375,252.8405303955078,516.0377807617188,5409.14697265625,567.1520385742188,135.21299743652344,137.92828369140625,1007.8441162109376,3557.650634765625,330.3715209960937,310.46978759765625,252.0770263671875,198.3889312744141,1485.918212890625,1381.7427978515625,737.5504150390625,1993.1376953125,4007.24560546875,3766.7861328125,10916.751953125,4971.0048828125,224.0116729736328,2757.040771484375,2197.271728515625,31098.388671875,86495.265625,86569.0625,75294.5859375,97926.65625,217837680,17325.517578125,326.0464172363281,590.2327880859375,37537.9140625,37670.77734375,30071.7890625,39983.2265625,7985.65966796875,8342.208984375,8217.7353515625,9655.853515625,9374,28.007326126098636,29.78021812438965,0,0,0,0,0,0,0,0,0,0,0,1,24.10484313964844,19.605899810791016,1002.9634399414062,116281.046875,4.290877819061279,0,9506888,True,BME690,21587,0,0,0,9502799,24484,0,29.170114517211918,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:38:22.524,"{'cid': '318e84a3-fdd9-44f6-9525-1ec35877c530', 'uuid': '8482bc0b-3aa2-4be8-9f02-fb9f8b69c758', 'annotationId': 'b79c2652-cd85-4d8e-907c-7ec153583ec6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773333501255, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:38:21.484Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.49,16.23,1175.0,1173.08,21470046.0,1600.0,1596.43,22450161.0,225.0,224.49,22160332.0,300.0,298.83,000000000DFEC3B8,-0.0,3700.0,3699.32,000000000DFEC3B1
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b79c2652-cd85-4d8e-907c-7ec153583ec6,10c0f871-c230-4501-b91f-5028615cfa1c,644.3213500976562,937.2631225585938,5967.51904296875,5786.734375,5970.81787109375,5865.57275390625,10436.71875,8497.02734375,535.5059814453125,544.7567749023438,2387.986572265625,1442.173828125,9618.046875,580.4186401367188,1699.1141357421875,986.1043090820312,1088.552734375,664.0381469726562,6485.46875,6061.82275390625,151976.71875,72607.6875,27338.546875,18529.6953125,252.7716064453125,515.3812866210938,5364.10693359375,567.7103881835938,135.2073211669922,137.93743896484375,1007.8766479492188,3558.951416015625,330.3487548828125,310.564697265625,252.08876037597656,198.42572021484372,1485.998779296875,1381.65478515625,737.6187744140625,1994.2066650390625,4000.57177734375,3759.845703125,10917.3349609375,4971.27587890625,224.00082397460935,2740.646240234375,2198.863525390625,31037.998046875,86493.5703125,86566.71875,75296.984375,97924.7578125,218701568,17377.10546875,326.09381103515625,589.806884765625,37538.78125,37672.77734375,30093.94921875,40019.859375,7985.85302734375,8343.1611328125,8217.7509765625,9658.65625,9675,27.926740646362305,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,24.10517692565918,19.611968994140625,1002.9642333984376,116529.15625,4.292287826538086,0,9507328,True,BME690,21588,0,0,0,9502799,24484,0,29.170114517211918,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:38:22.826,"{'cid': '318e84a3-fdd9-44f6-9525-1ec35877c530', 'uuid': '8482bc0b-3aa2-4be8-9f02-fb9f8b69c758', 'annotationId': 'b79c2652-cd85-4d8e-907c-7ec153583ec6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773333501255, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:38:21.484Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.5,16.22,1175.0,1173.53,21470046.0,1600.0,1597.46,22450161.0,225.0,224.47,22160332.0,300.0,298.92,000000000DFEC3B8,-0.0,3700.0,3699.32,000000000DFEC3B1
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b79c2652-cd85-4d8e-907c-7ec153583ec6,10c0f871-c230-4501-b91f-5028615cfa1c,644.6013793945312,937.18017578125,5969.3427734375,5787.02490234375,5970.8701171875,5865.81005859375,10432.8857421875,8498.0927734375,534.8721313476562,544.25244140625,2386.056884765625,1443.7735595703125,9621.1318359375,580.5929565429688,1699.456298828125,986.1265258789062,1089.0206298828125,664.0888671875,6475.09521484375,6066.7099609375,152023.75,72620.4609375,27339.279296875,18529.07421875,252.7383728027344,515.3590087890625,5373.2509765625,567.61572265625,135.189697265625,137.93603515625,1007.0713500976562,3554.84716796875,330.3354187011719,310.5836486816406,252.10020446777344,198.4078826904297,1485.857177734375,1381.78271484375,737.5338134765625,1993.49951171875,4015.389404296875,3774.1630859375,10915.1943359375,4970.986328125,223.985595703125,2753.537353515625,2198.7236328125,31088.0,86494.5625,86567.84375,75299.3046875,97929.1953125,219141888,17362.232421875,326.20947265625,589.1029663085938,37537.6953125,37671.02734375,30100.673828125,39996.1875,7984.87890625,8343.853515625,8217.55078125,9658.685546875,9977,27.926740646362305,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,24.10551071166992,19.605865478515625,1002.9650268554688,116404.96875,4.291032791137695,0,9507769,True,BME690,21589,0,0,0,9507806,24484,0,28.63004302978516,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:38:23.132,"{'cid': '318e84a3-fdd9-44f6-9525-1ec35877c530', 'uuid': '8482bc0b-3aa2-4be8-9f02-fb9f8b69c758', 'annotationId': 'b79c2652-cd85-4d8e-907c-7ec153583ec6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773333501255, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:38:21.484Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.5,16.24,1175.0,1173.99,21470046.0,1600.0,1598.51,22450161.0,225.0,224.45,22160332.0,300.0,299.0,000000000DFEC3B8,-0.0,3700.0,3699.32,000000000DFEC3B1
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b79c2652-cd85-4d8e-907c-7ec153583ec6,10c0f871-c230-4501-b91f-5028615cfa1c,644.8294067382812,937.6361694335938,5968.904296875,5786.203125,5969.12548828125,5867.4794921875,10435.0244140625,8496.92578125,536.20751953125,545.435791015625,2391.077880859375,1442.717041015625,9603.1162109375,580.6259765625,1698.62841796875,986.798828125,1088.8392333984375,663.6185302734375,6471.60546875,6065.9189453125,151998.5,72633.8125,27350.220703125,18530.8046875,252.58413696289065,515.0344848632812,5401.3662109375,567.8651733398438,135.20985412597656,137.9623260498047,1008.5059204101562,3559.08056640625,330.3505859375,310.5747375488281,252.1205291748047,198.4120941162109,1485.8638916015625,1381.7874755859375,737.5142211914062,1993.6993408203125,4005.38525390625,3763.48583984375,10913.810546875,4974.8544921875,223.93069458007807,2745.112548828125,2201.716552734375,31061.5859375,86494.453125,86568.8984375,75302.4453125,97923.0703125,219182848,17271.98046875,326.17266845703125,589.04052734375,37550.546875,37683.78515625,30110.890625,40007.7421875,7984.8017578125,8343.1669921875,8218.6376953125,9657.140625,10278,28.007326126098636,29.78021812438965,0,0,0,0,0,0,0,0,0,0,0,1,24.10551071166992,19.605865478515625,1002.9650268554688,116404.96875,4.291032791137695,0,9507769,True,BME690,21589,0,0,0,9507806,24484,0,28.63004302978516,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:38:23.428,"{'cid': '318e84a3-fdd9-44f6-9525-1ec35877c530', 'uuid': '8482bc0b-3aa2-4be8-9f02-fb9f8b69c758', 'annotationId': 'b79c2652-cd85-4d8e-907c-7ec153583ec6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773333501255, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:38:21.484Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.49,16.26,1175.0,1173.87,21470046.0,1600.0,1598.87,22450161.0,225.0,224.56,22160332.0,300.0,298.48,000000000DFEC3B8,-0.0,3700.0,3699.0,000000000DFEC3B1
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b79c2652-cd85-4d8e-907c-7ec153583ec6,10c0f871-c230-4501-b91f-5028615cfa1c,644.3679809570312,936.9993286132812,5967.029296875,5786.796875,5970.10498046875,5865.154296875,10432.5869140625,8497.9169921875,535.6356811523438,544.9312744140625,2393.280029296875,1443.623779296875,9603.8818359375,580.3616333007812,1698.8663330078125,986.1874389648438,1088.9378662109375,663.7590942382812,6479.79638671875,6043.783203125,151983.515625,72625.9296875,27348.443359375,18537.033203125,252.68577575683597,515.0739135742188,5387.578125,567.4749145507812,135.23207092285156,137.926513671875,1009.2705688476562,3565.701171875,330.3214111328125,310.55499267578125,252.0958709716797,198.39540100097656,1485.7366943359375,1381.8492431640625,737.5432739257812,1994.0008544921875,4002.649169921875,3762.017578125,10914.1396484375,4971.14697265625,224.02310180664065,2745.500732421875,2198.047607421875,31012.841796875,86498.171875,86572.265625,75305.6953125,97940.015625,218899664,17321.5,326.1211853027344,590.305419921875,37550.26171875,37683.5,30085.125,39996.4140625,7983.28173828125,8341.8349609375,8216.572265625,9658.849609375,10579,28.007326126098636,29.78021812438965,0,0,0,0,0,0,0,0,0,0,0,1,24.10551071166992,19.618040084838867,1002.903564453125,116529.15625,4.293696880340576,0,9508209,True,BME690,21590,0,0,0,9507806,24484,0,28.63004302978516,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:38:23.731,"{'cid': '318e84a3-fdd9-44f6-9525-1ec35877c530', 'uuid': '8482bc0b-3aa2-4be8-9f02-fb9f8b69c758', 'annotationId': 'b79c2652-cd85-4d8e-907c-7ec153583ec6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773333501255, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:38:21.484Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.49,16.28,1175.0,1173.61,21470046.0,1600.0,1599.06,22450161.0,225.0,224.7,22160332.0,300.0,297.75,000000000DFEC3B8,-0.0,3700.0,3698.59,000000000DFEC3B1
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b79c2652-cd85-4d8e-907c-7ec153583ec6,10c0f871-c230-4501-b91f-5028615cfa1c,644.6751708984375,937.70166015625,5967.72412109375,5785.189453125,5969.5302734375,5864.76318359375,10437.0869140625,8499.935546875,536.0978393554688,545.389404296875,2383.974365234375,1442.767333984375,9567.748046875,580.4613037109375,1697.96435546875,986.1621704101562,1088.4075927734375,663.4075317382812,6486.66064453125,6063.025390625,151981.90625,72594.5390625,27350.029296875,18535.275390625,252.54379272460935,515.0411376953125,5376.42041015625,567.758056640625,135.18185424804688,137.96522521972656,1008.14404296875,3565.050048828125,330.3185729980469,310.5428161621094,252.08810424804688,198.41717529296875,1485.8929443359375,1381.7030029296875,737.6079711914062,1993.4921875,4014.2158203125,3775.286865234375,10914.1767578125,4971.37353515625,224.04627990722656,2742.772216796875,2197.533203125,31098.9921875,86492.7109375,86567.9609375,75307.6640625,97926.9296875,219478816,17340.5234375,326.16912841796875,589.221435546875,37549.8359375,37683.4375,30099.88671875,40004.671875,7983.46923828125,8341.6953125,8217.138671875,9656.318359375,10882,27.926740646362305,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,24.10551071166992,19.61195182800293,1002.8521728515624,116157.390625,4.292364597320557,0,9508650,True,BME690,21591,0,0,0,9507806,24484,0,28.63004302978516,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:38:24.033,"{'cid': '318e84a3-fdd9-44f6-9525-1ec35877c530', 'uuid': '8482bc0b-3aa2-4be8-9f02-fb9f8b69c758', 'annotationId': 'b79c2652-cd85-4d8e-907c-7ec153583ec6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773333501255, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:38:21.484Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.48,16.29,1175.0,1173.35,21470046.0,1600.0,1599.25,22450161.0,225.0,224.85,22160332.0,300.0,297.03,000000000DFEC3B8,-0.0,3700.0,3698.18,000000000DFEC3B1
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b79c2652-cd85-4d8e-907c-7ec153583ec6,10c0f871-c230-4501-b91f-5028615cfa1c,644.46630859375,936.8988647460938,5967.75537109375,5782.5458984375,5970.0703125,5865.591796875,10436.029296875,8495.46875,535.5478515625,545.3662109375,2388.30615234375,1441.4923095703125,9588.7509765625,580.441162109375,1697.5518798828125,986.8652954101562,1088.3870849609375,663.6583251953125,6478.3662109375,6068.50341796875,151992.15625,72619.1484375,27347.3671875,18531.412109375,252.68536376953125,515.4014892578125,5399.7744140625,567.931396484375,135.20643615722656,137.9442901611328,1010.24755859375,3559.4716796875,330.3296813964844,310.51446533203125,252.0962371826172,198.4147491455078,1485.963623046875,1381.7691650390625,737.6217651367188,1993.7977294921875,4018.79541015625,3776.1533203125,10913.9775390625,4971.36376953125,224.01803588867188,2740.083740234375,2201.6025390625,31081.107421875,86500.0234375,86573.390625,75302.2578125,97933.4453125,219713872,17412.78125,326.1342163085937,588.5643310546875,37546.20703125,37679.80859375,30106.205078125,39987.30078125,7983.572265625,8340.265625,8218.2236328125,9659.3876953125,11181,28.007326126098636,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,24.10551071166992,19.61195182800293,1002.8521728515624,116157.390625,4.292364597320557,0,9508650,True,BME690,21591,0,0,0,9507806,24484,0,28.63004302978516,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 20, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:38:24.333,"{'cid': '318e84a3-fdd9-44f6-9525-1ec35877c530', 'uuid': '8482bc0b-3aa2-4be8-9f02-fb9f8b69c758', 'annotationId': 'b79c2652-cd85-4d8e-907c-7ec153583ec6', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773333501255, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:38:21.484Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.47,16.3,1175.0,1173.42,21470046.0,1600.0,1599.45,22450161.0,225.0,224.93,22160332.0,300.0,296.32,000000000DFEC3B8,-0.0,3700.0,3698.08,000000000DFEC3B1
