component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_364625,FLW0_364625,ANLT0_364625,FLW0_181225,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_184324,FLW0_184324,ANLT0_184324
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,9877f9a8-5ae0-4078-a733-a19514b8e3ac,8ace83d2-b948-4266-8dcc-696a43a086a8,458.6545104980469,596.8984375,5039.03515625,5457.056640625,5444.83349609375,5429.2177734375,7437.205078125,6602.99755859375,207.9539794921875,183911664,3132.18359375,23391.50390625,195.83804321289065,2362.740478515625,2540.533447265625,2725.747802734375,152.80435180664062,2754.967529296875,2314.49951171875,19528.09375,137401.640625,71065.46875,27046.5234375,21583.91015625,107.59822845458984,117.4775848388672,759.6973876953125,436.7225341796875,209.08192443847656,998.228271484375,296.4079284667969,139.71835327148438,469.9110107421875,396.8566284179688,422.99896240234375,268.0079345703125,2524.693603515625,2182.177978515625,709.9336547851562,810.3152465820312,348.47491455078125,24570.490234375,13939.0693359375,7623.7255859375,1901.2196044921875,175454080,1201.4888916015625,460.01708984375,65529.03125,65735.390625,59713.1015625,79697.296875,326.1566162109375,21155.392578125,360.152099609375,298.2938842773437,21132.3828125,23107.7421875,20663.62890625,22693.439453125,9278.2373046875,8814.33203125,8411.853515625,7741.8134765625,10029,27.201465606689453,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.4838809967041,19.575279235839844,993.403564453125,294147.21875,4.13584041595459,0,10511568,True,BME690,23864,0,0,0,10510625,24484,0,32.339317321777344,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:38:53.208,"{'cid': 'd6a8696c-f2d3-4322-a0a0-9dd566c4b239', 'uuid': '1918a99e-e8a4-494c-8298-6ae119b42bf2', 'annotationId': '9877f9a8-5ae0-4078-a733-a19514b8e3ac', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773679132582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:38:52.800Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.72,17.49,1600.0,1595.52,22450161.0,150.0,149.37,22160332.0,300.0,297.27,000000000DFEC3B8,-0.01,3700.0,3695.12,000000000DFEC3B1,1250.0,1249.44,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,9877f9a8-5ae0-4078-a733-a19514b8e3ac,8ace83d2-b948-4266-8dcc-696a43a086a8,459.0646667480469,597.1680297851562,5040.294921875,5456.517578125,5445.673828125,5429.53271484375,7437.3759765625,6602.37744140625,207.90499877929688,183970864,3136.62060546875,23303.64453125,195.97457885742188,2353.343994140625,2541.985107421875,2731.803466796875,152.794921875,2758.375,2310.12158203125,19506.166015625,137396.46875,71087.3828125,27039.83984375,21579.732421875,107.6306610107422,117.4986572265625,759.4407958984375,436.71099853515625,209.0888519287109,996.5704345703124,296.4325866699219,139.6951141357422,469.9609680175781,396.8346862792969,422.9661560058594,268.02783203125,2525.27099609375,2181.668701171875,709.9359741210938,810.3358764648438,348.4421081542969,24543.12109375,13942.173828125,7623.43310546875,1907.363525390625,175171568,1201.425537109375,459.9423828125,65533.81640625,65738.28125,59711.07421875,79707.84375,326.15380859375,21180.59765625,360.2901916503906,298.1104736328125,21135.013671875,23106.775390625,20662.52734375,22695.595703125,9278.146484375,8815.8818359375,8412.787109375,7741.9560546875,10330,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.4838809967041,19.575279235839844,993.4019775390624,294345.375,4.13584041595459,0,10512008,True,BME690,23865,0,0,0,10510625,24484,0,32.339317321777344,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:38:53.518,"{'cid': 'd6a8696c-f2d3-4322-a0a0-9dd566c4b239', 'uuid': '1918a99e-e8a4-494c-8298-6ae119b42bf2', 'annotationId': '9877f9a8-5ae0-4078-a733-a19514b8e3ac', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773679132582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:38:52.800Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.72,17.55,1600.0,1595.55,22450161.0,150.0,149.38,22160332.0,300.0,297.34,000000000DFEC3B8,-0.01,3700.0,3695.15,000000000DFEC3B1,1250.0,1249.44,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,9877f9a8-5ae0-4078-a733-a19514b8e3ac,8ace83d2-b948-4266-8dcc-696a43a086a8,458.6384582519531,597.321044921875,5039.97900390625,5456.5947265625,5445.53955078125,5428.416015625,7437.5224609375,6602.82080078125,207.97390747070312,183193328,3138.821044921875,23344.9609375,195.8651123046875,2363.0322265625,2540.932861328125,2725.18212890625,152.85670471191406,2757.76806640625,2315.770751953125,19239.5078125,137379.234375,71088.0,27038.189453125,21578.31640625,107.6226043701172,117.47467041015624,759.427978515625,436.1661987304688,209.09585571289065,998.533447265625,296.5258178710937,139.68069458007812,469.8888244628906,396.8857727050781,423.0958557128906,268.0296936035156,2525.1220703125,2182.262939453125,709.919189453125,810.2847900390625,348.5325012207031,24526.44140625,13936.90234375,7623.58203125,1902.2822265625,175522384,1199.8348388671875,460.19818115234375,65532.46875,65735.8671875,59709.92578125,79698.34375,326.4751281738281,21181.9296875,359.9749450683594,298.1221618652344,21132.7734375,23106.70703125,20662.443359375,22695.853515625,9277.8203125,8815.4951171875,8412.689453125,7741.298828125,10631,27.201465606689453,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.4838809967041,19.575279235839844,993.4019775390624,294345.375,4.13584041595459,0,10512008,True,BME690,23865,0,0,0,10510625,24484,0,32.339317321777344,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:38:53.811,"{'cid': 'd6a8696c-f2d3-4322-a0a0-9dd566c4b239', 'uuid': '1918a99e-e8a4-494c-8298-6ae119b42bf2', 'annotationId': '9877f9a8-5ae0-4078-a733-a19514b8e3ac', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773679132582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:38:52.800Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.72,17.6,1600.0,1596.05,22450161.0,150.0,149.49,22160332.0,300.0,299.04,000000000DFEC3B8,-0.01,3700.0,3696.54,000000000DFEC3B1,1250.0,1249.44,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,9877f9a8-5ae0-4078-a733-a19514b8e3ac,8ace83d2-b948-4266-8dcc-696a43a086a8,459.1096801757813,597.21044921875,5039.650390625,5456.677734375,5446.50830078125,5428.79345703125,7437.34912109375,6603.02685546875,208.0587921142578,183286304,3130.614501953125,23482.92578125,195.7938995361328,2361.314697265625,2541.639892578125,2726.434814453125,152.84991455078125,2755.83447265625,2321.26611328125,19447.947265625,137388.28125,71078.6640625,27040.326171875,21581.10546875,107.61602020263672,117.50629425048828,761.141357421875,436.408935546875,209.11236572265625,998.1056518554688,296.44879150390625,139.70904541015625,469.9969787597656,396.835205078125,423.01849365234375,268.0025939941406,2525.169921875,2182.60595703125,709.8717041015625,810.2849731445312,348.5830383300781,24504.5625,13941.3251953125,7623.5107421875,1901.155517578125,175115536,1200.463134765625,459.9706726074219,65534.79296875,65733.03125,59709.29296875,79704.125,326.3503723144531,21090.212890625,359.7743530273437,297.86822509765625,21130.828125,23110.43359375,20663.005859375,22695.005859375,9278.390625,8814.75390625,8413.44921875,7740.94921875,10932,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.4838809967041,19.581218719482425,993.4019775390624,293357.1875,4.137094974517822,0,10512448,True,BME690,23866,0,0,0,10510625,24484,0,32.339317321777344,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:38:54.112,"{'cid': 'd6a8696c-f2d3-4322-a0a0-9dd566c4b239', 'uuid': '1918a99e-e8a4-494c-8298-6ae119b42bf2', 'annotationId': '9877f9a8-5ae0-4078-a733-a19514b8e3ac', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773679132582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:38:52.800Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.72,17.61,1600.0,1596.56,22450161.0,150.0,149.61,22160332.0,300.0,300.79,000000000DFEC3B8,-0.01,3700.0,3697.97,000000000DFEC3B1,1250.0,1249.44,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,9877f9a8-5ae0-4078-a733-a19514b8e3ac,8ace83d2-b948-4266-8dcc-696a43a086a8,459.4088439941406,597.427490234375,5038.26904296875,5456.484375,5446.275390625,5429.07666015625,7437.46044921875,6603.12646484375,207.9460906982422,183391520,3126.447998046875,23410.841796875,195.78707885742188,2356.5654296875,2543.773681640625,2726.182861328125,152.90245056152344,2753.013427734375,2311.3486328125,19045.314453125,137405.125,71079.375,27034.890625,21582.298828125,107.64163208007812,117.50806427001952,760.9935302734375,436.7552185058594,209.1750946044922,997.9830932617188,296.3891296386719,139.6707763671875,469.94915771484375,396.8606872558594,423.0442199707031,267.9325561523437,2525.31591796875,2182.150146484375,709.9151000976562,810.2311401367188,348.5853576660156,24504.6171875,13942.380859375,7623.57470703125,1902.497314453125,175175168,1200.2001953125,459.99798583984375,65521.08984375,65729.171875,59711.42578125,79705.4609375,326.39666748046875,21083.501953125,359.8869323730469,298.15252685546875,21128.525390625,23111.560546875,20665.015625,22696.0234375,9276.75,8815.876953125,8413.3544921875,7741.69873046875,11233,27.28205108642578,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.48421287536621,19.581201553344727,993.4043579101562,293751.6875,4.13716983795166,0,10512888,True,BME690,23867,0,0,0,10510625,24484,0,32.339317321777344,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:38:54.414,"{'cid': 'd6a8696c-f2d3-4322-a0a0-9dd566c4b239', 'uuid': '1918a99e-e8a4-494c-8298-6ae119b42bf2', 'annotationId': '9877f9a8-5ae0-4078-a733-a19514b8e3ac', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773679132582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:38:52.800Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.71,17.6,1600.0,1597.08,22450161.0,150.0,149.72,22160332.0,300.0,302.55,000000000DFEC3B8,-0.01,3700.0,3699.4,000000000DFEC3B1,1250.0,1249.44,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,9877f9a8-5ae0-4078-a733-a19514b8e3ac,8ace83d2-b948-4266-8dcc-696a43a086a8,459.2027893066406,597.5756225585938,5038.73681640625,5456.9150390625,5446.34814453125,5429.19580078125,7437.39404296875,6603.29345703125,208.0315704345703,183450816,3135.483642578125,23289.111328125,195.8702392578125,2362.623291015625,2545.54296875,2731.60400390625,152.81495666503906,2754.09228515625,2312.391357421875,19086.16796875,137400.859375,71072.5,27030.419921875,21591.1953125,107.63152313232422,117.50643920898438,758.6032104492188,437.00238037109375,209.1075134277344,997.6121826171876,296.5879211425781,139.70213317871094,469.9372253417969,396.8642883300781,423.0251159667969,267.9905700683594,2524.63232421875,2181.784912109375,709.94482421875,810.2939453125,348.5210876464844,24524.328125,13941.8955078125,7622.9990234375,1903.6036376953125,174700432,1201.237060546875,460.2034912109375,65524.3046875,65722.015625,59721.60546875,79700.0078125,326.22802734375,21178.111328125,359.908935546875,297.9720458984375,21127.759765625,23111.341796875,20663.71875,22696.822265625,9279.5986328125,8817.86328125,8411.736328125,7741.6279296875,11534,27.120880126953125,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.48421287536621,19.581201553344727,993.4043579101562,293751.6875,4.13716983795166,0,10512888,True,BME690,23867,0,0,0,10510625,24484,0,32.339317321777344,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:38:54.715,"{'cid': 'd6a8696c-f2d3-4322-a0a0-9dd566c4b239', 'uuid': '1918a99e-e8a4-494c-8298-6ae119b42bf2', 'annotationId': '9877f9a8-5ae0-4078-a733-a19514b8e3ac', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773679132582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:38:52.800Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.71,17.6,1600.0,1597.59,22450161.0,150.0,149.81,22160332.0,300.0,302.62,000000000DFEC3B8,-0.01,3700.0,3699.48,000000000DFEC3B1,1250.0,1249.49,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,9877f9a8-5ae0-4078-a733-a19514b8e3ac,8ace83d2-b948-4266-8dcc-696a43a086a8,458.9671020507813,597.142333984375,5039.2998046875,5457.13916015625,5445.41357421875,5428.697265625,7437.02001953125,6603.6689453125,207.8925323486328,183440816,3141.97998046875,23281.84375,196.05587768554688,2358.862548828125,2540.1279296875,2732.29931640625,152.80165100097656,2760.74072265625,2311.115966796875,19074.083984375,137395.296875,71075.8515625,27029.564453125,21590.205078125,107.57674407958984,117.47512817382812,759.0520629882812,436.7890625,209.17599487304688,998.2164916992188,296.4640808105469,139.66659545898438,469.9649963378906,396.92864990234375,423.0887145996094,268.0027770996094,2525.5498046875,2181.215087890625,709.8569946289062,810.2750244140625,348.49334716796875,24541.3671875,13943.359375,7624.05029296875,1905.2625732421875,174886336,1198.01904296875,460.46624755859375,65519.60546875,65731.5625,59715.30859375,79696.234375,326.08111572265625,21058.984375,359.8760070800781,297.9426574707031,21128.765625,23108.498046875,20661.998046875,22695.8828125,9277.33984375,8812.7353515625,8412.94921875,7741.6884765625,11835,27.04029083251953,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.48421287536621,19.581201553344727,993.326904296875,294345.375,4.13716983795166,0,10513328,True,BME690,23868,0,0,0,10510625,24484,0,32.339317321777344,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:38:55.019,"{'cid': 'd6a8696c-f2d3-4322-a0a0-9dd566c4b239', 'uuid': '1918a99e-e8a4-494c-8298-6ae119b42bf2', 'annotationId': '9877f9a8-5ae0-4078-a733-a19514b8e3ac', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773679132582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:38:52.800Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.71,17.6,1600.0,1598.11,22450161.0,150.0,149.88,22160332.0,300.0,301.85,000000000DFEC3B8,-0.01,3700.0,3698.84,000000000DFEC3B1,1250.0,1249.56,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,9877f9a8-5ae0-4078-a733-a19514b8e3ac,8ace83d2-b948-4266-8dcc-696a43a086a8,458.7537536621094,597.4904174804688,5039.3466796875,5456.63671875,5446.6171875,5428.59326171875,7436.5908203125,6603.72900390625,207.99838256835935,183493904,3138.146728515625,23303.517578125,195.85142517089844,2361.38330078125,2548.824951171875,2729.799560546875,152.85191345214844,2771.845703125,2309.185791015625,19204.55078125,137384.453125,71078.1484375,27035.56640625,21589.228515625,107.57538604736328,117.49803924560548,759.1914672851562,436.7524108886719,209.13864135742188,997.2743530273438,296.4632263183594,139.68519592285156,469.9285278320313,396.8929443359375,423.1761474609375,268.0285949707031,2525.217041015625,2181.044677734375,709.9374389648438,810.2904052734375,348.5860290527344,24562.310546875,13942.7568359375,7624.203125,1899.7862548828125,174661792,1197.3656005859375,460.5966491699219,65521.07421875,65723.09375,59711.046875,79688.84375,325.9468688964844,20993.359375,359.96435546875,297.92974853515625,21134.31640625,23107.90625,20662.75,22694.7265625,9276.7216796875,8814.0693359375,8412.416015625,7741.1376953125,12136,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.48421287536621,19.587141036987305,993.25927734375,293751.6875,4.138424873352051,0,10513768,True,BME690,23869,0,0,0,10510625,24484,0,32.339317321777344,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:38:55.317,"{'cid': 'd6a8696c-f2d3-4322-a0a0-9dd566c4b239', 'uuid': '1918a99e-e8a4-494c-8298-6ae119b42bf2', 'annotationId': '9877f9a8-5ae0-4078-a733-a19514b8e3ac', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773679132582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:38:52.800Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.71,17.62,1600.0,1598.62,22450161.0,150.0,149.96,22160332.0,300.0,301.1,000000000DFEC3B8,-0.01,3700.0,3698.2,000000000DFEC3B1,1250.0,1249.63,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,9877f9a8-5ae0-4078-a733-a19514b8e3ac,8ace83d2-b948-4266-8dcc-696a43a086a8,458.6759948730469,597.541259765625,5037.947265625,5456.580078125,5446.44140625,5428.650390625,7436.93408203125,6603.27392578125,207.92047119140625,183461376,3129.9365234375,23296.16015625,195.89144897460935,2359.0048828125,2550.073974609375,2729.52783203125,152.86376953125,2762.358154296875,2324.249267578125,19317.044921875,137391.640625,71077.65625,27042.8515625,21590.845703125,107.6112060546875,117.50344848632812,760.7349853515625,436.4646606445313,209.11907958984372,999.4276733398438,296.33087158203125,139.7406768798828,469.9197082519531,396.8739013671875,423.07916259765625,268.00543212890625,2525.22021484375,2182.0478515625,709.8483276367188,810.3549194335938,348.6410827636719,24551.1015625,13939.44140625,7624.390625,1902.90576171875,175574528,1197.3133544921875,460.02239990234375,65532.98046875,65724.828125,59705.57421875,79686.859375,326.25311279296875,21103.669921875,360.181884765625,298.14276123046875,21133.09765625,23106.408203125,20660.703125,22696.111328125,9278.25,8814.984375,8413.693359375,7741.0634765625,12439,27.04029083251953,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.48421287536621,19.587141036987305,993.25927734375,293751.6875,4.138424873352051,0,10513768,True,BME690,23869,0,0,0,10510625,24484,0,32.339317321777344,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:38:55.619,"{'cid': 'd6a8696c-f2d3-4322-a0a0-9dd566c4b239', 'uuid': '1918a99e-e8a4-494c-8298-6ae119b42bf2', 'annotationId': '9877f9a8-5ae0-4078-a733-a19514b8e3ac', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773679132582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:38:52.800Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.71,17.63,1600.0,1598.97,22450161.0,150.0,149.98,22160332.0,300.0,300.78,000000000DFEC3B8,-0.01,3700.0,3697.99,000000000DFEC3B1,1250.0,1249.65,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,9877f9a8-5ae0-4078-a733-a19514b8e3ac,8ace83d2-b948-4266-8dcc-696a43a086a8,459.54986572265625,597.6018676757812,5038.42138671875,5457.34765625,5446.35302734375,5428.791015625,7437.89208984375,6603.47509765625,207.8604888916016,183438080,3137.676513671875,23328.029296875,195.83839416503903,2362.926513671875,2545.003662109375,2728.298583984375,152.82131958007812,2772.67822265625,2312.16259765625,19057.748046875,137388.6875,71064.0859375,27039.703125,21594.63671875,107.57078552246094,117.52009582519533,758.7911376953125,437.17425537109375,209.12710571289065,997.3876953125,296.37811279296875,139.73342895507812,469.9664916992188,396.8343505859375,423.0752258300781,267.9551086425781,2524.10888671875,2181.75341796875,709.8701782226562,810.3425903320312,348.5146484375,24549.166015625,13941.138671875,7623.7724609375,1905.7823486328125,175285760,1195.9134521484375,460.5263366699219,65522.55859375,65718.9453125,59702.91015625,79679.125,325.7903747558594,21026.703125,359.8326721191406,297.92266845703125,21131.083984375,23104.267578125,20660.1640625,22694.8671875,9277.65625,8813.755859375,8412.208984375,7741.1708984375,12738,27.120880126953125,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.48421287536621,19.57526206970215,993.1983032226562,294941.5,4.135915279388428,0,10514209,True,BME690,23870,0,0,0,10510625,24484,0,32.339317321777344,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:38:55.920,"{'cid': 'd6a8696c-f2d3-4322-a0a0-9dd566c4b239', 'uuid': '1918a99e-e8a4-494c-8298-6ae119b42bf2', 'annotationId': '9877f9a8-5ae0-4078-a733-a19514b8e3ac', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773679132582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:38:52.800Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.71,17.64,1600.0,1598.99,22450161.0,150.0,149.91,22160332.0,300.0,301.4,000000000DFEC3B8,-0.01,3700.0,3698.78,000000000DFEC3B1,1250.0,1249.55,21470046.0
