component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_184225,FLW0_184225,ANLT0_184225,FLW0_181225,SETP0_184324,FLW0_184324,ANLT0_184324
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,45a02eb4-823a-46db-9898-900e50672784,10c0f871-c230-4501-b91f-5028615cfa1c,463.89990234375,603.8323364257812,5039.9609375,5460.33544921875,5450.23681640625,5432.32421875,7444.27392578125,6609.07275390625,208.25865173339844,185441696,3147.051513671875,23515.74609375,197.3554229736328,2374.28466796875,2562.7353515625,2749.113037109375,153.28903198242188,2753.13671875,2320.625732421875,19450.1796875,137517.90625,71120.59375,27082.30859375,21596.13671875,107.71189880371094,117.54788208007812,760.2883911132812,437.6946105957031,211.16156005859372,1014.4578857421876,298.3706970214844,139.8694305419922,470.2420959472656,397.1351623535156,423.1783752441406,268.09112548828125,2526.597412109375,2183.764892578125,710.2241821289062,810.61767578125,351.6732177734375,25084.21484375,13953.646484375,7626.99072265625,1907.552490234375,173775584,1198.151611328125,461.0086975097656,65581.2890625,65765.453125,59743.41796875,79770.6171875,326.5050048828125,21316.484375,361.4407043457031,298.8385314941406,21141.8125,23128.244140625,20674.115234375,22707.236328125,9283.9072265625,8832.83984375,8422.61328125,7750.3466796875,9904,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.46990394592285,19.61159896850586,993.5191650390624,292963.8125,4.1402201652526855,0,10331436,True,BME690,23455,0,0,0,10330101,24484,0,31.960857391357425,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:35:52.885,"{'cid': '810d0c15-9045-485b-8821-a027d1e5f71d', 'uuid': '22b0845b-624a-414d-8875-43fb8a161369', 'annotationId': '45a02eb4-823a-46db-9898-900e50672784', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773678952519, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:35:52.738Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.71,17.8,300.0,298.05,000000000DFEC3B8,3700.0,3701.56,000000000DFEC3B1,1600.0,1595.52,22450161.0,225.0,224.41,22160332.0,-0.02,1175.0,1173.04,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,45a02eb4-823a-46db-9898-900e50672784,10c0f871-c230-4501-b91f-5028615cfa1c,463.8238220214844,603.6729125976562,5039.65234375,5460.6123046875,5451.865234375,5432.13134765625,7444.349609375,6608.95458984375,208.2877197265625,185251824,3141.16162109375,23572.748046875,197.3172149658203,2374.547607421875,2561.595947265625,2750.643310546875,153.24864196777344,2754.4736328125,2319.8603515625,19171.962890625,137534.328125,71116.5234375,27080.625,21598.86328125,107.70759582519533,117.56978607177734,760.4407348632812,437.77447509765625,211.11883544921875,1015.5088500976562,298.3913879394531,139.88031005859375,470.1671752929688,397.1177062988281,423.13861083984375,268.1093139648437,2525.9599609375,2183.888916015625,710.1461791992188,810.5177612304688,351.6377258300781,25087.23828125,13948.80078125,7627.90380859375,1908.8236083984373,173481744,1197.20068359375,460.9502258300781,65578.953125,65773.7890625,59749.77734375,79768.3984375,326.5826110839844,21231.251953125,361.4153442382813,299.0005798339844,21148.001953125,23128.845703125,20674.27734375,22707.802734375,9284.7861328125,8832.9921875,8422.505859375,7750.439453125,10205,27.04029083251953,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.46990394592285,19.61159896850586,993.5191650390624,292963.8125,4.1402201652526855,0,10331436,True,BME690,23455,0,0,0,10330101,24484,0,31.960857391357425,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:35:53.182,"{'cid': '810d0c15-9045-485b-8821-a027d1e5f71d', 'uuid': '22b0845b-624a-414d-8875-43fb8a161369', 'annotationId': '45a02eb4-823a-46db-9898-900e50672784', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773678952519, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:35:52.738Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.71,17.8,300.0,298.05,000000000DFEC3B8,3700.0,3701.56,000000000DFEC3B1,1600.0,1595.52,22450161.0,225.0,224.41,22160332.0,-0.02,1175.0,1173.04,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,45a02eb4-823a-46db-9898-900e50672784,10c0f871-c230-4501-b91f-5028615cfa1c,464.2366638183594,603.6520385742188,5039.5712890625,5460.39208984375,5450.44189453125,5432.1865234375,7444.3232421875,6608.83642578125,208.2213897705078,185044224,3148.475830078125,23454.005859375,197.36578369140625,2363.0615234375,2562.5869140625,2746.498046875,153.23220825195312,2752.174072265625,2320.170654296875,19154.78515625,137543.421875,71113.8046875,27082.314453125,21602.921875,107.6997528076172,117.52865600585938,760.5682373046875,437.1381530761719,211.1865081787109,1013.6608276367188,298.2997131347656,139.82862854003906,470.22113037109375,397.0561218261719,423.0457153320313,268.1416931152344,2526.216796875,2183.35595703125,710.2129516601562,810.587646484375,351.65869140625,25086.45703125,13950.076171875,7628.00390625,1916.268310546875,173225360,1202.6712646484375,460.4519958496094,65575.6640625,65763.1484375,59750.53125,79763.78125,326.7872314453125,21390.85546875,361.5760192871094,298.7917785644531,21146.8359375,23130.365234375,20674.3671875,22706.431640625,9285.3310546875,8832.876953125,8422.919921875,7750.2431640625,10505,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.47023582458496,19.59970474243164,993.5198974609376,292571.40625,4.137787818908691,0,10331876,True,BME690,23456,0,0,0,10330101,24484,0,31.960857391357425,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:35:53.489,"{'cid': '810d0c15-9045-485b-8821-a027d1e5f71d', 'uuid': '22b0845b-624a-414d-8875-43fb8a161369', 'annotationId': '45a02eb4-823a-46db-9898-900e50672784', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773678952519, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:35:52.738Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.71,17.79,300.0,298.32,000000000DFEC3B8,3700.0,3701.44,000000000DFEC3B1,1600.0,1595.56,22450161.0,225.0,224.43,22160332.0,-0.02,1175.0,1173.06,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,45a02eb4-823a-46db-9898-900e50672784,10c0f871-c230-4501-b91f-5028615cfa1c,463.9826049804688,603.6063842773438,5039.96728515625,5461.0185546875,5450.2412109375,5432.6767578125,7444.23193359375,6609.4189453125,208.34364318847656,184904944,3151.505615234375,23520.0546875,197.43402099609372,2366.156494140625,2564.203857421875,2756.4287109375,153.26666259765625,2758.993896484375,2319.095703125,19090.072265625,137546.140625,71116.0703125,27072.498046875,21610.162109375,107.74520111083984,117.54469299316406,760.1279907226562,437.3451843261719,211.14663696289065,1014.7376098632812,298.3290405273437,139.85797119140625,470.1985473632813,397.123779296875,423.08099365234375,268.117919921875,2525.181396484375,2183.424072265625,710.2094116210938,810.5860595703125,351.6775817871094,25091.806640625,13952.5185546875,7628.13916015625,1913.1004638671875,173816848,1201.84619140625,460.5868225097656,65578.5625,65762.796875,59750.8359375,79745.640625,327.00274658203125,21473.01953125,361.646484375,299.1321105957031,21142.560546875,23128.9140625,20675.0546875,22704.318359375,9285.595703125,8832.7900390625,8422.412109375,7750.37548828125,10807,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.47023582458496,19.60564422607422,993.518310546875,292375.625,4.139041423797607,0,10332317,True,BME690,23457,0,0,0,10330101,24484,0,31.960857391357425,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:35:53.785,"{'cid': '810d0c15-9045-485b-8821-a027d1e5f71d', 'uuid': '22b0845b-624a-414d-8875-43fb8a161369', 'annotationId': '45a02eb4-823a-46db-9898-900e50672784', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773678952519, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:35:52.738Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.7,17.78,300.0,300.01,000000000DFEC3B8,3700.0,3700.67,000000000DFEC3B1,1600.0,1595.85,22450161.0,225.0,224.55,22160332.0,-0.02,1175.0,1173.17,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,45a02eb4-823a-46db-9898-900e50672784,10c0f871-c230-4501-b91f-5028615cfa1c,463.7267761230469,603.73681640625,5039.97509765625,5461.61279296875,5450.47265625,5433.0380859375,7445.03076171875,6609.1845703125,208.2065887451172,184602768,3157.697265625,23565.759765625,197.39210510253903,2370.02490234375,2558.856689453125,2753.02978515625,153.2887420654297,2760.647216796875,2317.538330078125,19076.015625,137500.125,71130.5859375,27074.060546875,21604.666015625,107.68775177001952,117.54307556152344,760.0169677734375,437.6561584472656,211.1494903564453,1013.54345703125,298.30810546875,139.8881378173828,470.1541442871094,397.1017150878906,423.11236572265625,268.11187744140625,2526.34375,2183.240966796875,710.1193237304688,810.6157836914062,351.61395263671875,25097.39453125,13952.9599609375,7628.38623046875,1914.44873046875,174378096,1199.1475830078125,460.7735900878906,65580.2265625,65761.625,59756.71875,79753.4609375,327.0710754394531,21220.49609375,361.160888671875,299.1291198730469,21142.44921875,23127.423828125,20673.8515625,22704.91015625,9286.712890625,8832.484375,8422.9775390625,7749.98486328125,11107,27.04029083251953,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.47023582458496,19.60564422607422,993.518310546875,292375.625,4.139041423797607,0,10332317,True,BME690,23457,0,0,0,10330101,24484,0,31.960857391357425,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:35:54.085,"{'cid': '810d0c15-9045-485b-8821-a027d1e5f71d', 'uuid': '22b0845b-624a-414d-8875-43fb8a161369', 'annotationId': '45a02eb4-823a-46db-9898-900e50672784', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773678952519, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:35:52.738Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.7,17.77,300.0,301.72,000000000DFEC3B8,3700.0,3699.89,000000000DFEC3B1,1600.0,1596.15,22450161.0,225.0,224.67,22160332.0,-0.01,1175.0,1173.29,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,45a02eb4-823a-46db-9898-900e50672784,10c0f871-c230-4501-b91f-5028615cfa1c,464.3248291015625,603.9549560546875,5040.044921875,5461.17236328125,5450.01611328125,5432.712890625,7444.5390625,6609.0107421875,208.2320556640625,184494736,3151.0478515625,23664.49609375,197.3053436279297,2371.263671875,2565.987060546875,2757.682861328125,153.29376220703125,2762.701416015625,2318.494384765625,19054.12890625,137535.03125,71132.1015625,27064.7109375,21610.400390625,107.72697448730467,117.5866241455078,760.8640747070312,437.1148376464844,211.14439392089844,1014.6517333984376,298.3993225097656,139.85496520996094,470.2527160644531,397.03704833984375,423.1297912597656,268.0706481933594,2525.297119140625,2183.333251953125,710.1651000976562,810.5878295898438,351.5463562011719,25113.2109375,13953.126953125,7628.0986328125,1914.1331787109373,174830320,1201.53662109375,461.0786437988281,65577.1171875,65769.6953125,59758.32421875,79753.3125,327.08428955078125,21194.55859375,361.3073425292969,299.32635498046875,21141.93359375,23129.5703125,20674.759765625,22705.66015625,9286.421875,8832.525390625,8422.4462890625,7750.2275390625,11408,27.04029083251953,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.47090148925781,19.61155128479004,993.5181884765624,292767.46875,4.140445709228516,0,10332757,True,BME690,23458,0,0,0,10330101,24484,0,31.960857391357425,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:35:54.388,"{'cid': '810d0c15-9045-485b-8821-a027d1e5f71d', 'uuid': '22b0845b-624a-414d-8875-43fb8a161369', 'annotationId': '45a02eb4-823a-46db-9898-900e50672784', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773678952519, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:35:52.738Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.7,17.77,300.0,303.45,000000000DFEC3B8,3700.0,3699.1,000000000DFEC3B1,1600.0,1596.44,22450161.0,225.0,224.79,22160332.0,-0.01,1175.0,1173.41,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,45a02eb4-823a-46db-9898-900e50672784,10c0f871-c230-4501-b91f-5028615cfa1c,463.6528015136719,604.1697998046875,5039.5087890625,5461.5361328125,5450.03955078125,5433.1875,7443.623046875,6608.56591796875,208.3337860107422,184441680,3155.88330078125,23528.3046875,197.37387084960935,2391.551513671875,2566.62841796875,2760.94580078125,153.2855224609375,2759.3701171875,2318.63671875,19008.833984375,137524.359375,71130.2890625,27070.083984375,21595.486328125,107.69783782958984,117.5361785888672,760.3939819335938,436.93548583984375,211.20574951171875,1015.6401977539062,298.3912048339844,139.8490447998047,470.2324523925781,397.0231628417969,423.2615661621094,268.0982666015625,2525.442138671875,2183.749755859375,710.224609375,810.5927734375,351.5943908691406,25098.5078125,13956.9404296875,7627.83935546875,1918.0704345703125,174982992,1200.420166015625,460.6558532714844,65585.4375,65772.875,59753.23828125,79756.40625,326.9545288085937,21301.197265625,361.0306091308594,299.30499267578125,21137.35546875,23130.8828125,20674.955078125,22705.814453125,9286.595703125,8832.92578125,8422.642578125,7749.76611328125,11709,27.120880126953125,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.471235275268555,19.6234130859375,993.438232421875,292375.625,4.143028736114502,0,10333197,True,BME690,23459,0,0,0,10330101,24484,0,31.960857391357425,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:35:54.688,"{'cid': '810d0c15-9045-485b-8821-a027d1e5f71d', 'uuid': '22b0845b-624a-414d-8875-43fb8a161369', 'annotationId': '45a02eb4-823a-46db-9898-900e50672784', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773678952519, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:35:52.738Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.69,17.76,300.0,303.76,000000000DFEC3B8,3700.0,3700.02,000000000DFEC3B1,1600.0,1596.74,22450161.0,225.0,224.84,22160332.0,-0.01,1175.0,1173.64,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,45a02eb4-823a-46db-9898-900e50672784,10c0f871-c230-4501-b91f-5028615cfa1c,463.98095703125,604.0482177734375,5039.8828125,5460.23583984375,5450.0771484375,5432.63720703125,7444.08984375,6608.919921875,208.3414459228516,184467088,3145.890869140625,23579.65625,197.37911987304688,2389.100830078125,2560.76123046875,2753.142333984375,153.29241943359375,2761.04541015625,2315.149658203125,19272.384765625,137485.3125,71118.515625,27070.388671875,21595.10546875,107.70919036865234,117.53263092041016,760.5702514648438,437.4366760253906,211.2256317138672,1014.783447265625,298.25469970703125,139.8969268798828,470.2577819824219,397.0694274902344,423.2189331054688,268.1218566894531,2525.5,2183.2822265625,710.1666870117188,810.5478515625,351.6011657714844,25108.701171875,13951.6923828125,7627.67333984375,1913.67041015625,174845904,1201.546875,460.423095703125,65591.0625,65775.1171875,59752.2265625,79759.1171875,327.0585327148437,21376.90625,361.40142822265625,299.0114440917969,21141.87109375,23129.818359375,20675.859375,22706.3125,9285.044921875,8831.4130859375,8422.1904296875,7750.326171875,12010,27.28205108642578,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.471235275268555,19.6234130859375,993.438232421875,292375.625,4.143028736114502,0,10333197,True,BME690,23459,0,0,0,10330101,24484,0,31.960857391357425,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:35:54.993,"{'cid': '810d0c15-9045-485b-8821-a027d1e5f71d', 'uuid': '22b0845b-624a-414d-8875-43fb8a161369', 'annotationId': '45a02eb4-823a-46db-9898-900e50672784', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773678952519, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:35:52.738Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.68,17.75,300.0,303.7,000000000DFEC3B8,3700.0,3701.44,000000000DFEC3B1,1600.0,1597.03,22450161.0,225.0,224.87,22160332.0,-0.01,1175.0,1173.91,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,45a02eb4-823a-46db-9898-900e50672784,10c0f871-c230-4501-b91f-5028615cfa1c,463.3451232910156,603.8736572265625,5039.41943359375,5460.4912109375,5449.982421875,5432.9560546875,7443.55322265625,6608.74267578125,208.21017456054688,184448944,3148.84716796875,23551.69921875,197.526123046875,2366.972412109375,2559.573974609375,2757.28125,153.29257202148438,2765.79833984375,2315.92919921875,19332.9765625,137469.703125,71112.09375,27065.55078125,21592.1171875,107.67941284179688,117.55518341064452,760.3795776367188,437.4946594238281,211.1141357421875,1016.4074096679688,298.27813720703125,139.8709259033203,470.2329711914063,397.0575256347656,423.1458435058594,268.12652587890625,2525.56982421875,2183.683837890625,710.14599609375,810.5174560546875,351.5999755859375,25032.3984375,13951.21484375,7628.21923828125,1916.78466796875,174938640,1202.405517578125,460.8099060058594,65594.2734375,65769.328125,59748.8515625,79758.765625,326.7836608886719,21535.556640625,361.5487365722656,298.8173217773437,21147.138671875,23128.466796875,20676.140625,22705.8046875,9285.9521484375,8831.5341796875,8422.234375,7750.560546875,12311,27.201465606689453,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.471235275268555,19.6234130859375,993.3672485351562,291400.625,4.143028736114502,0,10333637,True,BME690,23460,0,0,0,10330101,24484,0,31.960857391357425,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:35:55.290,"{'cid': '810d0c15-9045-485b-8821-a027d1e5f71d', 'uuid': '22b0845b-624a-414d-8875-43fb8a161369', 'annotationId': '45a02eb4-823a-46db-9898-900e50672784', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773678952519, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:35:52.738Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.68,17.74,300.0,303.65,000000000DFEC3B8,3700.0,3702.82,000000000DFEC3B1,1600.0,1597.32,22450161.0,225.0,224.89,22160332.0,-0.01,1175.0,1174.17,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,45a02eb4-823a-46db-9898-900e50672784,10c0f871-c230-4501-b91f-5028615cfa1c,463.73236083984375,603.8742065429688,5039.48681640625,5460.00537109375,5449.24853515625,5432.630859375,7444.4990234375,6609.09375,208.2211456298828,184500880,3149.4091796875,23516.818359375,197.3662567138672,2367.042236328125,2562.5546875,2756.541259765625,153.28759765625,2758.4658203125,2316.19482421875,19356.685546875,137405.515625,71119.28125,27069.490234375,21591.939453125,107.69839477539062,117.56262969970705,759.2880859375,437.242431640625,211.14627075195312,1014.5880126953124,298.1948547363281,139.86410522460938,470.2023315429688,397.10546875,423.1352233886719,268.1001281738281,2524.96728515625,2183.83056640625,710.1991577148438,810.544921875,351.6370544433594,25077.16796875,13952.541015625,7628.0263671875,1918.5230712890625,174925600,1199.89697265625,461.0587158203125,65581.953125,65767.7734375,59754.1796875,79754.671875,326.8073425292969,21522.333984375,361.07122802734375,298.6434020996094,21145.330078125,23131.265625,20675.75,22704.345703125,9284.49609375,8831.30859375,8422.431640625,7750.548828125,12612,27.04029083251953,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.471567153930664,19.61745834350586,993.30712890625,292180.125,4.141849994659424,0,10334077,True,BME690,23461,0,0,0,10330101,24484,0,31.960857391357425,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:35:55.592,"{'cid': '810d0c15-9045-485b-8821-a027d1e5f71d', 'uuid': '22b0845b-624a-414d-8875-43fb8a161369', 'annotationId': '45a02eb4-823a-46db-9898-900e50672784', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773678952519, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:35:52.738Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.68,17.71,300.0,302.54,000000000DFEC3B8,3700.0,3702.73,000000000DFEC3B1,1600.0,1597.62,22450161.0,225.0,224.91,22160332.0,-0.01,1175.0,1174.35,21470046.0
