component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_454625,FLW0_454625,ANLT0_454625,FLW0_181225,T0_093225,H0_093225
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,67349943-ab33-496b-81ce-0f9e8a6a1c75,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,201.68618774414065,1041.709228515625,5.602786064147949,6000.529296875,6436.189453125,4529.537109375,7854.630859375,7011.7138671875,993.6444702148438,17487.63671875,727.111328125,685.5551147460938,581.5867919921875,692.0667724609375,584.2160034179688,835.9581298828125,340.7649841308594,3112.21630859375,1466.42724609375,484.2395324707031,64131.1875,46486.51953125,15366.560546875,14399.4228515625,486.1255798339844,148.78140258789062,388.31292724609375,296.94512939453125,118.48014831542967,142.22898864746094,139.47079467773438,171.91786193847656,342.4200134277344,301.5750427246094,315.55279541015625,279.8999938964844,1495.6488037109375,1149.31787109375,441.2168273925781,545.17724609375,375.5860290527344,763.5684814453125,14387.423828125,14820.9501953125,446.21722412109375,1158.311767578125,462.0528259277344,197.8523406982422,50851.23046875,49913.375,52789.8984375,56472.4921875,230.5917816162109,561.7047729492188,410.2307434082031,275.2821960449219,18655.833984375,17297.693359375,14603.7158203125,16501.435546875,8081.97607421875,8520.5869140625,8634.552734375,7642.65380859375,10278,27.201465606689453,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.24490165710449,20.588836669921875,1011.2072143554688,195338.296875,4.291191577911377,0,9203977,True,BME690,20903,0,0,0,9201084,24484,0,24.058818817138672,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:05:53.268,"{'cid': '4bd3ee49-7581-4de3-8017-d3e89b341e18', 'uuid': 'fca2f90a-429a-4eea-9c4a-fadcaf48f568', 'annotationId': '67349943-ab33-496b-81ce-0f9e8a6a1c75', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773414352806, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:05:53.017Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,291.6,000000000DFEC3B8,1400.0,1396.48,21470046.0,1600.0,1593.36,22450161.0,0.0,0.06,22160332.0,3700.0,3694.43,000000000DFEC3B1,-0.01,22.64,15.97
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,67349943-ab33-496b-81ce-0f9e8a6a1c75,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,201.6683349609375,1041.45068359375,5.648147106170654,6000.49609375,6436.18212890625,4529.76416015625,7855.095703125,7011.2939453125,991.402587890625,17312.7265625,727.5065307617188,685.67626953125,581.38671875,693.1822509765625,584.3715209960938,835.440673828125,340.6521301269531,3123.9970703125,1464.1239013671875,483.9510498046875,64132.18359375,46488.90234375,15367.189453125,14399.7666015625,485.9168701171875,148.7392120361328,388.2404174804688,297.1493225097656,118.4481964111328,142.18861389160156,139.48654174804688,171.90463256835938,342.4545288085937,301.6283264160156,315.4971923828125,279.86431884765625,1495.8299560546875,1149.36279296875,441.1571960449219,545.1913452148438,375.5467834472656,766.24169921875,14391.0517578125,14832.16796875,445.4913635253906,1159.3896484375,461.60736083984375,197.86764526367188,50855.54296875,49912.43359375,52785.76171875,56474.1484375,230.55142211914065,561.44287109375,410.2947082519531,275.1065979003906,18654.263671875,17297.416015625,14603.435546875,16502.451171875,8082.3349609375,8519.044921875,8634.3486328125,7642.71533203125,10579,27.201465606689453,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.2452335357666,20.59490966796875,1011.2080688476562,194295.875,4.292539596557617,0,9204417,True,BME690,20904,0,0,0,9201084,24484,0,24.058818817138672,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:05:53.569,"{'cid': '4bd3ee49-7581-4de3-8017-d3e89b341e18', 'uuid': 'fca2f90a-429a-4eea-9c4a-fadcaf48f568', 'annotationId': '67349943-ab33-496b-81ce-0f9e8a6a1c75', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773414352806, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:05:53.017Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,291.6,000000000DFEC3B8,1400.0,1396.48,21470046.0,1600.0,1593.36,22450161.0,0.0,0.06,22160332.0,3700.0,3694.43,000000000DFEC3B1,-0.01,22.64,15.97
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,67349943-ab33-496b-81ce-0f9e8a6a1c75,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,201.6730194091797,1039.209716796875,5.614127159118652,6000.87158203125,6435.8408203125,4529.6640625,7855.3984375,7010.8310546875,992.7916259765624,17319.099609375,727.59228515625,683.8250122070312,581.2333374023438,693.0419311523438,584.43408203125,834.890380859375,340.81768798828125,3101.9287109375,1466.138916015625,484.249267578125,64131.234375,46487.8203125,15366.263671875,14400.6943359375,485.5433349609375,148.76174926757812,388.16937255859375,297.1617736816406,118.4553451538086,142.2198944091797,139.4494171142578,171.9173583984375,342.48114013671875,301.6592102050781,315.5023498535156,279.899169921875,1495.7042236328125,1149.4266357421875,441.2046508789063,545.2094116210938,375.5983581542969,766.2376098632812,14381.71484375,14830.4150390625,446.2406005859375,1159.388427734375,461.732421875,197.8953857421875,50852.49609375,49914.46875,52786.70703125,56470.48828125,230.61415100097656,561.2630615234375,410.3913269042969,275.4385070800781,18651.80078125,17297.646484375,14603.22265625,16500.67578125,8082.357421875,8522.107421875,8634.5322265625,7642.767578125,10880,27.5238094329834,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.24490165710449,20.601015090942383,1011.2039184570312,193950.875,4.29373025894165,0,9204857,True,BME690,20905,0,0,0,9201084,24484,0,24.058818817138672,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:05:53.870,"{'cid': '4bd3ee49-7581-4de3-8017-d3e89b341e18', 'uuid': 'fca2f90a-429a-4eea-9c4a-fadcaf48f568', 'annotationId': '67349943-ab33-496b-81ce-0f9e8a6a1c75', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773414352806, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:05:53.017Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,292.6,000000000DFEC3B8,1400.0,1396.8,21470046.0,1600.0,1594.06,22450161.0,0.0,0.07,22160332.0,3700.0,3695.27,000000000DFEC3B1,-0.01,22.64,15.97
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,67349943-ab33-496b-81ce-0f9e8a6a1c75,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,201.7046661376953,1039.295654296875,5.6267805099487305,6000.33642578125,6436.18701171875,4529.24853515625,7855.0302734375,7010.984375,991.9736328125,17362.12890625,727.9307250976562,685.4012451171875,581.861083984375,693.8363037109375,583.8772583007812,833.4459228515625,340.80474853515625,3119.062255859375,1468.0986328125,483.7442321777344,64138.7109375,46486.61328125,15366.7421875,14400.4453125,485.6901245117188,148.75050354003906,387.9846496582031,297.0193786621094,118.43580627441406,142.201416015625,139.47164916992188,171.9685821533203,342.44012451171875,301.589599609375,315.5040283203125,279.91119384765625,1495.651611328125,1149.40576171875,441.2043151855469,545.2061157226562,375.4129333496094,764.9500122070312,14383.546875,14824.8447265625,446.3900146484375,1158.640625,461.9786987304688,197.8119659423828,50849.90234375,49913.25390625,52785.02734375,56478.87109375,230.5846710205078,561.5709838867188,410.3300476074219,275.25244140625,18647.640625,17297.232421875,14604.5419921875,16501.9765625,8081.7412109375,8519.7099609375,8634.2783203125,7642.75830078125,11181,27.36263656616211,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.2452335357666,20.59490966796875,1011.2047119140624,193950.875,4.292539596557617,0,9205297,True,BME690,20906,0,0,0,9201084,24484,0,24.058818817138672,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:05:54.172,"{'cid': '4bd3ee49-7581-4de3-8017-d3e89b341e18', 'uuid': 'fca2f90a-429a-4eea-9c4a-fadcaf48f568', 'annotationId': '67349943-ab33-496b-81ce-0f9e8a6a1c75', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773414352806, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:05:53.017Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,294.67,000000000DFEC3B8,1400.0,1397.47,21470046.0,1600.0,1595.57,22450161.0,0.0,0.08,22160332.0,3700.0,3697.2,000000000DFEC3B1,-0.01,22.64,15.97
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,67349943-ab33-496b-81ce-0f9e8a6a1c75,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,201.73175048828125,1039.1136474609375,5.631755828857422,6000.17138671875,6436.32763671875,4528.86865234375,7854.9169921875,7011.36962890625,991.5154418945312,17264.4765625,727.451416015625,684.6963500976562,581.9702758789062,693.177978515625,584.0866088867188,835.5331420898438,340.70916748046875,3111.110107421875,1468.6248779296875,484.4065246582031,64136.69140625,46489.62109375,15365.9453125,14400.369140625,485.6970825195313,148.77081298828125,388.5564270019531,297.02264404296875,118.47242736816406,142.20489501953125,139.44630432128906,171.9091796875,342.4683837890625,301.6264953613281,315.50469970703125,279.91217041015625,1495.6021728515625,1149.326171875,441.1627502441406,545.2544555664062,375.5159301757813,765.1002197265625,14388.8505859375,14822.484375,445.3675537109375,1158.9600830078125,461.8668212890625,197.95140075683597,50854.1640625,49912.35546875,52781.40234375,56479.24609375,230.59507751464844,562.0443115234375,410.3292541503906,275.5262756347656,18653.72265625,17297.38671875,14604.5302734375,16501.66796875,8082.21875,8521.0205078125,8634.052734375,7642.61328125,11482,27.201465606689453,28.81318664550781,0,0,0,0,0,0,0,0,0,0,0,1,23.2452335357666,20.59490966796875,1011.2047119140624,193950.875,4.292539596557617,0,9205297,True,BME690,20906,0,0,0,9201084,24484,0,24.058818817138672,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:05:54.472,"{'cid': '4bd3ee49-7581-4de3-8017-d3e89b341e18', 'uuid': 'fca2f90a-429a-4eea-9c4a-fadcaf48f568', 'annotationId': '67349943-ab33-496b-81ce-0f9e8a6a1c75', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773414352806, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:05:53.017Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,296.73,000000000DFEC3B8,1400.0,1398.13,21470046.0,1600.0,1597.07,22450161.0,0.0,0.09,22160332.0,3700.0,3699.12,000000000DFEC3B1,-0.01,22.65,15.98
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,67349943-ab33-496b-81ce-0f9e8a6a1c75,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,201.66058349609372,1040.2391357421875,5.643130302429199,6000.4306640625,6435.58203125,4528.77783203125,7854.7353515625,7010.69970703125,990.7769165039062,17320.3203125,727.39990234375,685.3309936523438,581.609130859375,693.1149291992188,584.2496337890625,835.8140258789062,340.7303466796875,3115.60205078125,1467.3079833984375,484.3084411621094,64132.5234375,46488.87890625,15365.8779296875,14400.720703125,485.2703247070313,148.75238037109375,388.4459228515625,297.0207214355469,118.50267028808594,142.22677612304688,139.52134704589844,171.90936279296875,342.4407958984375,301.6014709472656,315.5081481933594,279.8795166015625,1495.6185302734375,1149.3944091796875,441.20263671875,545.1766357421875,375.4647521972656,765.4781494140625,14391.4970703125,14834.3291015625,445.9914245605469,1159.93896484375,461.6482238769531,197.87338256835935,50848.390625,49909.765625,52789.9453125,56478.609375,230.5653533935547,561.66064453125,410.69244384765625,275.2760925292969,18654.80078125,17297.796875,14604.0771484375,16501.96484375,8081.7216796875,8521.294921875,8634.109375,7642.9267578125,11783,27.28205108642578,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.2452335357666,20.60099983215332,1011.2047119140624,193778.8125,4.293808460235596,0,9205737,True,BME690,20907,0,0,0,9201084,24484,0,24.058818817138672,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:05:54.779,"{'cid': '4bd3ee49-7581-4de3-8017-d3e89b341e18', 'uuid': 'fca2f90a-429a-4eea-9c4a-fadcaf48f568', 'annotationId': '67349943-ab33-496b-81ce-0f9e8a6a1c75', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773414352806, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:05:53.017Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,298.47,000000000DFEC3B8,1400.0,1398.71,21470046.0,1600.0,1598.42,22450161.0,0.0,0.1,22160332.0,3700.0,3700.77,000000000DFEC3B1,-0.01,22.65,15.99
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,67349943-ab33-496b-81ce-0f9e8a6a1c75,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,201.70530700683597,1038.2371826171875,5.634341716766357,5999.89111328125,6436.08203125,4529.533203125,7854.09619140625,7011.14794921875,991.1865234375,17219.40234375,727.8521118164062,684.5803833007812,581.6716918945312,692.8074951171875,584.2225341796875,834.2728881835938,340.9755249023437,3113.4169921875,1466.0015869140625,484.53424072265625,64135.07421875,46483.16015625,15365.453125,14401.203125,485.8088989257813,148.75059509277344,388.1521911621094,297.0010681152344,118.47492980957033,142.2128448486328,139.4422607421875,171.91432189941406,342.3968200683594,301.6278381347656,315.5284423828125,279.915771484375,1495.6234130859375,1149.3582763671875,441.1751708984375,545.1884765625,375.3638000488281,766.4909057617188,14374.60546875,14834.6767578125,445.9594421386719,1159.7197265625,462.1172180175781,197.9217529296875,50848.59765625,49908.05078125,52792.79296875,56481.19921875,230.53753662109372,561.271484375,410.3318176269531,275.43603515625,18655.0,17299.279296875,14605.8046875,16500.912109375,8082.13232421875,8521.4306640625,8634.3583984375,7642.8330078125,12084,27.28205108642578,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.24556541442871,20.600982666015625,1011.14111328125,193607.09375,4.293885231018066,0,9206177,True,BME690,20908,0,0,0,9206087,24484,0,24.184120178222656,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:05:55.075,"{'cid': '4bd3ee49-7581-4de3-8017-d3e89b341e18', 'uuid': 'fca2f90a-429a-4eea-9c4a-fadcaf48f568', 'annotationId': '67349943-ab33-496b-81ce-0f9e8a6a1c75', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773414352806, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:05:53.017Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,298.04,000000000DFEC3B8,1400.0,1398.67,21470046.0,1600.0,1598.56,22450161.0,0.0,0.07,22160332.0,3700.0,3699.77,000000000DFEC3B1,-0.01,22.65,16.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,67349943-ab33-496b-81ce-0f9e8a6a1c75,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,201.69378662109372,1040.6405029296875,5.641884803771973,6000.33349609375,6436.2763671875,4529.201171875,7854.97119140625,7010.71630859375,990.3119506835938,17329.81640625,727.0128784179688,684.564697265625,581.6312866210938,691.2429809570312,584.4873657226562,835.2233276367188,340.7128295898437,3105.673095703125,1467.11962890625,484.4167785644531,64137.421875,46483.41015625,15366.576171875,14401.4619140625,486.4998168945313,148.7682647705078,388.1040344238281,296.9820556640625,118.45826721191406,142.18099975585938,139.4655303955078,171.9566192626953,342.4571533203125,301.6394958496094,315.5399780273437,279.8769226074219,1495.480712890625,1149.2752685546875,441.18170166015625,545.2334594726562,375.4019775390625,766.8123168945312,14376.5927734375,14832.3095703125,446.1048278808594,1160.7919921875,462.033935546875,197.8594512939453,50850.68359375,49906.73046875,52788.67578125,56480.96875,230.52757263183597,561.4365844726562,410.0783081054688,275.4111328125,18652.875,17295.572265625,14604.234375,16502.142578125,8082.31494140625,8519.54296875,8634.6025390625,7642.87451171875,12385,27.36263656616211,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.24556541442871,20.600982666015625,1011.14111328125,193607.09375,4.293885231018066,0,9206177,True,BME690,20908,0,0,0,9206087,24484,0,24.184120178222656,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:05:55.378,"{'cid': '4bd3ee49-7581-4de3-8017-d3e89b341e18', 'uuid': 'fca2f90a-429a-4eea-9c4a-fadcaf48f568', 'annotationId': '67349943-ab33-496b-81ce-0f9e8a6a1c75', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773414352806, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:05:53.017Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,297.6,000000000DFEC3B8,1400.0,1398.62,21470046.0,1600.0,1598.7,22450161.0,0.0,0.05,22160332.0,3700.0,3698.74,000000000DFEC3B1,-0.01,22.65,16.02
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,67349943-ab33-496b-81ce-0f9e8a6a1c75,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,201.72886657714844,1039.9041748046875,5.644367218017578,5999.75,6436.20361328125,4530.08642578125,7854.54736328125,7009.7958984375,992.5529174804688,17458.08203125,727.8273315429688,683.360595703125,581.1908569335938,689.6478881835938,584.0889892578125,834.4938354492188,340.8467102050781,3105.732421875,1461.9947509765625,484.5675964355469,64144.15234375,46483.26171875,15365.2080078125,14400.2509765625,485.4907531738281,148.76744079589844,388.4130859375,296.7569274902344,118.44654846191406,142.19580078125,139.47528076171875,171.94952392578125,342.4064025878906,301.64312744140625,315.5317077636719,279.88623046875,1495.5379638671875,1149.22314453125,441.18310546875,545.195068359375,375.5626525878906,766.2783813476562,14388.69921875,14835.4482421875,446.3730773925781,1160.8282470703125,461.6401672363281,197.9493103027344,50848.74609375,49909.43359375,52786.6484375,56480.78515625,230.57948303222656,560.92822265625,410.3185729980469,275.46337890625,18657.701171875,17297.2734375,14604.931640625,16500.873046875,8082.1103515625,8521.271484375,8634.10546875,7643.0322265625,12686,27.28205108642578,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.245899200439453,20.6070556640625,1011.0857543945312,194295.875,4.295232772827148,0,9206617,True,BME690,20909,0,0,0,9206087,24484,0,24.184120178222656,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:05:55.680,"{'cid': '4bd3ee49-7581-4de3-8017-d3e89b341e18', 'uuid': 'fca2f90a-429a-4eea-9c4a-fadcaf48f568', 'annotationId': '67349943-ab33-496b-81ce-0f9e8a6a1c75', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773414352806, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:05:53.017Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,297.16,000000000DFEC3B8,1400.0,1398.57,21470046.0,1600.0,1598.85,22450161.0,0.0,0.03,22160332.0,3700.0,3697.72,000000000DFEC3B1,-0.01,22.66,16.03
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,67349943-ab33-496b-81ce-0f9e8a6a1c75,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,201.71327209472656,1038.494140625,5.641814231872559,6000.0478515625,6435.9853515625,4528.56494140625,7854.67822265625,7010.45947265625,993.488037109375,17417.544921875,727.2994384765625,684.2986450195312,581.0440673828125,691.667724609375,583.5387573242188,836.7308959960938,340.7775573730469,3117.73876953125,1464.6776123046875,484.37249755859375,64137.97265625,46483.9765625,15365.2177734375,14399.7275390625,486.475830078125,148.7451934814453,388.4314270019531,296.8779602050781,118.49378204345705,142.2080535888672,139.51734924316406,171.9149169921875,342.45416259765625,301.5776062011719,315.5473937988281,279.8880920410156,1495.50390625,1149.27294921875,441.1985473632813,545.2060546875,375.4917297363281,765.5549926757812,14388.048828125,14834.5048828125,446.4313049316406,1160.1600341796875,461.7032775878906,197.8800811767578,50849.34375,49908.59765625,52785.2421875,56479.90234375,230.60250854492188,561.0964965820312,410.6079711914063,275.3230285644531,18658.359375,17298.80078125,14604.501953125,16499.826171875,8082.2314453125,8520.9306640625,8633.9404296875,7642.5732421875,12987,27.28205108642578,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.24623107910156,20.59486198425293,1011.0386962890624,194642.125,4.292773246765137,0,9207057,True,BME690,20910,0,0,0,9206087,24484,0,24.184120178222656,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:05:55.978,"{'cid': '4bd3ee49-7581-4de3-8017-d3e89b341e18', 'uuid': 'fca2f90a-429a-4eea-9c4a-fadcaf48f568', 'annotationId': '67349943-ab33-496b-81ce-0f9e8a6a1c75', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773414352806, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:05:53.017Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,297.64,000000000DFEC3B8,1400.0,1398.93,21470046.0,1600.0,1598.9,22450161.0,0.0,0.02,22160332.0,3700.0,3697.89,000000000DFEC3B1,-0.01,22.66,16.05
