component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_184225,FLW0_184225,ANLT0_184225,FLW0_181225,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_813024,FLW0_813024,ANLT0_813024
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e75f63e9-73b8-4812-bec6-e9fb4a0362f1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,191.6142578125,999.3635864257812,5.62420129776001,5972.46533203125,6401.92431640625,4506.6220703125,7786.0830078125,6948.24658203125,964.3028564453124,16497.603515625,692.7130126953125,658.9130249023438,551.400390625,669.3880004882812,560.7301025390625,807.227294921875,330.0326538085937,3054.09765625,1414.697509765625,464.7614135742188,63807.421875,46280.25,15328.65625,14363.79296875,474.02099609375,146.43983459472656,384.3380126953125,294.66339111328125,116.70240783691406,139.8133544921875,138.25296020507812,169.78021240234375,340.8287048339844,300.2008056640625,314.9794921875,279.2015991210937,1489.669921875,1144.968017578125,440.5676879882813,544.1464233398438,360.22979736328125,739.1505126953125,14337.7509765625,14746.533203125,435.5237121582031,1135.837890625,454.5959167480469,194.34738159179688,50649.578125,49699.93359375,52561.859375,56236.3671875,225.8267822265625,547.31884765625,401.5357360839844,268.25311279296875,18593.26953125,17242.400390625,14563.7080078125,16462.111328125,8026.248046875,8459.6572265625,8570.626953125,7576.02978515625,10805,27.36263656616211,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.511249542236328,19.81406784057617,1010.7106323242188,198714.375,4.192812919616699,0,12594323,True,BME690,28602,0,0,0,12592811,24484,0,23.968637466430664,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:02:23.738,"{'cid': 'e28487ec-b416-4994-9344-c5b564f40989', 'uuid': 'e6c63aa3-ed40-4944-9dbf-c98de1a1669d', 'annotationId': 'e75f63e9-73b8-4812-bec6-e9fb4a0362f1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773417743305, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:02:23.537Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.81,16.18,3700.0,3704.2,000000000DFEC3B1,1400.0,1396.56,21470046.0,0.0,0.06,22160332.0,-0.0,300.0,296.09,000000000DFEC3B8,1600.0,1598.88,22450161.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e75f63e9-73b8-4812-bec6-e9fb4a0362f1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,191.6257781982422,1000.7034912109376,5.617911815643311,5972.6279296875,6402.24169921875,4506.0927734375,7785.8388671875,6947.607421875,962.8267822265624,16445.255859375,692.20947265625,658.80126953125,551.7465209960938,669.9389038085938,560.7732543945312,807.5067138671875,330.2284240722656,3059.9228515625,1417.7266845703125,464.90081787109375,63810.14453125,46280.19140625,15326.9013671875,14364.3359375,474.6191101074219,146.47755432128906,384.4956359863281,294.97003173828125,116.71186065673828,139.8529815673828,138.27621459960938,169.7877960205078,340.8335876464844,300.17901611328125,314.9966125488281,279.2087707519531,1489.636474609375,1144.987548828125,440.5395812988281,544.1600952148438,360.46875,740.1765747070312,14343.94921875,14736.634765625,434.9050598144531,1130.9754638671875,454.3352966308594,194.3702087402344,50646.6328125,49704.73828125,52562.23046875,56234.56640625,225.77198791503903,547.613525390625,401.2508544921875,268.20416259765625,18589.322265625,17243.99609375,14564.4228515625,16463.02734375,8026.64111328125,8459.470703125,8570.892578125,7576.18115234375,11106,27.5238094329834,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.511249542236328,19.81406784057617,1010.7106323242188,198714.375,4.192812919616699,0,12594323,True,BME690,28602,0,0,0,12592811,24484,0,23.968637466430664,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:02:24.039,"{'cid': 'e28487ec-b416-4994-9344-c5b564f40989', 'uuid': 'e6c63aa3-ed40-4944-9dbf-c98de1a1669d', 'annotationId': 'e75f63e9-73b8-4812-bec6-e9fb4a0362f1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773417743305, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:02:23.537Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.81,16.18,3700.0,3704.2,000000000DFEC3B1,1400.0,1396.56,21470046.0,0.0,0.06,22160332.0,-0.0,300.0,296.09,000000000DFEC3B8,1600.0,1598.88,22450161.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e75f63e9-73b8-4812-bec6-e9fb4a0362f1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,191.6136932373047,999.332275390625,5.615448951721191,5972.87548828125,6401.671875,4505.87939453125,7785.80419921875,6948.060546875,963.0962524414062,16476.62890625,692.7633056640625,659.129638671875,551.759765625,670.90625,559.9413452148438,806.2816162109375,329.9808959960937,3036.828369140625,1414.9193115234375,465.1202697753906,63805.9140625,46280.00390625,15326.5537109375,14363.4453125,473.9693603515625,146.43772888183594,384.2646484375,295.02264404296875,116.67345428466795,139.83001708984375,138.26058959960938,169.77850341796875,340.784912109375,300.1900634765625,315.02557373046875,279.218017578125,1489.503662109375,1145.0577392578125,440.5758666992188,544.162841796875,360.5287170410156,740.3577880859375,14338.5048828125,14739.947265625,435.1253356933594,1135.0164794921875,454.1180725097656,194.4419403076172,50643.5234375,49700.6640625,52563.79296875,56231.921875,225.8431701660156,547.0128173828125,401.3038330078125,268.2170715332031,18591.248046875,17243.3203125,14565.619140625,16462.537109375,8026.5771484375,8459.30859375,8571.255859375,7575.8701171875,11407,27.5238094329834,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.511249542236328,19.81406784057617,1010.7106323242188,199804.875,4.192812919616699,0,12594763,True,BME690,28603,0,0,0,12592811,24484,0,23.968637466430664,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:02:24.341,"{'cid': 'e28487ec-b416-4994-9344-c5b564f40989', 'uuid': 'e6c63aa3-ed40-4944-9dbf-c98de1a1669d', 'annotationId': 'e75f63e9-73b8-4812-bec6-e9fb4a0362f1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773417743305, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:02:23.537Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.81,16.18,3700.0,3703.7,000000000DFEC3B1,1400.0,1396.76,21470046.0,0.0,0.07,22160332.0,-0.0,300.0,296.37,000000000DFEC3B8,1600.0,1598.88,22450161.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e75f63e9-73b8-4812-bec6-e9fb4a0362f1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,191.58572387695312,1000.5233154296876,5.634271144866943,5973.052734375,6401.6064453125,4506.744140625,7785.93115234375,6948.078125,965.3524780273438,16351.052734375,692.5543212890625,658.8955688476562,551.831298828125,669.7737426757812,560.5076904296875,808.42041015625,330.0784912109375,3035.47900390625,1418.4351806640625,465.4261169433594,63807.8515625,46280.04296875,15326.92578125,14363.7099609375,474.6153564453125,146.50274658203125,384.5692443847656,295.0682067871094,116.7138442993164,139.85467529296875,138.25186157226562,169.82720947265625,340.8451232910156,300.1720886230469,315.0296325683594,279.21807861328125,1489.4962158203125,1145.0421142578125,440.5815124511719,544.1607055664062,360.4764099121094,739.8345336914062,14338.6181640625,14747.724609375,435.6271667480469,1133.306396484375,454.1665344238281,194.3573760986328,50645.953125,49698.19140625,52561.91015625,56237.046875,225.74966430664065,547.3218994140625,401.2414855957031,268.4056701660156,18586.2109375,17244.185546875,14565.3857421875,16462.18359375,8026.93310546875,8458.861328125,8570.73046875,7576.41552734375,11708,27.5238094329834,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.51191520690918,19.81403350830078,1010.712158203125,198533.78125,4.192965507507324,0,12595203,True,BME690,28604,0,0,0,12592811,24484,0,23.968637466430664,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:02:24.641,"{'cid': 'e28487ec-b416-4994-9344-c5b564f40989', 'uuid': 'e6c63aa3-ed40-4944-9dbf-c98de1a1669d', 'annotationId': 'e75f63e9-73b8-4812-bec6-e9fb4a0362f1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773417743305, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:02:23.537Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.81,16.19,3700.0,3702.25,000000000DFEC3B1,1400.0,1397.35,21470046.0,0.0,0.08,22160332.0,-0.01,300.0,297.3,000000000DFEC3B8,1600.0,1598.88,22450161.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e75f63e9-73b8-4812-bec6-e9fb4a0362f1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,191.5983123779297,1001.1574096679688,5.626780986785889,5972.421875,6401.3232421875,4505.9560546875,7786.21630859375,6948.4775390625,965.9050903320312,16508.974609375,692.334228515625,659.1835327148438,552.4757690429688,671.4303588867188,560.3059692382812,807.903564453125,330.0925598144531,3039.212158203125,1416.27099609375,464.9106750488281,63803.95703125,46278.2265625,15328.55859375,14363.48828125,473.9956970214844,146.51087951660156,384.59808349609375,294.9931030273437,116.68049621582033,139.86354064941406,138.30580139160156,169.8087158203125,340.7684631347656,300.2076416015625,315.0290222167969,279.19757080078125,1489.6177978515625,1145.06494140625,440.5681762695313,544.1534423828125,360.1268005371094,740.483154296875,14336.69921875,14742.888671875,435.5393371582031,1134.4671630859375,454.1195983886719,194.3590850830078,50647.0078125,49696.90625,52561.16796875,56237.74609375,225.7906951904297,547.345458984375,401.08685302734375,268.3403625488281,18588.849609375,17241.833984375,14565.4306640625,16461.990234375,8026.69775390625,8459.4013671875,8571.1826171875,7575.89453125,12010,27.201465606689453,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.51191520690918,19.81403350830078,1010.712158203125,198533.78125,4.192965507507324,0,12595203,True,BME690,28604,0,0,0,12592811,24484,0,23.968637466430664,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:02:24.943,"{'cid': 'e28487ec-b416-4994-9344-c5b564f40989', 'uuid': 'e6c63aa3-ed40-4944-9dbf-c98de1a1669d', 'annotationId': 'e75f63e9-73b8-4812-bec6-e9fb4a0362f1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773417743305, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:02:23.537Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.81,16.19,3700.0,3700.78,000000000DFEC3B1,1400.0,1397.95,21470046.0,0.0,0.09,22160332.0,-0.01,300.0,298.24,000000000DFEC3B8,1600.0,1598.88,22450161.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e75f63e9-73b8-4812-bec6-e9fb4a0362f1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,191.66873168945312,1000.34912109375,5.644347190856934,5972.3544921875,6401.29345703125,4505.68359375,7785.68310546875,6948.28466796875,966.412841796875,16398.44921875,692.8284301757812,659.85107421875,552.8331298828125,670.7062377929688,560.4627075195312,808.5618896484375,329.9360656738281,3040.8076171875,1420.124267578125,464.6180114746094,63809.74609375,46279.58984375,15327.3203125,14365.1875,473.9999084472656,146.5353546142578,384.6266479492188,294.9290771484375,116.71466827392578,139.841552734375,138.25955200195312,169.78659057617188,340.8233947753906,300.1878662109375,315.0042419433594,279.22021484375,1489.7550048828125,1145.0643310546875,440.5374450683594,544.142333984375,360.239990234375,741.4943237304688,14335.9697265625,14745.5595703125,435.9130554199219,1133.2335205078125,454.8928833007813,194.49107360839844,50650.91796875,49698.00390625,52556.515625,56240.3984375,225.8191680908203,547.4230346679688,401.1893310546875,268.3209228515625,18588.46875,17242.216796875,14565.5693359375,16462.615234375,8027.044921875,8458.6728515625,8570.603515625,7576.10302734375,12310,27.5238094329834,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.51224708557129,19.82011032104492,1010.7129516601562,198895.296875,4.194330215454102,0,12595643,True,BME690,28605,0,0,0,12592811,24484,0,23.968637466430664,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:02:25.243,"{'cid': 'e28487ec-b416-4994-9344-c5b564f40989', 'uuid': 'e6c63aa3-ed40-4944-9dbf-c98de1a1669d', 'annotationId': 'e75f63e9-73b8-4812-bec6-e9fb4a0362f1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773417743305, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:02:23.537Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.81,16.19,3700.0,3699.33,000000000DFEC3B1,1400.0,1398.54,21470046.0,0.0,0.1,22160332.0,-0.01,300.0,299.17,000000000DFEC3B8,1600.0,1598.88,22450161.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e75f63e9-73b8-4812-bec6-e9fb4a0362f1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,191.6340789794922,1000.51416015625,5.648168563842773,5972.42041015625,6401.2373046875,4506.30810546875,7786.12060546875,6948.35400390625,963.7684936523438,16665.552734375,692.4865112304688,659.2889404296875,551.9923095703125,669.7623901367188,560.458740234375,806.6119384765625,330.0624694824219,3063.10498046875,1415.618896484375,464.95892333984375,63807.8046875,46280.265625,15328.4697265625,14362.91796875,473.6720275878906,146.4674530029297,384.0500793457031,294.97967529296875,116.6948013305664,139.8281707763672,138.2371368408203,169.7890625,340.8313903808594,300.18951416015625,315.0356140136719,279.1878662109375,1489.70654296875,1145.0535888671875,440.5848083496094,544.168212890625,360.36724853515625,740.7559204101562,14339.685546875,14746.71484375,435.4759826660156,1135.4912109375,454.4769287109375,194.35552978515625,50647.05078125,49699.05859375,52558.78125,56236.75390625,225.8225555419922,547.7339477539062,401.2359924316406,268.31134033203125,18593.005859375,17243.255859375,14565.6435546875,16462.416015625,8026.23876953125,8459.7509765625,8570.765625,7575.822265625,12611,27.5238094329834,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.51224708557129,19.82011032104492,1010.6484985351562,199804.875,4.194330215454102,0,12596083,True,BME690,28606,0,0,0,12592811,24484,0,23.968637466430664,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:02:25.545,"{'cid': 'e28487ec-b416-4994-9344-c5b564f40989', 'uuid': 'e6c63aa3-ed40-4944-9dbf-c98de1a1669d', 'annotationId': 'e75f63e9-73b8-4812-bec6-e9fb4a0362f1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773417743305, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:02:23.537Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.81,16.2,3700.0,3699.66,000000000DFEC3B1,1400.0,1398.7,21470046.0,0.0,0.09,22160332.0,-0.01,300.0,299.81,000000000DFEC3B8,1600.0,1598.95,22450161.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e75f63e9-73b8-4812-bec6-e9fb4a0362f1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,191.6446228027344,1002.156005859375,5.62421989440918,5972.18115234375,6401.3896484375,4506.1728515625,7785.55517578125,6947.2998046875,963.8444213867188,16395.201171875,692.1424560546875,658.8307495117188,552.2168579101562,669.893310546875,560.2539672851562,807.6632080078125,330.1490783691406,3051.988525390625,1416.7574462890625,465.13177490234375,63811.68359375,46277.66796875,15329.6484375,14364.310546875,474.0484924316406,146.46881103515625,383.8958129882813,294.81304931640625,116.67610931396484,139.86058044433594,138.27078247070312,169.79615783691406,340.8112487792969,300.1811828613281,315.0390319824219,279.1952819824219,1489.706298828125,1145.0089111328125,440.56451416015625,544.1852416992188,360.2325134277344,742.1088256835938,14340.5615234375,14745.650390625,436.0511169433594,1135.3687744140625,454.8131408691406,194.34327697753903,50647.0546875,49697.734375,52558.89453125,56235.83984375,225.80352783203125,547.1742553710938,401.3446350097656,268.4864807128906,18584.453125,17244.626953125,14565.5615234375,16462.732421875,8026.35888671875,8459.3671875,8570.5234375,7576.5576171875,12912,27.5238094329834,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.5125789642334,19.82009506225586,1010.5948486328124,199987.796875,4.194405555725098,0,12596523,True,BME690,28607,0,0,0,12592811,24484,0,23.968637466430664,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:02:25.846,"{'cid': 'e28487ec-b416-4994-9344-c5b564f40989', 'uuid': 'e6c63aa3-ed40-4944-9dbf-c98de1a1669d', 'annotationId': 'e75f63e9-73b8-4812-bec6-e9fb4a0362f1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773417743305, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:02:23.537Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.82,16.2,3700.0,3700.01,000000000DFEC3B1,1400.0,1398.84,21470046.0,0.0,0.09,22160332.0,-0.0,300.0,300.44,000000000DFEC3B8,1600.0,1599.02,22450161.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e75f63e9-73b8-4812-bec6-e9fb4a0362f1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,191.6416931152344,1000.7426147460938,5.643096446990967,5971.9326171875,6401.27490234375,4506.642578125,7785.93603515625,6947.607421875,965.7503662109376,16436.044921875,692.0535888671875,658.9713134765625,552.0178833007812,670.0687866210938,560.2381591796875,807.275634765625,330.2115173339844,3057.45849609375,1422.47216796875,464.549072265625,63804.7890625,46276.69921875,15326.609375,14363.4892578125,473.6983337402344,146.4632568359375,383.9794921875,294.9093322753906,116.68948364257812,139.85919189453125,138.27638244628906,169.7576904296875,340.83642578125,300.1498107910156,315.0231628417969,279.19293212890625,1489.609375,1144.990966796875,440.5629577636719,544.1288452148438,360.3622741699219,741.3853149414062,14336.8125,14736.3701171875,435.9201049804688,1133.4239501953125,454.7119140625,194.38987731933597,50644.375,49698.35546875,52563.06640625,56239.03125,225.8314971923828,547.1686401367188,401.4167785644531,268.391845703125,18589.544921875,17245.080078125,14565.1064453125,16462.98828125,8026.49658203125,8458.4990234375,8570.3583984375,7576.26220703125,13213,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.5125789642334,19.82009506225586,1010.5948486328124,199987.796875,4.194405555725098,0,12596523,True,BME690,28607,0,0,0,12592811,24484,0,23.968637466430664,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:02:26.146,"{'cid': 'e28487ec-b416-4994-9344-c5b564f40989', 'uuid': 'e6c63aa3-ed40-4944-9dbf-c98de1a1669d', 'annotationId': 'e75f63e9-73b8-4812-bec6-e9fb4a0362f1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773417743305, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:02:23.537Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.82,16.2,3700.0,3700.36,000000000DFEC3B1,1400.0,1398.99,21470046.0,0.0,0.09,22160332.0,-0.0,300.0,301.06,000000000DFEC3B8,1600.0,1599.09,22450161.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e75f63e9-73b8-4812-bec6-e9fb4a0362f1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,191.614013671875,1001.9732055664062,5.600265979766846,5972.7490234375,6401.2509765625,4505.91259765625,7785.50732421875,6947.59912109375,965.8223266601562,16442.15234375,692.5093383789062,658.2652587890625,552.01953125,670.110595703125,560.4314575195312,806.6220703125,330.0673828125,3026.58984375,1420.0234375,464.9263610839844,63800.79296875,46274.03515625,15327.7607421875,14363.5595703125,473.9870910644531,146.51620483398438,384.4685974121094,294.7689819335937,116.73133850097656,139.85479736328125,138.2667694091797,169.81033325195312,340.8333435058594,300.1750183105469,315.0082092285156,279.1672668457031,1489.573974609375,1145.04736328125,440.53948974609375,544.16357421875,360.2390441894531,742.3734741210938,14337.9609375,14744.015625,435.3182678222656,1133.5709228515625,454.476806640625,194.38400268554688,50646.3515625,49700.18359375,52558.45703125,56242.82421875,225.815673828125,547.2050170898438,401.1791076660156,268.5354919433594,18589.126953125,17244.9609375,14563.5400390625,16463.177734375,8026.7255859375,8459.4462890625,8570.44921875,7575.97998046875,13514,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.51224708557129,19.82011032104492,1010.54443359375,198714.375,4.194330215454102,0,12596963,True,BME690,28608,0,0,0,12592811,24484,0,23.968637466430664,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:02:26.447,"{'cid': 'e28487ec-b416-4994-9344-c5b564f40989', 'uuid': 'e6c63aa3-ed40-4944-9dbf-c98de1a1669d', 'annotationId': 'e75f63e9-73b8-4812-bec6-e9fb4a0362f1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773417743305, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:02:23.537Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.82,16.21,3700.0,3700.26,000000000DFEC3B1,1400.0,1399.2,21470046.0,0.0,0.11,22160332.0,-0.0,300.0,301.69,000000000DFEC3B8,1600.0,1599.11,22450161.0
