component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_184324,FLW0_184324,ANLT0_184324,FLW0_181225,SETP0_454625,FLW0_454625,ANLT0_454625
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a15ab4ce-e587-4898-ab61-3c5dbf04a85d,abf3d6e6-cbae-42a9-8225-203c3276d984,193.2632293701172,1006.3981323242188,5.6506781578063965,5978.41064453125,6409.25146484375,4515.103515625,7800.6689453125,6961.0673828125,968.4817504882812,16664.373046875,696.5154418945312,663.5636596679688,555.15673828125,675.0101318359375,564.5388793945312,814.9767456054688,332.63427734375,3067.578857421875,1429.29638671875,469.0979919433594,63865.5703125,46310.8671875,15334.55859375,14372.697265625,477.1803283691406,147.08070373535156,385.0022277832031,295.069091796875,116.84642791748048,140.1605224609375,138.570556640625,170.27029418945312,341.19854736328125,300.511474609375,315.1432189941406,279.3472900390625,1490.5030517578125,1145.7047119140625,440.7371826171875,544.3984375,363.0106201171875,744.0294799804688,14349.705078125,14751.3935546875,437.2677612304688,1144.9146728515625,456.8421936035156,195.3660125732422,50678.8671875,49729.921875,52613.37109375,56294.65625,227.18109130859372,550.748046875,403.64697265625,270.3055419921875,18614.380859375,17257.419921875,14574.9130859375,16473.072265625,8037.787109375,8470.84375,8584.0185546875,7590.3486328125,9430,27.5238094329834,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.5584659576416,19.93356132507324,1010.4788208007812,198353.515625,4.229439735412598,0,11543151,True,BME690,26215,0,0,0,11540577,24484,0,24.06042861938477,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:44:52.460,"{'cid': 'f163f339-98c7-44ff-bfdb-924771ed9a1b', 'uuid': '19c8b8bb-4506-45d0-bd1b-a6874536faf8', 'annotationId': 'a15ab4ce-e587-4898-ab61-3c5dbf04a85d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773416692059, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:44:52.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.89,16.28,1600.0,1596.48,22450161.0,300.0,300.98,000000000DFEC3B8,60.0,59.31,22160332.0,1340.0,1338.0,21470046.0,-0.01,3700.0,3701.76,000000000DFEC3B1
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a15ab4ce-e587-4898-ab61-3c5dbf04a85d,abf3d6e6-cbae-42a9-8225-203c3276d984,193.2396697998047,1005.9042358398438,5.64058256149292,5978.42919921875,6409.20556640625,4514.27099609375,7800.78662109375,6961.5859375,966.84521484375,16784.28515625,696.71630859375,664.025634765625,555.5020141601562,673.454345703125,564.4334106445312,813.6748046875,333.2250061035156,3059.145751953125,1429.2490234375,469.2018737792969,63858.3046875,46309.59375,15333.6044921875,14372.541015625,476.8976440429688,147.09388732910156,385.2764892578125,295.301513671875,116.86532592773438,140.16989135742188,138.53665161132812,170.22227478027344,341.2396850585937,300.5199890136719,315.13555908203125,279.3855895996094,1490.6011962890625,1145.745361328125,440.7609558105469,544.393798828125,363.0231628417969,744.3250122070312,14349.13671875,14743.12890625,437.1808471679688,1140.538330078125,456.38580322265625,195.2527618408203,50680.828125,49735.43359375,52608.3125,56296.59765625,227.163818359375,550.7145385742188,403.2166748046875,270.4208068847656,18614.48046875,17256.7265625,14575.6015625,16473.3203125,8038.1455078125,8471.1455078125,8584.1904296875,7590.4921875,9732,27.68498039245605,29.37728881835937,0,0,0,0,0,0,0,0,0,0,0,1,23.55879783630371,19.92745018005371,1010.4796142578124,199258.140625,4.228222370147705,0,11543592,True,BME690,26216,0,0,0,11540577,24484,0,24.06042861938477,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:44:52.761,"{'cid': 'f163f339-98c7-44ff-bfdb-924771ed9a1b', 'uuid': '19c8b8bb-4506-45d0-bd1b-a6874536faf8', 'annotationId': 'a15ab4ce-e587-4898-ab61-3c5dbf04a85d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773416692059, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:44:52.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.89,16.28,1600.0,1596.48,22450161.0,300.0,300.98,000000000DFEC3B8,60.0,59.31,22160332.0,1340.0,1338.0,21470046.0,-0.01,3700.0,3701.76,000000000DFEC3B1
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a15ab4ce-e587-4898-ab61-3c5dbf04a85d,abf3d6e6-cbae-42a9-8225-203c3276d984,193.2724609375,1005.7836303710938,5.644423007965088,5978.71240234375,6408.564453125,4514.36767578125,7800.38134765625,6961.564453125,967.205078125,16788.47265625,696.3953247070312,662.4459228515625,555.9727783203125,674.6944580078125,564.7714233398438,813.9200439453125,332.97509765625,3062.209716796875,1431.6307373046875,468.8286743164063,63863.8359375,46309.75,15333.1650390625,14373.048828125,477.3018798828125,147.1079864501953,384.677734375,295.3761291503906,116.91697692871094,140.1539764404297,138.57139587402344,170.2472381591797,341.2149353027344,300.5130920410156,315.1510314941406,279.3532409667969,1490.466552734375,1145.71484375,440.7902526855469,544.455322265625,363.0029296875,744.1761474609375,14346.03125,14741.0791015625,437.2072143554688,1142.9984130859375,456.48626708984375,195.21212768554688,50679.578125,49738.328125,52606.48046875,56291.90234375,227.1660919189453,551.2210693359375,403.28656005859375,270.5281066894531,18612.7109375,17255.234375,14575.2158203125,16473.748046875,8038.0146484375,8471.9296875,8584.58984375,7590.42822265625,10032,27.604394912719727,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.55879783630371,19.92745018005371,1010.4796142578124,199258.140625,4.228222370147705,0,11543592,True,BME690,26216,0,0,0,11540577,24484,0,24.06042861938477,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:44:53.062,"{'cid': 'f163f339-98c7-44ff-bfdb-924771ed9a1b', 'uuid': '19c8b8bb-4506-45d0-bd1b-a6874536faf8', 'annotationId': 'a15ab4ce-e587-4898-ab61-3c5dbf04a85d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773416692059, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:44:52.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.87,16.3,1600.0,1596.68,22450161.0,300.0,300.93,000000000DFEC3B8,60.0,59.35,22160332.0,1340.0,1338.06,21470046.0,-0.01,3700.0,3701.76,000000000DFEC3B1
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a15ab4ce-e587-4898-ab61-3c5dbf04a85d,abf3d6e6-cbae-42a9-8225-203c3276d984,193.22650146484372,1005.3175659179688,5.615481853485107,5978.46044921875,6408.72021484375,4514.43505859375,7800.4033203125,6961.5986328125,965.939453125,16586.138671875,696.8861694335938,663.5967407226562,555.4267578125,674.4340209960938,564.61767578125,816.08251953125,332.9810791015625,3073.392822265625,1429.6065673828125,469.3034973144531,63866.85546875,46311.5234375,15335.0615234375,14372.80078125,477.5783386230469,147.08811950683594,385.4467468261719,295.1258850097656,116.88118743896484,140.17713928222656,138.58236694335938,170.26173400878906,341.2176818847656,300.5189208984375,315.1629638671875,279.3579406738281,1490.5772705078125,1145.8092041015625,440.7526245117188,544.438232421875,362.96923828125,745.5089111328125,14348.23046875,14747.8740234375,437.4596862792969,1143.0008544921875,456.2928466796875,195.24317932128903,50678.390625,49742.07421875,52602.38671875,56291.51953125,227.1750030517578,550.6521606445312,403.0604248046875,270.2841491699219,18608.47265625,17255.359375,14576.005859375,16472.615234375,8037.74365234375,8471.63671875,8584.4443359375,7590.7724609375,10333,27.68498039245605,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.55879783630371,19.933544158935547,1010.4796142578124,200354.640625,4.229515552520752,0,11544032,True,BME690,26217,0,0,0,11540577,24484,0,24.06042861938477,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:44:53.363,"{'cid': 'f163f339-98c7-44ff-bfdb-924771ed9a1b', 'uuid': '19c8b8bb-4506-45d0-bd1b-a6874536faf8', 'annotationId': 'a15ab4ce-e587-4898-ab61-3c5dbf04a85d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773416692059, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:44:52.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.86,16.31,1600.0,1597.3,22450161.0,300.0,300.79,000000000DFEC3B8,60.0,59.49,22160332.0,1340.0,1338.28,21470046.0,-0.01,3700.0,3701.76,000000000DFEC3B1
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a15ab4ce-e587-4898-ab61-3c5dbf04a85d,abf3d6e6-cbae-42a9-8225-203c3276d984,193.26513671875,1006.3948974609376,5.576379299163818,5978.50537109375,6408.49658203125,4514.67724609375,7800.4365234375,6961.16796875,963.9674682617188,16529.333984375,697.130615234375,663.0494384765625,555.6708374023438,674.3223876953125,564.4862670898438,814.4542846679688,332.9539794921875,3056.932373046875,1430.3284912109375,469.0870361328125,63862.9140625,46310.828125,15335.6611328125,14373.599609375,477.72454833984375,147.02578735351562,384.9247131347656,295.0886535644531,116.8842544555664,140.19580078125,138.56382751464844,170.26295471191406,341.2171936035156,300.51708984375,315.1858215332031,279.324951171875,1490.642578125,1145.8302001953125,440.7310485839844,544.424560546875,362.8620910644531,744.83544921875,14346.404296875,14742.59375,436.9912414550781,1140.509521484375,455.8676452636719,195.44720458984372,50682.16796875,49738.46484375,52607.23046875,56290.28515625,227.10903930664065,550.9215087890625,403.1328430175781,270.3157653808594,18616.755859375,17256.556640625,14576.376953125,16473.36328125,8037.9443359375,8471.158203125,8583.9970703125,7590.84716796875,10634,27.68498039245605,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.55946350097656,19.939605712890625,1010.48291015625,199258.140625,4.23096227645874,0,11544473,True,BME690,26218,0,0,0,11540577,24484,0,24.06042861938477,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:44:53.665,"{'cid': 'f163f339-98c7-44ff-bfdb-924771ed9a1b', 'uuid': '19c8b8bb-4506-45d0-bd1b-a6874536faf8', 'annotationId': 'a15ab4ce-e587-4898-ab61-3c5dbf04a85d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773416692059, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:44:52.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.84,16.33,1600.0,1597.93,22450161.0,300.0,300.64,000000000DFEC3B8,60.0,59.63,22160332.0,1340.0,1338.5,21470046.0,-0.01,3700.0,3701.76,000000000DFEC3B1
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a15ab4ce-e587-4898-ab61-3c5dbf04a85d,abf3d6e6-cbae-42a9-8225-203c3276d984,193.24903869628903,1004.8871459960938,5.6456732749938965,5978.86083984375,6408.8017578125,4514.47802734375,7800.53076171875,6961.4208984375,968.5321655273438,16607.599609375,697.2294311523438,662.5530395507812,555.3163452148438,674.1153564453125,564.8526611328125,814.9680786132812,332.85699462890625,3062.681640625,1426.9805908203125,469.0981750488281,63856.34375,46310.6484375,15335.4375,14371.9443359375,476.8616638183594,147.10235595703125,384.9766540527344,295.1885070800781,116.88085174560548,140.21994018554688,138.54580688476562,170.25738525390625,341.2088317871094,300.5174255371094,315.1643981933594,279.4166564941406,1490.5654296875,1145.7391357421875,440.7400207519531,544.4288330078125,362.8960266113281,744.78173828125,14348.7275390625,14747.9716796875,437.69384765625,1142.4520263671875,455.69476318359375,195.38980102539065,50677.27734375,49737.6875,52607.29296875,56292.0703125,227.10513305664065,551.3084716796875,403.07275390625,270.5877685546875,18609.138671875,17257.033203125,14575.8603515625,16473.978515625,8038.2919921875,8472.3369140625,8584.345703125,7590.76171875,10935,27.68498039245605,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.55946350097656,19.939605712890625,1010.48291015625,199258.140625,4.23096227645874,0,11544473,True,BME690,26218,0,0,0,11540577,24484,0,24.06042861938477,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:44:53.967,"{'cid': 'f163f339-98c7-44ff-bfdb-924771ed9a1b', 'uuid': '19c8b8bb-4506-45d0-bd1b-a6874536faf8', 'annotationId': 'a15ab4ce-e587-4898-ab61-3c5dbf04a85d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773416692059, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:44:52.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.85,16.34,1600.0,1598.55,22450161.0,300.0,300.49,000000000DFEC3B8,60.0,59.77,22160332.0,1340.0,1338.71,21470046.0,-0.01,3700.0,3701.76,000000000DFEC3B1
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a15ab4ce-e587-4898-ab61-3c5dbf04a85d,abf3d6e6-cbae-42a9-8225-203c3276d984,193.2845458984375,1005.076171875,5.629194259643555,5978.375,6408.3427734375,4514.24169921875,7800.3603515625,6961.37109375,966.8124389648438,16707.634765625,697.2877197265625,662.93798828125,554.935791015625,675.3820190429688,564.3858642578125,814.10693359375,332.9486999511719,3074.1162109375,1427.8785400390625,469.1590270996094,63854.62890625,46309.87109375,15334.3369140625,14373.4755859375,476.8356323242188,147.0589141845703,385.421875,295.04754638671875,116.87654876708984,140.1712188720703,138.53863525390625,170.230712890625,341.2164306640625,300.514892578125,315.1416015625,279.4296264648437,1490.572998046875,1145.8177490234375,440.77288818359375,544.4725341796875,362.9849548339844,745.7963256835938,14348.2021484375,14755.150390625,436.7328186035156,1143.7972412109375,455.9022521972656,195.3380584716797,50679.765625,49742.140625,52602.83984375,56290.625,227.15350341796875,551.6553955078125,402.8131103515625,270.2948303222656,18617.779296875,17256.380859375,14576.439453125,16473.705078125,8038.3408203125,8472.0986328125,8584.4482421875,7590.52099609375,11236,27.5238094329834,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.559795379638672,19.933494567871094,1010.4159545898438,198533.78125,4.229745388031006,0,11544913,True,BME690,26219,0,0,0,11540577,24484,0,24.06042861938477,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:44:54.266,"{'cid': 'f163f339-98c7-44ff-bfdb-924771ed9a1b', 'uuid': '19c8b8bb-4506-45d0-bd1b-a6874536faf8', 'annotationId': 'a15ab4ce-e587-4898-ab61-3c5dbf04a85d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773416692059, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:44:52.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.86,16.35,1600.0,1598.77,22450161.0,300.0,301.08,000000000DFEC3B8,60.0,59.81,22160332.0,1340.0,1338.72,21470046.0,-0.01,3700.0,3702.44,000000000DFEC3B1
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a15ab4ce-e587-4898-ab61-3c5dbf04a85d,abf3d6e6-cbae-42a9-8225-203c3276d984,193.2676544189453,1005.822265625,5.614201068878174,5978.337890625,6408.70166015625,4513.84228515625,7800.548828125,6961.453125,965.2333984375,16742.59375,697.0509033203125,662.7013549804688,555.5,674.7212524414062,564.3651123046875,815.1670532226562,333.004638671875,3075.211669921875,1431.6007080078125,469.0741882324219,63858.34375,46306.58984375,15335.17578125,14372.8818359375,476.4300537109375,147.09622192382812,385.515380859375,295.1871032714844,116.90709686279295,140.20037841796875,138.52056884765625,170.23936462402344,341.1885681152344,300.4892578125,315.1360778808594,279.3555908203125,1490.5738525390625,1145.7911376953125,440.7304382324219,544.4002075195312,362.9483642578125,744.6487426757812,14344.470703125,14746.10546875,437.3531799316406,1141.6300048828125,456.0968933105469,195.3071136474609,50678.9140625,49745.4296875,52603.2109375,56293.80859375,227.13931274414065,551.2481079101562,402.5736083984375,270.6444702148437,18613.390625,17254.517578125,14575.6396484375,16474.1953125,8037.86767578125,8470.548828125,8584.4541015625,7590.373046875,11538,27.68498039245605,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.560461044311523,19.933460235595703,1010.3580322265624,198173.578125,4.229897975921631,0,11545354,True,BME690,26220,0,0,0,11540577,24484,0,24.06042861938477,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:44:54.568,"{'cid': 'f163f339-98c7-44ff-bfdb-924771ed9a1b', 'uuid': '19c8b8bb-4506-45d0-bd1b-a6874536faf8', 'annotationId': 'a15ab4ce-e587-4898-ab61-3c5dbf04a85d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773416692059, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:44:52.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.87,16.36,1600.0,1598.99,22450161.0,300.0,301.69,000000000DFEC3B8,60.0,59.85,22160332.0,1340.0,1338.72,21470046.0,-0.01,3700.0,3703.17,000000000DFEC3B1
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a15ab4ce-e587-4898-ab61-3c5dbf04a85d,abf3d6e6-cbae-42a9-8225-203c3276d984,193.2784881591797,1005.9320068359376,5.639349460601807,5978.748046875,6408.6689453125,4514.01123046875,7799.81591796875,6961.064453125,964.8848876953124,16579.01171875,696.9950561523438,664.3736572265625,555.4358520507812,675.0224609375,563.747802734375,814.9729614257812,333.1216125488281,3056.45068359375,1430.6207275390625,469.0177001953125,63861.1953125,46307.015625,15334.6943359375,14371.943359375,477.1032409667969,147.06919860839844,385.2388916015625,295.3630065917969,116.88748931884766,140.20126342773438,138.5419158935547,170.26048278808594,341.2315673828125,300.5113220214844,315.12921142578125,279.3462829589844,1490.53662109375,1145.7156982421875,440.77142333984375,544.4081420898438,363.0137023925781,746.9382934570312,14344.0888671875,14749.716796875,437.7379760742188,1145.03173828125,455.9895324707031,195.3795928955078,50676.31640625,49744.046875,52602.91796875,56292.93359375,227.0538330078125,551.3785400390625,402.9854736328125,270.46954345703125,18613.744140625,17255.548828125,14574.8330078125,16475.166015625,8038.2060546875,8471.8994140625,8584.0556640625,7590.904296875,11838,27.44322204589844,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.560461044311523,19.933460235595703,1010.3580322265624,198173.578125,4.229897975921631,0,11545354,True,BME690,26220,0,0,0,11545580,24484,0,24.24321174621582,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:44:54.869,"{'cid': 'f163f339-98c7-44ff-bfdb-924771ed9a1b', 'uuid': '19c8b8bb-4506-45d0-bd1b-a6874536faf8', 'annotationId': 'a15ab4ce-e587-4898-ab61-3c5dbf04a85d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773416692059, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:44:52.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.88,16.37,1600.0,1599.2,22450161.0,300.0,302.3,000000000DFEC3B8,60.0,59.88,22160332.0,1340.0,1338.72,21470046.0,-0.01,3700.0,3703.9,000000000DFEC3B1
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a15ab4ce-e587-4898-ab61-3c5dbf04a85d,abf3d6e6-cbae-42a9-8225-203c3276d984,193.25506591796875,1002.870849609375,5.622979164123535,5978.50146484375,6408.6708984375,4514.0087890625,7800.0419921875,6960.94091796875,969.2288818359376,16703.12109375,697.2124633789062,663.833984375,555.5079345703125,675.651123046875,564.4678344726562,814.0484008789062,333.2294616699219,3075.45849609375,1429.8736572265625,468.6912536621094,63859.40234375,46303.82421875,15334.732421875,14372.078125,477.0152282714844,147.0567626953125,384.7600402832031,295.2674865722656,116.90203094482422,140.1676483154297,138.53146362304688,170.2485809326172,341.2121887207031,300.5195007324219,315.2044982910156,279.3764953613281,1490.516357421875,1145.8214111328125,440.7456970214844,544.4171752929688,362.8316955566406,746.1331787109375,14347.576171875,14747.0537109375,437.2385559082031,1144.8590087890625,456.1981201171875,195.17660522460935,50680.83984375,49741.265625,52605.59765625,56291.79296875,227.1457977294922,550.8173217773438,403.4360046386719,270.2976379394531,18611.076171875,17255.96875,14576.9853515625,16473.1328125,8037.9482421875,8471.8427734375,8584.4482421875,7590.42333984375,12139,27.68498039245605,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.560792922973636,19.93953895568848,1010.3075561523438,198353.515625,4.231266975402832,0,11545794,True,BME690,26221,0,0,0,11545580,24484,0,24.24321174621582,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:44:55.171,"{'cid': 'f163f339-98c7-44ff-bfdb-924771ed9a1b', 'uuid': '19c8b8bb-4506-45d0-bd1b-a6874536faf8', 'annotationId': 'a15ab4ce-e587-4898-ab61-3c5dbf04a85d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773416692059, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:44:52.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.88,16.39,1600.0,1599.17,22450161.0,300.0,300.85,000000000DFEC3B8,60.0,59.92,22160332.0,1340.0,1338.77,21470046.0,-0.01,3700.0,3703.98,000000000DFEC3B1
