component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:15:22.041Z,E,253.88133239746094,632.29443359375,7292.86767578125,9601.1513671875,5199.576171875,6058.720703125,8505.4453125,7694.7158203125,3384.3525390625,500.4290771484375,956.2255249023438,1379.383056640625,7153.40625,13085.6923828125,10609.6025390625,6168.68798828125,331.76568603515625,2583.6533203125,975.5411987304688,3244.528076171875,748764.0,123516.1328125,25767.916015625,21794.73046875,199.42596435546875,578.0676879882812,1952.4635009765625,1893.0411376953125,3513.33740234375,932.1550903320312,352.53192138671875,693.6238403320312,423.33489990234375,382.85906982421875,444.0729675292969,257.374755859375,2507.773681640625,1939.7034912109375,896.7164306640625,1270.4073486328125,2726.1240234375,1079.5369873046875,36700.09375,8225.5595703125,1318.8062744140625,1473.0167236328125,1046.1663818359375,4153.61865234375,75950.140625,86181.6328125,73506.875,71215.7265625,1082.7696533203125,748.3491821289062,181367664.0,1135.284423828125,21357.1640625,21151.390625,19352.97265625,18581.396484375,8542.8837890625,8196.693359375,7762.3271484375,6990.97021484375,703,27.201465606689453,28.652013778686523,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.726001739501953,28.65007209777832,1025.6708984375,317904.4375,5.79697322845459,0,5254575,True,BME690,11930,0.0,0.0,0,5252972,24484,0,30.04623031616211,13,pre-baseline
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:15:22.078Z,E,253.85357666015625,631.7901000976562,7292.974609375,9601.6875,5199.91552734375,6059.423828125,8505.029296875,7695.07568359375,3378.7734375,500.5674743652344,954.3922729492188,1378.8382568359375,7178.4794921875,13092.4951171875,10631.4423828125,6162.7607421875,331.9499206542969,2582.049560546875,975.0464477539062,3233.85302734375,748868.1875,123532.03125,25760.5703125,21795.36328125,199.43206787109375,577.56689453125,1954.1513671875,1890.8861083984375,3510.012939453125,932.4421997070312,352.5613098144531,694.3577270507812,423.27001953125,382.86029052734375,443.98699951171875,257.3667907714844,2507.23388671875,1939.16845703125,896.8799438476562,1270.515625,2723.201416015625,1078.982177734375,36704.65234375,8223.9375,1318.8680419921875,1474.379638671875,1047.326904296875,4142.53369140625,75945.6875,86181.515625,73507.953125,71226.84375,1084.169921875,748.4098510742188,181299664.0,1137.5574951171875,21359.0546875,21151.509765625,19352.36328125,18583.484375,8542.58984375,8196.123046875,7762.7587890625,6991.1044921875,1004,27.28205108642578,28.732601165771484,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.72566795349121,28.650081634521484,1025.6717529296875,318367.75,5.7968645095825195,0,5255015,True,BME690,11931,0.0,0.0,0,5252972,24484,0,30.04623031616211,13,pre-baseline
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:15:22.513Z,E,253.79063415527344,632.3360595703125,7286.53076171875,9599.671875,5199.7236328125,6058.93798828125,8506.025390625,7697.49951171875,3384.6396484375,500.24609375,955.5687255859375,1376.383056640625,7167.86083984375,13027.177734375,10572.58203125,6140.72216796875,332.5059509277344,2571.6728515625,974.1017456054688,3255.1171875,748945.1875,123566.046875,25772.18359375,21791.4296875,199.47569274902344,577.7531127929688,1952.1451416015625,1891.5384521484375,3525.18212890625,932.6226196289062,352.6087341308594,694.1184692382812,423.3077087402344,382.9181213378906,444.1643371582031,257.34149169921875,2507.430908203125,1939.47314453125,896.667236328125,1270.220703125,2728.900634765625,1078.436279296875,36669.22265625,8223.2275390625,1318.2242431640625,1471.827880859375,1044.451904296875,4152.65283203125,75932.171875,86183.453125,73514.1484375,71214.5,1083.920654296875,747.971923828125,186216928.0,1134.645751953125,21359.115234375,21156.98828125,19356.1328125,18576.37109375,8541.595703125,8196.169921875,7761.86328125,6991.388671875,9433,27.28205108642578,28.732601165771484,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.729005813598633,28.64998435974121,1025.6700439453125,317673.3125,5.797952651977539,0,5263381,True,BME690,11950,0.0,0.0,0,5262991,24484,0,29.663484573364258,13,pre-baseline
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:15:22.813Z,E,253.92282104492188,632.8052978515625,7292.92529296875,9601.513671875,5199.50390625,6058.5595703125,8507.08984375,7695.3818359375,3382.116943359375,500.24365234375,955.1533813476562,1375.600341796875,7204.923828125,13088.197265625,10590.1669921875,6139.79443359375,332.4189758300781,2570.079345703125,975.4163818359375,3247.888671875,749203.625,123595.5234375,25772.7265625,21795.69140625,199.46890258789062,578.076904296875,1953.2584228515625,1890.5848388671875,3506.989501953125,933.0480346679688,352.73895263671875,693.8529663085938,423.3341064453125,382.9261779785156,443.97906494140625,257.33612060546875,2508.21044921875,1939.6873779296875,896.6443481445312,1269.8526611328125,2736.26025390625,1078.44921875,36702.23828125,8223.322265625,1318.7442626953125,1474.8839111328125,1044.078857421875,4145.85986328125,75937.6171875,86190.78125,73511.8125,71225.3359375,1083.958740234375,749.6057739257812,185746880.0,1136.8912353515625,21359.197265625,21158.876953125,19352.00390625,18582.509765625,8540.8955078125,8196.634765625,7762.3134765625,6990.61328125,9734,27.28205108642578,28.813186645507812,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.729005813598633,28.64998435974121,1025.6700439453125,317673.3125,5.797952651977539,0,5263381,True,BME690,11950,0.0,0.0,0,5262991,24484,0,29.663484573364258,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:15:23.113Z,E,253.91357421875,632.0354614257812,7294.013671875,9601.953125,5199.33154296875,6057.12109375,8505.3388671875,7690.94384765625,3386.02978515625,500.067138671875,955.3687133789062,1375.4407958984375,7195.2021484375,13039.97265625,10603.5966796875,6151.41748046875,332.5352783203125,2569.68310546875,975.6161499023438,3253.252685546875,749040.125,123586.8125,25774.306640625,21794.296875,199.51271057128906,576.99072265625,1955.01708984375,1888.7476806640625,3517.467041015625,932.5888671875,352.5374755859375,693.9494018554688,423.3678283691406,382.8919372558594,444.00152587890625,257.3465270996094,2507.3369140625,1939.76611328125,896.4541015625,1269.768798828125,2736.957763671875,1078.3056640625,36707.94921875,8222.4326171875,1318.7305908203125,1473.154541015625,1045.679931640625,4139.95703125,75933.28125,86170.8671875,73498.8125,71224.5,1085.1923828125,748.8862915039062,185279984.0,1136.488037109375,21357.59375,21152.353515625,19353.572265625,18570.482421875,8541.255859375,8196.3310546875,7762.2919921875,6990.7490234375,10035,27.36263656616211,28.813186645507812,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.72867202758789,28.64398765563965,1025.669189453125,318135.90625,5.796627998352051,0,5263821,True,BME690,11951,0.0,0.0,0,5262991,24484,0,29.663484573364258,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:15:23.415Z,E,253.89501953125,631.1072387695312,7293.17724609375,9600.611328125,5199.505859375,6057.51318359375,8505.09765625,7695.5439453125,3382.16357421875,500.48590087890625,954.3005981445312,1379.145263671875,7202.57421875,13112.697265625,10594.2548828125,6139.45263671875,332.3992614746094,2575.3544921875,974.5814819335938,3256.17431640625,749165.9375,123577.453125,25776.58203125,21789.755859375,199.5070037841797,576.70849609375,1952.9537353515625,1892.474853515625,3517.928955078125,933.2438354492188,352.7160339355469,694.5399169921875,423.34173583984375,382.8937683105469,443.8266906738281,257.3460693359375,2507.232666015625,1939.682373046875,896.5408935546875,1269.655029296875,2732.03271484375,1078.7266845703125,36697.3515625,8223.5869140625,1317.9683837890625,1473.1341552734375,1045.2208251953125,4143.18359375,75935.5390625,86183.5625,73512.078125,71232.1484375,1084.08837890625,747.8369140625,184900864.0,1135.4158935546875,21358.140625,21148.390625,19356.810546875,18573.287109375,8541.6337890625,8196.0439453125,7762.80712890625,6990.92724609375,10336,27.443222045898438,28.813186645507812,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.72867202758789,28.649993896484375,1025.669189453125,317442.46875,5.7978434562683105,0,5264261,True,BME690,11952,0.0,0.0,0,5262991,24484,0,29.663484573364258,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:15:23.715Z,E,253.8766326904297,630.9330444335938,7290.2333984375,9602.59765625,5199.2177734375,6057.6923828125,8506.255859375,7695.9072265625,3380.7978515625,500.50982666015625,955.78466796875,1380.1458740234375,7184.83447265625,13055.5126953125,10579.5810546875,6144.29052734375,332.3106384277344,2572.3095703125,975.0442504882812,3247.83203125,748833.75,123574.1875,25774.76171875,21793.390625,199.4737548828125,576.2744140625,1955.600830078125,1896.444091796875,3514.55126953125,933.0674438476562,352.5224609375,695.0245971679688,423.3118591308594,382.96527099609375,443.90081787109375,257.37890625,2507.1298828125,1940.045166015625,896.4816284179688,1270.1688232421875,2734.6337890625,1077.8721923828125,36697.63671875,8222.2431640625,1317.5921630859375,1475.27392578125,1044.79443359375,4141.20068359375,75946.0234375,86174.90625,73507.640625,71241.921875,1083.9305419921875,748.6681518554688,184499104.0,1135.636474609375,21357.921875,21152.6171875,19356.828125,18569.677734375,8542.3076171875,8196.2578125,7762.7705078125,6989.8076171875,10637,27.28205108642578,28.732601165771484,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.72867202758789,28.649993896484375,1025.669189453125,317442.46875,5.7978434562683105,0,5264261,True,BME690,11952,0.0,0.0,0,5262991,24484,0,29.663484573364258,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:15:24.018Z,E,254.04446411132812,631.5114135742188,7283.90283203125,9601.736328125,5199.7041015625,6057.3935546875,8506.4853515625,7697.3427734375,3386.279541015625,500.0948791503906,955.6502075195312,1380.2080078125,7171.3994140625,13074.3798828125,10627.388671875,6145.802734375,332.3242492675781,2569.857421875,974.9468994140625,3256.17431640625,748564.3125,123561.859375,25787.904296875,21796.033203125,199.42266845703125,576.3742065429688,1957.1407470703125,1890.2139892578125,3521.449462890625,933.4822998046875,352.50482177734375,694.0731201171875,423.3725280761719,382.935546875,444.1119384765625,257.362548828125,2508.25830078125,1939.911376953125,896.6065063476562,1269.9794921875,2730.51708984375,1077.9764404296875,36696.796875,8223.8193359375,1317.3890380859375,1471.3271484375,1045.361328125,4147.08056640625,75938.5546875,86195.453125,73503.1171875,71233.9140625,1082.846923828125,750.3530883789062,183977056.0,1138.73681640625,21357.443359375,21148.6484375,19357.23046875,18570.69140625,8541.9208984375,8196.318359375,7762.8779296875,6990.91357421875,10938,27.36263656616211,28.813186645507812,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.72867202758789,28.649993896484375,1025.6708984375,319065.25,5.7978434562683105,0,5264701,True,BME690,11953,0.0,0.0,0,5262991,24484,0,29.663484573364258,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:15:24.319Z,E,253.84523010253906,630.6166381835938,7285.7822265625,9595.8740234375,5199.28857421875,6057.095703125,8505.9443359375,7695.296875,3385.8525390625,500.2373046875,955.377197265625,1379.3441162109375,7200.4638671875,13137.935546875,10596.404296875,6145.55517578125,332.4972229003906,2575.1015625,975.4443969726562,3246.6015625,747888.1875,123496.3203125,25780.501953125,21785.78515625,199.46881103515625,576.689453125,1959.1605224609375,1891.6617431640625,3502.031494140625,933.5740356445312,352.52593994140625,694.351806640625,423.36651611328125,382.8789367675781,444.0381774902344,257.3531188964844,2507.94970703125,1940.5087890625,896.6219482421875,1270.672119140625,2722.197509765625,1078.7215576171875,36693.1484375,8224.353515625,1317.5809326171875,1474.6370849609375,1045.27978515625,4140.119140625,75939.0078125,86212.5390625,73500.921875,71232.2421875,1083.357421875,749.5030517578125,183408544.0,1138.7685546875,21358.14453125,21153.0625,19354.9375,18577.06640625,8542.2333984375,8196.9248046875,7763.2314453125,6990.8701171875,11239,27.443222045898438,28.89377212524414,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.729005813598633,28.64397621154785,1025.6700439453125,317673.3125,5.796736240386963,0,5265141,True,BME690,11954,0.0,0.0,0,5262991,24484,0,29.663484573364258,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:15:24.618Z,E,253.4267120361328,630.0140991210938,7278.05859375,9586.4609375,5197.3974609375,6057.486328125,8500.6611328125,7694.66650390625,3386.93212890625,500.1414794921875,953.4768676757812,1376.2447509765625,7191.39697265625,13042.236328125,10610.30078125,6149.56103515625,332.29595947265625,2570.889892578125,973.7282104492188,3233.920654296875,745305.1875,123109.2578125,25760.869140625,21780.646484375,199.3865966796875,576.2600708007812,1957.8294677734375,1891.8372802734375,3501.811279296875,931.9228515625,352.5169982910156,694.018310546875,423.3028869628906,382.9256896972656,444.0859375,257.4341735839844,2506.7880859375,1939.5244140625,896.33056640625,1270.168701171875,2735.01513671875,1077.7655029296875,36688.28125,8223.5517578125,1318.8673095703125,1474.749755859375,1045.2891845703125,4141.291015625,75940.84375,86214.265625,73504.515625,71246.453125,1082.340087890625,749.7142333984375,183069152.0,1138.05224609375,21358.203125,21146.8125,19354.791015625,18567.810546875,8542.7177734375,8196.9287109375,7761.83642578125,6990.5673828125,11541,27.28205108642578,28.732601165771484,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.729005813598633,28.64397621154785,1025.612548828125,318599.90625,5.796736240386963,0,5265581,True,BME690,11955,0.0,0.0,0,5262991,24484,0,29.663484573364258,13,AmbientSamplingRFC
