component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:24:20.741Z,E,249.5179901123047,615.423583984375,7206.56201171875,9497.4384765625,5139.12060546875,5985.96044921875,8429.5,7631.58251953125,3259.813232421875,488.27911376953125,943.5093383789062,1363.3734130859375,7018.9482421875,12874.6220703125,10223.0361328125,6023.740234375,328.1889343261719,2541.35400390625,967.9710083007812,3215.872314453125,723242.9375,120839.8828125,25593.271484375,21675.75,195.53228759765625,569.736328125,1932.9259033203125,1872.198486328125,3404.467041015625,905.362060546875,347.78900146484375,684.3067626953125,420.8367614746094,380.5861511230469,440.3485412597656,255.676025390625,2459.327392578125,1906.7313232421875,892.43701171875,1261.90673828125,2687.47802734375,1075.1793212890625,36388.28515625,8140.05810546875,1278.7655029296875,1433.959716796875,1027.4639892578125,4107.38037109375,74559.9296875,84536.0078125,72157.5,69901.3203125,1071.8211669921875,746.37548828125,179939408.0,1128.9765625,21261.765625,21051.48046875,19283.255859375,18497.5078125,8483.564453125,8137.76025390625,7706.38720703125,6941.99853515625,922,27.684980392456055,29.054943084716797,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.323549270629883,25.009675979614258,1025.7166748046875,317212.0,5.236007213592529,0,5794456,True,BME690,13156,0.0,0.0,0,5794703,24484,0,28.98038101196289,13,pre-baseline
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:24:21.393Z,E,249.6995849609375,615.5185546875,7212.0185546875,9500.455078125,5140.7958984375,5988.7802734375,8431.259765625,7634.94189453125,3255.917236328125,487.6653137207031,943.7526245117188,1362.1890869140625,7018.37109375,12823.7470703125,10206.2998046875,6002.62841796875,327.9720764160156,2540.6064453125,968.5348510742188,3211.591552734375,723903.625,120854.6640625,25604.130859375,21678.419921875,195.5988006591797,570.4444580078125,1922.8524169921875,1875.134765625,3404.9560546875,906.1510009765625,347.7405700683594,683.2122192382812,420.82379150390625,380.6936340332031,440.2732849121094,255.67178344726562,2461.19970703125,1907.3338623046875,892.4002685546875,1261.62890625,2686.296142578125,1074.978759765625,36389.953125,8141.78759765625,1277.64892578125,1433.6373291015625,1027.2261962890625,4108.11767578125,74593.421875,84571.5859375,72170.171875,69951.71875,1071.23388671875,743.5697021484375,181176464.0,1129.109130859375,21263.80859375,21051.6875,19282.263671875,18497.671875,8485.2841796875,8138.87939453125,7707.7197265625,6942.16845703125,8447,27.5238094329834,28.97435760498047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.329219818115234,25.09977149963379,1025.7156982421875,318367.75,5.256567478179932,0,5801943,True,BME690,13173,0.0,0.0,0,5799706,24484,0,29.90781593322754,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:24:21.696Z,E,249.6864471435547,615.4171142578125,7214.3671875,9500.9892578125,5141.0341796875,5987.7578125,8431.1826171875,7634.67919921875,3257.479248046875,487.8349609375,943.8211669921875,1364.0887451171875,7012.080078125,12901.259765625,10205.443359375,6012.73828125,327.9415283203125,2540.878662109375,967.9306030273438,3210.7216796875,723889.125,120836.3984375,25605.3515625,21677.7890625,195.54087829589844,570.5000610351562,1924.751220703125,1876.853271484375,3405.7333984375,906.3187255859375,347.743408203125,683.2928466796875,420.8233337402344,380.7173767089844,440.2515563964844,255.67947387695312,2461.6630859375,1907.239990234375,892.5822143554688,1261.397705078125,2690.063720703125,1073.392578125,36400.15625,8141.61083984375,1276.8555908203125,1433.875244140625,1026.35791015625,4105.36279296875,74580.71875,84568.25,72190.109375,69954.5234375,1072.426025390625,744.0593872070312,180961472.0,1128.8031005859375,21264.44921875,21050.78125,19288.20703125,18493.15234375,8486.0830078125,8139.33056640625,7708.1044921875,6942.83837890625,8748,27.5238094329834,28.813186645507812,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.32988739013672,25.10576820373535,1025.71728515625,317442.46875,5.258022785186768,0,5802383,True,BME690,13174,0.0,0.0,0,5799706,24484,0,29.90781593322754,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:24:21.996Z,E,249.59527587890625,615.5301513671875,7211.2841796875,9499.8251953125,5141.55859375,5988.76953125,8431.7763671875,7632.81591796875,3258.52783203125,488.192626953125,943.6885986328125,1363.6875,7009.5654296875,12921.4384765625,10185.4541015625,6022.87109375,328.35028076171875,2539.039306640625,967.9391479492188,3217.0947265625,723895.25,120835.7578125,25615.1015625,21672.931640625,195.5740966796875,570.087158203125,1925.854248046875,1876.1788330078125,3407.20361328125,906.9597778320312,347.7125244140625,683.76220703125,420.7614440917969,380.74102783203125,440.3065185546875,255.6925048828125,2461.45166015625,1906.960205078125,892.6205444335938,1261.7520751953125,2687.691162109375,1073.2847900390625,36412.2578125,8140.2919921875,1278.8031005859375,1429.8897705078125,1025.7525634765625,4115.24365234375,74589.2578125,84581.2734375,72190.0703125,69957.8828125,1073.6302490234375,745.0203857421875,181624800.0,1130.3262939453125,21264.685546875,21057.302734375,19287.02734375,18499.328125,8485.52734375,8139.12109375,7708.26416015625,6942.40771484375,9050,27.684980392456055,29.054943084716797,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.33022117614746,25.105754852294922,1025.7164306640625,319065.25,5.258120059967041,0,5802824,True,BME690,13175,0.0,0.0,0,5799706,24484,0,29.90781593322754,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:24:22.297Z,E,249.6089630126953,615.2948608398438,7213.2373046875,9500.5341796875,5140.529296875,5988.08251953125,8430.7880859375,7629.70166015625,3260.900146484375,487.8953552246094,943.440673828125,1362.3544921875,7025.224609375,12869.728515625,10255.080078125,6020.060546875,328.44268798828125,2540.462646484375,967.9076538085938,3218.03515625,723948.25,120977.828125,25614.251953125,21677.8984375,195.5660858154297,570.87841796875,1925.16748046875,1876.1727294921875,3401.281494140625,906.5840454101562,347.6219482421875,683.470947265625,420.7989501953125,380.73089599609375,440.36798095703125,255.64437866210938,2461.22607421875,1907.095947265625,892.4525756835938,1261.4461669921875,2684.023681640625,1073.564697265625,36402.91015625,8140.3994140625,1278.7451171875,1430.940185546875,1026.9288330078125,4110.21240234375,74593.75,84583.3046875,72183.875,69962.9765625,1074.7547607421875,744.9772338867188,181565952.0,1129.2147216796875,21264.47265625,21053.6875,19288.7265625,18497.9140625,8485.4345703125,8139.4091796875,7708.201171875,6942.4814453125,9350,27.5238094329834,28.97435760498047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.33022117614746,25.105754852294922,1025.7164306640625,319065.25,5.258120059967041,0,5802824,True,BME690,13175,0.0,0.0,0,5799706,24484,0,29.90781593322754,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:24:22.597Z,E,249.6420440673828,615.0968017578125,7207.77099609375,9501.4365234375,5141.208984375,5988.8916015625,8431.7001953125,7633.953125,3253.993408203125,488.2152099609375,943.8986206054688,1366.747314453125,6981.97998046875,12860.9951171875,10202.599609375,6030.02490234375,328.36553955078125,2533.546875,968.077880859375,3216.917236328125,724194.375,121013.9140625,25622.400390625,21675.775390625,195.52760314941406,571.1480102539062,1928.7744140625,1872.1190185546875,3391.392333984375,906.3887329101562,347.7630310058594,683.1533203125,420.82220458984375,380.71221923828125,440.4435729980469,255.6726531982422,2461.60205078125,1907.01318359375,892.57568359375,1261.2381591796875,2692.826904296875,1073.676025390625,36395.53125,8139.89404296875,1278.6790771484375,1429.132080078125,1025.4580078125,4112.25537109375,74599.0390625,84592.234375,72201.6015625,69970.2109375,1073.8260498046875,744.8583984375,181539824.0,1128.632080078125,21262.8984375,21053.78125,19284.640625,18504.720703125,8484.84375,8139.4638671875,7708.53125,6942.94677734375,9651,27.5238094329834,28.97435760498047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.330554962158203,25.105741500854492,1025.71728515625,317904.4375,5.2582173347473145,0,5803265,True,BME690,13176,0.0,0.0,0,5799706,24484,0,29.90781593322754,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:24:22.900Z,E,249.4434814453125,615.2738037109375,7209.85400390625,9500.60546875,5141.05029296875,5987.2109375,8432.96875,7634.3525390625,3255.3564453125,487.7406311035156,943.2466430664062,1362.5887451171875,7001.62451171875,12768.068359375,10230.9560546875,6018.35791015625,328.0982971191406,2539.1201171875,967.8319091796875,3204.778076171875,723426.4375,120896.0546875,25622.103515625,21678.298828125,195.5141143798828,570.8541870117188,1924.55615234375,1869.75537109375,3394.76708984375,906.4108276367188,347.66693115234375,683.4869384765625,420.8558349609375,380.7425537109375,440.4588928222656,255.64187622070312,2462.031494140625,1907.5982666015625,892.4983520507812,1261.55224609375,2688.4033203125,1073.634033203125,36414.71484375,8142.232421875,1279.43408203125,1432.54345703125,1024.677978515625,4103.61328125,74613.703125,84615.1171875,72195.21875,69970.609375,1073.0670166015625,745.0276489257812,181281392.0,1128.322021484375,21264.17578125,21053.546875,19281.49609375,18498.9921875,8485.916015625,8139.52734375,7708.048828125,6942.83740234375,9952,27.604394912719727,28.97435760498047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.330888748168945,25.123790740966797,1025.64892578125,319531.9375,5.262097358703613,0,5803705,True,BME690,13177,0.0,0.0,0,5799706,24484,0,29.90781593322754,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:24:23.204Z,E,249.7314453125,615.0806274414062,7210.76318359375,9499.5244140625,5140.4501953125,5988.01123046875,8430.1337890625,7633.0234375,3253.515625,487.9043273925781,942.6818237304688,1361.18798828125,7029.60595703125,12845.3828125,10220.5205078125,6022.05908203125,328.1233215332031,2541.388671875,966.6087036132812,3207.663330078125,723086.5625,120809.1015625,25595.78515625,21677.916015625,195.62330627441406,570.3385009765625,1926.1640625,1871.06689453125,3398.075927734375,905.326904296875,347.603759765625,683.663330078125,420.80584716796875,380.7712097167969,440.1822814941406,255.68943786621094,2461.987060546875,1907.867919921875,892.5087280273438,1261.7132568359375,2694.5,1074.503662109375,36391.0859375,8141.34912109375,1279.2906494140625,1432.9500732421875,1025.8052978515625,4108.70263671875,74611.9609375,84617.359375,72196.1640625,69967.6953125,1073.074462890625,743.6459350585938,181323184.0,1128.3345947265625,21263.98046875,21054.91015625,19287.18359375,18503.240234375,8486.169921875,8139.77197265625,7707.88134765625,6943.07373046875,10254,27.604394912719727,28.813186645507812,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.330888748168945,25.123790740966797,1025.64892578125,319531.9375,5.262097358703613,0,5803705,True,BME690,13177,0.0,0.0,0,5799706,24484,0,29.90781593322754,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:24:23.502Z,E,249.51608276367188,614.6326904296875,7209.05615234375,9498.173828125,5140.099609375,5988.154296875,8429.6396484375,7633.056640625,3251.26904296875,487.4511413574219,942.4132690429688,1363.3878173828125,7032.923828125,12759.333984375,10221.828125,6020.72216796875,328.3511962890625,2538.114990234375,965.9161987304688,3199.6689453125,722662.9375,120754.7578125,25595.10546875,21674.501953125,195.5814971923828,570.2122192382812,1918.9588623046875,1874.46875,3394.14501953125,905.9949951171875,347.5457763671875,682.9689331054688,420.776123046875,380.65447998046875,440.394287109375,255.685791015625,2461.0068359375,1907.130615234375,892.1994018554688,1261.1973876953125,2694.26611328125,1074.1912841796875,36411.3984375,8142.228515625,1279.6680908203125,1433.7861328125,1024.020263671875,4108.46484375,74591.578125,84592.1484375,72202.734375,69971.9375,1073.586181640625,742.9459228515625,181396272.0,1126.7144775390625,21262.068359375,21064.05859375,19287.9921875,18498.0625,8485.5400390625,8139.52734375,7707.54150390625,6943.43994140625,10555,27.684980392456055,28.97435760498047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.33155632019043,25.111724853515625,1025.5897216796875,319298.40625,5.259771823883057,0,5804146,True,BME690,13178,0.0,0.0,0,5799706,24484,0,29.90781593322754,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:24:23.802Z,E,249.50253295898438,615.0848388671875,7207.00244140625,9494.58984375,5139.896484375,5988.47705078125,8429.435546875,7630.556640625,3253.64794921875,487.6052551269531,942.8519897460938,1360.349609375,7021.98583984375,12845.578125,10228.4208984375,6022.37841796875,328.1233825683594,2538.3779296875,966.8317260742188,3201.093017578125,722277.5,120723.6015625,25582.486328125,21674.7265625,195.58302307128906,570.4068603515625,1924.2069091796875,1865.279052734375,3398.115966796875,905.7317504882812,347.7359313964844,683.43310546875,420.72064208984375,380.6473388671875,440.3014221191406,255.65081787109375,2460.048583984375,1905.8023681640625,892.050537109375,1261.318359375,2677.3232421875,1074.546630859375,36418.16015625,8141.34814453125,1279.0059814453125,1430.267578125,1025.7781982421875,4108.54833984375,74560.625,84565.09375,72172.2578125,69971.890625,1074.6466064453125,743.6214599609375,181387616.0,1127.5699462890625,21262.0390625,21059.40625,19282.802734375,18497.75390625,8484.453125,8138.81982421875,7706.52587890625,6943.11083984375,10856,27.604394912719727,28.89377212524414,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.332223892211914,25.1117000579834,1025.53857421875,318832.40625,5.259964942932129,0,5804586,True,BME690,13179,0.0,0.0,0,5799706,24484,0,29.90781593322754,13,AmbientSamplingRFC
