component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:51:21.618Z,E,227.4827880859375,552.65966796875,7169.3154296875,9450.9677734375,5120.1220703125,5968.84716796875,8360.0986328125,7581.51953125,2936.962646484375,453.75469970703125,895.8968505859375,1291.857421875,6588.4921875,12291.525390625,10111.08203125,5294.1357421875,311.144287109375,2471.49609375,932.9127807617188,2967.05810546875,717613.8125,120198.6875,25485.697265625,21613.931640625,183.4639892578125,549.745849609375,1855.82373046875,1802.5172119140625,3161.773193359375,791.9190063476562,317.50213623046875,620.5908203125,419.3512268066406,379.5274353027344,438.7422790527344,255.18238830566406,2448.51123046875,1896.960693359375,890.0511474609375,1257.0535888671875,2522.12109375,1029.6658935546875,36240.1171875,8124.85400390625,1181.448486328125,1324.3590087890625,973.3317260742188,4042.035888671875,74328.8515625,84291.65625,72084.0546875,69802.5625,1035.176513671875,732.1013793945312,180385376.0,1101.92578125,21197.310546875,20996.990234375,19213.56640625,18433.697265625,8453.6005859375,8105.8544921875,7668.3271484375,6907.0302734375,702,27.84615135192871,29.377288818359375,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.946075439453125,24.093435287475586,1025.6695556640625,343930.71875,5.225795745849609,0,7414219,True,BME690,16834,0.0,0.0,0,7409656,24484,0,28.740388870239258,13,pre-baseline
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:51:21.654Z,E,227.5249481201172,552.6212158203125,7172.4599609375,9452.341796875,5120.03125,5970.28173828125,8360.7529296875,7580.3935546875,2944.194091796875,453.76953125,896.837890625,1289.479736328125,6552.46142578125,12317.81640625,10114.5859375,5299.76708984375,311.2451171875,2459.471923828125,933.1929931640625,2965.34716796875,717499.0,120234.7890625,25492.646484375,21611.646484375,183.48635864257812,549.3713989257812,1857.327392578125,1805.964111328125,3145.616943359375,792.3937377929688,317.4791564941406,620.4239501953125,419.30706787109375,379.454833984375,438.6764831542969,255.186279296875,2449.15673828125,1897.08154296875,889.9320068359375,1257.28076171875,2520.829833984375,1029.4075927734375,36218.84375,8124.2646484375,1181.7916259765625,1324.0504150390625,973.72412109375,4027.693603515625,74335.8125,84274.96875,72091.484375,69798.3984375,1034.3037109375,730.3825073242188,180513136.0,1100.9404296875,21197.81640625,20990.369140625,19214.515625,18433.203125,8453.294921875,8106.59521484375,7669.1640625,6907.03076171875,1003,27.765565872192383,29.21611785888672,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.946075439453125,24.093435287475586,1025.6695556640625,341778.375,5.225795745849609,0,7414660,True,BME690,16835,0.0,0.0,0,7414659,24484,0,29.935932159423828,13,pre-baseline
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:51:22.245Z,E,227.4829559326172,552.6775512695312,7176.73291015625,9456.3759765625,5122.18994140625,5972.009765625,8361.775390625,7583.96435546875,2945.003173828125,453.2252502441406,896.1422729492188,1294.2330322265625,6533.861328125,12299.9736328125,9841.04296875,5295.39892578125,311.2093811035156,2471.60888671875,931.8143920898438,2972.0263671875,718642.75,120255.4453125,25499.8359375,21603.05859375,183.53826904296875,550.1298217773438,1861.059814453125,1815.679931640625,3165.8662109375,792.3819580078125,317.73388671875,620.681396484375,419.3226318359375,379.4925231933594,438.964111328125,255.22164916992188,2448.7822265625,1897.751708984375,890.016357421875,1257.466552734375,2522.930908203125,1031.0013427734375,36224.83984375,8126.5205078125,1181.67724609375,1324.2366943359375,974.1964721679688,4026.806396484375,74353.703125,84339.5703125,72095.921875,69824.9921875,1036.108154296875,731.8267822265625,182600816.0,1099.5875244140625,21200.724609375,20985.732421875,19217.5546875,18434.326171875,8456.0078125,8108.20556640625,7670.58984375,6907.66357421875,9131,27.84615135192871,29.377288818359375,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.947742462158203,24.171768188476562,1025.663818359375,340978.15625,5.24328088760376,0,7422585,True,BME690,16853,0.0,0.0,0,7419693,24484,0,29.9779052734375,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:51:22.547Z,E,227.435791015625,552.5903930664062,7174.3251953125,9456.59765625,5122.02734375,5971.79296875,8361.6201171875,7584.07666015625,2946.32666015625,453.3953857421875,896.4558715820312,1293.72412109375,6553.6923828125,12305.8447265625,9855.140625,5308.83349609375,311.45867919921875,2467.27978515625,931.3438110351562,2954.871337890625,718269.0,120257.0234375,25521.265625,21606.869140625,183.4925994873047,549.9844360351562,1863.56005859375,1815.97119140625,3179.45458984375,792.69384765625,317.7534484863281,621.2631225585938,419.4246826171875,379.5526123046875,439.0284729003906,255.2006072998047,2449.63330078125,1897.87060546875,889.92578125,1257.024658203125,2524.08837890625,1030.474365234375,36239.56640625,8126.0771484375,1181.6263427734375,1324.27880859375,975.8931884765625,4031.431640625,74358.7109375,84334.640625,72093.359375,69824.5546875,1034.20849609375,731.2559204101562,182983136.0,1100.9100341796875,21199.6171875,20986.994140625,19212.6484375,18436.404296875,8454.66015625,8108.05419921875,7670.89892578125,6907.95556640625,9432,27.84615135192871,29.21611785888672,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.947742462158203,24.177797317504883,1025.6622314453125,340446.75,5.244588375091553,0,7423025,True,BME690,16854,0.0,0.0,0,7419693,24484,0,29.9779052734375,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:51:22.848Z,E,227.4282684326172,553.136962890625,7173.3232421875,9454.8671875,5121.74072265625,5971.3037109375,8362.111328125,7580.80126953125,2941.675537109375,453.3245849609375,896.8114013671875,1293.9119873046875,6560.5361328125,12330.380859375,9832.4765625,5300.0537109375,311.45391845703125,2468.24853515625,931.2848510742188,2953.598876953125,718382.6875,120265.390625,25530.162109375,21609.91015625,183.50498962402344,549.9085693359375,1864.3277587890625,1821.909423828125,3168.890869140625,792.5257568359375,317.73663330078125,621.3744506835938,419.39947509765625,379.50103759765625,438.8383483886719,255.1901092529297,2450.082275390625,1897.854248046875,890.2561645507812,1256.8543701171875,2520.68359375,1030.2359619140625,36243.94140625,8128.0029296875,1182.4765625,1325.6064453125,974.763916015625,4021.639404296875,74366.3125,84341.6875,72107.125,69811.78125,1033.281494140625,730.745361328125,182240768.0,1100.224609375,21198.484375,20989.583984375,19210.08984375,18435.5703125,8454.5107421875,8109.15625,7670.46826171875,6907.8232421875,9733,27.684980392456055,29.296703338623047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.948076248168945,24.177783966064453,1025.6629638671875,342045.90625,5.24468469619751,0,7423465,True,BME690,16855,0.0,0.0,0,7419693,24484,0,29.9779052734375,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:51:23.149Z,E,227.57908630371094,552.6688842773438,7173.06494140625,9455.626953125,5121.7890625,5970.8095703125,8361.9501953125,7581.533203125,2949.047607421875,454.21197509765625,896.6209106445312,1293.4063720703125,6545.2744140625,12328.3623046875,9832.423828125,5288.390625,311.6243591308594,2469.272216796875,931.4427490234375,2946.615234375,718616.9375,120259.4140625,25508.16796875,21616.03515625,183.5209503173828,549.21728515625,1864.466064453125,1822.1910400390625,3175.35693359375,792.8073120117188,317.744384765625,621.3896484375,419.4287109375,379.51837158203125,438.912353515625,255.22445678710938,2450.085693359375,1897.67529296875,890.0834350585938,1256.804443359375,2527.461669921875,1030.8779296875,36243.16015625,8126.90966796875,1182.3143310546875,1327.39453125,974.1109008789062,4021.9228515625,74376.828125,84325.375,72116.6875,69832.75,1034.487548828125,732.3202514648438,181980576.0,1099.8311767578125,21199.109375,20988.716796875,19217.462890625,18436.126953125,8455.6826171875,8108.3203125,7670.5068359375,6908.32421875,10034,28.007326126098633,29.377288818359375,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.948076248168945,24.177783966064453,1025.6629638671875,342045.90625,5.24468469619751,0,7423465,True,BME690,16855,0.0,0.0,0,7419693,24484,0,29.9779052734375,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:51:23.450Z,E,227.44679260253906,553.024658203125,7173.59326171875,9456.296875,5121.8720703125,5970.8369140625,8362.94921875,7580.939453125,2943.290771484375,454.2054138183594,896.721435546875,1293.9925537109375,6529.60009765625,12324.6455078125,9829.068359375,5300.455078125,311.5867004394531,2465.755126953125,932.1136474609375,2952.662109375,718772.625,120252.8359375,25498.6640625,21604.126953125,183.58241271972656,549.6049194335938,1866.570556640625,1815.0169677734375,3167.607421875,792.7157592773438,317.736572265625,620.7772827148438,419.47393798828125,379.52130126953125,438.8050842285156,255.2171630859375,2450.25439453125,1897.9356689453125,889.9404907226562,1257.14794921875,2524.431396484375,1030.7098388671875,36258.484375,8128.0107421875,1182.1068115234375,1327.1077880859375,974.6820678710938,4029.701904296875,74371.5078125,84349.2734375,72094.2890625,69826.453125,1033.95263671875,731.0517578125,181738960.0,1100.7325439453125,21200.17578125,20983.759765625,19208.8515625,18431.642578125,8455.318359375,8108.4736328125,7670.63330078125,6908.62109375,10335,28.007326126098633,29.377288818359375,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.948410034179688,24.18983268737793,1025.6636962890625,342045.90625,5.247398853302002,0,7423905,True,BME690,16856,0.0,0.0,0,7419693,24484,0,29.9779052734375,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:51:23.751Z,E,227.2869110107422,553.1178588867188,7173.955078125,9453.2666015625,5121.89404296875,5970.8779296875,8363.529296875,7584.8896484375,2942.743408203125,454.1699523925781,896.9136962890625,1294.82275390625,6538.21728515625,12239.017578125,9810.7666015625,5299.74755859375,311.56671142578125,2467.757568359375,931.66796875,2963.4169921875,718509.6875,120221.9453125,25500.142578125,21613.51953125,183.56329345703125,549.6566162109375,1863.760498046875,1818.1112060546875,3162.42724609375,792.2910766601562,317.6531677246094,621.0159912109375,419.3908386230469,379.5210266113281,438.6848449707031,255.2342529296875,2449.66064453125,1897.2882080078125,890.14306640625,1257.21630859375,2525.513671875,1030.04541015625,36266.9609375,8125.41015625,1182.17431640625,1326.1702880859375,974.3350830078125,4020.5458984375,74367.171875,84336.796875,72124.203125,69830.1015625,1033.2987060546875,731.4692993164062,181465440.0,1100.793212890625,21200.744140625,20981.921875,19213.837890625,18434.03125,8456.2626953125,8107.9111328125,7670.43603515625,6908.56103515625,10636,28.007326126098633,29.296703338623047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.948410034179688,24.18983268737793,1025.6539306640625,340446.75,5.247398853302002,0,7424345,True,BME690,16857,0.0,0.0,0,7419693,24484,0,29.9779052734375,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:51:24.054Z,E,227.28794860839844,552.4698486328125,7173.40234375,9452.4345703125,5121.587890625,5970.89990234375,8361.3564453125,7583.1123046875,2945.4794921875,454.03302001953125,895.7833862304688,1296.5184326171875,6551.669921875,12334.708984375,9800.4169921875,5307.13916015625,311.6748046875,2462.67626953125,931.859619140625,2948.308837890625,718371.1875,120184.359375,25490.314453125,21605.6171875,183.48550415039062,550.2501831054688,1861.6708984375,1814.2491455078125,3174.405029296875,792.701416015625,317.6493835449219,620.3832397460938,419.4413146972656,379.524169921875,438.9201965332031,255.1832275390625,2449.120361328125,1897.54638671875,889.836669921875,1257.1759033203125,2526.107177734375,1030.989990234375,36241.05859375,8125.8125,1182.645751953125,1325.8441162109375,975.04345703125,4023.8798828125,74366.0078125,84358.9453125,72107.1484375,69834.390625,1033.2894287109375,730.6396484375,182438864.0,1099.300048828125,21201.736328125,20983.373046875,19212.748046875,18431.017578125,8456.21875,8109.201171875,7671.24365234375,6909.00634765625,10938,27.926740646362305,29.296703338623047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.948410034179688,24.18983268737793,1025.6539306640625,340446.75,5.247398853302002,0,7424345,True,BME690,16857,0.0,0.0,0,7424708,24484,0,28.954166412353516,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:51:24.353Z,E,227.34793090820312,552.18310546875,7172.68603515625,9451.5185546875,5120.78271484375,5971.32861328125,8358.927734375,7582.18505859375,2941.452880859375,453.77618408203125,895.7500610351562,1295.2423095703125,6565.57666015625,12295.1748046875,9831.9208984375,5313.52685546875,311.26934814453125,2466.906494140625,931.9559326171875,2959.38134765625,718010.75,120146.1171875,25482.771484375,21602.181640625,183.56387329101562,549.5038452148438,1858.7392578125,1810.6895751953125,3171.251708984375,792.0867309570312,317.6011962890625,620.6322021484375,419.28826904296875,379.5232849121094,438.9705810546875,255.23532104492188,2448.611328125,1897.2752685546875,889.9591674804688,1256.8253173828125,2524.6533203125,1031.395751953125,36227.3671875,8124.99462890625,1182.1766357421875,1325.8121337890625,974.7337646484375,4022.708740234375,74362.1015625,84348.4453125,72120.3671875,69830.375,1032.0361328125,731.4259643554688,181965824.0,1099.7396240234375,21198.802734375,20984.3515625,19215.17578125,18433.00390625,8456.4033203125,8108.78466796875,7670.7373046875,6908.99658203125,11238,28.08791160583496,29.296703338623047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.948410034179688,24.195863723754883,1025.5880126953125,340978.15625,5.248707294464111,0,7424786,True,BME690,16858,0.0,0.0,0,7424708,24484,0,28.954166412353516,13,AmbientSamplingRFC
