component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name,payloadCreateAt
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:48:23.728Z,E,231.99148559570312,564.24365234375,7185.87353515625,9462.6669921875,5125.17626953125,5971.58984375,8378.5322265625,7596.103515625,2986.445068359375,458.6930236816406,905.9408569335938,1304.4989013671875,6641.57080078125,12430.9921875,9961.8740234375,5443.14697265625,314.7037048339844,2483.151611328125,941.2357788085938,3012.28466796875,719415.5,120409.203125,25538.646484375,21621.529296875,185.60406494140625,554.163330078125,1872.45068359375,1804.18896484375,3215.61181640625,810.812255859375,323.16461181640625,632.1560668945312,419.661376953125,379.84716796875,439.4309692382813,255.33392333984372,2448.597900390625,1899.52392578125,890.2945556640625,1258.0467529296875,2553.798583984375,1043.669189453125,36278.4140625,8125.63818359375,1199.9671630859375,1342.0848388671875,982.8905029296876,4031.3251953125,74425.734375,84382.1875,72140.1484375,69836.515625,1041.85888671875,735.1148681640625,181016544.0,1105.681884765625,21210.181640625,21014.400390625,19228.9453125,18449.392578125,8463.1259765625,8115.8388671875,7675.64306640625,6916.421875,10592,27.84615135192871,29.296703338623047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.87067985534668,24.283395767211918,1025.6558837890625,337814.4375,5.244531631469727,0,7244239,True,BME690,16448,0.0,0.0,0,7244098,24484,0,28.708236694335938,13,AmbientSamplingRFC,2026-03-18 15:48:23.728000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:48:24.027Z,E,232.03762817382807,563.745849609375,7185.900390625,9464.06640625,5124.6171875,5972.77783203125,8378.9677734375,7593.70068359375,2990.41650390625,458.6700744628906,907.310302734375,1306.589599609375,6657.9443359375,12419.4677734375,9960.28125,5439.7900390625,315.0830078125,2480.7021484375,942.12646484375,2994.407470703125,719502.1875,120448.9375,25547.904296875,21623.1640625,185.6314697265625,554.0081787109375,1871.6951904296875,1808.6695556640625,3215.201171875,810.546875,323.116455078125,631.951171875,419.5924377441406,379.812255859375,439.5173950195313,255.35809326171875,2449.03125,1899.8243408203125,890.400634765625,1258.3482666015625,2552.57275390625,1043.9150390625,36272.0859375,8125.6787109375,1199.7994384765625,1341.0238037109375,983.5980224609376,4033.638427734375,74428.3359375,84370.90625,72159.984375,69846.40625,1042.6319580078125,734.205078125,181004448.0,1104.086669921875,21210.525390625,21012.11328125,19226.462890625,18448.580078125,8462.857421875,8116.12939453125,7676.79052734375,6916.5546875,10893,27.926740646362305,29.296703338623047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.871013641357425,24.283382415771484,1025.6583251953125,338075.84375,5.244627475738525,0,7244679,True,BME690,16449,0.0,0.0,0,7244098,24484,0,28.708236694335938,13,AmbientSamplingRFC,2026-03-18 15:48:24.027000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:48:24.331Z,E,231.9925842285156,564.0003662109375,7186.154296875,9463.9375,5124.814453125,5971.287109375,8378.923828125,7595.36328125,2989.240234375,458.9831848144531,906.991943359375,1304.5845947265625,6658.08251953125,12470.1123046875,9954.162109375,5444.498046875,314.7923889160156,2490.46337890625,941.71484375,2992.457763671875,719436.4375,120439.28125,25535.189453125,21627.08984375,185.58206176757807,554.1040649414062,1873.1529541015625,1807.363525390625,3203.786865234375,811.1703491210938,323.14752197265625,633.5372314453125,419.6549987792969,379.8300476074219,439.4043884277344,255.3778381347656,2449.0,1899.2890625,890.2517700195312,1258.526123046875,2551.357177734375,1044.399169921875,36291.58984375,8124.03369140625,1199.637451171875,1342.13623046875,982.7828979492188,4036.055908203125,74433.2109375,84356.0625,72157.8828125,69860.1640625,1041.886474609375,733.866943359375,180897424.0,1105.990966796875,21210.734375,21009.994140625,19224.771484375,18446.60546875,8462.8740234375,8116.39501953125,7675.81982421875,6916.3046875,11194,27.84615135192871,29.296703338623047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.871013641357425,24.283382415771484,1025.6583251953125,338075.84375,5.244627475738525,0,7244679,True,BME690,16449,0.0,0.0,0,7244098,24484,0,28.708236694335938,13,AmbientSamplingRFC,2026-03-18 15:48:24.331000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:48:24.629Z,E,231.9040679931641,564.0255126953125,7184.71484375,9462.583984375,5124.71630859375,5971.505859375,8379.7236328125,7595.759765625,2989.824462890625,459.2290649414063,906.6781616210938,1303.2003173828125,6645.8505859375,12418.4599609375,9955.01953125,5443.91748046875,315.06951904296875,2486.6875,941.6179809570312,3002.06787109375,719346.0625,120420.8515625,25535.623046875,21628.48046875,185.60317993164065,555.0401000976562,1868.1185302734373,1806.614990234375,3217.9912109375,810.2903442382812,323.16290283203125,632.6449584960938,419.6438293457031,379.7745971679688,439.4415283203125,255.3380279541016,2448.830810546875,1899.4410400390625,890.33984375,1258.1279296875,2537.197265625,1044.6605224609375,36288.72265625,8125.9072265625,1199.37060546875,1341.0360107421875,983.4503173828124,4028.937255859375,74438.4140625,84366.2890625,72129.7890625,69857.40625,1042.2987060546875,734.3025512695312,180656528.0,1105.1431884765625,21211.693359375,21006.36328125,19230.359375,18443.275390625,8462.896484375,8115.5908203125,7674.1875,6917.205078125,11495,28.007326126098636,29.296703338623047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.871013641357425,24.289411544799805,1025.6583251953125,337292.84375,5.245930194854736,0,7245120,True,BME690,16450,0.0,0.0,0,7244098,24484,0,28.708236694335938,13,AmbientSamplingRFC,2026-03-18 15:48:24.629000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:48:24.929Z,E,231.88186645507807,564.1185302734375,7183.41162109375,9463.2373046875,5125.36474609375,5971.49853515625,8379.123046875,7597.728515625,2992.12060546875,459.2050476074219,906.7293090820312,1304.369140625,6662.73193359375,12455.958984375,9924.7119140625,5449.7490234375,314.8578796386719,2483.958984375,941.3955078125,3016.110107421875,719447.0,120456.984375,25537.564453125,21627.423828125,185.64747619628903,554.5736694335938,1869.7318115234373,1806.3779296875,3217.621337890625,809.9050903320312,323.191650390625,632.7550659179688,419.6802062988281,379.7748718261719,439.48681640625,255.29345703125,2449.66064453125,1899.0474853515625,890.2353515625,1258.122314453125,2551.1435546875,1044.4146728515625,36284.8203125,8127.2666015625,1200.1036376953125,1344.001708984375,981.199462890625,4035.57275390625,74432.703125,84369.8046875,72143.3671875,69856.25,1041.853759765625,735.4638671875,180542112.0,1103.7857666015625,21212.724609375,21008.6328125,19227.232421875,18448.005859375,8463.134765625,8115.28564453125,7675.39599609375,6917.04052734375,11796,27.765565872192383,29.296703338623047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.871013641357425,24.301469802856445,1025.6600341796875,338075.84375,5.248534202575684,0,7245560,True,BME690,16451,0.0,0.0,0,7244098,24484,0,28.708236694335938,13,AmbientSamplingRFC,2026-03-18 15:48:24.929000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:48:25.232Z,E,232.0650634765625,564.3132934570312,7185.78564453125,9464.7939453125,5125.51611328125,5971.3935546875,8380.0234375,7597.3193359375,2987.193359375,459.620849609375,906.2727661132812,1307.04150390625,6644.40283203125,12426.96484375,9936.8916015625,5431.57958984375,314.7250671386719,2491.76123046875,940.9707641601562,2975.69580078125,719754.5,120529.5078125,25530.423828125,21636.236328125,185.6548767089844,555.0040893554688,1867.271240234375,1800.77392578125,3195.934326171875,810.5131225585938,323.1312255859375,632.6924438476562,419.7164611816406,379.804443359375,439.5388488769531,255.37725830078125,2448.414794921875,1899.6634521484373,890.5739135742188,1258.5230712890625,2552.2216796875,1043.8758544921875,36287.7109375,8126.7158203125,1199.1824951171875,1346.9517822265625,982.6637573242188,4040.94091796875,74430.6328125,84372.96875,72139.3671875,69860.8125,1042.66796875,736.0991821289062,180438768.0,1105.799560546875,21212.427734375,21004.119140625,19223.4296875,18448.927734375,8462.9609375,8115.6943359375,7675.5546875,6917.21142578125,12097,28.007326126098636,29.37728881835937,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.871013641357425,24.301469802856445,1025.6600341796875,338075.84375,5.248534202575684,0,7245560,True,BME690,16451,0.0,0.0,0,7244098,24484,0,28.708236694335938,13,AmbientSamplingRFC,2026-03-18 15:48:25.232000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:48:25.531Z,E,231.97239685058597,563.7628173828125,7183.421875,9462.1484375,5124.36865234375,5971.35498046875,8379.15625,7596.62158203125,2990.08251953125,459.154296875,905.9281005859376,1309.1209716796875,6625.904296875,12410.5263671875,9922.8896484375,5443.76708984375,314.8130187988281,2484.5234375,941.44091796875,2968.029052734375,719610.75,120431.734375,25530.486328125,21638.818359375,185.61636352539065,555.2892456054688,1865.459716796875,1804.7386474609373,3214.986083984375,810.1574096679688,322.94580078125,633.3521728515625,419.6838684082031,379.8236083984375,439.4580383300781,255.3338928222656,2449.102783203125,1900.0216064453125,890.4638671875,1258.52197265625,2554.784423828125,1044.25830078125,36288.6640625,8127.37890625,1200.4256591796875,1344.376708984375,982.2919921875,4040.186767578125,74447.359375,84384.6875,72155.9921875,69871.828125,1041.4937744140625,736.1622314453125,180239856.0,1105.12744140625,21212.28515625,21009.443359375,19237.53125,18453.697265625,8462.5849609375,8115.91552734375,7675.2626953125,6917.61181640625,12398,27.926740646362305,29.21611785888672,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.87067985534668,24.301483154296875,1025.6591796875,339125.46875,5.248438358306885,0,7246001,True,BME690,16452,0.0,0.0,0,7244098,24484,0,28.708236694335938,13,AmbientSamplingRFC,2026-03-18 15:48:25.531000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:48:25.835Z,E,231.8458251953125,563.8486328125,7180.85546875,9461.0185546875,5124.91650390625,5970.58935546875,8377.3359375,7592.50048828125,2986.2939453125,459.1222229003906,905.3050537109376,1306.598388671875,6644.0810546875,12382.97265625,9913.62890625,5450.7333984375,314.8622741699219,2484.98828125,940.7421264648438,2976.1708984375,719266.875,120373.7265625,25506.29296875,21635.052734375,185.60606384277344,553.87744140625,1866.294921875,1807.98095703125,3216.78173828125,810.2778930664062,322.96270751953125,632.58544921875,419.70306396484375,379.8060607910156,439.50628662109375,255.3327178955078,2449.4150390625,1899.8662109375,890.438720703125,1258.1339111328125,2541.2041015625,1044.8558349609375,36318.15234375,8127.66259765625,1199.9122314453125,1345.640625,982.2147827148438,4037.88427734375,74435.046875,84399.140625,72156.25,69868.5703125,1041.53076171875,735.3339233398438,178627936.0,1105.5072021484375,21210.220703125,21005.21484375,19228.65625,18445.845703125,8463.1943359375,8115.7197265625,7676.90771484375,6917.47802734375,12700,27.926740646362305,29.296703338623047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.87067985534668,24.307512283325195,1025.594970703125,338599.84375,5.249740123748779,0,7246441,True,BME690,16453,0.0,0.0,0,7244098,24484,0,28.708236694335938,13,AmbientSamplingRFC,2026-03-18 15:48:25.835000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:48:26.137Z,E,231.8208465576172,563.4092407226562,7181.81787109375,9460.1611328125,5123.96728515625,5969.560546875,8377.01953125,7592.40380859375,2986.300537109375,459.1483154296875,905.5712280273438,1305.71728515625,6623.90185546875,12398.5146484375,9887.5078125,5433.5927734375,314.75067138671875,2490.5771484375,939.767822265625,2974.5009765625,718740.375,120283.2734375,25480.37109375,21625.1796875,185.56234741210935,554.9313354492188,1868.060791015625,1812.03662109375,3210.601806640625,809.9949951171875,323.0984802246094,632.94189453125,419.6307067871094,379.7478332519531,439.4992370605469,255.3017578125,2448.203369140625,1898.443603515625,890.293212890625,1258.0880126953125,2544.737548828125,1044.345458984375,36311.2421875,8128.3642578125,1200.2779541015625,1346.801025390625,982.260009765625,4044.62939453125,74414.4609375,84385.046875,72149.921875,69866.796875,1040.079345703125,735.1069946289062,179958176.0,1106.203369140625,21207.912109375,21004.111328125,19233.8984375,18438.810546875,8462.7060546875,8115.39453125,7675.75341796875,6916.8515625,13002,27.765565872192383,29.296703338623047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.87067985534668,24.307512283325195,1025.594970703125,338599.84375,5.249740123748779,0,7246441,True,BME690,16453,0.0,0.0,0,7244098,24484,0,28.708236694335938,13,AmbientSamplingRFC,2026-03-18 15:48:26.137000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:48:26.435Z,E,231.88394165039065,563.8923950195312,7179.92431640625,9460.095703125,5123.771484375,5969.71826171875,8374.3759765625,7593.1318359375,2982.39892578125,459.2459411621094,904.8025512695312,1307.9766845703125,6681.15185546875,12390.625,9899.9951171875,5430.17333984375,314.7764587402344,2488.067138671875,940.8582153320312,2967.3505859375,718696.9375,120231.1875,25487.26171875,21625.81640625,185.53268432617188,554.0072631835938,1870.3724365234373,1812.8101806640625,3201.899169921875,809.9790649414062,323.0513610839844,632.93359375,419.5715942382813,379.6824035644531,439.4887390136719,255.3027191162109,2447.449951171875,1898.74951171875,890.0447998046875,1257.896728515625,2548.421875,1044.071044921875,36284.1328125,8126.96630859375,1200.265380859375,1344.864501953125,981.9974975585938,4035.916015625,74381.9140625,84363.3515625,72147.140625,69863.6484375,1042.3861083984375,736.6380004882812,180068848.0,1104.637939453125,21206.7109375,21007.59375,19233.1953125,18445.3828125,8460.814453125,8114.888671875,7675.025390625,6916.208984375,13302,27.84615135192871,29.296703338623047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.87067985534668,24.295454025268555,1025.5372314453125,338862.46875,5.247135639190674,0,7246882,True,BME690,16454,0.0,0.0,0,7244098,24484,0,28.708236694335938,13,AmbientSamplingRFC,2026-03-18 15:48:26.435000+00:00
