component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name,payloadCreateAt
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:09:22.992Z,E,209.2040100097656,505.1188659667969,7127.65087890625,9363.748046875,5087.3955078125,5926.10693359375,8238.3583984375,7479.7021484375,2644.222900390625,415.4181518554688,834.7156372070312,1215.2080078125,6145.62451171875,11436.7763671875,9714.662109375,4861.22509765625,288.4874572753906,2387.88427734375,846.5792846679688,2647.401123046875,706095.875,119142.375,25254.056640625,21451.490234375,171.83616638183594,517.6093139648438,1764.7628173828125,1742.510009765625,3042.888916015625,725.444091796875,291.3531799316406,551.2535400390625,416.4383850097656,377.2253112792969,436.11279296875,254.1370086669922,2421.056396484375,1878.2908935546875,885.258544921875,1247.5443115234375,2376.896240234375,925.4196166992188,36073.796875,8094.2998046875,1090.3525390625,1199.8741455078125,903.5592041015624,3926.581787109375,73909.0,83926.9140625,71750.8671875,69466.421875,981.4337768554688,705.5556030273438,182953008.0,1054.384521484375,21078.837890625,20887.0078125,19100.1640625,18358.71484375,8405.396484375,8050.63330078125,7605.33935546875,6838.05322265625,9954,27.926740646362305,29.37728881835937,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.104536056518555,23.326799392700195,1025.418701171875,404418.40625,5.105132102966309,0,12103048,True,BME690,27481,0.0,0.0,0,12099321,24484,0,29.916316986083984,13,AmbientSamplingRFC,2026-03-18 17:09:22.992000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:09:23.300Z,E,209.13839721679688,505.1641845703125,7126.4951171875,9364.7763671875,5087.671875,5926.02001953125,8238.9375,7479.53173828125,2647.84423828125,415.5012817382813,834.3914794921875,1214.5362548828125,6197.66015625,11449.2822265625,9639.8662109375,4859.1787109375,288.337158203125,2387.848388671875,846.8786010742188,2645.13818359375,706249.4375,119157.53125,25290.552734375,21452.94921875,171.83935546875,517.6883544921875,1764.484375,1744.604736328125,3039.208251953125,725.9105224609375,291.3616638183594,551.3005981445312,416.51470947265625,377.2244567871094,436.1032409667969,254.1023712158203,2421.252685546875,1879.10546875,885.4493408203125,1247.5499267578125,2379.96142578125,925.2822265625,36093.875,8096.21533203125,1090.1767578125,1203.6156005859375,904.5606079101562,3926.724609375,73912.71875,83923.5546875,71759.828125,69460.7734375,981.674072265625,704.6741943359375,181706848.0,1054.968017578125,21078.431640625,20883.83984375,19098.611328125,18357.44140625,8405.1474609375,8050.86572265625,7606.78271484375,6837.75048828125,10255,28.007326126098636,29.37728881835937,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.104867935180664,23.33281898498535,1025.4212646484375,404793.09375,5.106545448303223,0,12103489,True,BME690,27482,0.0,0.0,0,12099321,24484,0,29.916316986083984,13,AmbientSamplingRFC,2026-03-18 17:09:23.300000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:09:23.595Z,E,209.00588989257807,505.1067504882813,7121.72998046875,9364.3095703125,5087.453125,5926.2236328125,8239.8876953125,7475.275390625,2646.260009765625,415.7641296386719,834.3546752929688,1214.177490234375,6202.3271484375,11414.107421875,9649.9072265625,4858.51953125,288.20330810546875,2391.296630859375,846.8604125976562,2643.531494140625,706201.1875,119167.1171875,25292.0,21451.896484375,171.89093017578125,517.752197265625,1766.796142578125,1747.1148681640625,3046.5,726.2872314453125,291.3579406738281,551.4990844726562,416.48431396484375,377.1771545410156,436.001708984375,254.10940551757807,2421.473388671875,1878.49267578125,885.4026489257812,1247.2822265625,2381.584716796875,926.1397094726562,36093.8203125,8097.2353515625,1090.2625732421875,1200.0439453125,905.6902465820312,3930.383544921875,73921.15625,83937.890625,71760.0546875,69460.703125,981.97802734375,705.3819580078125,181713040.0,1055.401611328125,21079.330078125,20882.865234375,19101.662109375,18354.412109375,8405.880859375,8050.29931640625,7605.93310546875,6837.9365234375,10556,28.007326126098636,29.37728881835937,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.104867935180664,23.33281898498535,1025.4212646484375,404793.09375,5.106545448303223,0,12103489,True,BME690,27482,0.0,0.0,0,12099321,24484,0,29.916316986083984,13,AmbientSamplingRFC,2026-03-18 17:09:23.595000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:09:23.896Z,E,209.1294403076172,505.33441162109375,7126.8369140625,9365.068359375,5088.27197265625,5925.88720703125,8240.3466796875,7475.5517578125,2647.888671875,415.4886779785156,834.2013549804688,1214.940185546875,6213.53076171875,11412.041015625,9618.9208984375,4851.333984375,288.3701477050781,2385.46142578125,846.521240234375,2637.183349609375,705982.125,119170.2578125,25270.107421875,21452.841796875,171.87820434570312,517.656005859375,1770.2349853515625,1744.5902099609375,3039.67236328125,726.2276611328125,291.3848876953125,551.0330810546875,416.5192565917969,377.2185363769531,436.0985107421875,254.1172332763672,2421.011962890625,1878.4083251953125,885.5321044921875,1247.3179931640625,2376.239990234375,925.7550659179688,36087.8203125,8095.0234375,1089.8570556640625,1200.7076416015625,905.9984130859376,3929.431396484375,73916.15625,83942.0078125,71766.6171875,69459.328125,980.4774780273438,705.2705688476562,181662896.0,1052.795166015625,21079.01171875,20881.28515625,19102.6484375,18355.9375,8405.4248046875,8050.2294921875,7605.76611328125,6837.70263671875,10857,27.926740646362305,29.457874298095703,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.105201721191406,23.326770782470703,1025.4219970703125,403671.09375,5.105318546295166,0,12103929,True,BME690,27483,0.0,0.0,0,12099321,24484,0,29.916316986083984,13,AmbientSamplingRFC,2026-03-18 17:09:23.896000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:09:24.197Z,E,209.0982208251953,505.0630493164063,7128.46630859375,9364.3857421875,5086.85009765625,5926.60205078125,8240.1943359375,7477.5322265625,2649.02978515625,415.7633056640625,833.9539184570312,1216.611572265625,6183.71240234375,11392.7392578125,9660.8232421875,4866.7568359375,288.3223571777344,2386.9453125,846.4986572265625,2647.0810546875,706278.5,119213.7734375,25258.55078125,21453.904296875,171.8992156982422,518.4283447265625,1771.8939208984375,1747.197509765625,3042.57666015625,726.4844970703125,291.362060546875,551.3436279296875,416.5334777832031,377.2074279785156,435.961669921875,254.08143615722656,2420.2451171875,1878.7152099609373,885.3118896484375,1247.74072265625,2371.135986328125,925.6368408203124,36082.68359375,8096.654296875,1090.529541015625,1201.0555419921875,905.7474365234376,3926.775390625,73913.5546875,83938.328125,71767.6875,69458.5234375,981.2882690429688,706.0782470703125,181650320.0,1053.37939453125,21079.36328125,20875.474609375,19101.501953125,18355.544921875,8404.96875,8050.20654296875,7606.1708984375,6837.8056640625,11159,28.007326126098636,29.457874298095703,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.105201721191406,23.33280563354492,1025.42041015625,405168.46875,5.106638908386231,0,12104369,True,BME690,27484,0.0,0.0,0,12104336,24484,0,28.9311637878418,13,AmbientSamplingRFC,2026-03-18 17:09:24.197000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:09:24.498Z,E,209.09234619140625,505.5066528320313,7128.0537109375,9365.111328125,5087.041015625,5925.984375,8241.17578125,7476.4267578125,2651.684814453125,415.3840942382813,834.6590576171875,1217.5362548828125,6191.19287109375,11358.0234375,9679.634765625,4859.14697265625,288.2066650390625,2385.701416015625,846.724365234375,2648.579833984375,706253.4375,119224.765625,25275.462890625,21449.810546875,171.9259796142578,517.9404296875,1767.994873046875,1745.568359375,3045.832275390625,725.7296752929688,291.3627624511719,551.2311401367188,416.5140686035156,377.2261657714844,436.1262817382813,254.09397888183597,2421.029541015625,1879.541015625,885.146728515625,1246.95654296875,2375.325439453125,926.4030151367188,36090.13671875,8097.283203125,1089.9615478515625,1201.4854736328125,905.9740600585938,3931.12158203125,73920.7265625,83941.5078125,71762.3984375,69470.2890625,980.0670776367188,704.6238403320312,181593520.0,1053.7589111328125,21079.833984375,20882.576171875,19102.052734375,18352.859375,8404.65625,8050.26220703125,7606.00439453125,6837.6181640625,11460,28.007326126098636,29.296703338623047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.105201721191406,23.33280563354492,1025.42041015625,405168.46875,5.106638908386231,0,12104369,True,BME690,27484,0.0,0.0,0,12104336,24484,0,28.9311637878418,13,AmbientSamplingRFC,2026-03-18 17:09:24.498000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:09:24.800Z,E,209.184326171875,505.0131530761719,7126.70751953125,9362.994140625,5086.767578125,5926.76806640625,8239.2578125,7482.14404296875,2644.578857421875,415.32037353515625,834.29736328125,1215.976318359375,6164.39306640625,11382.6474609375,9635.6884765625,4857.7900390625,288.332763671875,2385.265625,845.7837524414062,2646.75732421875,705891.4375,119129.625,25278.5625,21452.0078125,171.852783203125,517.965087890625,1773.360107421875,1747.453857421875,3038.64453125,726.0220947265625,291.2782592773437,551.3933715820312,416.4535827636719,377.2608642578125,436.1099853515625,254.12161254882807,2421.04296875,1878.76123046875,885.3065185546875,1246.8818359375,2375.522216796875,925.54638671875,36072.890625,8095.76611328125,1089.746826171875,1197.692626953125,905.4446411132812,3924.90478515625,73922.4609375,83946.1171875,71774.7890625,69476.171875,981.1328125,704.9844360351562,181497744.0,1055.21435546875,21080.853515625,20882.5,19100.998046875,18357.69921875,8405.50390625,8050.83447265625,7606.6279296875,6837.97705078125,11761,27.926740646362305,29.37728881835937,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.10553550720215,23.33279037475586,1025.35693359375,404793.09375,5.106732368469238,0,12104809,True,BME690,27485,0.0,0.0,0,12104336,24484,0,28.9311637878418,13,AmbientSamplingRFC,2026-03-18 17:09:24.800000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:09:25.102Z,E,209.24124145507807,505.1499938964844,7127.0244140625,9363.388671875,5086.53466796875,5926.97216796875,8239.4716796875,7480.18310546875,2644.489013671875,415.45989990234375,835.8404541015625,1214.27392578125,6160.5263671875,11388.31640625,9659.6123046875,4859.7373046875,288.2584228515625,2388.778076171875,846.6218872070312,2652.246337890625,705642.375,119090.9375,25267.5234375,21449.6171875,171.86614990234375,518.1936645507812,1764.878173828125,1745.3232421875,3043.30712890625,725.6253051757812,291.2880249023437,551.27734375,416.4145812988281,377.2331848144531,435.9511413574219,254.080810546875,2419.124755859375,1878.2724609375,885.220458984375,1247.368408203125,2380.701416015625,925.74658203125,36072.07421875,8096.662109375,1089.195556640625,1202.5001220703125,905.712890625,3933.78515625,73922.875,83945.875,71776.5390625,69469.71875,979.87255859375,704.2666015625,181398608.0,1052.863037109375,21080.076171875,20879.119140625,19100.384765625,18351.255859375,8405.6162109375,8050.15966796875,7606.384765625,6838.5654296875,12063,27.926740646362305,29.457874298095703,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.105201721191406,23.344873428344727,1025.29833984375,406298.84375,5.109280109405518,0,12105250,True,BME690,27486,0.0,0.0,0,12104336,24484,0,28.9311637878418,13,AmbientSamplingRFC,2026-03-18 17:09:25.102000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:09:25.402Z,E,209.2003631591797,504.9637756347656,7128.19970703125,9362.236328125,5086.251953125,5926.35986328125,8238.833984375,7478.44677734375,2648.07373046875,415.3241271972656,833.645751953125,1216.1141357421875,6186.1669921875,11350.2431640625,9656.9248046875,4868.77392578125,288.096435546875,2385.80810546875,846.3720703125,2646.479248046875,705308.1875,119065.84375,25263.23828125,21449.94140625,171.83787536621094,517.7293090820312,1764.869140625,1746.2169189453125,3048.490478515625,725.7951049804688,291.2612609863281,551.4688110351562,416.3519287109375,377.1493835449219,436.033203125,254.06336975097656,2419.1904296875,1877.6546630859373,885.1846313476562,1246.899169921875,2377.51025390625,926.0018310546876,36084.9296875,8096.48388671875,1089.84814453125,1202.910888671875,907.3461303710938,3936.04931640625,73893.40625,83920.7421875,71767.0234375,69457.859375,980.1095581054688,704.3034057617188,181177104.0,1053.9693603515625,21077.607421875,20875.623046875,19100.724609375,18358.04296875,8404.7236328125,8049.77001953125,7605.91845703125,6838.53125,12363,27.84615135192871,29.457874298095703,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.105201721191406,23.344873428344727,1025.29833984375,406298.84375,5.109280109405518,0,12105250,True,BME690,27486,0.0,0.0,0,12104336,24484,0,28.9311637878418,13,AmbientSamplingRFC,2026-03-18 17:09:25.402000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:09:25.704Z,E,209.18991088867188,505.4283142089844,7129.5615234375,9361.42578125,5086.0048828125,5925.4248046875,8237.408203125,7477.95654296875,2646.697265625,415.8521118164063,834.3989868164062,1215.78369140625,6204.07421875,11393.9677734375,9628.353515625,4864.53759765625,288.22320556640625,2383.0693359375,846.6214599609375,2635.637939453125,705107.375,119068.6015625,25253.666015625,21445.6875,171.87403869628906,517.5120239257812,1768.712646484375,1746.27783203125,3042.64404296875,726.1829223632812,291.3320007324219,551.4277954101562,416.3660583496094,377.1617126464844,436.1710815429688,254.10922241210935,2419.044921875,1877.1981201171875,885.0322875976562,1246.8868408203125,2377.0419921875,926.4011840820312,36092.0234375,8095.6123046875,1090.119873046875,1201.8758544921875,905.6607055664062,3936.140625,73862.0078125,83875.5234375,71737.328125,69449.9140625,980.38330078125,704.6220703125,180861680.0,1053.253662109375,21077.318359375,20876.515625,19102.931640625,18354.99609375,8403.5234375,8048.7734375,7605.91748046875,6837.77587890625,12664,28.007326126098636,29.457874298095703,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.105201721191406,23.326770782470703,1025.2489013671875,405168.46875,5.105318546295166,0,12105690,True,BME690,27487,0.0,0.0,0,12104336,24484,0,28.9311637878418,13,AmbientSamplingRFC,2026-03-18 17:09:25.704000+00:00
