component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_184324,FLW0_184324,ANLT0_184324,FLW0_181225,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_184225,FLW0_184225,ANLT0_184225
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,072866d7-b0f1-4765-8ec7-8e129ae3adf1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,728.5114135742188,625.7615966796875,5171.21875,6661.53466796875,4304.1416015625,4086.679931640625,7123.90087890625,6784.70263671875,267.87957763671875,9945.74609375,8138.2763671875,2660.11376953125,1938.682373046875,2135.733154296875,22743.73828125,15277.462890625,643.3035278320312,1845.0616455078125,7590.73974609375,813.463134765625,85262.8671875,60808.15625,19022.263671875,17610.275390625,111.90792846679688,125.63985443115234,1170.328369140625,1255.8525390625,106.61006927490234,122.12078094482422,549.6067504882812,675.9291381835938,377.2244262695313,406.078857421875,361.0148315429688,319.1509704589844,3533.287109375,2172.622314453125,907.4676513671876,738.5407104492188,933.0740356445312,5540.5263671875,7293.20947265625,8533.0849609375,21427.064453125,811.2254638671875,934.3735961914062,1044.81103515625,86836.0234375,88014.9921875,70118.2578125,73520.1796875,39642.40625,230.5799102783203,489.1897888183594,221.52407836914065,21112.3984375,17048.18359375,15176.96484375,15872.7646484375,7454.36474609375,7077.67822265625,6651.251953125,6131.42236328125,8992,27.604394912719727,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.734432220458984,24.489229202270508,988.5921630859376,128628.0703125,5.248252868652344,0,4713606,True,BME690,10702,0,0,0,4709028,24484,0,27.287721633911133,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:10:52.153,"{'cid': 'aeff7ee7-bb8a-4caa-b6d1-b2c4d68395c0', 'uuid': '6349726d-8af9-4823-88a2-17bf5b9f13e5', 'annotationId': '072866d7-b0f1-4765-8ec7-8e129ae3adf1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773691851573, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:10:51.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.58,20.82,300.0,301.56,000000000DFEC3B8,1600.0,1594.56,22450161.0,1400.0,1397.44,21470046.0,-0.0,3700.0,3699.8,000000000DFEC3B1,0.0,0.19,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,072866d7-b0f1-4765-8ec7-8e129ae3adf1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,729.4525756835938,626.0225219726562,5172.1376953125,6662.740234375,4303.97265625,4087.035888671875,7124.61474609375,6786.57275390625,268.0244445800781,9924.1494140625,8083.62255859375,2659.931396484375,1941.0592041015625,2136.1279296875,22774.0234375,15279.2109375,643.5082397460938,1843.638916015625,7577.03759765625,813.6871337890625,85251.3515625,60804.53515625,19020.046875,17619.068359375,111.9374008178711,125.64561462402344,1172.898193359375,1255.24072265625,106.63446807861328,122.12188720703124,549.63330078125,676.0596923828125,377.20941162109375,406.0693054199219,361.14495849609375,319.13726806640625,3533.3779296875,2172.685791015625,907.6043090820312,738.5822143554688,934.3064575195312,5530.30126953125,7292.86865234375,8532.470703125,21423.490234375,811.1964721679688,934.784423828125,1045.1658935546875,86847.453125,88031.8203125,70115.859375,73516.828125,39516.69140625,230.5684814453125,489.1939697265625,221.4010009765625,21110.7265625,17050.0859375,15177.3056640625,15873.294921875,7453.720703125,7078.36767578125,6651.2216796875,6131.068359375,9292,27.68498039245605,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.734760284423828,24.506649017333984,988.59130859375,130316.171875,5.252084732055664,0,4714046,True,BME690,10703,0,0,0,4714031,24484,0,26.73063850402832,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:10:52.455,"{'cid': 'aeff7ee7-bb8a-4caa-b6d1-b2c4d68395c0', 'uuid': '6349726d-8af9-4823-88a2-17bf5b9f13e5', 'annotationId': '072866d7-b0f1-4765-8ec7-8e129ae3adf1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773691851573, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:10:51.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.58,20.89,300.0,301.56,000000000DFEC3B8,1600.0,1594.56,22450161.0,1400.0,1397.44,21470046.0,-0.0,3700.0,3699.8,000000000DFEC3B1,0.0,0.19,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,072866d7-b0f1-4765-8ec7-8e129ae3adf1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,729.474853515625,626.08642578125,5171.78759765625,6662.91552734375,4305.1787109375,4086.896484375,7123.486328125,6786.0244140625,268.0113220214844,9939.6875,8095.80126953125,2658.42724609375,1940.8375244140625,2136.310302734375,22839.3359375,15220.1259765625,643.3548583984375,1846.2691650390625,7585.2412109375,813.9613037109375,85261.2421875,60814.296875,19021.5078125,17608.701171875,111.94127655029295,125.65882110595705,1173.97998046875,1254.9974365234375,106.6512222290039,122.1027603149414,549.7288818359375,676.4872436523438,377.2193908691406,406.0417175292969,361.0395202636719,319.103759765625,3534.14501953125,2172.9462890625,907.3248291015624,738.42236328125,933.159912109375,5537.47705078125,7292.87109375,8533.2734375,21419.498046875,811.1919555664062,935.1732788085938,1046.359375,86860.6953125,88027.4140625,70109.1953125,73521.0625,39630.796875,230.55372619628903,489.2224731445313,221.62820434570312,21110.47265625,17047.833984375,15176.568359375,15873.251953125,7453.0859375,7075.5419921875,6651.26025390625,6130.42822265625,9593,27.5238094329834,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.734760284423828,24.506649017333984,988.59130859375,130316.171875,5.252084732055664,0,4714046,True,BME690,10703,0,0,0,4714031,24484,0,26.73063850402832,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:10:52.755,"{'cid': 'aeff7ee7-bb8a-4caa-b6d1-b2c4d68395c0', 'uuid': '6349726d-8af9-4823-88a2-17bf5b9f13e5', 'annotationId': '072866d7-b0f1-4765-8ec7-8e129ae3adf1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773691851573, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:10:51.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.57,20.95,300.0,300.67,000000000DFEC3B8,1600.0,1595.68,22450161.0,1400.0,1397.8,21470046.0,-0.0,3700.0,3698.94,000000000DFEC3B1,0.0,0.16,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,072866d7-b0f1-4765-8ec7-8e129ae3adf1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,729.9111938476562,625.8749389648438,5171.5341796875,6662.875,4305.2998046875,4087.07470703125,7123.04345703125,6785.9619140625,268.140625,9916.0419921875,8092.3154296875,2659.107177734375,1943.033447265625,2137.18701171875,22699.732421875,15310.8359375,644.1325073242188,1843.4290771484373,7591.6669921875,813.7938842773438,85273.96875,60813.83203125,19019.416015625,17602.412109375,111.92466735839844,125.63388061523438,1168.8712158203125,1249.3568115234375,106.57864379882812,122.10769653320312,549.5831298828125,676.5794067382812,377.1773071289063,406.0065002441406,361.1207885742188,319.1318054199219,3533.018798828125,2172.306396484375,907.3841552734376,738.6597290039062,934.614013671875,5513.59521484375,7293.45849609375,8533.5419921875,21418.380859375,811.384033203125,934.53369140625,1045.4749755859375,86875.328125,88010.9375,70113.5390625,73531.8984375,39845.25,230.6228179931641,489.3740234375,221.61805725097656,21111.537109375,17049.01171875,15176.20703125,15873.1220703125,7452.3056640625,7078.80908203125,6650.97412109375,6130.8408203125,9894,27.68498039245605,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.734760284423828,24.518272399902344,988.59130859375,129697.2109375,5.254575729370117,0,4714486,True,BME690,10704,0,0,0,4714031,24484,0,26.73063850402832,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:10:53.063,"{'cid': 'aeff7ee7-bb8a-4caa-b6d1-b2c4d68395c0', 'uuid': '6349726d-8af9-4823-88a2-17bf5b9f13e5', 'annotationId': '072866d7-b0f1-4765-8ec7-8e129ae3adf1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773691851573, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:10:51.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.57,21.03,300.0,299.59,000000000DFEC3B8,1600.0,1597.05,22450161.0,1400.0,1398.24,21470046.0,-0.0,3700.0,3697.87,000000000DFEC3B1,0.0,0.13,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,072866d7-b0f1-4765-8ec7-8e129ae3adf1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,729.3963623046875,626.0614624023438,5171.42822265625,6663.16796875,4304.4208984375,4087.08642578125,7124.1484375,6784.70068359375,268.0528869628906,9898.9033203125,8086.08544921875,2657.815185546875,1948.1629638671875,2138.595458984375,22645.447265625,15300.7392578125,643.094482421875,1842.2752685546875,7605.7890625,814.4150390625,85269.296875,60814.09375,19015.13671875,17615.1796875,111.94486236572266,125.59923553466795,1170.3668212890625,1251.0487060546875,106.63518524169922,122.15676879882812,549.4573364257812,676.4485473632812,377.2381286621094,406.02056884765625,361.0443420410156,319.1382141113281,3533.445556640625,2172.85986328125,907.37060546875,738.5153198242188,933.26220703125,5536.212890625,7292.5,8534.4814453125,21380.205078125,811.0114135742188,935.740234375,1043.9801025390625,86851.578125,88029.4765625,70118.1015625,73526.390625,39908.4296875,230.66590881347656,489.1974487304688,221.5997009277344,21110.9453125,17047.744140625,15176.109375,15872.7421875,7451.8232421875,7078.81640625,6650.6884765625,6130.78759765625,10195,27.5238094329834,29.37728881835937,0,0,0,0,0,0,0,0,0,0,0,1,23.734760284423828,24.518272399902344,988.59130859375,129697.2109375,5.254575729370117,0,4714926,True,BME690,10705,0,0,0,4714031,24484,0,26.73063850402832,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:10:53.357,"{'cid': 'aeff7ee7-bb8a-4caa-b6d1-b2c4d68395c0', 'uuid': '6349726d-8af9-4823-88a2-17bf5b9f13e5', 'annotationId': '072866d7-b0f1-4765-8ec7-8e129ae3adf1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773691851573, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:10:51.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.57,21.12,300.0,298.57,000000000DFEC3B8,1600.0,1598.36,22450161.0,1400.0,1398.66,21470046.0,-0.0,3700.0,3696.84,000000000DFEC3B1,0.0,0.1,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,072866d7-b0f1-4765-8ec7-8e129ae3adf1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,728.7575073242188,625.9762573242188,5171.34619140625,6661.76416015625,4304.22119140625,4086.90234375,7123.28125,6788.783203125,268.03826904296875,9946.1416015625,8094.5966796875,2654.336669921875,1948.69775390625,2137.53173828125,22850.970703125,15313.462890625,643.5595703125,1843.46044921875,7594.890625,813.7963256835938,85241.9765625,60815.703125,19023.220703125,17613.2890625,111.94580841064452,125.64649963378906,1170.3314208984375,1255.05322265625,106.65039825439452,122.1077117919922,549.4531860351562,676.3941650390625,377.23876953125,406.0932922363281,361.1177673339844,319.1097412109375,3533.400634765625,2172.427490234375,907.3011474609376,738.57373046875,934.9644165039062,5522.33984375,7292.27783203125,8533.859375,21421.84765625,811.4435424804688,936.4508056640624,1042.46630859375,86848.1171875,88033.1953125,70114.546875,73521.46875,40038.33984375,230.62266540527344,488.8983459472656,221.57830810546875,21109.513671875,17048.087890625,15175.783203125,15872.6875,7452.88427734375,7078.6767578125,6651.3017578125,6130.87548828125,10496,27.44322204589844,29.37728881835937,0,0,0,0,0,0,0,0,0,0,0,1,23.734760284423828,24.518272399902344,988.59130859375,129697.2109375,5.254575729370117,0,4714926,True,BME690,10705,0,0,0,4714031,24484,0,26.73063850402832,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:10:53.658,"{'cid': 'aeff7ee7-bb8a-4caa-b6d1-b2c4d68395c0', 'uuid': '6349726d-8af9-4823-88a2-17bf5b9f13e5', 'annotationId': '072866d7-b0f1-4765-8ec7-8e129ae3adf1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773691851573, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:10:51.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.56,21.22,300.0,298.05,000000000DFEC3B8,1600.0,1599.08,22450161.0,1400.0,1398.62,21470046.0,0.0,3700.0,3696.3,000000000DFEC3B1,0.0,0.09,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,072866d7-b0f1-4765-8ec7-8e129ae3adf1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,728.8572387695312,625.97265625,5171.34130859375,6662.13671875,4304.57568359375,4087.31494140625,7122.65380859375,6785.39453125,268.060791015625,9964.345703125,8098.77001953125,2656.74951171875,1947.6744384765625,2136.962646484375,22696.296875,15284.90625,644.224609375,1845.77490234375,7611.63330078125,813.5574340820312,85226.203125,60802.64453125,19023.068359375,17617.2109375,111.96002197265624,125.6534194946289,1171.43212890625,1252.0809326171875,106.60169982910156,122.14959716796876,549.8500366210938,676.2944946289062,377.2259826660156,406.005859375,361.0450744628906,319.17694091796875,3534.339111328125,2172.579345703125,907.5093383789062,738.5297241210938,935.0145874023438,5524.43408203125,7293.45751953125,8533.701171875,21412.046875,811.0487670898438,935.764404296875,1043.868408203125,86847.640625,88024.1796875,70116.375,73508.2421875,40041.66015625,230.57969665527344,488.99896240234375,221.79037475585935,21110.291015625,17048.4140625,15177.1083984375,15873.216796875,7453.3125,7078.93017578125,6650.89111328125,6130.29443359375,10797,27.5238094329834,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.734760284423828,24.52408218383789,988.528564453125,131098.21875,5.2558207511901855,0,4715366,True,BME690,10706,0,0,0,4714031,24484,0,26.73063850402832,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:10:53.960,"{'cid': 'aeff7ee7-bb8a-4caa-b6d1-b2c4d68395c0', 'uuid': '6349726d-8af9-4823-88a2-17bf5b9f13e5', 'annotationId': '072866d7-b0f1-4765-8ec7-8e129ae3adf1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773691851573, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:10:51.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.56,21.32,300.0,298.05,000000000DFEC3B8,1600.0,1599.16,22450161.0,1400.0,1398.07,21470046.0,0.0,3700.0,3696.31,000000000DFEC3B1,0.0,0.08,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,072866d7-b0f1-4765-8ec7-8e129ae3adf1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,728.6793823242188,625.6804809570312,5168.99951171875,6661.1181640625,4304.0400390625,4086.749755859375,7124.0849609375,6783.15625,267.83209228515625,9918.646484375,8117.83447265625,2657.30908203125,1949.9525146484373,2136.246826171875,22497.53125,15268.115234375,643.7214965820312,1842.680908203125,7588.9677734375,813.9985961914062,85222.0390625,60785.203125,19020.37109375,17612.080078125,111.93656158447266,125.70954132080078,1172.008544921875,1250.1993408203125,106.61870574951172,122.15117645263672,549.5365600585938,676.0471801757812,377.2469177246094,406.0359802246094,360.97119140625,319.20880126953125,3533.040771484375,2172.29833984375,907.1571655273438,738.517578125,934.3705444335938,5531.23828125,7293.7666015625,8532.69140625,21423.751953125,811.370361328125,935.9971923828124,1045.7811279296875,86852.2734375,88023.4453125,70115.765625,73514.4453125,39945.1328125,230.5592193603516,488.6647644042969,221.59182739257807,21110.046875,17046.744140625,15176.4931640625,15873.349609375,7452.63671875,7078.51513671875,6651.265625,6130.25830078125,11099,27.5238094329834,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.734432220458984,24.529905319213867,988.4716186523438,129851.3984375,5.256970405578613,0,4715806,True,BME690,10707,0,0,0,4714031,24484,0,26.73063850402832,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:10:54.263,"{'cid': 'aeff7ee7-bb8a-4caa-b6d1-b2c4d68395c0', 'uuid': '6349726d-8af9-4823-88a2-17bf5b9f13e5', 'annotationId': '072866d7-b0f1-4765-8ec7-8e129ae3adf1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773691851573, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:10:51.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.56,21.33,300.0,298.05,000000000DFEC3B8,1600.0,1599.25,22450161.0,1400.0,1397.51,21470046.0,0.0,3700.0,3696.33,000000000DFEC3B1,0.0,0.08,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,072866d7-b0f1-4765-8ec7-8e129ae3adf1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,729.1425170898438,625.9044799804688,5170.22265625,6660.810546875,4304.33349609375,4086.27099609375,7122.8828125,6782.08642578125,267.8528747558594,9915.384765625,8106.6982421875,2656.094970703125,1940.86962890625,2134.85791015625,22371.525390625,15278.591796875,642.9365234375,1845.110107421875,7591.07666015625,813.8096923828125,85232.3203125,60785.76953125,19021.98828125,17618.98046875,111.9718017578125,125.65187072753906,1174.162841796875,1250.801513671875,106.62063598632812,122.12947845458984,549.4322509765625,676.3189086914062,377.19232177734375,405.9819641113281,361.0042724609375,319.1321105957031,3533.85302734375,2172.088134765625,907.3172607421876,738.52734375,933.21044921875,5528.5634765625,7291.75341796875,8532.2802734375,21400.6796875,811.29931640625,935.3753662109376,1043.8662109375,86840.1015625,88007.2890625,70113.515625,73503.125,40219.1015625,230.6337432861328,489.13232421875,221.59381103515625,21110.177734375,17049.017578125,15176.3720703125,15873.0625,7452.6064453125,7077.42236328125,6650.9150390625,6129.79638671875,11399,27.68498039245605,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.734432220458984,24.529905319213867,988.422119140625,130160.8671875,5.256970405578613,0,4716247,True,BME690,10708,0,0,0,4714031,24484,0,26.73063850402832,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:10:54.565,"{'cid': 'aeff7ee7-bb8a-4caa-b6d1-b2c4d68395c0', 'uuid': '6349726d-8af9-4823-88a2-17bf5b9f13e5', 'annotationId': '072866d7-b0f1-4765-8ec7-8e129ae3adf1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773691851573, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:10:51.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.57,21.33,300.0,297.91,000000000DFEC3B8,1600.0,1599.33,22450161.0,1400.0,1397.14,21470046.0,0.0,3700.0,3696.34,000000000DFEC3B1,0.0,0.07,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,072866d7-b0f1-4765-8ec7-8e129ae3adf1,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,730.0864868164062,625.9290161132812,5168.962890625,6660.02294921875,4304.04052734375,4086.709716796875,7124.38623046875,6784.7470703125,267.9283447265625,9947.6376953125,8080.7431640625,2655.93359375,1944.9434814453125,2136.89794921875,22883.859375,15353.7080078125,643.1896362304688,1843.966552734375,7618.35107421875,814.02978515625,85237.296875,60780.67578125,19022.294921875,17620.708984375,111.94158172607422,125.68029022216795,1173.3634033203125,1255.16455078125,106.62269592285156,122.11097717285156,549.6898193359375,676.0780029296875,377.2520751953125,406.0295715332031,361.0094604492188,319.1170349121094,3532.55419921875,2171.998779296875,907.391357421875,738.44775390625,933.8963012695312,5518.9931640625,7292.86474609375,8532.87890625,21404.296875,811.4890747070312,936.6084594726562,1043.98193359375,86828.46875,88026.484375,70113.828125,73514.7421875,40210.28125,230.5684814453125,488.9029541015625,221.6031188964844,21109.44140625,17047.013671875,15177.4755859375,15872.7978515625,7453.72705078125,7077.41552734375,6651.1279296875,6130.001953125,11700,27.5238094329834,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.734432220458984,24.529905319213867,988.422119140625,130160.8671875,5.256970405578613,0,4716247,True,BME690,10708,0,0,0,4714031,24484,0,26.73063850402832,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:10:54.864,"{'cid': 'aeff7ee7-bb8a-4caa-b6d1-b2c4d68395c0', 'uuid': '6349726d-8af9-4823-88a2-17bf5b9f13e5', 'annotationId': '072866d7-b0f1-4765-8ec7-8e129ae3adf1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773691851573, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:10:51.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.57,21.33,300.0,297.13,000000000DFEC3B8,1600.0,1599.42,22450161.0,1400.0,1397.83,21470046.0,-0.0,3700.0,3696.35,000000000DFEC3B1,0.0,0.07,22160332.0
