component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_454625,FLW0_454625,ANLT0_454625,FLW0_181225,T0_093225,H0_093225
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,794f9897-e41c-4033-9165-eccae96a7b51,de4335f8-2d8f-494f-a206-cca1d5d280e6,699.3359375,591.57666015625,5155.181640625,6640.2431640625,4289.45654296875,4072.462646484375,7082.88232421875,6739.990234375,265.277099609375,9797.6025390625,7847.97900390625,2520.169921875,1887.2894287109373,2034.6904296875,23181.576171875,15051.818359375,632.0656127929688,1833.8837890625,7315.8115234375,767.6065063476562,84658.90625,60419.91015625,18956.298828125,17550.42578125,111.23424530029295,124.97433471679688,1163.8310546875,1238.0301513671875,105.42523193359376,120.78634643554688,522.9650268554688,640.6416015625,375.9701232910156,404.5339660644531,360.5844421386719,318.2903747558594,3510.619140625,2159.640380859375,905.8421630859376,736.9822387695312,882.6235961914062,5278.1640625,7272.5107421875,8501.71875,21047.322265625,800.9934692382812,920.6043701171876,1027.9248046875,86278.421875,87396.4453125,69652.5078125,73034.140625,40155.07421875,226.2659912109375,477.4268493652344,216.94924926757807,21046.23046875,17006.091796875,15141.5703125,15841.9453125,7408.24365234375,7033.7724609375,6606.2744140625,6089.43701171875,10440,27.604394912719727,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,23.984529495239254,23.11361122131348,987.7379150390624,130393.953125,5.024211406707764,0,8074289,True,BME690,18334,0,0,0,8070656,24484,0,26.685888290405277,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:06:53.393,"{'cid': '09851a70-6989-4901-8760-1b0331d3403d', 'uuid': 'c49e8513-27c2-487d-91ae-ef4d175e64a1', 'annotationId': '794f9897-e41c-4033-9165-eccae96a7b51', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695212820, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:06:53.061Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1596.08,22450161.0,300.0,297.17,000000000DFEC3B8,1100.0,1098.08,21470046.0,300.0,299.24,22160332.0,3700.0,3700.98,000000000DFEC3B1,-0.0,22.61,20.77
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,794f9897-e41c-4033-9165-eccae96a7b51,de4335f8-2d8f-494f-a206-cca1d5d280e6,698.3009643554688,591.4046020507812,5155.31103515625,6640.7197265625,4289.28466796875,4072.937744140625,7084.80078125,6741.998046875,265.2557983398437,9809.4833984375,7841.34814453125,2520.392578125,1889.3477783203125,2034.5260009765625,23107.044921875,14926.9072265625,632.173095703125,1831.6251220703125,7343.283203125,767.4251708984375,84656.71875,60420.8046875,18954.869140625,17553.05859375,111.27515411376952,124.92893981933594,1163.66943359375,1235.765869140625,105.44114685058594,120.77660369873048,522.5292358398438,640.8859252929688,375.97857666015625,404.533447265625,360.5528259277344,318.3187561035156,3510.319580078125,2158.468017578125,905.6630249023438,737.022216796875,882.7860717773438,5272.83837890625,7271.83544921875,8501.919921875,21060.1171875,800.9885864257812,921.7365112304688,1030.06640625,86274.7578125,87398.15625,69648.9609375,73036.4140625,39925.19921875,226.2021026611328,477.2621765136719,216.8223114013672,21045.96875,17004.564453125,15140.5322265625,15842.712890625,7408.24755859375,7033.9541015625,6606.08935546875,6089.24365234375,10741,27.68498039245605,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.98420143127441,23.12525749206543,987.7371215820312,130549.796875,5.026650428771973,0,8074730,True,BME690,18335,0,0,0,8070656,24484,0,26.685888290405277,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:06:53.697,"{'cid': '09851a70-6989-4901-8760-1b0331d3403d', 'uuid': 'c49e8513-27c2-487d-91ae-ef4d175e64a1', 'annotationId': '794f9897-e41c-4033-9165-eccae96a7b51', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695212820, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:06:53.061Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1596.08,22450161.0,300.0,297.17,000000000DFEC3B8,1100.0,1098.08,21470046.0,300.0,299.24,22160332.0,3700.0,3700.98,000000000DFEC3B1,-0.0,22.61,20.77
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,794f9897-e41c-4033-9165-eccae96a7b51,de4335f8-2d8f-494f-a206-cca1d5d280e6,698.6859741210938,591.8203125,5154.36474609375,6640.00341796875,4289.71728515625,4072.72216796875,7084.6953125,6743.83740234375,265.273193359375,9770.7890625,7875.21484375,2516.57080078125,1889.642822265625,2034.8585205078125,23000.37890625,15088.85546875,632.0551147460938,1831.2716064453125,7360.572265625,767.58447265625,84663.6640625,60422.90234375,18953.548828125,17552.056640625,111.3116683959961,124.91488647460938,1161.117431640625,1234.191162109375,105.4262924194336,120.79849243164062,522.7269897460938,640.7247314453125,375.9443664550781,404.5408325195313,360.5964050292969,318.37310791015625,3509.011962890625,2159.291259765625,905.6814575195312,736.9735717773438,881.4086303710938,5276.60546875,7271.4384765625,8501.896484375,21044.435546875,800.8878173828125,920.852783203125,1027.884765625,86274.4296875,87415.65625,69642.5546875,73040.3828125,39775.79296875,226.2362518310547,477.6544189453125,216.9663848876953,21044.82421875,17004.521484375,15141.82421875,15841.77734375,7407.27978515625,7033.50439453125,6606.1865234375,6089.43212890625,11042,27.5238094329834,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.983217239379883,23.131113052368164,987.736328125,129620.25,5.027642250061035,0,8075170,True,BME690,18336,0,0,0,8070656,24484,0,26.685888290405277,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:06:53.996,"{'cid': '09851a70-6989-4901-8760-1b0331d3403d', 'uuid': 'c49e8513-27c2-487d-91ae-ef4d175e64a1', 'annotationId': '794f9897-e41c-4033-9165-eccae96a7b51', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695212820, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:06:53.061Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1596.91,22450161.0,300.0,297.62,000000000DFEC3B8,1100.0,1098.33,21470046.0,300.0,299.36,22160332.0,3700.0,3701.76,000000000DFEC3B1,-0.0,22.61,20.77
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,794f9897-e41c-4033-9165-eccae96a7b51,de4335f8-2d8f-494f-a206-cca1d5d280e6,697.8779907226562,591.649658203125,5154.68310546875,6639.2392578125,4287.4462890625,4072.3759765625,7084.1865234375,6743.87109375,265.20855712890625,9746.3330078125,7860.62255859375,2517.976806640625,1886.571044921875,2035.0311279296875,22895.1171875,14993.59765625,632.0179443359375,1830.5203857421875,7340.74072265625,767.6796875,84668.9140625,60427.9296875,18961.8828125,17553.84375,111.2736587524414,124.93167877197266,1160.6456298828125,1233.7122802734375,105.40901947021484,120.79753875732422,522.6993408203125,640.6466674804688,376.0324401855469,404.4990539550781,360.6382141113281,318.2893981933594,3510.194091796875,2158.863037109375,905.7275390625,737.049560546875,881.8197021484375,5283.0810546875,7272.076171875,8500.37890625,21089.4609375,800.9553833007812,920.8355712890624,1027.7108154296875,86276.3125,87410.9296875,69648.15625,73041.34375,39884.36328125,226.25930786132807,477.3835754394531,217.01531982421875,21046.244140625,17005.60546875,15141.09765625,15842.8193359375,7408.6796875,7032.15576171875,6606.837890625,6089.45703125,11343,27.68498039245605,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.983217239379883,23.131113052368164,987.736328125,129620.25,5.027642250061035,0,8075170,True,BME690,18336,0,0,0,8070656,24484,0,26.685888290405277,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:06:54.296,"{'cid': '09851a70-6989-4901-8760-1b0331d3403d', 'uuid': 'c49e8513-27c2-487d-91ae-ef4d175e64a1', 'annotationId': '794f9897-e41c-4033-9165-eccae96a7b51', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695212820, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:06:53.061Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1597.88,22450161.0,300.0,298.18,000000000DFEC3B8,1100.0,1098.64,21470046.0,300.0,299.5,22160332.0,3700.0,3702.71,000000000DFEC3B1,-0.0,22.61,20.82
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,794f9897-e41c-4033-9165-eccae96a7b51,de4335f8-2d8f-494f-a206-cca1d5d280e6,698.7315673828125,591.54736328125,5154.4287109375,6639.54541015625,4288.2822265625,4072.509033203125,7085.755859375,6743.54736328125,265.20611572265625,9795.7861328125,7839.74951171875,2518.81689453125,1884.995361328125,2037.030029296875,22997.337890625,15048.3994140625,631.287841796875,1832.1617431640625,7358.70556640625,767.8040771484375,84648.9375,60422.015625,18965.333984375,17552.7265625,111.27542877197266,124.97695922851562,1160.8616943359375,1235.2684326171875,105.37537384033205,120.76581573486328,522.9671020507812,641.1695556640625,375.9811706542969,404.4994812011719,360.5721740722656,318.2976379394531,3509.0166015625,2159.03564453125,905.9488525390624,736.9613037109375,878.804931640625,5264.75048828125,7272.49560546875,8500.4833984375,21078.40234375,800.9315795898438,921.9522705078124,1029.5181884765625,86288.3828125,87415.5234375,69649.1875,73036.4296875,39743.046875,226.23329162597656,476.8749694824219,216.92286682128903,21046.9765625,17004.830078125,15141.564453125,15842.3447265625,7407.64453125,7033.2138671875,6606.6298828125,6090.1279296875,11644,27.68498039245605,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,23.983545303344727,23.13691711425781,987.7388305664062,129084.1015625,5.028997421264648,0,8075610,True,BME690,18337,0,0,0,8075659,24484,0,27.75957489013672,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:06:54.598,"{'cid': '09851a70-6989-4901-8760-1b0331d3403d', 'uuid': 'c49e8513-27c2-487d-91ae-ef4d175e64a1', 'annotationId': '794f9897-e41c-4033-9165-eccae96a7b51', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695212820, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:06:53.061Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1598.87,22450161.0,300.0,298.73,000000000DFEC3B8,1100.0,1098.95,21470046.0,300.0,299.65,22160332.0,3700.0,3703.68,000000000DFEC3B1,-0.0,22.62,20.89
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,794f9897-e41c-4033-9165-eccae96a7b51,de4335f8-2d8f-494f-a206-cca1d5d280e6,699.161865234375,591.6533203125,5154.79248046875,6639.5888671875,4288.88916015625,4072.441650390625,7085.5810546875,6742.21875,265.2528991699219,9773.9892578125,7828.7880859375,2516.30224609375,1887.853759765625,2036.62109375,23080.896484375,15072.94921875,632.5787963867188,1828.887939453125,7356.83251953125,767.15625,84647.984375,60418.1171875,18959.2109375,17554.208984375,111.2843017578125,124.926513671875,1159.626220703125,1237.8343505859375,105.42041778564452,120.79095458984376,523.017822265625,640.4695434570312,375.9490051269531,404.4805603027344,360.6744995117188,318.30877685546875,3510.073486328125,2158.8466796875,905.8056030273438,736.943359375,882.003662109375,5256.96142578125,7271.8642578125,8501.44140625,21072.818359375,800.9041137695312,922.3887939453124,1030.97265625,86279.25,87419.265625,69644.5,73039.65625,39629.96484375,226.18817138671875,476.2331848144531,216.9853057861328,21045.5234375,17005.171875,15140.4931640625,15843.0478515625,7407.224609375,7033.27880859375,6606.458984375,6088.89404296875,11945,27.604394912719727,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.983217239379883,23.13692855834961,987.7396850585938,129084.1015625,5.028905868530273,0,8076050,True,BME690,18338,0,0,0,8075659,24484,0,27.75957489013672,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:06:54.898,"{'cid': '09851a70-6989-4901-8760-1b0331d3403d', 'uuid': 'c49e8513-27c2-487d-91ae-ef4d175e64a1', 'annotationId': '794f9897-e41c-4033-9165-eccae96a7b51', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695212820, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:06:53.061Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1599.3,22450161.0,300.0,299.42,000000000DFEC3B8,1100.0,1099.01,21470046.0,300.0,299.74,22160332.0,3700.0,3703.31,000000000DFEC3B1,-0.0,22.62,20.95
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,794f9897-e41c-4033-9165-eccae96a7b51,de4335f8-2d8f-494f-a206-cca1d5d280e6,698.9805297851562,591.3919067382812,5154.1982421875,6638.96044921875,4287.72607421875,4072.4453125,7083.9501953125,6745.3740234375,265.24639892578125,9772.31640625,7861.740234375,2517.667236328125,1881.4769287109373,2036.8309326171875,23145.5859375,15068.8134765625,632.3151245117188,1829.6827392578125,7372.81787109375,767.4384155273438,84643.0390625,60423.13671875,18967.646484375,17550.41796875,111.26580047607422,124.97200012207033,1159.26611328125,1235.7822265625,105.41603088378906,120.76960754394533,522.9381713867188,641.1499633789062,375.9407958984375,404.54498291015625,360.6376647949219,318.3017578125,3509.857177734375,2159.217041015625,905.7337036132812,737.004638671875,881.907958984375,5260.529296875,7271.91455078125,8501.3935546875,21070.419921875,800.8716430664062,921.9520263671876,1029.4913330078125,86270.3359375,87420.4296875,69645.65625,73038.5625,39869.84375,226.2563934326172,477.32818603515625,217.0453948974609,21045.84765625,17005.548828125,15142.966796875,15842.080078125,7408.3212890625,7032.24755859375,6606.1162109375,6089.02197265625,12246,27.68498039245605,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.982561111450195,23.13113784790039,987.67529296875,129928.6328125,5.027460098266602,0,8076490,True,BME690,18339,0,0,0,8075659,24484,0,27.75957489013672,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:06:55.200,"{'cid': '09851a70-6989-4901-8760-1b0331d3403d', 'uuid': 'c49e8513-27c2-487d-91ae-ef4d175e64a1', 'annotationId': '794f9897-e41c-4033-9165-eccae96a7b51', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695212820, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:06:53.061Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1599.18,22450161.0,300.0,300.27,000000000DFEC3B8,1100.0,1098.77,21470046.0,300.0,299.75,22160332.0,3700.0,3701.35,000000000DFEC3B1,-0.0,22.62,21.01
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,794f9897-e41c-4033-9165-eccae96a7b51,de4335f8-2d8f-494f-a206-cca1d5d280e6,700.16064453125,591.410400390625,5154.00390625,6639.37646484375,4287.81591796875,4072.45361328125,7085.67041015625,6745.7412109375,265.1662292480469,9784.75,7861.15625,2514.395751953125,1890.56201171875,2037.6409912109373,23101.37109375,15057.13671875,631.3139038085938,1829.1727294921875,7357.9248046875,768.0000610351562,84627.53125,60406.34375,18961.15234375,17555.099609375,111.314453125,124.95449829101562,1160.5233154296875,1235.2203369140625,105.4125747680664,120.77008056640624,523.569580078125,640.4989013671875,376.0378723144531,404.5230102539063,360.6686096191406,318.3013916015625,3509.837890625,2158.86865234375,905.8634643554688,736.9474487304688,881.61767578125,5252.740234375,7273.02587890625,8502.822265625,21078.380859375,800.7589111328125,920.9796752929688,1031.54638671875,86264.0546875,87420.7890625,69639.5859375,73040.2734375,39964.54296875,226.25442504882807,476.7835083007813,217.1349029541016,21047.275390625,17004.05078125,15142.5361328125,15841.5888671875,7408.52099609375,7032.7998046875,6606.521484375,6089.3134765625,12547,27.68498039245605,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.982561111450195,23.13113784790039,987.67529296875,129928.6328125,5.027460098266602,0,8076490,True,BME690,18339,0,0,0,8075659,24484,0,27.75957489013672,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:06:55.502,"{'cid': '09851a70-6989-4901-8760-1b0331d3403d', 'uuid': 'c49e8513-27c2-487d-91ae-ef4d175e64a1', 'annotationId': '794f9897-e41c-4033-9165-eccae96a7b51', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695212820, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:06:53.061Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1599.06,22450161.0,300.0,301.12,000000000DFEC3B8,1100.0,1098.53,21470046.0,300.0,299.76,22160332.0,3700.0,3699.39,000000000DFEC3B1,-0.0,22.61,21.07
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,794f9897-e41c-4033-9165-eccae96a7b51,de4335f8-2d8f-494f-a206-cca1d5d280e6,699.735595703125,591.5708618164062,5154.44677734375,6638.576171875,4287.81298828125,4072.43994140625,7084.2724609375,6744.35302734375,265.1895446777344,9748.208984375,7870.7822265625,2516.42529296875,1882.71875,2038.9967041015625,23246.806640625,15149.1416015625,631.7074584960938,1831.423828125,7377.93212890625,767.5741577148438,84642.0859375,60403.3359375,18963.5703125,17551.900390625,111.26750946044922,124.96129608154295,1161.5584716796875,1235.3485107421875,105.41834259033205,120.79019165039062,522.9989624023438,640.5159301757812,375.9784240722656,404.4911193847656,360.6163330078125,318.2906188964844,3509.770263671875,2158.43310546875,905.5196533203124,736.97998046875,883.14501953125,5263.310546875,7271.90869140625,8501.46875,21062.90625,800.9058227539062,921.796875,1030.234130859375,86257.5859375,87416.25,69644.8359375,73031.515625,39915.79296875,226.21624755859372,477.2799072265625,217.22116088867188,21048.58203125,17004.068359375,15141.64453125,15841.599609375,7408.0205078125,7032.88671875,6606.65869140625,6089.77197265625,12848,27.604394912719727,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.98223304748535,23.142784118652344,987.6182861328124,131571.96875,5.029898643493652,0,8076930,True,BME690,18340,0,0,0,8075659,24484,0,27.75957489013672,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:06:55.807,"{'cid': '09851a70-6989-4901-8760-1b0331d3403d', 'uuid': 'c49e8513-27c2-487d-91ae-ef4d175e64a1', 'annotationId': '794f9897-e41c-4033-9165-eccae96a7b51', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695212820, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:06:53.061Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1598.95,22450161.0,300.0,301.79,000000000DFEC3B8,1100.0,1098.38,21470046.0,300.0,299.78,22160332.0,3700.0,3697.79,000000000DFEC3B1,-0.0,22.61,21.13
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,794f9897-e41c-4033-9165-eccae96a7b51,de4335f8-2d8f-494f-a206-cca1d5d280e6,699.6185302734375,591.0025634765625,5154.14794921875,6638.28369140625,4288.64794921875,4072.071044921875,7085.685546875,6744.67431640625,265.2002868652344,9786.482421875,7863.3623046875,2518.23095703125,1886.3662109375,2038.87451171875,23035.255859375,15080.8857421875,631.2577514648438,1829.53564453125,7366.771484375,767.6477661132812,84640.703125,60405.1953125,18949.5078125,17548.875,111.27565002441406,124.92375183105467,1162.885498046875,1238.0938720703125,105.45166015625,120.76885223388672,523.2611083984375,640.4744873046875,375.9079895019531,404.47369384765625,360.6486206054688,318.2821960449219,3509.719482421875,2158.73974609375,905.4927978515624,736.9869384765625,881.8050537109375,5266.89453125,7272.689453125,8501.939453125,21061.8515625,800.7982177734375,922.0365600585938,1029.782470703125,86263.78125,87411.9609375,69642.1171875,73027.5,39876.4453125,226.23995971679688,477.40478515625,216.99853515625,21046.822265625,17003.251953125,15141.7763671875,15841.2626953125,7406.92333984375,7032.2216796875,6606.677734375,6089.03955078125,13149,27.765565872192383,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.98223304748535,23.13115119934082,987.5687255859376,130471.828125,5.027369976043701,0,8077370,True,BME690,18341,0,0,0,8075659,24484,0,27.75957489013672,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:06:56.103,"{'cid': '09851a70-6989-4901-8760-1b0331d3403d', 'uuid': 'c49e8513-27c2-487d-91ae-ef4d175e64a1', 'annotationId': '794f9897-e41c-4033-9165-eccae96a7b51', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695212820, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:06:53.061Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1598.91,22450161.0,300.0,301.36,000000000DFEC3B8,1100.0,1098.83,21470046.0,300.0,299.8,22160332.0,3700.0,3698.88,000000000DFEC3B1,-0.0,22.6,21.19
