component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_813024,FLW0_813024,ANLT0_813024,FLW0_181225
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4a1501c5-6a17-4a8b-bf31-b97a030472d5,abf3d6e6-cbae-42a9-8225-203c3276d984,679.056396484375,586.323486328125,5078.3701171875,6541.2138671875,4222.84521484375,4013.59765625,6929.09912109375,6578.96923828125,272.305908203125,10134.25,7892.236328125,2506.54248046875,1844.9251708984373,2028.2452392578125,23122.927734375,14241.056640625,661.0274047851562,1877.40283203125,7300.99560546875,759.8886108398438,83728.8125,59786.48046875,19004.75,17535.955078125,111.79557037353516,125.8625717163086,1177.3953857421875,1330.65283203125,105.33905792236328,120.72956848144533,519.4862060546875,636.0847778320312,370.7252502441406,398.6751403808594,360.4373779296875,317.0175170898437,3472.978271484375,2142.191650390625,909.8263549804688,739.7913818359375,862.9508056640625,5269.85693359375,7184.70751953125,8390.443359375,26998.732421875,859.8428955078125,949.391357421875,1075.335205078125,84854.8828125,85896.0390625,68624.3984375,71951.0,42451.87890625,233.36297607421875,501.147216796875,225.6485290527344,21041.236328125,16998.728515625,15128.8076171875,15837.7578125,7244.57763671875,6870.29345703125,6442.77978515625,5932.1328125,9688,27.201465606689453,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.76068878173828,20.22022247314453,993.708251953125,92382.2890625,4.339832782745361,0,188489362,True,BME690,428164,0,0,0,188486976,24484,0,26.9080810546875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:11:22.755,"{'cid': 'bd6700ac-7455-451c-81e5-3f0240046f92', 'uuid': '495c0acb-ce83-44a2-b216-0e965d57472f', 'annotationId': '4a1501c5-6a17-4a8b-bf31-b97a030472d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277882408, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:11:22.632Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.82,17.61,3700.0,3700.49,000000000DFEC3B1,1340.0,1337.12,21470046.0,60.0,59.7,22160332.0,300.0,298.93,000000000DFEC3B8,1600.0,1595.36,22450161.0,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4a1501c5-6a17-4a8b-bf31-b97a030472d5,abf3d6e6-cbae-42a9-8225-203c3276d984,679.411865234375,586.6627807617188,5078.27392578125,6542.130859375,4223.45947265625,4013.408935546875,6929.8515625,6579.59619140625,272.43084716796875,10130.8681640625,7912.75439453125,2505.17431640625,1844.5042724609373,2022.1783447265625,23103.091796875,14253.34765625,660.9769287109375,1878.9510498046875,7281.8232421875,760.2182006835938,83731.09375,59789.9453125,18998.99609375,17533.388671875,111.81358337402344,125.8486099243164,1180.279052734375,1325.7989501953125,105.3650131225586,120.69867706298828,518.7867431640625,635.9356079101562,370.73675537109375,398.7275390625,360.6071472167969,317.003173828125,3472.315185546875,2142.033935546875,909.6153564453124,739.7804565429688,862.2460327148438,5271.35498046875,7184.44189453125,8391.291015625,26996.072265625,859.9984130859375,947.9300537109376,1075.1492919921875,84849.0625,85898.09375,68631.6875,71959.828125,42405.7734375,233.4005126953125,501.0877075195313,225.5294342041016,21040.599609375,17000.193359375,15129.765625,15838.1572265625,7244.32275390625,6872.583984375,6442.4501953125,5931.68505859375,9989,27.28205108642578,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.761016845703125,20.22020721435547,993.7073974609376,92695.8984375,4.339909076690674,0,188489802,True,BME690,428165,0,0,0,188486976,24484,0,26.9080810546875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:11:23.053,"{'cid': 'bd6700ac-7455-451c-81e5-3f0240046f92', 'uuid': '495c0acb-ce83-44a2-b216-0e965d57472f', 'annotationId': '4a1501c5-6a17-4a8b-bf31-b97a030472d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277882408, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:11:22.632Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.83,17.63,3700.0,3700.49,000000000DFEC3B1,1340.0,1337.12,21470046.0,60.0,59.7,22160332.0,300.0,298.93,000000000DFEC3B8,1600.0,1595.36,22450161.0,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4a1501c5-6a17-4a8b-bf31-b97a030472d5,abf3d6e6-cbae-42a9-8225-203c3276d984,679.291015625,587.4357299804688,5078.08203125,6542.4638671875,4221.880859375,4013.6953125,6929.5107421875,6576.67333984375,272.291748046875,10116.501953125,7897.11767578125,2506.463134765625,1844.3265380859373,2026.2833251953125,23153.662109375,14247.5458984375,660.7587890625,1876.6617431640625,7273.1728515625,760.03466796875,83731.8984375,59800.31640625,19000.49609375,17536.396484375,111.81916809082033,125.86399841308594,1180.7730712890625,1327.3111572265625,105.34877014160156,120.71732330322266,519.0096435546875,636.2064819335938,370.7273254394531,398.7344055175781,360.7459411621094,317.0470275878906,3472.0703125,2141.885009765625,909.5724487304688,739.820068359375,863.82861328125,5264.00732421875,7185.5869140625,8390.240234375,27020.197265625,859.9134521484375,948.6901245117188,1074.134521484375,84851.2109375,85893.3515625,68624.28125,71952.1796875,42459.0390625,233.4076232910156,501.2335510253906,225.5689849853516,21039.740234375,17000.09765625,15129.3095703125,15836.9990234375,7244.8408203125,6869.77783203125,6440.36767578125,5931.7529296875,10290,27.201465606689453,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.76134490966797,20.220191955566406,993.7098999023438,92853.5,4.339987277984619,0,188490242,True,BME690,428166,0,0,0,188486976,24484,0,26.9080810546875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:11:23.362,"{'cid': 'bd6700ac-7455-451c-81e5-3f0240046f92', 'uuid': '495c0acb-ce83-44a2-b216-0e965d57472f', 'annotationId': '4a1501c5-6a17-4a8b-bf31-b97a030472d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277882408, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:11:22.632Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.83,17.64,3700.0,3700.58,000000000DFEC3B1,1340.0,1337.19,21470046.0,60.0,59.7,22160332.0,300.0,299.12,000000000DFEC3B8,1600.0,1595.45,22450161.0,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4a1501c5-6a17-4a8b-bf31-b97a030472d5,abf3d6e6-cbae-42a9-8225-203c3276d984,679.1038208007812,587.0516357421875,5078.529296875,6541.8173828125,4222.5185546875,4013.05615234375,6929.56982421875,6573.98291015625,272.2100524902344,10129.4990234375,7880.83154296875,2506.01611328125,1850.39697265625,2029.0206298828125,23128.75,14301.1240234375,660.7324829101562,1879.091064453125,7311.0810546875,760.3174438476562,83726.2890625,59799.91015625,19001.185546875,17539.587890625,111.8394546508789,125.8977508544922,1179.5380859375,1328.6488037109375,105.36603546142578,120.7403564453125,519.136474609375,635.66845703125,370.7611083984375,398.7200622558594,360.60986328125,317.01739501953125,3472.2724609375,2141.98486328125,909.7952270507812,739.7369384765625,862.6694946289062,5263.39208984375,7183.48486328125,8391.0986328125,26990.6796875,860.0313110351562,947.8297729492188,1072.005615234375,84853.0390625,85883.015625,68622.5625,71955.140625,42381.66796875,233.34654235839844,501.084228515625,225.60438537597656,21040.26953125,17000.861328125,15128.8935546875,15836.080078125,7245.466796875,6870.78955078125,6442.74169921875,5932.1767578125,10592,27.28205108642578,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.76134490966797,20.220191955566406,993.7098999023438,92853.5,4.339987277984619,0,188490242,True,BME690,428166,0,0,0,188486976,24484,0,26.9080810546875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:11:23.656,"{'cid': 'bd6700ac-7455-451c-81e5-3f0240046f92', 'uuid': '495c0acb-ce83-44a2-b216-0e965d57472f', 'annotationId': '4a1501c5-6a17-4a8b-bf31-b97a030472d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277882408, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:11:22.632Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.84,17.66,3700.0,3701.24,000000000DFEC3B1,1340.0,1337.7,21470046.0,60.0,59.72,22160332.0,300.0,300.66,000000000DFEC3B8,1600.0,1596.43,22450161.0,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4a1501c5-6a17-4a8b-bf31-b97a030472d5,abf3d6e6-cbae-42a9-8225-203c3276d984,679.5831909179688,587.1367797851562,5078.447265625,6541.501953125,4221.31103515625,4012.6796875,6929.31298828125,6575.2724609375,272.4533386230469,10147.8681640625,7877.3193359375,2504.653076171875,1843.1673583984373,2024.80078125,23097.998046875,14274.8828125,660.8915405273438,1875.3128662109373,7296.53466796875,760.5413208007812,83720.8515625,59799.05078125,18999.138671875,17536.974609375,111.81392669677734,125.84535217285156,1180.204345703125,1326.2674560546875,105.36311340332033,120.75558471679688,519.3941040039062,636.4545288085938,370.7774658203125,398.7423706054688,360.5962219238281,316.9833984375,3472.703369140625,2142.46484375,909.8828735351562,739.7449951171875,862.2529296875,5257.7666015625,7188.88525390625,8390.638671875,27059.40234375,859.9597778320312,948.80810546875,1073.8873291015625,84839.96875,85867.109375,68617.8125,71960.625,42529.26953125,233.37570190429688,500.66839599609375,225.58999633789065,21041.578125,16997.646484375,15129.0791015625,15837.5869140625,7243.6279296875,6870.40673828125,6442.32568359375,5932.34716796875,10892,27.28205108642578,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.76167297363281,20.220176696777344,993.710693359375,94459.5,4.34006404876709,0,188490683,True,BME690,428167,0,0,0,188486976,24484,0,26.9080810546875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:11:23.955,"{'cid': 'bd6700ac-7455-451c-81e5-3f0240046f92', 'uuid': '495c0acb-ce83-44a2-b216-0e965d57472f', 'annotationId': '4a1501c5-6a17-4a8b-bf31-b97a030472d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277882408, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:11:22.632Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.84,17.68,3700.0,3701.9,000000000DFEC3B1,1340.0,1338.23,21470046.0,60.0,59.74,22160332.0,300.0,302.22,000000000DFEC3B8,1600.0,1597.43,22450161.0,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4a1501c5-6a17-4a8b-bf31-b97a030472d5,abf3d6e6-cbae-42a9-8225-203c3276d984,678.4900512695312,586.9287719726562,5077.9140625,6541.71826171875,4220.978515625,4012.578125,6929.5810546875,6572.92431640625,272.3213195800781,10154.2900390625,7890.77685546875,2504.1640625,1845.284423828125,2027.38623046875,23078.541015625,14363.6259765625,660.668701171875,1879.6444091796875,7289.77685546875,760.2317504882812,83733.015625,59791.671875,18998.9296875,17539.517578125,111.7663116455078,125.8872528076172,1182.870849609375,1326.4420166015625,105.36091613769533,120.71624755859376,519.2109985351562,636.4378051757812,370.72509765625,398.6834106445313,360.5735778808594,316.9898986816406,3472.30712890625,2142.487548828125,909.7623901367188,739.7552490234375,861.7445068359375,5261.2490234375,7184.8974609375,8391.609375,27028.33984375,859.9837646484375,949.4412231445312,1074.9794921875,84851.3984375,85872.21875,68612.078125,71964.53125,42545.83984375,233.3754730224609,501.2367248535156,225.75808715820312,21041.64453125,17000.255859375,15128.92578125,15837.748046875,7244.462890625,6872.205078125,6442.5126953125,5932.15576171875,11194,27.201465606689453,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.76167297363281,20.22599601745605,993.710693359375,93329.5390625,4.34131383895874,0,188491124,True,BME690,428168,0,0,0,188486976,24484,0,26.9080810546875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:11:24.257,"{'cid': 'bd6700ac-7455-451c-81e5-3f0240046f92', 'uuid': '495c0acb-ce83-44a2-b216-0e965d57472f', 'annotationId': '4a1501c5-6a17-4a8b-bf31-b97a030472d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277882408, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:11:22.632Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.83,17.7,3700.0,3702.58,000000000DFEC3B1,1340.0,1338.75,21470046.0,60.0,59.76,22160332.0,300.0,303.8,000000000DFEC3B8,1600.0,1598.43,22450161.0,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4a1501c5-6a17-4a8b-bf31-b97a030472d5,abf3d6e6-cbae-42a9-8225-203c3276d984,678.8119506835938,587.2262573242188,5078.80810546875,6541.19677734375,4220.50537109375,4012.656005859375,6930.11279296875,6572.66357421875,272.49029541015625,10131.3623046875,7904.4931640625,2505.070556640625,1847.755126953125,2027.527099609375,23119.806640625,14230.7734375,659.9055786132812,1884.1536865234373,7280.73486328125,760.8117065429688,83742.8203125,59797.3984375,18999.87109375,17537.34765625,111.81443786621094,125.87053680419922,1181.697265625,1326.8277587890625,105.34544372558594,120.72644805908205,519.2431640625,636.5255126953125,370.7770385742188,398.7012939453125,360.52581787109375,317.041748046875,3472.283203125,2141.63720703125,909.7830810546876,739.6943969726562,863.1141967773438,5250.61669921875,7183.7138671875,8390.982421875,27032.12890625,860.097900390625,949.2566528320312,1072.5787353515625,84837.3203125,85888.5390625,68622.0234375,71962.8125,42381.59375,233.42239379882807,500.9248352050781,225.7304229736328,21041.712890625,16999.83203125,15129.4453125,15836.0986328125,7243.3984375,6871.1533203125,6442.7080078125,5932.30419921875,11494,27.28205108642578,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.76167297363281,20.22599601745605,993.710693359375,93329.5390625,4.34131383895874,0,188491124,True,BME690,428168,0,0,0,188486976,24484,0,26.9080810546875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:11:24.557,"{'cid': 'bd6700ac-7455-451c-81e5-3f0240046f92', 'uuid': '495c0acb-ce83-44a2-b216-0e965d57472f', 'annotationId': '4a1501c5-6a17-4a8b-bf31-b97a030472d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277882408, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:11:22.632Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.82,17.72,3700.0,3702.07,000000000DFEC3B1,1340.0,1339.19,21470046.0,60.0,59.78,22160332.0,300.0,304.39,000000000DFEC3B8,1600.0,1599.03,22450161.0,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4a1501c5-6a17-4a8b-bf31-b97a030472d5,abf3d6e6-cbae-42a9-8225-203c3276d984,678.5667114257812,587.112548828125,5078.63525390625,6542.28515625,4220.87939453125,4012.417236328125,6928.85205078125,6574.822265625,272.2382202148437,10139.1162109375,7923.6650390625,2504.85986328125,1848.6717529296875,2026.3795166015625,23253.951171875,14254.7119140625,660.2467041015625,1880.121826171875,7296.96337890625,760.3389282226562,83721.0859375,59796.859375,19002.8984375,17534.7109375,111.82754516601562,125.87670135498048,1183.517822265625,1328.95703125,105.31645965576172,120.74031066894533,519.3233032226562,636.4114379882812,370.7301635742188,398.71002197265625,360.55316162109375,317.0061340332031,3473.183837890625,2141.960205078125,909.7152709960938,739.7910766601562,862.2529296875,5252.55078125,7183.80859375,8390.6826171875,27025.982421875,860.1156616210938,949.610107421875,1071.0645751953125,84845.546875,85890.0078125,68619.7421875,71963.96875,42045.1015625,233.36459350585935,500.7951049804688,225.72634887695312,21042.642578125,16998.08203125,15129.43359375,15835.470703125,7243.38330078125,6871.2646484375,6442.3603515625,5932.14501953125,11795,27.28205108642578,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.762001037597656,20.225980758666992,993.650390625,93971.8984375,4.3413920402526855,0,188491564,True,BME690,428169,0,0,0,188486976,24484,0,26.9080810546875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:11:24.858,"{'cid': 'bd6700ac-7455-451c-81e5-3f0240046f92', 'uuid': '495c0acb-ce83-44a2-b216-0e965d57472f', 'annotationId': '4a1501c5-6a17-4a8b-bf31-b97a030472d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277882408, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:11:22.632Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.82,17.74,3700.0,3701.19,000000000DFEC3B1,1340.0,1339.59,21470046.0,60.0,59.81,22160332.0,300.0,304.66,000000000DFEC3B8,1600.0,1599.46,22450161.0,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4a1501c5-6a17-4a8b-bf31-b97a030472d5,abf3d6e6-cbae-42a9-8225-203c3276d984,679.3507080078125,587.5505981445312,5078.7333984375,6542.01513671875,4222.28759765625,4012.634521484375,6929.177734375,6576.03076171875,272.4584350585937,10162.2763671875,7905.04345703125,2506.3095703125,1849.9210205078125,2026.0020751953125,23262.123046875,14318.287109375,660.6187744140625,1879.81640625,7301.33935546875,760.3478393554688,83718.5234375,59786.8125,19009.060546875,17538.20703125,111.86176300048828,125.8602294921875,1184.0958251953125,1328.1583251953125,105.35269927978516,120.70278930664062,519.4769287109375,636.43017578125,370.7347412109375,398.70318603515625,360.5015563964844,316.9484558105469,3473.31005859375,2142.597412109375,909.787109375,739.7669067382812,861.2904663085938,5260.7763671875,7183.34423828125,8389.9150390625,27024.650390625,859.999267578125,950.4739379882812,1071.8785400390625,84841.1484375,85876.109375,68622.8359375,71966.2578125,42263.36328125,233.38424682617188,500.9449768066406,225.6412506103516,21042.3671875,16998.1484375,15129.9619140625,15836.1650390625,7243.8271484375,6868.55322265625,6442.87646484375,5932.00146484375,12096,27.201465606689453,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.762001037597656,20.225980758666992,993.5974731445312,93810.4765625,4.3413920402526855,0,188492004,True,BME690,428170,0,0,0,188491979,24484,0,26.97389793395996,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:11:25.160,"{'cid': 'bd6700ac-7455-451c-81e5-3f0240046f92', 'uuid': '495c0acb-ce83-44a2-b216-0e965d57472f', 'annotationId': '4a1501c5-6a17-4a8b-bf31-b97a030472d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277882408, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:11:22.632Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.82,17.76,3700.0,3700.32,000000000DFEC3B1,1340.0,1340.0,21470046.0,60.0,59.83,22160332.0,300.0,304.92,000000000DFEC3B8,1600.0,1599.89,22450161.0,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4a1501c5-6a17-4a8b-bf31-b97a030472d5,abf3d6e6-cbae-42a9-8225-203c3276d984,678.9363403320312,587.0423583984375,5078.9970703125,6540.63037109375,4221.4052734375,4012.435302734375,6929.61572265625,6574.810546875,272.47235107421875,10109.533203125,7905.4267578125,2506.757080078125,1846.875244140625,2026.94970703125,23185.59765625,14240.705078125,660.8082885742188,1882.5469970703125,7355.50537109375,759.6835327148438,83715.4296875,59785.49609375,19007.755859375,17546.24609375,111.83586883544922,125.87175750732422,1183.484619140625,1328.971435546875,105.40142822265624,120.72476196289062,519.4139404296875,636.3258056640625,370.6941833496094,398.6980285644531,360.5557861328125,317.0064697265625,3472.77734375,2141.36328125,909.5977783203124,739.7161865234375,862.5470581054688,5244.72021484375,7184.037109375,8389.6533203125,27050.65234375,860.076171875,950.0043334960938,1072.1033935546875,84832.6953125,85880.3515625,68624.578125,71958.265625,42267.296875,233.4072113037109,501.154541015625,225.7211151123047,21040.5859375,16998.0234375,15130.205078125,15835.453125,7243.533203125,6869.43701171875,6440.43408203125,5931.7607421875,12397,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.762001037597656,20.225980758666992,993.5974731445312,93810.4765625,4.3413920402526855,0,188492004,True,BME690,428170,0,0,0,188491979,24484,0,26.97389793395996,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 01:11:25.460,"{'cid': 'bd6700ac-7455-451c-81e5-3f0240046f92', 'uuid': '495c0acb-ce83-44a2-b216-0e965d57472f', 'annotationId': '4a1501c5-6a17-4a8b-bf31-b97a030472d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773277882408, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T01:11:22.632Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.82,17.77,3700.0,3699.45,000000000DFEC3B1,1340.0,1340.2,21470046.0,60.0,59.85,22160332.0,300.0,304.16,000000000DFEC3B8,1600.0,1600.13,22450161.0,-0.0
