component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_184324,FLW0_184324,ANLT0_184324,FLW0_181225,SETP0_364625,FLW0_364625,ANLT0_364625
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,deb7f0f3-443f-4b25-8aeb-a13798b79204,abf3d6e6-cbae-42a9-8225-203c3276d984,709.0499877929688,601.46142578125,5161.69970703125,6653.080078125,4295.443359375,4079.834228515625,7106.58203125,6761.4091796875,266.8652648925781,9823.2138671875,7955.2412109375,2568.524658203125,1900.21142578125,2072.9873046875,22673.98046875,15032.8837890625,638.6761474609375,1837.80517578125,7460.43212890625,788.8515014648438,84938.984375,60644.3828125,19003.654296875,17577.2421875,111.70831298828124,125.37529754638672,1170.9324951171875,1246.3309326171875,105.7646484375,121.25086212158205,535.3528442382812,654.514404296875,376.6585083007813,405.4672546386719,361.0018310546875,318.7486572265625,3525.14599609375,2167.07177734375,907.2810668945312,737.877685546875,905.1447143554688,5424.56982421875,7283.150390625,8518.373046875,21250.666015625,807.4374389648438,929.42431640625,1038.2230224609375,86625.03125,87743.5078125,69917.3671875,73330.65625,39654.83984375,228.944091796875,483.8479614257813,219.71485900878903,21081.328125,17028.423828125,15157.5498046875,15852.267578125,7431.3115234375,7054.43701171875,6630.12646484375,6110.853515625,9187,27.68498039245605,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.927749633789062,24.06366539001465,988.3703002929688,129774.2578125,5.213919639587402,0,5253865,True,BME690,11929,0,0,0,5249957,24484,0,27.198917388916016,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:19:52.245,"{'cid': 'ec2238f0-3529-47b6-a535-1f1f2270f6b4', 'uuid': '29bb70bf-018d-4717-aeae-fcdc3c4dad67', 'annotationId': 'deb7f0f3-443f-4b25-8aeb-a13798b79204', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692391916, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:19:52.143Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.67,20.71,60.0,59.61,22160332.0,1600.0,1592.64,22450161.0,3700.0,3700.1,000000000DFEC3B1,1340.0,1337.12,21470046.0,0.0,300.0,301.17,000000000DFEC3B8
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,deb7f0f3-443f-4b25-8aeb-a13798b79204,abf3d6e6-cbae-42a9-8225-203c3276d984,708.9269409179688,601.5147094726562,5162.20263671875,6652.296875,4296.904296875,4080.16650390625,7105.1748046875,6762.98095703125,266.83123779296875,9821.5791015625,7954.03857421875,2569.837646484375,1899.263916015625,2072.623291015625,22771.4296875,15058.998046875,639.0543212890625,1839.6468505859373,7478.10546875,789.6926879882812,84957.9921875,60645.59765625,19004.974609375,17581.41015625,111.67049407958984,125.43162536621094,1168.5196533203125,1243.675537109375,105.80707550048828,121.25631713867188,535.2308349609375,655.2666625976562,376.6410827636719,405.4731750488281,361.0268249511719,318.7862548828125,3524.967529296875,2167.472412109375,907.1826171875,737.9757080078125,906.982177734375,5427.2138671875,7284.63232421875,8519.0615234375,21247.333984375,807.4552001953125,930.4622802734376,1039.9224853515625,86634.7890625,87740.9609375,69916.7734375,73332.28125,39764.17578125,228.8548126220703,484.28997802734375,219.7451934814453,21080.056640625,17027.337890625,15156.59765625,15853.1357421875,7431.994140625,7053.97265625,6629.72802734375,6110.85400390625,9488,27.604394912719727,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,23.927749633789062,24.06366539001465,988.3703002929688,129774.2578125,5.213919639587402,0,5253865,True,BME690,11929,0,0,0,5249957,24484,0,27.198917388916016,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:19:52.544,"{'cid': 'ec2238f0-3529-47b6-a535-1f1f2270f6b4', 'uuid': '29bb70bf-018d-4717-aeae-fcdc3c4dad67', 'annotationId': 'deb7f0f3-443f-4b25-8aeb-a13798b79204', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692391916, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:19:52.143Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.67,20.71,60.0,59.61,22160332.0,1600.0,1592.64,22450161.0,3700.0,3700.1,000000000DFEC3B1,1340.0,1337.12,21470046.0,0.0,300.0,301.17,000000000DFEC3B8
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,deb7f0f3-443f-4b25-8aeb-a13798b79204,abf3d6e6-cbae-42a9-8225-203c3276d984,707.8600463867188,602.4183349609375,5161.73583984375,6652.572265625,4296.5068359375,4079.6708984375,7104.3076171875,6759.61083984375,266.9750366210937,9822.5830078125,7965.9814453125,2569.35009765625,1900.67578125,2071.034912109375,22800.537109375,15012.3134765625,639.3573608398438,1837.0604248046875,7458.2548828125,789.4917602539062,84947.421875,60653.09765625,19003.953125,17586.0390625,111.71775817871094,125.3905029296875,1169.0478515625,1245.429443359375,105.77625274658205,121.22567749023438,535.2301635742188,654.9381713867188,376.6110534667969,405.4987182617188,360.9599609375,318.7738342285156,3525.0595703125,2168.01416015625,906.9827880859376,737.9812622070312,904.7418212890624,5412.07421875,7282.73583984375,8518.4970703125,21246.0234375,807.3630981445312,931.5555419921876,1037.7406005859375,86642.3671875,87747.8125,69916.734375,73331.6953125,39816.96875,228.9086151123047,484.3048095703125,219.7505340576172,21079.974609375,17028.96484375,15156.9306640625,15852.693359375,7431.3212890625,7054.22900390625,6630.09033203125,6110.9794921875,9789,27.68498039245605,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,23.92742156982422,24.075305938720703,988.3695068359376,129928.6328125,5.21634578704834,0,5254305,True,BME690,11930,0,0,0,5249957,24484,0,27.198917388916016,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:19:52.848,"{'cid': 'ec2238f0-3529-47b6-a535-1f1f2270f6b4', 'uuid': '29bb70bf-018d-4717-aeae-fcdc3c4dad67', 'annotationId': 'deb7f0f3-443f-4b25-8aeb-a13798b79204', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692391916, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:19:52.143Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.67,20.73,60.0,59.61,22160332.0,1600.0,1592.69,22450161.0,3700.0,3700.1,000000000DFEC3B1,1340.0,1337.13,21470046.0,0.0,300.0,301.17,000000000DFEC3B8
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,deb7f0f3-443f-4b25-8aeb-a13798b79204,abf3d6e6-cbae-42a9-8225-203c3276d984,708.7137451171875,602.3040161132812,5161.3291015625,6653.14794921875,4296.5869140625,4079.9775390625,7106.5654296875,6761.595703125,266.98114013671875,9814.1162109375,7970.6025390625,2570.7724609375,1908.049560546875,2074.008056640625,22949.53125,15069.5888671875,638.7394409179688,1836.0050048828125,7490.53076171875,789.3604736328125,84942.4453125,60648.609375,19002.1796875,17576.978515625,111.6661605834961,125.38746643066406,1170.43603515625,1243.8282470703125,105.80867767333984,121.2572784423828,535.208740234375,654.407470703125,376.5852355957031,405.4757995605469,361.0425720214844,318.7793884277344,3525.3056640625,2168.056396484375,906.9857177734376,737.9345092773438,904.0972290039062,5429.314453125,7281.80126953125,8519.5810546875,21243.798828125,807.5194091796875,929.927978515625,1036.171630859375,86635.0546875,87747.3203125,69915.9921875,73319.6171875,40129.1953125,228.9055633544922,484.45013427734375,219.7822723388672,21080.3515625,17027.95703125,15157.2919921875,15853.6162109375,7431.48681640625,7054.76416015625,6630.68017578125,6110.85302734375,10090,27.604394912719727,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.92742156982422,24.08693504333496,988.3695068359376,130160.8671875,5.218864917755127,0,5254745,True,BME690,11931,0,0,0,5249957,24484,0,27.198917388916016,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:19:53.146,"{'cid': 'ec2238f0-3529-47b6-a535-1f1f2270f6b4', 'uuid': '29bb70bf-018d-4717-aeae-fcdc3c4dad67', 'annotationId': 'deb7f0f3-443f-4b25-8aeb-a13798b79204', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692391916, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:19:52.143Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.66,20.8,60.0,59.65,22160332.0,1600.0,1594.32,22450161.0,3700.0,3700.01,000000000DFEC3B1,1340.0,1337.46,21470046.0,0.0,300.0,301.17,000000000DFEC3B8
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,deb7f0f3-443f-4b25-8aeb-a13798b79204,abf3d6e6-cbae-42a9-8225-203c3276d984,708.2811279296875,601.42578125,5162.13671875,6651.84375,4296.9150390625,4080.197265625,7106.35009765625,6761.56982421875,266.9719543457031,9833.0751953125,7992.35205078125,2570.388671875,1908.25927734375,2073.43896484375,22722.7421875,14978.8740234375,638.7999877929688,1837.1429443359373,7459.25,789.5975341796875,84937.2109375,60660.45703125,19005.591796875,17574.984375,111.66350555419922,125.35485076904295,1168.5732421875,1244.244873046875,105.7864227294922,121.26766967773438,535.2283325195312,654.762451171875,376.5935974121094,405.3740539550781,361.00433349609375,318.7181396484375,3524.322998046875,2167.842041015625,907.1508178710938,737.9353637695312,906.5962524414062,5409.69921875,7283.67333984375,8518.361328125,21221.451171875,807.5015258789062,930.22021484375,1038.12744140625,86612.734375,87746.4140625,69916.75,73332.265625,40073.71875,228.9550628662109,484.1669921875,219.85546875,21081.740234375,17028.0703125,15158.091796875,15853.896484375,7431.935546875,7054.1689453125,6630.7314453125,6111.02978515625,10391,27.68498039245605,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.92742156982422,24.08693504333496,988.3695068359376,130160.8671875,5.218864917755127,0,5254745,True,BME690,11931,0,0,0,5254960,24484,0,26.794021606445312,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:19:53.447,"{'cid': 'ec2238f0-3529-47b6-a535-1f1f2270f6b4', 'uuid': '29bb70bf-018d-4717-aeae-fcdc3c4dad67', 'annotationId': 'deb7f0f3-443f-4b25-8aeb-a13798b79204', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692391916, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:19:52.143Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.65,20.87,60.0,59.69,22160332.0,1600.0,1595.97,22450161.0,3700.0,3699.92,000000000DFEC3B1,1340.0,1337.79,21470046.0,0.0,300.0,301.17,000000000DFEC3B8
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,deb7f0f3-443f-4b25-8aeb-a13798b79204,abf3d6e6-cbae-42a9-8225-203c3276d984,709.794921875,601.6664428710938,5162.0771484375,6651.4296875,4297.41064453125,4079.534912109375,7105.6865234375,6764.2490234375,266.6645202636719,9834.7666015625,7963.23828125,2568.9189453125,1899.7899169921875,2075.429443359375,22906.591796875,15099.1162109375,638.7841796875,1838.321533203125,7474.65380859375,789.2651977539062,84943.0,60654.3359375,19004.607421875,17579.373046875,111.70185089111328,125.40999603271484,1167.6925048828125,1248.9691162109375,105.78312683105467,121.27344512939452,535.25830078125,654.1620483398438,376.6117858886719,405.43695068359375,360.9818115234375,318.8119201660156,3525.058837890625,2167.677978515625,907.0695190429688,737.9070434570312,906.7644653320312,5417.04248046875,7283.451171875,8519.091796875,21230.19921875,807.3427734375,930.3993530273438,1036.1796875,86623.3515625,87731.578125,69917.609375,73334.0234375,40065.36328125,228.9208831787109,484.2761840820313,219.86997985839844,21079.84375,17029.115234375,15157.5556640625,15852.9384765625,7433.1103515625,7054.13232421875,6630.47412109375,6111.44482421875,10692,27.765565872192383,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.92742156982422,24.08111953735352,988.3661499023438,128175.2421875,5.2176055908203125,0,5255185,True,BME690,11932,0,0,0,5254960,24484,0,26.794021606445312,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:19:53.748,"{'cid': 'ec2238f0-3529-47b6-a535-1f1f2270f6b4', 'uuid': '29bb70bf-018d-4717-aeae-fcdc3c4dad67', 'annotationId': 'deb7f0f3-443f-4b25-8aeb-a13798b79204', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692391916, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:19:52.143Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.64,20.95,60.0,59.74,22160332.0,1600.0,1597.62,22450161.0,3700.0,3699.83,000000000DFEC3B1,1340.0,1338.13,21470046.0,0.0,300.0,301.17,000000000DFEC3B8
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,deb7f0f3-443f-4b25-8aeb-a13798b79204,abf3d6e6-cbae-42a9-8225-203c3276d984,708.68505859375,602.014404296875,5162.55908203125,6651.58642578125,4298.1884765625,4079.778076171875,7105.7490234375,6761.34228515625,267.0125732421875,9865.52734375,7960.95849609375,2570.065185546875,1905.882080078125,2073.76220703125,22823.607421875,15056.44921875,638.0299682617188,1839.97900390625,7484.84423828125,789.5302124023438,84938.21875,60647.38671875,19003.48828125,17583.615234375,111.71691131591795,125.35323333740234,1167.498046875,1244.447265625,105.7755889892578,121.24266815185548,535.5088500976562,653.9133911132812,376.6336364746094,405.4508972167969,360.9561462402344,318.7806091308594,3523.65869140625,2167.80615234375,907.333984375,737.9420776367188,904.35498046875,5408.11474609375,7282.8779296875,8519.2373046875,21251.70703125,807.5841674804688,930.2540283203124,1035.656982421875,86621.8203125,87725.2734375,69917.6875,73327.109375,39743.5390625,228.9597930908203,483.8851318359375,219.763671875,21079.59375,17028.48828125,15159.0419921875,15853.5380859375,7432.25048828125,7053.94189453125,6630.48095703125,6111.74462890625,10994,27.765565872192383,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,23.92709350585937,24.081132888793945,988.3009643554688,128552.3671875,5.217509746551514,0,5255626,True,BME690,11933,0,0,0,5254960,24484,0,26.794021606445312,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:19:54.051,"{'cid': 'ec2238f0-3529-47b6-a535-1f1f2270f6b4', 'uuid': '29bb70bf-018d-4717-aeae-fcdc3c4dad67', 'annotationId': 'deb7f0f3-443f-4b25-8aeb-a13798b79204', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692391916, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:19:52.143Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.64,20.98,60.0,59.78,22160332.0,1600.0,1598.26,22450161.0,3700.0,3700.74,000000000DFEC3B1,1340.0,1338.57,21470046.0,-0.0,300.0,300.83,000000000DFEC3B8
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,deb7f0f3-443f-4b25-8aeb-a13798b79204,abf3d6e6-cbae-42a9-8225-203c3276d984,711.292724609375,601.4857788085938,5162.5859375,6651.3369140625,4296.4384765625,4080.290771484375,7105.50048828125,6761.88037109375,266.79315185546875,9846.708984375,7969.8662109375,2567.395751953125,1900.352783203125,2073.579345703125,22948.193359375,15021.1630859375,638.5991821289062,1835.0281982421875,7476.71044921875,789.3701171875,84938.5546875,60647.453125,19003.208984375,17579.568359375,111.68575286865234,125.38655853271484,1169.16357421875,1244.2183837890625,105.7855224609375,121.25740814208984,535.3322143554688,654.2971801757812,376.61138916015625,405.37017822265625,360.9322509765625,318.84686279296875,3524.197265625,2167.894287109375,907.2964477539062,737.9742431640625,904.7843017578124,5428.5263671875,7282.818359375,8517.7626953125,21284.513671875,807.3316650390625,931.0171508789062,1036.0064697265625,86619.9140625,87718.9140625,69911.546875,73326.234375,40057.4609375,228.9359893798828,484.5306396484375,219.729248046875,21078.861328125,17028.2109375,15158.576171875,15853.5322265625,7431.31884765625,7054.03125,6630.23486328125,6110.9775390625,11294,27.765565872192383,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,23.92709350585937,24.081132888793945,988.3009643554688,128552.3671875,5.217509746551514,0,5255626,True,BME690,11933,0,0,0,5254960,24484,0,26.794021606445312,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:19:54.353,"{'cid': 'ec2238f0-3529-47b6-a535-1f1f2270f6b4', 'uuid': '29bb70bf-018d-4717-aeae-fcdc3c4dad67', 'annotationId': 'deb7f0f3-443f-4b25-8aeb-a13798b79204', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692391916, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:19:52.143Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.64,21.01,60.0,59.82,22160332.0,1600.0,1598.4,22450161.0,3700.0,3702.14,000000000DFEC3B1,1340.0,1339.08,21470046.0,-0.0,300.0,300.34,000000000DFEC3B8
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,deb7f0f3-443f-4b25-8aeb-a13798b79204,abf3d6e6-cbae-42a9-8225-203c3276d984,709.9671020507812,602.0140380859375,5162.6025390625,6651.84375,4296.25439453125,4080.50244140625,7104.78759765625,6761.34521484375,266.7735900878906,9825.7041015625,8005.96240234375,2572.747802734375,1901.812744140625,2075.09033203125,22998.1484375,15042.396484375,637.8801879882812,1835.3704833984373,7462.8369140625,789.08544921875,84910.25,60644.109375,18999.251953125,17580.185546875,111.67469787597656,125.42813873291016,1170.5960693359375,1247.611572265625,105.79517364501952,121.2497787475586,535.7788696289062,654.5222778320312,376.634521484375,405.41607666015625,361.029541015625,318.7884826660156,3523.7548828125,2167.467529296875,907.2787475585938,738.0611572265625,905.5921630859376,5424.2080078125,7284.357421875,8517.8779296875,21302.87109375,807.4651489257812,930.7943725585938,1036.3817138671875,86624.359375,87730.4921875,69913.0859375,73331.8046875,40150.14453125,228.9320526123047,484.0885925292969,219.79000854492188,21079.755859375,17028.3671875,15157.6435546875,15855.4287109375,7432.3017578125,7054.29541015625,6630.4580078125,6111.3583984375,11595,27.68498039245605,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.92709350585937,24.098573684692383,988.2431030273438,130160.8671875,5.221288681030273,0,5256066,True,BME690,11934,0,0,0,5254960,24484,0,26.794021606445312,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:19:54.651,"{'cid': 'ec2238f0-3529-47b6-a535-1f1f2270f6b4', 'uuid': '29bb70bf-018d-4717-aeae-fcdc3c4dad67', 'annotationId': 'deb7f0f3-443f-4b25-8aeb-a13798b79204', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692391916, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:19:52.143Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.64,21.03,60.0,59.86,22160332.0,1600.0,1598.54,22450161.0,3700.0,3703.53,000000000DFEC3B1,1340.0,1339.57,21470046.0,-0.0,300.0,299.85,000000000DFEC3B8
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,deb7f0f3-443f-4b25-8aeb-a13798b79204,abf3d6e6-cbae-42a9-8225-203c3276d984,709.1516723632812,601.7666015625,5160.26318359375,6650.66845703125,4296.32373046875,4079.6328125,7105.83203125,6762.9033203125,266.8409423828125,9856.9404296875,7964.26318359375,2570.409423828125,1901.002197265625,2071.926025390625,22895.107421875,15096.8427734375,638.69970703125,1834.94091796875,7470.65771484375,789.189208984375,84916.71875,60640.9375,19003.296875,17578.72265625,111.70215606689452,125.4246597290039,1167.814208984375,1245.3250732421875,105.81574249267578,121.22687530517578,535.6607055664062,655.1614379882812,376.647705078125,405.3699340820313,360.9196472167969,318.8134765625,3522.837646484375,2167.3154296875,907.0614013671876,738.04345703125,904.2931518554688,5429.7353515625,7283.193359375,8517.9677734375,21291.568359375,807.4298706054688,931.577880859375,1039.4447021484375,86616.6796875,87723.3125,69910.3828125,73333.796875,39960.26171875,228.9081115722656,483.9814147949219,219.7694396972656,21078.931640625,17028.947265625,15158.4267578125,15854.0927734375,7431.49169921875,7054.46875,6630.08935546875,6110.96044921875,11896,27.765565872192383,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,23.92676544189453,24.09858703613281,988.1911010742188,130160.8671875,5.221195220947266,0,5256506,True,BME690,11935,0,0,0,5254960,24484,0,26.794021606445312,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 14, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:19:54.952,"{'cid': 'ec2238f0-3529-47b6-a535-1f1f2270f6b4', 'uuid': '29bb70bf-018d-4717-aeae-fcdc3c4dad67', 'annotationId': 'deb7f0f3-443f-4b25-8aeb-a13798b79204', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692391916, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:19:52.143Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.64,21.04,60.0,59.9,22160332.0,1600.0,1598.72,22450161.0,3700.0,3704.37,000000000DFEC3B1,1340.0,1339.91,21470046.0,-0.0,300.0,299.76,000000000DFEC3B8
