component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_184225,FLW0_184225,ANLT0_184225,FLW0_181225,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_813024,FLW0_813024,ANLT0_813024
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3ccac008-9364-4d94-8523-d0691a19c765,8ace83d2-b948-4266-8dcc-696a43a086a8,697.7335205078125,608.39404296875,5093.83837890625,6560.89208984375,4237.18115234375,4026.685546875,6942.123046875,6603.0263671875,275.7858581542969,10254.1904296875,8136.35400390625,2590.57666015625,1896.50390625,2071.50537109375,23179.546875,14469.0107421875,674.9239501953125,1900.62451171875,7425.607421875,778.957763671875,84121.578125,60052.87890625,19035.36328125,17585.916015625,112.4048309326172,126.58248901367188,1190.4754638671875,1355.4827880859375,106.15493774414062,121.58834075927734,530.5206909179688,653.72509765625,371.6084289550781,399.4986267089844,360.8507690429688,317.6709289550781,3485.85400390625,2151.1396484375,911.27685546875,741.312744140625,881.329345703125,5292.9638671875,7204.146484375,8416.578125,27560.51171875,875.8057861328125,969.6727294921876,1089.8790283203125,85224.625,86315.09375,68904.765625,72299.9609375,42069.90234375,237.7734832763672,513.5967407226562,229.87892150878903,21106.388671875,17044.80078125,15169.06640625,15871.8408203125,7272.177734375,6898.87939453125,6471.22802734375,5958.1279296875,10204,27.120880126953125,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.85652732849121,19.948129653930664,993.8195190429688,90319.7421875,4.304778575897217,0,184590173,True,BME690,419308,0,0,0,184585739,24484,0,27.235258102416992,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:06:23.149,"{'cid': 'cd2fa782-faa6-421a-8e86-3c8df1564aad', 'uuid': '6c1507d7-9b23-4174-ad49-634ee4d42269', 'annotationId': '3ccac008-9364-4d94-8523-d0691a19c765', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773273982553, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:06:22.770Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.78,17.33,300.0,298.24,000000000DFEC3B8,150.0,149.27,22160332.0,-0.0,1250.0,1246.32,21470046.0,3700.0,3700.49,000000000DFEC3B1,1600.0,1598.8,22450161.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3ccac008-9364-4d94-8523-d0691a19c765,8ace83d2-b948-4266-8dcc-696a43a086a8,697.5836791992188,608.3507080078125,5093.9912109375,6561.12451171875,4237.81982421875,4027.510009765625,6943.98291015625,6603.29541015625,275.9657897949219,10228.2236328125,8106.27294921875,2591.471923828125,1900.6424560546875,2073.94189453125,23106.47265625,14448.1015625,674.5738525390625,1902.477294921875,7405.27734375,779.1805419921875,84127.4921875,60058.96875,19031.173828125,17582.43359375,112.42145538330078,126.6072006225586,1189.24951171875,1358.8665771484375,106.1528549194336,121.6352767944336,530.534912109375,653.3887329101562,371.6083984375,399.5528869628906,360.9078369140625,317.6582946777344,3485.771728515625,2150.81005859375,911.4033813476562,741.3619995117188,882.8472900390625,5283.38330078125,7204.58740234375,8417.001953125,27567.77734375,875.7815551757812,970.7323608398438,1089.8707275390625,85218.9609375,86307.3203125,68902.2265625,72301.90625,42477.62109375,237.76702880859372,513.8446044921875,229.8514709472656,21107.787109375,17044.244140625,15169.3955078125,15872.9765625,7270.80322265625,6900.2021484375,6470.912109375,5958.8955078125,10505,27.120880126953125,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.85652732849121,19.95394897460937,993.8211669921876,90096.2265625,4.306034088134766,0,184590614,True,BME690,419309,0,0,0,184590742,24484,0,26.764493942260746,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:06:23.452,"{'cid': 'cd2fa782-faa6-421a-8e86-3c8df1564aad', 'uuid': '6c1507d7-9b23-4174-ad49-634ee4d42269', 'annotationId': '3ccac008-9364-4d94-8523-d0691a19c765', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773273982553, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:06:22.770Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.79,17.36,300.0,298.24,000000000DFEC3B8,150.0,149.27,22160332.0,-0.0,1250.0,1246.32,21470046.0,3700.0,3700.49,000000000DFEC3B1,1600.0,1598.8,22450161.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3ccac008-9364-4d94-8523-d0691a19c765,8ace83d2-b948-4266-8dcc-696a43a086a8,697.9515380859375,608.3757934570312,5093.6962890625,6560.98046875,4238.0546875,4027.3427734375,6943.439453125,6602.53466796875,276.0961303710937,10273.5068359375,8131.91064453125,2591.008056640625,1900.9742431640625,2072.1181640625,23248.857421875,14497.4248046875,673.56201171875,1901.712890625,7462.55712890625,779.651611328125,84118.1015625,60056.44140625,19032.529296875,17587.845703125,112.4295654296875,126.59406280517578,1189.572021484375,1360.4720458984375,106.2021484375,121.58975982666016,531.0452880859375,653.7089233398438,371.6428527832031,399.5184326171875,360.92724609375,317.68084716796875,3486.107177734375,2151.157958984375,911.3468017578124,741.4370727539062,881.0138549804688,5293.04638671875,7208.12548828125,8417.9189453125,27547.0703125,875.8848876953125,970.5744018554688,1089.2769775390625,85223.3359375,86319.5,68894.5,72297.546875,42579.76171875,237.75523376464844,513.5303955078125,229.84300231933597,21106.876953125,17046.09375,15169.3369140625,15871.2978515625,7271.20654296875,6900.14111328125,6468.4306640625,5959.00439453125,10806,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.85652732849121,19.95394897460937,993.8211669921876,90845.578125,4.306034088134766,0,184591054,True,BME690,419310,0,0,0,184590742,24484,0,26.764493942260746,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:06:23.751,"{'cid': 'cd2fa782-faa6-421a-8e86-3c8df1564aad', 'uuid': '6c1507d7-9b23-4174-ad49-634ee4d42269', 'annotationId': '3ccac008-9364-4d94-8523-d0691a19c765', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773273982553, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:06:22.770Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.79,17.39,300.0,299.42,000000000DFEC3B8,150.0,149.42,22160332.0,-0.0,1250.0,1247.2,21470046.0,3700.0,3699.08,000000000DFEC3B1,1600.0,1598.8,22450161.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3ccac008-9364-4d94-8523-d0691a19c765,8ace83d2-b948-4266-8dcc-696a43a086a8,698.5000610351562,608.500244140625,5093.140625,6559.77197265625,4237.7763671875,4027.52099609375,6942.40283203125,6602.8291015625,275.94677734375,10257.2373046875,8111.93115234375,2591.029052734375,1899.634765625,2072.1298828125,23225.4765625,14450.419921875,674.2470092773438,1902.358642578125,7426.2314453125,779.3929443359375,84140.1015625,60058.78515625,19035.58984375,17586.115234375,112.42283630371094,126.59178924560548,1187.5831298828125,1359.047607421875,106.20000457763672,121.5920867919922,530.7796630859375,653.5862426757812,371.6238098144531,399.529052734375,360.8226318359375,317.58282470703125,3486.116943359375,2151.2099609375,911.4713134765624,741.3604125976562,881.9798583984375,5299.19970703125,7204.640625,8416.4365234375,27551.767578125,876.0518798828125,970.0299682617188,1087.787841796875,85211.21875,86321.0703125,68894.109375,72294.0234375,42255.37890625,237.7417907714844,513.7304077148438,229.99417114257807,21106.607421875,17044.16015625,15169.0888671875,15870.658203125,7272.4150390625,6898.00537109375,6470.4130859375,5958.4365234375,11107,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.85652732849121,19.95394897460937,993.8211669921876,90845.578125,4.306034088134766,0,184591054,True,BME690,419310,0,0,0,184590742,24484,0,26.764493942260746,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:06:24.053,"{'cid': 'cd2fa782-faa6-421a-8e86-3c8df1564aad', 'uuid': '6c1507d7-9b23-4174-ad49-634ee4d42269', 'annotationId': '3ccac008-9364-4d94-8523-d0691a19c765', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773273982553, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:06:22.770Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.8,17.41,300.0,300.65,000000000DFEC3B8,150.0,149.57,22160332.0,-0.0,1250.0,1248.13,21470046.0,3700.0,3697.56,000000000DFEC3B1,1600.0,1598.8,22450161.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3ccac008-9364-4d94-8523-d0691a19c765,8ace83d2-b948-4266-8dcc-696a43a086a8,697.2227783203125,608.2763671875,5093.97021484375,6559.60595703125,4237.16064453125,4027.326171875,6941.82861328125,6601.75927734375,275.5858764648437,10270.1484375,8094.7626953125,2592.00390625,1901.7784423828125,2071.99365234375,23295.984375,14426.892578125,673.4241333007812,1902.4393310546875,7422.95556640625,779.3402709960938,84132.0,60052.05078125,19035.021484375,17592.232421875,112.4051742553711,126.6046905517578,1189.3759765625,1357.799072265625,106.16822052001952,121.60377502441406,530.7340698242188,653.4745483398438,371.6431579589844,399.544921875,360.8468627929688,317.5867004394531,3486.040283203125,2151.36181640625,911.549560546875,741.42626953125,880.3948974609375,5293.0712890625,7205.37060546875,8416.8193359375,27551.712890625,875.92431640625,968.8281860351562,1088.8643798828125,85214.1796875,86322.125,68896.5546875,72297.1015625,42424.03515625,237.790283203125,513.9071044921875,229.84616088867188,21107.0,17044.814453125,15170.2412109375,15870.970703125,7271.3349609375,6898.7880859375,6470.92333984375,5958.07958984375,11408,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.85652732849121,19.948129653930664,993.8228149414062,91072.8203125,4.304778575897217,0,184591495,True,BME690,419311,0,0,0,184590742,24484,0,26.764493942260746,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:06:24.353,"{'cid': 'cd2fa782-faa6-421a-8e86-3c8df1564aad', 'uuid': '6c1507d7-9b23-4174-ad49-634ee4d42269', 'annotationId': '3ccac008-9364-4d94-8523-d0691a19c765', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773273982553, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:06:22.770Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.8,17.47,300.0,301.87,000000000DFEC3B8,150.0,149.72,22160332.0,-0.0,1250.0,1249.06,21470046.0,3700.0,3696.05,000000000DFEC3B1,1600.0,1598.8,22450161.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3ccac008-9364-4d94-8523-d0691a19c765,8ace83d2-b948-4266-8dcc-696a43a086a8,698.3744506835938,608.5175170898438,5093.77978515625,6559.99951171875,4236.64404296875,4027.63720703125,6942.5068359375,6602.93505859375,275.7249450683594,10293.423828125,8098.7333984375,2586.336669921875,1901.24755859375,2073.007568359375,23463.970703125,14478.525390625,673.6577758789062,1902.6590576171875,7443.07275390625,778.8358764648438,84134.59375,60044.0625,19035.939453125,17591.41015625,112.41388702392578,126.57891082763672,1190.0523681640625,1359.4127197265625,106.15837097167967,121.64031219482422,530.7828369140625,653.4161376953125,371.6669616699219,399.533447265625,360.8302001953125,317.6436462402344,3485.13818359375,2151.430908203125,911.5130004882812,741.3496704101562,880.8148193359375,5292.94384765625,7207.375,8416.7578125,27570.9921875,875.9141235351562,969.7579345703124,1089.4580078125,85219.734375,86325.140625,68912.1015625,72298.2109375,42304.88671875,237.75588989257807,513.5392456054688,229.9999847412109,21107.03515625,17045.216796875,15170.4453125,15870.3017578125,7271.73486328125,6901.025390625,6470.65478515625,5958.82470703125,11709,27.201465606689453,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.85685539245605,19.9481143951416,993.7608642578124,90170.609375,4.304856300354004,0,184591935,True,BME690,419312,0,0,0,184590742,24484,0,26.764493942260746,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:06:24.654,"{'cid': 'cd2fa782-faa6-421a-8e86-3c8df1564aad', 'uuid': '6c1507d7-9b23-4174-ad49-634ee4d42269', 'annotationId': '3ccac008-9364-4d94-8523-d0691a19c765', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773273982553, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:06:22.770Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.8,17.52,300.0,303.09,000000000DFEC3B8,150.0,149.79,22160332.0,-0.0,1250.0,1249.4,21470046.0,3700.0,3696.68,000000000DFEC3B1,1600.0,1598.87,22450161.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3ccac008-9364-4d94-8523-d0691a19c765,8ace83d2-b948-4266-8dcc-696a43a086a8,698.614501953125,608.662841796875,5094.41064453125,6560.2529296875,4236.86474609375,4027.48583984375,6941.931640625,6600.66796875,275.81591796875,10295.265625,8086.4833984375,2589.30126953125,1895.9464111328125,2073.6259765625,23367.54296875,14527.2431640625,673.5984497070312,1901.1602783203125,7450.9775390625,779.3200073242188,84145.953125,60049.35546875,19036.587890625,17597.931640625,112.44852447509766,126.57785034179688,1188.4935302734375,1360.7882080078125,106.1687240600586,121.58551025390624,530.9783935546875,653.3789672851562,371.6540222167969,399.5421447753906,360.7793884277344,317.6313171386719,3486.587890625,2151.0576171875,911.619384765625,741.3820190429688,880.9302978515625,5294.6806640625,7204.61669921875,8417.453125,27584.197265625,875.7823486328125,969.0441284179688,1085.28662109375,85216.296875,86324.6328125,68919.9296875,72296.7265625,42267.32421875,237.7808837890625,513.920166015625,229.8267059326172,21107.388671875,17045.69921875,15170.1005859375,15871.37109375,7271.5576171875,6900.88134765625,6469.71337890625,5958.8779296875,12012,27.120880126953125,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.85685539245605,19.9481143951416,993.7608642578124,90170.609375,4.304856300354004,0,184591935,True,BME690,419312,0,0,0,184590742,24484,0,26.764493942260746,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:06:24.961,"{'cid': 'cd2fa782-faa6-421a-8e86-3c8df1564aad', 'uuid': '6c1507d7-9b23-4174-ad49-634ee4d42269', 'annotationId': '3ccac008-9364-4d94-8523-d0691a19c765', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773273982553, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:06:22.770Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.8,17.58,300.0,304.34,000000000DFEC3B8,150.0,149.81,22160332.0,-0.0,1250.0,1249.32,21470046.0,3700.0,3698.94,000000000DFEC3B1,1600.0,1598.98,22450161.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3ccac008-9364-4d94-8523-d0691a19c765,8ace83d2-b948-4266-8dcc-696a43a086a8,698.5888061523438,608.179443359375,5093.6455078125,6560.03662109375,4237.7080078125,4027.56787109375,6941.681640625,6602.2197265625,275.7935485839844,10293.892578125,8105.66845703125,2590.076416015625,1895.716796875,2073.7880859375,23267.365234375,14462.447265625,673.6185302734375,1900.5045166015625,7452.04150390625,779.0465087890625,84134.265625,60045.68359375,19039.77734375,17588.228515625,112.44343566894533,126.60301208496094,1187.68017578125,1361.19140625,106.19432830810548,121.58393096923828,531.05029296875,653.685791015625,371.5992431640625,399.5631408691406,360.7813720703125,317.5633850097656,3485.25341796875,2151.247802734375,911.5213012695312,741.3737182617188,879.4866333007812,5282.41796875,7205.91552734375,8417.5859375,27572.31640625,875.8408813476562,969.75390625,1087.8724365234375,85216.84375,86308.4609375,68912.015625,72293.234375,42333.1484375,237.763671875,513.252685546875,229.9141082763672,21108.00390625,17044.59375,15170.6552734375,15871.673828125,7272.31640625,6900.12646484375,6470.64990234375,5959.103515625,12311,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.85685539245605,19.9481143951416,993.706298828125,90921.203125,4.304856300354004,0,184592375,True,BME690,419313,0,0,0,184590742,24484,0,26.764493942260746,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:06:25.257,"{'cid': 'cd2fa782-faa6-421a-8e86-3c8df1564aad', 'uuid': '6c1507d7-9b23-4174-ad49-634ee4d42269', 'annotationId': '3ccac008-9364-4d94-8523-d0691a19c765', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773273982553, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:06:22.770Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.8,17.62,300.0,305.54,000000000DFEC3B8,150.0,149.83,22160332.0,-0.0,1250.0,1249.25,21470046.0,3700.0,3701.12,000000000DFEC3B1,1600.0,1599.08,22450161.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3ccac008-9364-4d94-8523-d0691a19c765,8ace83d2-b948-4266-8dcc-696a43a086a8,698.8230590820312,608.4921875,5093.88330078125,6559.99609375,4237.763671875,4027.722412109375,6943.60595703125,6602.36376953125,276.0528869628906,10231.76171875,8081.12744140625,2585.3408203125,1895.7244873046875,2073.328857421875,23365.138671875,14461.857421875,673.832763671875,1898.4659423828125,7452.39697265625,779.483154296875,84142.6953125,60048.54296875,19043.087890625,17591.349609375,112.41979217529295,126.55962371826172,1189.551025390625,1359.147705078125,106.17850494384766,121.59732055664062,531.2069702148438,652.5950317382812,371.64398193359375,399.56842041015625,360.6775817871094,317.6533203125,3485.35009765625,2151.055419921875,911.593505859375,741.2581787109375,883.6155395507812,5299.34228515625,7203.90185546875,8417.263671875,27571.279296875,875.849365234375,968.4600219726562,1086.3907470703125,85210.0546875,86316.7734375,68914.4765625,72291.1796875,41967.34765625,237.7917633056641,513.0260009765625,229.8091278076172,21109.134765625,17043.88671875,15169.9169921875,15870.5673828125,7272.04931640625,6899.166015625,6470.544921875,5958.873046875,12612,27.201465606689453,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.8571834564209,19.95391845703125,993.660888671875,90694.7109375,4.306187629699707,0,184592815,True,BME690,419314,0,0,0,184590742,24484,0,26.764493942260746,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:06:25.557,"{'cid': 'cd2fa782-faa6-421a-8e86-3c8df1564aad', 'uuid': '6c1507d7-9b23-4174-ad49-634ee4d42269', 'annotationId': '3ccac008-9364-4d94-8523-d0691a19c765', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773273982553, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:06:22.770Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.8,17.63,300.0,305.61,000000000DFEC3B8,150.0,149.86,22160332.0,-0.0,1250.0,1249.2,21470046.0,3700.0,3702.69,000000000DFEC3B1,1600.0,1599.19,22450161.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3ccac008-9364-4d94-8523-d0691a19c765,8ace83d2-b948-4266-8dcc-696a43a086a8,699.0186767578125,608.4532470703125,5094.46923828125,6559.54638671875,4238.59423828125,4027.591064453125,6943.06689453125,6601.8427734375,275.8323669433594,10264.2333984375,8065.498046875,2585.42529296875,1894.6771240234373,2074.488037109375,23095.0390625,14473.689453125,674.1554565429688,1899.1165771484373,7445.48974609375,778.9104614257812,84126.6953125,60046.25390625,19037.517578125,17587.38671875,112.40957641601562,126.60820770263672,1191.453857421875,1359.5455322265625,106.159423828125,121.58987426757812,530.9761962890625,653.4857177734375,371.6684265136719,399.5531311035156,360.8125915527344,317.61627197265625,3485.821533203125,2151.8447265625,911.5509033203124,741.31689453125,880.89306640625,5292.2041015625,7204.951171875,8417.1669921875,27589.24609375,875.7416381835938,968.7402954101562,1088.24072265625,85208.5,86307.96875,68909.9140625,72294.0703125,42215.015625,237.7640838623047,513.703369140625,229.8614959716797,21110.3984375,17044.640625,15170.1787109375,15871.7119140625,7271.32568359375,6899.75244140625,6470.45654296875,5958.6279296875,12913,27.36263656616211,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.8571834564209,19.94809913635254,993.6211547851562,91301.203125,4.304932117462158,0,184593255,True,BME690,419315,0,0,0,184590742,24484,0,26.764493942260746,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:06:25.859,"{'cid': 'cd2fa782-faa6-421a-8e86-3c8df1564aad', 'uuid': '6c1507d7-9b23-4174-ad49-634ee4d42269', 'annotationId': '3ccac008-9364-4d94-8523-d0691a19c765', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773273982553, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:06:22.770Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.81,17.64,300.0,302.36,000000000DFEC3B8,150.0,149.88,22160332.0,-0.0,1250.0,1249.2,21470046.0,3700.0,3702.04,000000000DFEC3B1,1600.0,1599.3,22450161.0
