component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_454625,FLW0_454625,ANLT0_454625,FLW0_181225,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_184225,FLW0_184225,ANLT0_184225
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,53ce05bb-fbbf-43ff-88c0-e59a5833d886,8ace83d2-b948-4266-8dcc-696a43a086a8,693.4610595703125,605.7088012695312,5086.59326171875,6552.015625,4231.29296875,4020.608154296875,6945.9833984375,6590.79736328125,274.0162353515625,10240.1494140625,7896.42333984375,2592.129638671875,1885.4853515625,2081.470458984375,23642.294921875,14614.2265625,666.8145141601562,1885.4093017578125,7404.5869140625,775.29296875,83964.59375,59916.9609375,19034.181640625,17555.5390625,112.10428619384766,126.19580841064452,1183.775390625,1338.580078125,106.06719207763672,121.4926528930664,529.5098876953125,651.4273681640625,371.32708740234375,399.3589477539063,360.5135498046875,317.4211730957031,3482.65966796875,2146.30078125,910.1243286132812,740.3671875,876.9791870117188,5312.279296875,7199.578125,8403.7744140625,27194.345703125,865.9439697265625,958.0906372070312,1078.5947265625,85068.8125,86145.0,68791.3515625,72144.3984375,42183.76171875,235.33184814453125,507.2074890136719,227.665283203125,21071.294921875,17022.927734375,15149.19140625,15855.392578125,7260.56298828125,6891.61474609375,6460.921875,5949.00048828125,9764,27.201465606689453,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.719989776611328,19.96608543395996,993.876708984375,93090.90625,4.275397300720215,0,187589798,True,BME690,426121,0,0,0,187585419,24484,0,27.19583511352539,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:56:22.884,"{'cid': '9d818498-cfa5-4156-bc3c-5b1b77460dbb', 'uuid': '8e5c6f43-bbab-43b0-972c-7010ee0ed742', 'annotationId': '53ce05bb-fbbf-43ff-88c0-e59a5833d886', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773276982472, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:56:22.687Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.66,17.16,1600.0,1594.24,22450161.0,300.0,297.07,000000000DFEC3B8,3700.0,3702.25,000000000DFEC3B1,-0.0,1250.0,1245.52,21470046.0,150.0,149.83,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,53ce05bb-fbbf-43ff-88c0-e59a5833d886,8ace83d2-b948-4266-8dcc-696a43a086a8,694.5582275390625,605.744873046875,5086.94873046875,6552.7568359375,4231.73974609375,4020.68115234375,6947.1787109375,6591.3701171875,273.8999328613281,10230.2275390625,7898.20361328125,2592.547119140625,1886.2098388671875,2082.330078125,23566.068359375,14601.521484375,667.5030517578125,1882.4881591796875,7397.00244140625,775.1937255859375,83974.2109375,59925.0546875,19029.52734375,17554.208984375,112.10192108154295,126.21066284179688,1187.0042724609375,1339.8729248046875,106.06732177734376,121.48900604248048,529.3370971679688,651.293701171875,371.2615356445313,399.304931640625,360.5028991699219,317.4170837402344,3482.155517578125,2146.410400390625,910.09619140625,740.3162841796875,878.3539428710938,5303.9775390625,7194.9990234375,8404.52734375,27214.31640625,865.9721069335938,956.9338989257812,1076.9635009765625,85060.5546875,86148.4921875,68780.1953125,72136.828125,42294.15234375,235.25961303710935,507.4046936035156,227.5512237548828,21071.484375,17024.044921875,15150.3896484375,15853.7236328125,7259.8720703125,6890.2919921875,6460.865234375,5949.12890625,10065,27.120880126953125,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.72031784057617,19.9660701751709,993.8775024414062,92695.8984375,4.275474548339844,0,187590238,True,BME690,426122,0,0,0,187585419,24484,0,27.19583511352539,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:56:23.186,"{'cid': '9d818498-cfa5-4156-bc3c-5b1b77460dbb', 'uuid': '8e5c6f43-bbab-43b0-972c-7010ee0ed742', 'annotationId': '53ce05bb-fbbf-43ff-88c0-e59a5833d886', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773276982472, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:56:22.687Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.65,17.16,1600.0,1594.24,22450161.0,300.0,297.07,000000000DFEC3B8,3700.0,3702.25,000000000DFEC3B1,-0.0,1250.0,1245.52,21470046.0,150.0,149.83,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,53ce05bb-fbbf-43ff-88c0-e59a5833d886,8ace83d2-b948-4266-8dcc-696a43a086a8,695.1181640625,605.9639892578125,5086.02392578125,6550.4072265625,4230.998046875,4020.738525390625,6946.57763671875,6592.224609375,274.0775451660156,10208.884765625,7877.1591796875,2591.529541015625,1886.1265869140625,2085.472900390625,23763.517578125,14658.068359375,667.1538696289062,1883.1322021484373,7397.44677734375,775.1232299804688,83983.875,59926.890625,19032.71875,17554.447265625,112.11282348632812,126.17201232910156,1188.376708984375,1339.022705078125,106.0826416015625,121.47886657714844,529.4805908203125,651.5472412109375,371.3181762695313,399.3333740234375,360.4503784179688,317.3708190917969,3481.80224609375,2146.47509765625,910.1634521484376,740.3960571289062,877.7506713867188,5307.23583984375,7197.4677734375,8404.580078125,27181.216796875,866.0481567382812,957.7317504882812,1080.1600341796875,85058.65625,86159.8984375,68785.6796875,72138.4296875,42412.59765625,235.36122131347656,507.2248229980469,227.7300720214844,21072.1484375,17023.859375,15149.0830078125,15853.9501953125,7261.41162109375,6890.677734375,6461.07568359375,5949.1025390625,10366,27.120880126953125,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.72031784057617,19.9660701751709,993.8775024414062,92695.8984375,4.275474548339844,0,187590238,True,BME690,426122,0,0,0,187590422,24484,0,26.780010223388672,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:56:23.487,"{'cid': '9d818498-cfa5-4156-bc3c-5b1b77460dbb', 'uuid': '8e5c6f43-bbab-43b0-972c-7010ee0ed742', 'annotationId': '53ce05bb-fbbf-43ff-88c0-e59a5833d886', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773276982472, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:56:22.687Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.65,17.16,1600.0,1594.75,22450161.0,300.0,297.5,000000000DFEC3B8,3700.0,3702.52,000000000DFEC3B1,-0.0,1250.0,1245.85,21470046.0,150.0,149.83,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,53ce05bb-fbbf-43ff-88c0-e59a5833d886,8ace83d2-b948-4266-8dcc-696a43a086a8,695.184814453125,605.53466796875,5086.90966796875,6549.71728515625,4231.21435546875,4020.26416015625,6946.82080078125,6590.24365234375,273.8539428710937,10222.205078125,7864.42626953125,2593.24462890625,1885.2510986328125,2082.99462890625,23512.978515625,14707.548828125,666.32763671875,1881.88671875,7435.8095703125,774.6140747070312,83974.4921875,59919.13671875,19034.1796875,17555.70703125,112.12957763671876,126.18707275390624,1189.529541015625,1344.69677734375,106.08883666992188,121.49248504638672,529.3140869140625,651.9267578125,371.2955932617188,399.3197937011719,360.4922790527344,317.4040222167969,3481.234130859375,2146.406494140625,910.2080078125,740.2893676757812,879.038818359375,5307.7890625,7200.02734375,8406.474609375,27240.998046875,865.8744506835938,958.2559204101562,1078.4207763671875,85072.34375,86145.8203125,68778.953125,72142.765625,42079.43359375,235.34454345703125,507.0030212402344,227.65118408203125,21071.900390625,17024.14453125,15148.732421875,15854.53125,7260.05322265625,6890.0283203125,6461.54248046875,5949.12939453125,10667,27.120880126953125,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.72031784057617,19.977706909179688,993.8775024414062,92853.5,4.277966022491455,0,187590678,True,BME690,426123,0,0,0,187590422,24484,0,26.780010223388672,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:56:23.788,"{'cid': '9d818498-cfa5-4156-bc3c-5b1b77460dbb', 'uuid': '8e5c6f43-bbab-43b0-972c-7010ee0ed742', 'annotationId': '53ce05bb-fbbf-43ff-88c0-e59a5833d886', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773276982472, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:56:22.687Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.64,17.16,1600.0,1596.38,22450161.0,300.0,298.95,000000000DFEC3B8,3700.0,3703.49,000000000DFEC3B1,-0.0,1250.0,1247.04,21470046.0,150.0,149.83,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,53ce05bb-fbbf-43ff-88c0-e59a5833d886,8ace83d2-b948-4266-8dcc-696a43a086a8,694.5447387695312,605.63232421875,5086.056640625,6551.86962890625,4230.66162109375,4020.1767578125,6946.00390625,6595.00830078125,273.92828369140625,10222.076171875,7911.67138671875,2592.2490234375,1885.721923828125,2083.878662109375,23327.6640625,14746.052734375,666.8759155273438,1882.7576904296875,7417.32373046875,774.55712890625,83986.9140625,59913.6953125,19030.609375,17558.517578125,112.11288452148438,126.18328094482422,1186.477783203125,1340.7449951171875,106.05431365966795,121.50076293945312,528.916748046875,652.0458984375,371.3385314941406,399.2584838867188,360.4436340332031,317.4241027832031,3482.069580078125,2146.6650390625,909.9720458984376,740.3388061523438,878.6769409179688,5329.0166015625,7198.5966796875,8405.447265625,27204.83203125,866.0270385742188,958.765380859375,1077.113525390625,85067.125,86141.9921875,68784.5078125,72141.421875,42227.3125,235.2772674560547,507.3589172363281,227.7622985839844,21072.4453125,17024.11328125,15148.640625,15853.69921875,7261.08447265625,6890.68505859375,6461.52490234375,5949.267578125,10968,27.28205108642578,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.72097396850586,19.971858978271484,993.879150390625,92932.5,4.276873588562012,0,187591119,True,BME690,426124,0,0,0,187590422,24484,0,26.780010223388672,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:56:24.088,"{'cid': '9d818498-cfa5-4156-bc3c-5b1b77460dbb', 'uuid': '8e5c6f43-bbab-43b0-972c-7010ee0ed742', 'annotationId': '53ce05bb-fbbf-43ff-88c0-e59a5833d886', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773276982472, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:56:22.687Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.64,17.18,1600.0,1598.0,22450161.0,300.0,300.41,000000000DFEC3B8,3700.0,3704.44,000000000DFEC3B1,-0.0,1250.0,1248.23,21470046.0,150.0,149.83,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,53ce05bb-fbbf-43ff-88c0-e59a5833d886,8ace83d2-b948-4266-8dcc-696a43a086a8,695.3627319335938,605.812744140625,5085.96728515625,6551.11572265625,4231.279296875,4019.9873046875,6945.85205078125,6590.783203125,273.8497009277344,10247.1591796875,7888.75830078125,2595.073486328125,1890.2259521484373,2081.46923828125,23289.447265625,14685.6318359375,666.8399047851562,1883.7662353515625,7418.0888671875,774.5904541015625,83990.3203125,59923.27734375,19027.333984375,17552.15234375,112.10340881347656,126.20596313476562,1187.8260498046875,1345.2889404296875,106.09654998779295,121.4919891357422,529.2837524414062,651.9186401367188,371.3263854980469,399.25244140625,360.44927978515625,317.4397277832031,3481.667724609375,2146.125244140625,910.1813354492188,740.3394775390625,878.8323974609375,5314.90625,7199.35498046875,8405.123046875,27236.4609375,865.9928588867188,958.0341186523438,1076.400146484375,85075.8671875,86155.1484375,68784.40625,72139.171875,42393.6640625,235.29525756835935,506.83099365234375,227.7821807861328,21073.408203125,17022.333984375,15149.64453125,15853.806640625,7259.681640625,6890.77392578125,6460.97119140625,5948.97802734375,11270,27.201465606689453,28.81318664550781,0,0,0,0,0,0,0,0,0,0,0,1,23.72097396850586,19.971858978271484,993.879150390625,92932.5,4.276873588562012,0,187591119,True,BME690,426124,0,0,0,187590422,24484,0,26.780010223388672,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:56:24.391,"{'cid': '9d818498-cfa5-4156-bc3c-5b1b77460dbb', 'uuid': '8e5c6f43-bbab-43b0-972c-7010ee0ed742', 'annotationId': '53ce05bb-fbbf-43ff-88c0-e59a5833d886', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773276982472, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:56:22.687Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.63,17.2,1600.0,1599.63,22450161.0,300.0,301.88,000000000DFEC3B8,3700.0,3705.41,000000000DFEC3B1,-0.0,1250.0,1249.43,21470046.0,150.0,149.83,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,53ce05bb-fbbf-43ff-88c0-e59a5833d886,8ace83d2-b948-4266-8dcc-696a43a086a8,694.3201904296875,606.1427001953125,5085.95654296875,6550.40185546875,4232.73828125,4019.52734375,6945.93115234375,6590.85400390625,273.8938903808594,10229.7392578125,7906.42041015625,2591.78173828125,1886.44140625,2087.113037109375,23459.384765625,14640.458984375,666.3787231445312,1881.4737548828125,7443.96875,774.998291015625,83979.6796875,59932.33203125,19028.443359375,17564.0234375,112.09431457519533,126.22206115722656,1189.26171875,1343.972412109375,106.09110260009766,121.5104751586914,529.0612182617188,651.54931640625,371.3170776367188,399.2588806152344,360.45062255859375,317.3478698730469,3481.85009765625,2146.39013671875,910.3095703125,740.3504028320312,879.3502197265625,5313.38818359375,7196.1279296875,8404.5732421875,27238.98046875,865.8278198242188,958.3687133789062,1074.64453125,85072.109375,86165.859375,68789.6640625,72136.1796875,42405.3515625,235.277587890625,507.12115478515625,227.7456817626953,21072.59375,17023.3359375,15149.2490234375,15853.544921875,7260.705078125,6890.38623046875,6460.947265625,5948.94482421875,11571,27.28205108642578,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.721303939819336,19.971843719482425,993.81884765625,92538.828125,4.276949405670166,0,187591559,True,BME690,426125,0,0,0,187590422,24484,0,26.780010223388672,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:56:24.692,"{'cid': '9d818498-cfa5-4156-bc3c-5b1b77460dbb', 'uuid': '8e5c6f43-bbab-43b0-972c-7010ee0ed742', 'annotationId': '53ce05bb-fbbf-43ff-88c0-e59a5833d886', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773276982472, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:56:22.687Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.63,17.23,1600.0,1599.52,22450161.0,300.0,300.35,000000000DFEC3B8,3700.0,3704.26,000000000DFEC3B1,-0.0,1250.0,1249.72,21470046.0,150.0,149.83,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,53ce05bb-fbbf-43ff-88c0-e59a5833d886,8ace83d2-b948-4266-8dcc-696a43a086a8,694.01904296875,605.7151489257812,5086.125,6550.73583984375,4231.83251953125,4020.34765625,6946.06103515625,6590.95361328125,273.8016052246094,10212.001953125,7888.3935546875,2594.895751953125,1890.7403564453125,2086.6220703125,23372.46484375,14679.5048828125,667.273193359375,1883.7735595703125,7401.06103515625,774.7301635742188,83975.0,59922.3984375,19024.916015625,17553.525390625,112.0939483642578,126.20447540283205,1187.9510498046875,1337.8818359375,106.09807586669922,121.51846313476562,529.3992919921875,652.5750732421875,371.313720703125,399.3259887695313,360.515625,317.36090087890625,3482.488037109375,2145.981201171875,910.1689453125,740.3538818359375,878.8853149414062,5295.9716796875,7195.33984375,8404.3046875,27230.46875,865.857421875,959.013427734375,1075.099365234375,85066.859375,86152.6328125,68791.3046875,72137.21875,42440.03125,235.25315856933597,506.9572143554688,227.5706787109375,21072.82421875,17023.390625,15149.5693359375,15854.0166015625,7261.5224609375,6892.28369140625,6461.0595703125,5948.98828125,11872,27.201465606689453,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.721303939819336,19.9776611328125,993.7659301757812,93011.640625,4.278195381164551,0,187591999,True,BME690,426126,0,0,0,187590422,24484,0,26.780010223388672,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:56:24.996,"{'cid': '9d818498-cfa5-4156-bc3c-5b1b77460dbb', 'uuid': '8e5c6f43-bbab-43b0-972c-7010ee0ed742', 'annotationId': '53ce05bb-fbbf-43ff-88c0-e59a5833d886', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773276982472, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:56:22.687Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.63,17.26,1600.0,1599.35,22450161.0,300.0,298.65,000000000DFEC3B8,3700.0,3702.97,000000000DFEC3B1,-0.0,1250.0,1249.94,21470046.0,150.0,149.83,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,53ce05bb-fbbf-43ff-88c0-e59a5833d886,8ace83d2-b948-4266-8dcc-696a43a086a8,694.6726684570312,605.985595703125,5086.15625,6550.435546875,4231.724609375,4019.88037109375,6946.71875,6591.78662109375,273.82879638671875,10201.23828125,7897.935546875,2595.8984375,1889.3509521484373,2080.765625,23520.080078125,14626.83203125,666.9193725585938,1879.1063232421875,7411.3828125,774.5843505859375,83974.6328125,59913.5234375,19027.7109375,17555.884765625,112.08538818359376,126.20967864990234,1188.00048828125,1339.3916015625,106.09235382080078,121.4896011352539,529.0526733398438,651.3421020507812,371.29241943359375,399.2250671386719,360.51947021484375,317.3544006347656,3482.731201171875,2146.360595703125,910.1634521484376,740.3428955078125,878.2260131835938,5303.94775390625,7196.42919921875,8404.9423828125,27225.294921875,865.9194946289062,957.9680786132812,1077.7906494140625,85062.1953125,86160.2578125,68791.734375,72142.109375,41890.76953125,235.31820678710935,506.9022521972656,227.54954528808597,21073.5078125,17022.1953125,15149.681640625,15853.1142578125,7261.73974609375,6892.09033203125,6461.03369140625,5949.04052734375,12174,27.120880126953125,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.721303939819336,19.9776611328125,993.7659301757812,93011.640625,4.278195381164551,0,187591999,True,BME690,426126,0,0,0,187590422,24484,0,26.780010223388672,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:56:25.294,"{'cid': '9d818498-cfa5-4156-bc3c-5b1b77460dbb', 'uuid': '8e5c6f43-bbab-43b0-972c-7010ee0ed742', 'annotationId': '53ce05bb-fbbf-43ff-88c0-e59a5833d886', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773276982472, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:56:22.687Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.63,17.29,1600.0,1599.18,22450161.0,300.0,296.97,000000000DFEC3B8,3700.0,3701.7,000000000DFEC3B1,-0.0,1250.0,1250.15,21470046.0,150.0,149.83,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,53ce05bb-fbbf-43ff-88c0-e59a5833d886,8ace83d2-b948-4266-8dcc-696a43a086a8,695.1134643554688,605.3452758789062,5086.62646484375,6550.490234375,4231.7802734375,4019.868896484375,6945.42236328125,6591.49951171875,273.70245361328125,10197.474609375,7884.6591796875,2595.7763671875,1889.533203125,2080.88525390625,23546.861328125,14557.7421875,667.78955078125,1880.068359375,7451.5908203125,774.69482421875,83975.0234375,59906.87109375,19021.62890625,17555.25390625,112.12843322753906,126.19195556640624,1188.042724609375,1340.158447265625,106.11314392089844,121.48054504394533,529.2002563476562,651.3963012695312,371.2819519042969,399.2392578125,360.4722900390625,317.39288330078125,3481.948974609375,2146.49755859375,909.8843383789062,740.3271484375,880.7682495117188,5315.5185546875,7196.40576171875,8404.9658203125,27203.42578125,865.934326171875,958.78125,1077.2333984375,85062.0703125,86143.3828125,68789.671875,72136.7265625,42040.91796875,235.3506774902344,506.8084716796875,227.7147979736328,21071.548828125,17023.32421875,15149.130859375,15853.177734375,7261.56640625,6890.8857421875,6460.92333984375,5948.91845703125,12474,27.28205108642578,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.72163200378418,19.97182846069336,993.7189331054688,92617.296875,4.277026176452637,0,187592440,True,BME690,426127,0,0,0,187590422,24484,0,26.780010223388672,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:56:25.595,"{'cid': '9d818498-cfa5-4156-bc3c-5b1b77460dbb', 'uuid': '8e5c6f43-bbab-43b0-972c-7010ee0ed742', 'annotationId': '53ce05bb-fbbf-43ff-88c0-e59a5833d886', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773276982472, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:56:22.687Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.63,17.33,1600.0,1599.15,22450161.0,300.0,296.48,000000000DFEC3B8,3700.0,3700.54,000000000DFEC3B1,-0.0,1250.0,1250.18,21470046.0,150.0,149.83,22160332.0
