component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_184324,FLW0_184324,ANLT0_184324,FLW0_181225,T0_093225,H0_093225
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8c2f9c9-993a-4e64-83d7-017d47d0b269,10c0f871-c230-4501-b91f-5028615cfa1c,773.32421875,676.780517578125,5188.9931640625,6687.43310546875,4319.95263671875,4103.009765625,7166.5,6824.25732421875,270.5910339355469,9981.615234375,8302.83203125,2842.27099609375,2018.6900634765625,2262.972900390625,23900.66796875,15838.3369140625,654.7081298828125,1859.251220703125,7868.884765625,867.3433227539062,85782.421875,61177.640625,19061.869140625,17649.728515625,112.40735626220705,126.16989135742188,1184.03564453125,1260.270751953125,108.38155364990234,123.98644256591795,580.6686401367188,717.8243408203125,378.5091247558594,407.5400085449219,361.4971008300781,319.7381286621094,3554.14306640625,2183.6943359375,909.206298828125,739.6326293945312,990.99072265625,5797.71533203125,7317.36181640625,8561.529296875,21732.49609375,819.2379760742188,949.653564453125,1053.61181640625,87355.8828125,88563.3046875,70529.515625,73937.625,40042.03515625,234.09397888183597,496.9228210449219,225.2010803222656,21170.900390625,17094.564453125,15210.9677734375,15907.572265625,7498.8017578125,7129.052734375,6694.796875,6172.6953125,10779,27.201465606689453,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.081911087036133,27.024139404296875,989.3914794921876,130005.953125,5.580343723297119,0,3305381,True,BME690,7504,0,0,0,3301059,24484,0,26.72600746154785,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:47:23.833,"{'cid': '3832c375-a146-4e81-bbf8-be5dadfb5e66', 'uuid': '946af9ba-2a5d-4753-9935-1e6375b341e4', 'annotationId': 'e8c2f9c9-993a-4e64-83d7-017d47d0b269', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773690443233, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:47:23.450Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3698.63,000000000DFEC3B1,300.0,291.21,000000000DFEC3B8,1600.0,1596.48,22450161.0,225.0,224.03,22160332.0,1175.0,1174.16,21470046.0,0.0,22.25,21.7
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8c2f9c9-993a-4e64-83d7-017d47d0b269,10c0f871-c230-4501-b91f-5028615cfa1c,773.3181762695312,676.5838012695312,5189.23291015625,6687.19580078125,4319.01025390625,4103.5205078125,7166.97509765625,6825.708984375,270.55029296875,10020.6171875,8308.7626953125,2843.23095703125,2018.2349853515625,2263.33154296875,24156.24609375,15926.06640625,655.3460083007812,1861.076171875,7877.19091796875,867.1068115234375,85782.9140625,61181.55078125,19058.634765625,17648.6953125,112.4149169921875,126.1374740600586,1183.4169921875,1259.4012451171875,108.37255096435548,123.9305419921875,580.8731079101562,717.9279174804688,378.5367736816406,407.5497741699219,361.5015869140625,319.7514038085937,3552.301513671875,2183.579345703125,909.1240234375,739.66162109375,989.7479858398438,5809.87890625,7316.23779296875,8561.1025390625,21721.255859375,819.1209106445312,949.2813720703124,1056.5758056640625,87363.5390625,88570.0859375,70536.2109375,73933.375,39845.375,234.0545196533203,496.98583984375,225.0861968994141,21170.87109375,17093.986328125,15211.46875,15908.47265625,7498.63037109375,7129.78369140625,6694.8095703125,6172.92529296875,11080,27.201465606689453,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.08256721496582,27.035717010498047,989.3897705078124,130706.0234375,5.582942962646484,0,3305821,True,BME690,7505,0,0,0,3301059,24484,0,26.72600746154785,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:47:24.134,"{'cid': '3832c375-a146-4e81-bbf8-be5dadfb5e66', 'uuid': '946af9ba-2a5d-4753-9935-1e6375b341e4', 'annotationId': 'e8c2f9c9-993a-4e64-83d7-017d47d0b269', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773690443233, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:47:23.450Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3698.63,000000000DFEC3B1,300.0,291.21,000000000DFEC3B8,1600.0,1596.48,22450161.0,225.0,224.03,22160332.0,1175.0,1174.16,21470046.0,0.0,22.25,21.7
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8c2f9c9-993a-4e64-83d7-017d47d0b269,10c0f871-c230-4501-b91f-5028615cfa1c,771.4248657226562,676.54638671875,5189.1416015625,6688.03759765625,4319.244140625,4103.09716796875,7166.89208984375,6825.447265625,270.3294982910156,9985.03515625,8303.8583984375,2844.37451171875,2020.637939453125,2265.096923828125,24517.49609375,15949.888671875,655.6799926757812,1859.6231689453125,7842.8828125,867.3264770507812,85784.84375,61175.0078125,19062.193359375,17654.0234375,112.43299865722656,126.14727783203124,1183.7364501953125,1261.4375,108.39918518066406,123.98180389404295,580.5208740234375,717.9615478515625,378.5389709472656,407.5797424316406,361.64642333984375,319.7543334960937,3552.8056640625,2184.12939453125,908.9793090820312,739.624267578125,988.8897094726562,5803.05517578125,7316.814453125,8562.189453125,21713.8125,819.2481689453125,949.1036987304688,1054.2694091796875,87366.578125,88554.5703125,70529.9296875,73935.3515625,40112.0859375,234.02833557128903,496.6637268066406,225.26788330078125,21170.3046875,17094.6875,15210.8486328125,15908.728515625,7498.60546875,7129.78759765625,6695.2587890625,6172.77685546875,11382,27.04029083251953,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.083223342895508,27.047292709350582,989.391357421875,130471.828125,5.58554220199585,0,3306261,True,BME690,7506,0,0,0,3306062,24484,0,27.683937072753903,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:47:24.436,"{'cid': '3832c375-a146-4e81-bbf8-be5dadfb5e66', 'uuid': '946af9ba-2a5d-4753-9935-1e6375b341e4', 'annotationId': 'e8c2f9c9-993a-4e64-83d7-017d47d0b269', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773690443233, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:47:23.450Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3698.27,000000000DFEC3B1,300.0,293.6,000000000DFEC3B8,1600.0,1596.48,22450161.0,225.0,224.23,22160332.0,1175.0,1174.09,21470046.0,0.0,22.25,21.7
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8c2f9c9-993a-4e64-83d7-017d47d0b269,10c0f871-c230-4501-b91f-5028615cfa1c,770.3035278320312,676.682373046875,5188.92333984375,6687.9296875,4319.5048828125,4102.80126953125,7167.6328125,6826.85888671875,270.61785888671875,10006.7880859375,8286.7626953125,2846.06396484375,2020.1243896484373,2263.280517578125,24055.86328125,15944.3037109375,655.0911254882812,1859.1240234375,7885.1611328125,867.3602905273438,85796.953125,61191.3515625,19061.31640625,17637.3828125,112.42373657226562,126.111328125,1184.9024658203125,1260.788330078125,108.3777084350586,123.9892578125,580.6317138671875,718.2552490234375,378.5591430664063,407.54974365234375,361.6712951660156,319.73345947265625,3554.1767578125,2183.51708984375,909.0635986328124,739.6199340820312,988.8883056640624,5790.0263671875,7316.49560546875,8561.28125,21756.359375,818.9547729492188,948.8983154296876,1054.8631591796875,87362.5078125,88559.5703125,70537.9140625,73930.1015625,40241.41796875,233.98309326171875,496.8656005859375,225.1669464111328,21169.5859375,17093.984375,15209.7646484375,15908.283203125,7499.28125,7129.9765625,6695.89111328125,6173.39453125,11682,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.083223342895508,27.047292709350582,989.391357421875,130471.828125,5.58554220199585,0,3306261,True,BME690,7506,0,0,0,3306062,24484,0,27.683937072753903,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:47:24.735,"{'cid': '3832c375-a146-4e81-bbf8-be5dadfb5e66', 'uuid': '946af9ba-2a5d-4753-9935-1e6375b341e4', 'annotationId': 'e8c2f9c9-993a-4e64-83d7-017d47d0b269', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773690443233, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:47:23.450Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3697.9,000000000DFEC3B1,300.0,296.12,000000000DFEC3B8,1600.0,1596.48,22450161.0,225.0,224.45,22160332.0,1175.0,1174.02,21470046.0,0.0,22.24,21.7
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8c2f9c9-993a-4e64-83d7-017d47d0b269,10c0f871-c230-4501-b91f-5028615cfa1c,770.6428833007812,676.7027587890625,5188.79638671875,6687.7431640625,4319.60888671875,4102.96337890625,7168.94091796875,6825.94970703125,270.546142578125,10006.140625,8333.3056640625,2841.80517578125,2017.5186767578125,2267.47265625,24734.49609375,15957.2744140625,655.2269287109375,1861.324462890625,7868.76904296875,867.528564453125,85775.9453125,61176.8828125,19056.091796875,17644.5625,112.40377044677734,126.1339340209961,1186.21533203125,1261.89599609375,108.41748046875,123.99188995361328,580.2389526367188,718.3653564453125,378.55267333984375,407.4972534179688,361.6321105957031,319.745849609375,3554.717041015625,2183.721923828125,909.151611328125,739.5743408203125,992.0380249023438,5799.541015625,7317.0078125,8561.5537109375,21752.845703125,819.1424560546875,949.7589721679688,1054.569091796875,87363.8359375,88560.5,70534.09375,73925.515625,40211.34375,233.98019409179688,496.6113586425781,225.2070770263672,21170.1015625,17095.099609375,15210.34765625,15907.0107421875,7497.765625,7128.935546875,6695.57470703125,6173.197265625,11983,27.201465606689453,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.083223342895508,27.05888938903809,989.391357421875,130706.0234375,5.587937831878662,0,3306701,True,BME690,7507,0,0,0,3306062,24484,0,27.683937072753903,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:47:25.037,"{'cid': '3832c375-a146-4e81-bbf8-be5dadfb5e66', 'uuid': '946af9ba-2a5d-4753-9935-1e6375b341e4', 'annotationId': 'e8c2f9c9-993a-4e64-83d7-017d47d0b269', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773690443233, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:47:23.450Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3697.52,000000000DFEC3B1,300.0,298.67,000000000DFEC3B8,1600.0,1596.48,22450161.0,225.0,224.66,22160332.0,1175.0,1173.95,21470046.0,0.0,22.23,21.7
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8c2f9c9-993a-4e64-83d7-017d47d0b269,10c0f871-c230-4501-b91f-5028615cfa1c,770.233154296875,677.0281982421875,5190.94775390625,6687.39208984375,4319.26806640625,4102.55517578125,7169.42724609375,6826.3203125,270.5774230957031,10022.419921875,8314.8916015625,2845.06298828125,2017.1402587890625,2264.970703125,24937.650390625,15891.8876953125,655.4151611328125,1858.8857421875,7870.2021484375,867.3628540039062,85772.0625,61179.046875,19062.806640625,17653.611328125,112.41956329345705,126.14124298095705,1183.8763427734375,1258.291015625,108.37026977539062,124.00340270996094,580.2846069335938,718.5396728515625,378.5660400390625,407.4761047363281,361.5877685546875,319.6883850097656,3553.423828125,2183.381103515625,909.0907592773438,739.632568359375,990.691162109375,5802.50439453125,7317.25146484375,8560.328125,21717.03515625,819.2125244140625,951.05859375,1054.7738037109375,87370.59375,88565.6015625,70524.015625,73929.765625,40045.24609375,234.05679321289065,497.2371520996094,225.21844482421875,21168.341796875,17095.568359375,15210.380859375,15907.3828125,7498.4853515625,7129.51123046875,6694.85986328125,6174.24853515625,12285,27.201465606689453,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.08355140686035,27.06467628479004,989.3294677734376,129928.6328125,5.589237689971924,0,3307142,True,BME690,7508,0,0,0,3306062,24484,0,27.683937072753903,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:47:25.339,"{'cid': '3832c375-a146-4e81-bbf8-be5dadfb5e66', 'uuid': '946af9ba-2a5d-4753-9935-1e6375b341e4', 'annotationId': 'e8c2f9c9-993a-4e64-83d7-017d47d0b269', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773690443233, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:47:23.450Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3697.82,000000000DFEC3B1,300.0,299.62,000000000DFEC3B8,1600.0,1596.73,22450161.0,225.0,224.77,22160332.0,1175.0,1174.03,21470046.0,-0.0,22.23,21.71
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8c2f9c9-993a-4e64-83d7-017d47d0b269,10c0f871-c230-4501-b91f-5028615cfa1c,772.4019775390625,676.65966796875,5189.81494140625,6686.2978515625,4319.13134765625,4102.97509765625,7167.73828125,6825.89404296875,270.58697509765625,9993.6669921875,8303.2919921875,2840.01953125,2019.1971435546875,2264.672119140625,24793.72265625,15877.2041015625,654.4260864257812,1860.8426513671875,7907.60400390625,867.2274780273438,85762.0,61175.40625,19055.533203125,17656.732421875,112.40557861328124,126.15203094482422,1186.3402099609375,1262.3145751953125,108.35807037353516,123.96832275390624,580.2730712890625,718.607177734375,378.5142822265625,407.5350341796875,361.65325927734375,319.7122802734375,3553.779052734375,2183.7353515625,909.0709838867188,739.6302490234375,989.1310424804688,5801.65869140625,7317.3544921875,8560.6484375,21702.947265625,819.1060791015625,948.9959716796876,1052.116455078125,87363.765625,88559.6953125,70519.5546875,73929.484375,40467.84765625,233.9925994873047,497.19622802734375,225.29905700683597,21169.28515625,17095.03515625,15210.19140625,15906.8408203125,7498.0712890625,7130.208984375,6695.01025390625,6174.1171875,12585,27.04029083251953,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.08355140686035,27.06467628479004,989.3294677734376,129928.6328125,5.589237689971924,0,3307142,True,BME690,7508,0,0,0,3306062,24484,0,27.683937072753903,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:47:25.640,"{'cid': '3832c375-a146-4e81-bbf8-be5dadfb5e66', 'uuid': '946af9ba-2a5d-4753-9935-1e6375b341e4', 'annotationId': 'e8c2f9c9-993a-4e64-83d7-017d47d0b269', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773690443233, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:47:23.450Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3698.58,000000000DFEC3B1,300.0,299.47,000000000DFEC3B8,1600.0,1597.16,22450161.0,225.0,224.8,22160332.0,1175.0,1174.22,21470046.0,-0.0,22.23,21.75
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8c2f9c9-993a-4e64-83d7-017d47d0b269,10c0f871-c230-4501-b91f-5028615cfa1c,772.2220458984375,676.9276123046875,5189.046875,6686.5341796875,4319.66259765625,4102.33740234375,7166.693359375,6826.26025390625,270.6009826660156,9973.7080078125,8297.23046875,2844.7294921875,2013.0589599609373,2263.370849609375,24562.125,15793.1923828125,654.7015991210938,1856.917236328125,7872.08984375,867.0380249023438,85752.6875,61168.9453125,19060.78125,17656.794921875,112.41820526123048,126.14556884765624,1187.7430419921875,1262.9346923828125,108.36711883544922,123.98518371582033,580.1150512695312,718.6167602539062,378.5613403320313,407.5411682128906,361.545654296875,319.7048645019531,3553.92138671875,2183.569580078125,909.135498046875,739.6415405273438,988.603515625,5800.98095703125,7317.54736328125,8560.939453125,21728.734375,819.2355346679688,947.9859008789062,1052.27197265625,87362.3828125,88557.234375,70527.6875,73932.078125,40105.54296875,234.0602264404297,497.1366882324219,225.30552673339844,21169.787109375,17096.0078125,15210.1103515625,15907.953125,7498.3935546875,7128.86474609375,6695.12548828125,6173.44970703125,12886,27.120880126953125,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.08355140686035,27.07047462463379,989.271728515625,129236.84375,5.59043550491333,0,3307582,True,BME690,7509,0,0,0,3306062,24484,0,27.683937072753903,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:47:25.942,"{'cid': '3832c375-a146-4e81-bbf8-be5dadfb5e66', 'uuid': '946af9ba-2a5d-4753-9935-1e6375b341e4', 'annotationId': 'e8c2f9c9-993a-4e64-83d7-017d47d0b269', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773690443233, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:47:23.450Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3699.34,000000000DFEC3B1,300.0,299.33,000000000DFEC3B8,1600.0,1597.59,22450161.0,225.0,224.82,22160332.0,1175.0,1174.41,21470046.0,-0.0,22.24,21.78
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8c2f9c9-993a-4e64-83d7-017d47d0b269,10c0f871-c230-4501-b91f-5028615cfa1c,772.0787353515625,676.4315185546875,5188.67724609375,6686.2548828125,4318.68212890625,4102.326171875,7167.63671875,6826.60107421875,270.5492858886719,9967.7470703125,8325.5,2844.401611328125,2015.4769287109373,2266.177978515625,24578.37109375,15857.0732421875,655.3180541992188,1860.314697265625,7866.60693359375,866.8451538085938,85747.8515625,61160.25,19059.2890625,17659.427734375,112.4156265258789,126.13664245605467,1186.1448974609375,1261.0531005859375,108.394287109375,123.97526550292967,580.0760498046875,718.6099853515625,378.5881042480469,407.50103759765625,361.6366882324219,319.7447814941406,3553.416015625,2183.161865234375,909.1015014648438,739.619384765625,987.3101806640624,5800.31298828125,7317.9326171875,8560.4716796875,21721.744140625,819.19140625,949.9292602539062,1054.7730712890625,87358.921875,88553.953125,70528.3125,73928.3359375,40003.67578125,234.029296875,497.7425842285156,225.3129730224609,21168.42578125,17093.939453125,15211.0517578125,15909.8564453125,7498.6796875,7129.3076171875,6694.5849609375,6173.3095703125,13187,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.08420753479004,27.08205223083496,989.2255249023438,129928.6328125,5.593035697937012,0,3308022,True,BME690,7510,0,0,0,3306062,24484,0,27.683937072753903,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:47:26.245,"{'cid': '3832c375-a146-4e81-bbf8-be5dadfb5e66', 'uuid': '946af9ba-2a5d-4753-9935-1e6375b341e4', 'annotationId': 'e8c2f9c9-993a-4e64-83d7-017d47d0b269', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773690443233, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:47:23.450Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3699.64,000000000DFEC3B1,300.0,298.9,000000000DFEC3B8,1600.0,1598.05,22450161.0,225.0,224.85,22160332.0,1175.0,1174.56,21470046.0,-0.0,22.24,21.8
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8c2f9c9-993a-4e64-83d7-017d47d0b269,10c0f871-c230-4501-b91f-5028615cfa1c,771.6359252929688,676.9926147460938,5188.3818359375,6686.025390625,4318.9345703125,4102.1171875,7167.51171875,6828.04443359375,270.5028381347656,9988.59375,8354.9375,2844.204345703125,2017.5313720703125,2265.70166015625,24137.375,15836.986328125,653.9293823242188,1859.5047607421875,7879.02587890625,867.3922729492188,85752.4140625,61154.078125,19057.578125,17661.0859375,112.42243194580078,126.13443756103516,1188.9359130859375,1263.6683349609375,108.38723754882812,124.00374603271484,580.8912353515625,718.2014770507812,378.5082092285156,407.5517883300781,361.57916259765625,319.7389831542969,3553.032470703125,2183.117919921875,909.3760986328124,739.6627807617188,991.181884765625,5795.9794921875,7317.0927734375,8560.7646484375,21741.599609375,819.158935546875,949.5146484375,1054.0758056640625,87354.9140625,88556.875,70525.8515625,73935.171875,39985.72265625,234.07530212402344,497.392578125,225.1874237060547,21168.5546875,17093.302734375,15209.5,15908.4765625,7499.9384765625,7128.09130859375,6694.03076171875,6172.48779296875,13488,27.04029083251953,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.08420753479004,27.08205223083496,989.2255249023438,129928.6328125,5.593035697937012,0,3308022,True,BME690,7510,0,0,0,3306062,24484,0,27.683937072753903,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:47:26.542,"{'cid': '3832c375-a146-4e81-bbf8-be5dadfb5e66', 'uuid': '946af9ba-2a5d-4753-9935-1e6375b341e4', 'annotationId': 'e8c2f9c9-993a-4e64-83d7-017d47d0b269', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773690443233, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:47:23.450Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3698.63,000000000DFEC3B1,300.0,297.66,000000000DFEC3B8,1600.0,1598.57,22450161.0,225.0,224.87,22160332.0,1175.0,1174.56,21470046.0,-0.0,22.24,21.75
