component_sn,sn,d,t,SETP0,FLW0,ANLT0,event_name
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:15:20.580Z,E,0,0.056,22160332,pre-baseline
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:15:21.597Z,E,15,20.7,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:15:22.604Z,E,15,14.932,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:15:23.613Z,E,15,14.944,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:15:24.621Z,E,15,14.984,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:15:25.629Z,E,15,14.992,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:15:26.638Z,E,15,14.988,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:15:27.647Z,E,15,14.984,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:15:28.654Z,E,15,14.984,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:15:29.664Z,E,15,14.928,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:15:30.671Z,E,15,14.932,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:15:31.680Z,E,15,15.032,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:15:32.689Z,E,15,15.0,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:15:33.697Z,E,15,14.96,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:15:34.705Z,E,15,14.924,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:15:35.713Z,E,15,15.028,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:15:36.721Z,E,15,15.008,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:15:37.730Z,E,15,14.988,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:15:38.738Z,E,15,14.964,22160332,AmbientSamplingRFC
