component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_184324,FLW0_184324,ANLT0_184324,FLW0_181225,T0_093225,H0_093225
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dd9cc87b-610a-4d94-8cbd-ad4506b95a28,de4335f8-2d8f-494f-a206-cca1d5d280e6,3965.305419921875,4527.423828125,17259.982421875,33539.5234375,6448.68994140625,6310.345703125,11072.0595703125,9564.9287109375,765.2482299804688,1100.8466796875,9136.45703125,5724.193359375,8309.6708984375,14147.7861328125,2957.87060546875,5310.28564453125,6041.03369140625,810.7936401367188,8662.9267578125,7272.10205078125,276110.71875,114322.9375,30285.40234375,22986.3515625,889.6658325195312,699.9094848632812,327.6242370605469,574.5809326171875,5288.33349609375,5523.42236328125,327.3095703125,3538.635986328125,512.9086303710938,504.2764892578125,488.7668151855469,377.563232421875,2611.235107421875,1780.876220703125,605.3361206054688,905.56591796875,4126.59814453125,2442.355224609375,19446.275390625,9382.4462890625,478.4147338867188,2313.283447265625,379.5819091796875,1927.9061279296875,135868.84375,152336.078125,115608.3125,208880.640625,825.0578002929688,933.9961547851562,778.6865234375,460.1046447753906,31056.908203125,38354.5,31950.498046875,28812.87890625,13710.3544921875,10991.35546875,10782.283203125,12021.302734375,8899,27.68498039245605,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.947954177856445,20.44176483154297,1004.5631103515624,223519.78125,4.434230327606201,0,8710702,True,BME690,19778,0,0,0,8705720,24484,0,28.718692779541016,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 31, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:30:52.007,"{'cid': 'f43cee80-1c84-4cf1-84ec-32329efcf7e8', 'uuid': '4d9269c9-4405-4f5f-9287-8df980c93fd9', 'annotationId': 'dd9cc87b-610a-4d94-8cbd-ad4506b95a28', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773347451641, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T20:30:51.868Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3698.63,000000000DFEC3B1,300.0,299.8,22160332.0,1600.0,1594.96,22450161.0,300.0,295.12,000000000DFEC3B8,1100.0,1098.48,21470046.0,-0.0,22.78,16.05
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dd9cc87b-610a-4d94-8cbd-ad4506b95a28,de4335f8-2d8f-494f-a206-cca1d5d280e6,3966.135986328125,4523.80615234375,17260.5390625,33542.68359375,6449.6396484375,6313.8232421875,11070.6865234375,9566.189453125,764.5257568359375,1099.3106689453125,9119.326171875,5756.97802734375,8294.2099609375,14152.0283203125,2967.7685546875,5296.22265625,6041.64892578125,810.7828369140625,8688.853515625,7277.7587890625,276151.84375,114344.1640625,30296.1171875,22989.5859375,889.3065185546875,699.2107543945312,327.7933654785156,575.2665405273438,5291.10986328125,5493.8447265625,327.3316345214844,3539.132568359375,512.9530029296875,504.3357543945313,488.7843627929688,377.5027160644531,2610.9921875,1781.0206298828125,605.3729858398438,905.5372314453124,4130.87451171875,2436.0576171875,19451.18359375,9382.169921875,478.1946105957031,2309.287109375,379.3325500488281,1924.9776611328125,135867.234375,152294.25,115589.609375,208884.609375,824.4671020507812,933.6239013671876,778.6843872070312,460.1458129882813,31063.669921875,38365.0,31949.7578125,28815.55859375,13709.4423828125,10991.9892578125,10782.119140625,12020.728515625,9200,27.44322204589844,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.947954177856445,20.44176483154297,1004.5631103515624,223519.78125,4.434230327606201,0,8710702,True,BME690,19778,0,0,0,8710756,24484,0,28.434539794921875,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 31, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:30:52.305,"{'cid': 'f43cee80-1c84-4cf1-84ec-32329efcf7e8', 'uuid': '4d9269c9-4405-4f5f-9287-8df980c93fd9', 'annotationId': 'dd9cc87b-610a-4d94-8cbd-ad4506b95a28', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773347451641, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T20:30:51.868Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3698.63,000000000DFEC3B1,300.0,299.8,22160332.0,1600.0,1594.96,22450161.0,300.0,295.12,000000000DFEC3B8,1100.0,1098.48,21470046.0,-0.0,22.78,16.05
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dd9cc87b-610a-4d94-8cbd-ad4506b95a28,de4335f8-2d8f-494f-a206-cca1d5d280e6,3962.760986328125,4530.21240234375,17243.240234375,33543.8828125,6448.56396484375,6310.91650390625,11070.150390625,9565.046875,764.7101440429688,1103.8956298828125,9091.4267578125,5756.14697265625,8294.6845703125,14147.6201171875,2959.15185546875,5291.76123046875,6054.7177734375,810.9485473632812,8715.310546875,7270.81591796875,276154.71875,114330.3984375,30290.00390625,22987.31640625,888.4506225585938,699.5948486328125,327.61688232421875,575.1508178710938,5295.51708984375,5512.75927734375,327.334228515625,3533.15380859375,512.9517822265625,504.4034118652344,488.97015380859375,377.4764404296875,2611.07763671875,1780.8719482421875,605.3363647460938,905.560791015625,4128.87646484375,2437.239990234375,19456.162109375,9381.158203125,478.26513671875,2308.97119140625,379.6065368652344,1926.3656005859373,135874.40625,152306.15625,115603.0546875,208881.078125,824.2849731445312,932.9017333984376,778.8314208984375,459.75531005859375,31062.54296875,38363.52734375,31947.818359375,28809.48828125,13709.3603515625,10989.970703125,10782.4365234375,12021.1669921875,9501,27.765565872192383,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.94896125793457,20.45369911193848,1004.5638427734376,227713.703125,4.437073230743408,0,8711142,True,BME690,19779,0,0,0,8710756,24484,0,28.434539794921875,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 31, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:30:52.610,"{'cid': 'f43cee80-1c84-4cf1-84ec-32329efcf7e8', 'uuid': '4d9269c9-4405-4f5f-9287-8df980c93fd9', 'annotationId': 'dd9cc87b-610a-4d94-8cbd-ad4506b95a28', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773347451641, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T20:30:51.868Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3698.72,000000000DFEC3B1,300.0,299.79,22160332.0,1600.0,1595.11,22450161.0,300.0,295.34,000000000DFEC3B8,1100.0,1098.5,21470046.0,-0.0,22.78,16.05
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dd9cc87b-610a-4d94-8cbd-ad4506b95a28,de4335f8-2d8f-494f-a206-cca1d5d280e6,3945.199462890625,4525.17236328125,17260.91796875,33538.33203125,6449.32373046875,6311.60498046875,11072.1767578125,9564.9482421875,763.6710815429688,1102.8043212890625,9070.0576171875,5730.83349609375,8304.6171875,14143.595703125,2970.906494140625,5295.748046875,6057.51611328125,812.0062255859375,8680.6806640625,7291.548828125,276148.46875,114321.6953125,30282.58984375,22990.185546875,888.9966430664062,701.0667724609375,327.6390991210937,574.8685302734375,5290.28369140625,5519.30224609375,327.2698059082031,3539.72802734375,512.9073486328125,504.3912048339844,488.9798278808594,377.5189208984375,2610.908935546875,1780.8812255859375,605.3726196289062,905.4361572265624,4125.8330078125,2433.8125,19442.48828125,9378.4658203125,478.5408325195313,2307.2958984375,379.4808044433594,1930.9930419921875,135864.390625,152325.984375,115585.421875,208886.390625,826.3797607421875,933.8193969726562,778.072021484375,459.9646606445313,31072.935546875,38357.1875,31957.537109375,28808.74609375,13709.2177734375,10989.7109375,10782.912109375,12020.927734375,9803,27.44322204589844,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.94828987121582,20.4537296295166,1004.5639038085938,223063.296875,4.436911106109619,0,8711583,True,BME690,19780,0,0,0,8710756,24484,0,28.434539794921875,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 31, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:30:52.908,"{'cid': 'f43cee80-1c84-4cf1-84ec-32329efcf7e8', 'uuid': '4d9269c9-4405-4f5f-9287-8df980c93fd9', 'annotationId': 'dd9cc87b-610a-4d94-8cbd-ad4506b95a28', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773347451641, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T20:30:51.868Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3699.33,000000000DFEC3B1,300.0,299.78,22160332.0,1600.0,1596.12,22450161.0,300.0,296.98,000000000DFEC3B8,1100.0,1098.62,21470046.0,-0.0,22.78,16.05
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dd9cc87b-610a-4d94-8cbd-ad4506b95a28,de4335f8-2d8f-494f-a206-cca1d5d280e6,3941.857421875,4533.3759765625,17268.55078125,33551.62890625,6448.90185546875,6311.56396484375,11072.12890625,9563.244140625,763.0396728515625,1102.6495361328125,9164.8984375,5747.89404296875,8319.8251953125,14145.71484375,2962.995849609375,5290.6875,6057.99560546875,812.250244140625,8664.322265625,7303.490234375,276126.28125,114328.1796875,30280.0234375,22988.00390625,888.0390014648438,700.2542114257812,327.6679992675781,574.605712890625,5287.69140625,5534.203125,327.36163330078125,3536.690673828125,512.9246215820312,504.2869567871094,488.8834838867188,377.5377807617188,2611.8701171875,1780.901123046875,605.364013671875,905.5399780273438,4111.4267578125,2439.597900390625,19449.6484375,9379.2490234375,478.3247375488281,2305.93359375,379.85260009765625,1932.2225341796875,135885.046875,152336.328125,115583.2421875,208885.640625,827.1677856445312,934.2131958007812,778.7700805664062,460.2652282714844,31059.826171875,38346.26171875,31956.22265625,28810.6796875,13710.0390625,10988.9248046875,10782.087890625,12021.3291015625,10103,27.5238094329834,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.94828987121582,20.4537296295166,1004.5639038085938,223063.296875,4.436911106109619,0,8711583,True,BME690,19780,0,0,0,8710756,24484,0,28.434539794921875,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 31, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:30:53.208,"{'cid': 'f43cee80-1c84-4cf1-84ec-32329efcf7e8', 'uuid': '4d9269c9-4405-4f5f-9287-8df980c93fd9', 'annotationId': 'dd9cc87b-610a-4d94-8cbd-ad4506b95a28', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773347451641, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T20:30:51.868Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3699.94,000000000DFEC3B1,300.0,299.76,22160332.0,1600.0,1597.14,22450161.0,300.0,298.64,000000000DFEC3B8,1100.0,1098.75,21470046.0,-0.0,22.78,16.06
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dd9cc87b-610a-4d94-8cbd-ad4506b95a28,de4335f8-2d8f-494f-a206-cca1d5d280e6,3978.8720703125,4532.6220703125,17262.673828125,33539.28515625,6448.91064453125,6310.93505859375,11072.7646484375,9566.1171875,764.4882202148438,1101.91748046875,9067.74609375,5759.05029296875,8319.37109375,14150.8974609375,2963.697021484375,5268.6474609375,6057.45654296875,812.2240600585938,8717.1953125,7279.46630859375,276158.625,114300.6171875,30256.4765625,22989.55859375,887.591552734375,700.1650390625,327.9114990234375,574.3321533203125,5290.28369140625,5510.96923828125,327.3715515136719,3555.290771484375,513.0044555664062,504.3727416992188,488.9703674316406,377.6239929199219,2612.014892578125,1781.17138671875,605.3573608398438,905.5484008789062,4105.9716796875,2437.328125,19446.208984375,9382.6884765625,478.48529052734375,2307.013916015625,379.9378967285156,1930.035400390625,135901.6875,152312.3125,115587.78125,208875.53125,826.2545166015625,933.4614868164062,779.3477172851562,459.7339782714844,31077.232421875,38359.80078125,31962.37109375,28819.76953125,13711.99609375,10988.630859375,10782.3359375,12020.5380859375,10404,27.5238094329834,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.949296951293945,20.459672927856445,1004.5679931640624,226768.15625,4.438453197479248,0,8712023,True,BME690,19781,0,0,0,8710756,24484,0,28.434539794921875,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 31, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:30:53.511,"{'cid': 'f43cee80-1c84-4cf1-84ec-32329efcf7e8', 'uuid': '4d9269c9-4405-4f5f-9287-8df980c93fd9', 'annotationId': 'dd9cc87b-610a-4d94-8cbd-ad4506b95a28', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773347451641, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T20:30:51.868Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3700.55,000000000DFEC3B1,300.0,299.74,22160332.0,1600.0,1598.18,22450161.0,300.0,300.31,000000000DFEC3B8,1100.0,1098.88,21470046.0,-0.0,22.78,16.08
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dd9cc87b-610a-4d94-8cbd-ad4506b95a28,de4335f8-2d8f-494f-a206-cca1d5d280e6,3966.84130859375,4538.982421875,17251.259765625,33514.29296875,6448.73486328125,6311.3515625,11072.2998046875,9563.576171875,764.4533081054688,1101.9808349609375,9080.892578125,5768.05908203125,8329.7900390625,14120.0498046875,2960.617919921875,5264.50390625,6061.41015625,813.1323852539062,8701.689453125,7294.3623046875,276107.1875,114319.3828125,30275.728515625,22992.73046875,889.3901977539062,700.171875,327.2823181152344,574.2044677734375,5283.19873046875,5499.99951171875,327.38116455078125,3554.728271484375,512.982177734375,504.3577270507813,488.6922607421875,377.5749206542969,2611.208740234375,1780.9385986328125,605.3787231445312,905.5597534179688,4118.88671875,2434.464599609375,19452.759765625,9376.9033203125,478.5028991699219,2306.611083984375,379.6334228515625,1927.44189453125,135907.90625,152326.234375,115574.828125,208853.359375,825.455322265625,934.0062255859376,779.235595703125,459.9032287597656,31078.3125,38362.64453125,31964.373046875,28821.79296875,13710.134765625,10990.9150390625,10782.5087890625,12020.2861328125,10706,27.44322204589844,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.95030403137207,20.459625244140625,1004.507568359375,225364.515625,4.438695907592773,0,8712463,True,BME690,19782,0,0,0,8710756,24484,0,28.434539794921875,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 31, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:30:53.813,"{'cid': 'f43cee80-1c84-4cf1-84ec-32329efcf7e8', 'uuid': '4d9269c9-4405-4f5f-9287-8df980c93fd9', 'annotationId': 'dd9cc87b-610a-4d94-8cbd-ad4506b95a28', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773347451641, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T20:30:51.868Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3700.78,000000000DFEC3B1,300.0,299.79,22160332.0,1600.0,1598.83,22450161.0,300.0,301.25,000000000DFEC3B8,1100.0,1099.01,21470046.0,-0.0,22.78,16.09
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dd9cc87b-610a-4d94-8cbd-ad4506b95a28,de4335f8-2d8f-494f-a206-cca1d5d280e6,3973.79150390625,4534.87353515625,17255.447265625,33514.96484375,6449.2822265625,6312.103515625,11071.1875,9565.23046875,762.269287109375,1102.742431640625,9060.88671875,5692.53271484375,8325.46875,14094.4326171875,2958.768798828125,5292.17041015625,6063.35888671875,811.0333251953125,8767.85546875,7276.421875,276076.1875,114309.265625,30290.943359375,22988.0625,888.5123291015625,699.7772216796875,328.06610107421875,575.018798828125,5272.609375,5512.86328125,327.27978515625,3540.751953125,513.0371704101562,504.3508911132813,488.822265625,377.6307067871094,2610.85205078125,1780.873046875,605.3359985351562,905.5699462890624,4124.1630859375,2433.898681640625,19442.435546875,9380.208984375,478.3711853027344,2307.950927734375,380.0472106933594,1930.849853515625,135934.765625,152300.046875,115579.2109375,208851.5,825.8930053710938,933.7118530273438,779.4617309570312,459.18841552734375,31069.64453125,38365.76171875,31962.064453125,28819.85546875,13711.5634765625,10991.1337890625,10781.6396484375,12021.0703125,11006,27.44322204589844,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.95030403137207,20.459625244140625,1004.507568359375,225364.515625,4.438695907592773,0,8712463,True,BME690,19782,0,0,0,8710756,24484,0,28.434539794921875,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 31, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:30:54.115,"{'cid': 'f43cee80-1c84-4cf1-84ec-32329efcf7e8', 'uuid': '4d9269c9-4405-4f5f-9287-8df980c93fd9', 'annotationId': 'dd9cc87b-610a-4d94-8cbd-ad4506b95a28', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773347451641, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T20:30:51.868Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3700.89,000000000DFEC3B1,300.0,299.85,22160332.0,1600.0,1599.38,22450161.0,300.0,301.98,000000000DFEC3B8,1100.0,1099.13,21470046.0,-0.0,22.78,16.09
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dd9cc87b-610a-4d94-8cbd-ad4506b95a28,de4335f8-2d8f-494f-a206-cca1d5d280e6,3943.3291015625,4530.1796875,17256.43359375,33529.66796875,6448.67529296875,6311.06298828125,11072.1923828125,9564.326171875,763.6534423828125,1099.4354248046875,9121.6708984375,5762.2119140625,8301.1220703125,14117.908203125,2958.025146484375,5277.04638671875,6058.61767578125,811.9523315429688,8748.11328125,7267.79931640625,276049.71875,114308.96875,30270.75,22986.59765625,888.471923828125,699.7297973632812,327.91259765625,574.3163452148438,5275.6220703125,5502.1015625,327.3444519042969,3549.944091796875,512.9844360351562,504.3792724609375,488.7693786621094,377.5914306640625,2610.696533203125,1780.7215576171875,605.356689453125,905.5216674804688,4115.5,2431.98681640625,19439.34375,9377.0654296875,478.4844665527344,2321.310791015625,379.3469848632813,1930.21875,135847.484375,152321.28125,115587.53125,208855.828125,825.787841796875,932.2017211914062,778.1121215820312,459.4223937988281,31060.763671875,38374.51171875,31956.61328125,28821.25390625,13709.005859375,10990.189453125,10782.3583984375,12020.7763671875,11307,27.5238094329834,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.950639724731445,20.45960807800293,1004.4522705078124,230598.1875,4.438777446746826,0,8712904,True,BME690,19783,0,0,0,8710756,24484,0,28.434539794921875,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 31, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:30:54.413,"{'cid': 'f43cee80-1c84-4cf1-84ec-32329efcf7e8', 'uuid': '4d9269c9-4405-4f5f-9287-8df980c93fd9', 'annotationId': 'dd9cc87b-610a-4d94-8cbd-ad4506b95a28', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773347451641, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T20:30:51.868Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3701.01,000000000DFEC3B1,300.0,299.91,22160332.0,1600.0,1599.93,22450161.0,300.0,302.7,000000000DFEC3B8,1100.0,1099.26,21470046.0,-0.0,22.79,16.1
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dd9cc87b-610a-4d94-8cbd-ad4506b95a28,de4335f8-2d8f-494f-a206-cca1d5d280e6,3952.195068359375,4535.14599609375,17254.638671875,33537.640625,6448.755859375,6311.70947265625,11071.4306640625,9563.1748046875,763.5071411132812,1099.43798828125,9092.095703125,5724.60888671875,8314.583984375,14105.3359375,2960.18994140625,5281.1416015625,6054.076171875,812.9010620117188,8735.9384765625,7271.29150390625,276009.84375,114292.1953125,30270.59765625,22985.603515625,888.73095703125,699.3897094726562,328.113525390625,574.378173828125,5288.2607421875,5484.7861328125,327.3302917480469,3556.88330078125,512.880126953125,504.3218994140625,488.6714782714844,377.6717224121094,2610.70556640625,1781.0313720703125,605.3523559570312,905.505859375,4129.412109375,2440.282470703125,19444.265625,9376.529296875,478.5345458984375,2311.7021484375,379.43798828125,1927.483642578125,135873.390625,152342.90625,115594.8125,208865.78125,824.8247680664062,932.4393310546876,779.0728759765625,459.9171752929688,31065.904296875,38319.83203125,31955.044921875,28819.50390625,13710.3603515625,10989.71875,10781.30859375,12020.7333984375,11608,27.5238094329834,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.950977325439453,20.453601837158203,1004.4035034179688,227239.9375,4.437558650970459,0,8713344,True,BME690,19784,0,0,0,8710756,24484,0,28.434539794921875,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 31, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:30:54.716,"{'cid': 'f43cee80-1c84-4cf1-84ec-32329efcf7e8', 'uuid': '4d9269c9-4405-4f5f-9287-8df980c93fd9', 'annotationId': 'dd9cc87b-610a-4d94-8cbd-ad4506b95a28', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773347451641, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T20:30:51.868Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3700.46,000000000DFEC3B1,300.0,299.9,22160332.0,1600.0,1600.11,22450161.0,300.0,302.75,000000000DFEC3B8,1100.0,1099.39,21470046.0,-0.0,22.79,16.11
