component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_454625,FLW0_454625,ANLT0_454625,FLW0_181225,T0_093225,H0_093225,SETP0_813024,FLW0_813024,ANLT0_813024
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,ebfa5444-4c69-4d92-a0b3-cfc643b49716,abf3d6e6-cbae-42a9-8225-203c3276d984,4050.917236328125,4769.63720703125,17333.712890625,33656.78515625,6476.82373046875,6342.89697265625,11178.87109375,9663.9189453125,780.3446655273438,1123.3389892578125,9501.7607421875,5940.19580078125,8455.734375,14840.671875,3120.46923828125,5499.26416015625,6321.50537109375,842.0474853515625,9092.365234375,7626.8662109375,277414.78125,114510.1328125,30383.962890625,23070.1640625,905.059326171875,711.253662109375,332.687744140625,591.9464111328125,5515.28466796875,5643.3681640625,344.9731750488281,3681.345947265625,516.906982421875,507.9440307617188,490.1410217285156,378.5441589355469,2621.90283203125,1787.65283203125,606.7993774414062,908.30224609375,4321.13720703125,2621.861083984375,19490.583984375,9413.1923828125,491.9087524414063,2379.58154296875,388.3795776367188,1990.112060546875,136439.53125,153084.953125,116161.40625,210011.875,851.4487915039062,957.3221435546876,804.2283325195312,473.057861328125,31232.228515625,38545.29296875,32124.93359375,28901.625,13835.42578125,11105.330078125,10882.10546875,12149.875,8238,27.765565872192383,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,24.106115341186523,21.03941345214844,1004.2393188476562,215791.90625,4.60494327545166,0,4090345,True,BME690,9286,0,0,0,4086697,24484,0,28.692663192749023,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 19:13:51.324,"{'cid': '9c60827e-976e-4fb0-be32-94dec90a94ce', 'uuid': '5e3a5f45-69a4-47d2-95bd-21d78e39c51d', 'annotationId': 'ebfa5444-4c69-4d92-a0b3-cfc643b49716', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773342830771, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T19:13:50.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1339.92,21470046.0,300.0,301.46,000000000DFEC3B8,60.0,60.01,22160332.0,3700.0,3697.17,000000000DFEC3B1,0.0,23.03,16.11,1600.0,1599.04,22450161.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,ebfa5444-4c69-4d92-a0b3-cfc643b49716,abf3d6e6-cbae-42a9-8225-203c3276d984,4079.513671875,4771.57958984375,17316.666015625,33647.88671875,6477.52099609375,6341.63037109375,11178.9658203125,9663.306640625,781.0416870117188,1121.8709716796875,9551.759765625,5978.625,8467.44921875,14870.3408203125,3117.464111328125,5505.83251953125,6319.40283203125,842.1718139648438,9138.16015625,7620.52587890625,277433.71875,114514.5859375,30387.810546875,23067.31640625,906.025634765625,711.092529296875,332.6834411621094,591.9609375,5490.0087890625,5669.89501953125,345.0815734863281,3679.990966796875,517.0113525390625,507.9809875488281,490.2286376953125,378.5079650878906,2621.862060546875,1787.893798828125,606.762451171875,908.2752685546876,4312.2509765625,2622.066162109375,19494.009765625,9408.8212890625,492.0882873535156,2375.431396484375,388.7716674804688,1995.4732666015625,136450.09375,153107.796875,116126.4296875,210007.0,850.8513793945312,957.9051513671876,804.1389770507812,472.6855163574219,31220.58203125,38545.04296875,32122.361328125,28900.0234375,13838.251953125,11107.818359375,10880.455078125,12150.177734375,8540,27.68498039245605,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,24.10544204711914,21.04543685913086,1004.2393798828124,213472.3125,4.606086730957031,0,4090786,True,BME690,9287,0,0,0,4086697,24484,0,28.692663192749023,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 19:13:51.626,"{'cid': '9c60827e-976e-4fb0-be32-94dec90a94ce', 'uuid': '5e3a5f45-69a4-47d2-95bd-21d78e39c51d', 'annotationId': 'ebfa5444-4c69-4d92-a0b3-cfc643b49716', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773342830771, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T19:13:50.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1339.92,21470046.0,300.0,301.46,000000000DFEC3B8,60.0,60.01,22160332.0,3700.0,3697.17,000000000DFEC3B1,0.0,23.03,16.11,1600.0,1599.04,22450161.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,ebfa5444-4c69-4d92-a0b3-cfc643b49716,abf3d6e6-cbae-42a9-8225-203c3276d984,4070.468017578125,4757.375,17315.509765625,33648.6328125,6477.18017578125,6341.9912109375,11179.328125,9663.03125,780.4418334960938,1122.59423828125,9507.1162109375,5990.1259765625,8454.93359375,14915.91796875,3115.940673828125,5497.90673828125,6326.37158203125,841.7940063476562,9182.6513671875,7617.86083984375,277415.03125,114532.375,30391.30859375,23070.07421875,905.1788330078124,712.0799560546875,332.2574768066406,591.5352783203125,5504.37646484375,5640.47021484375,345.0619201660156,3683.964111328125,516.9729614257812,507.957275390625,490.1603698730469,378.56646728515625,2622.009521484375,1787.871826171875,606.7472534179688,908.3020629882812,4317.9921875,2621.052001953125,19500.541015625,9410.04296875,492.0181274414063,2375.191650390625,388.4421997070313,1986.016357421875,136428.53125,153044.5625,116138.4140625,210012.984375,850.9690551757812,958.774658203125,805.1949462890625,473.0549926757813,31221.521484375,38546.7421875,32128.173828125,28904.35546875,13836.6142578125,11107.322265625,10882.666015625,12150.46875,8840,27.84615135192871,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,24.10544204711914,21.04543685913086,1004.2393798828124,213472.3125,4.606086730957031,0,4090786,True,BME690,9287,0,0,0,4086697,24484,0,28.692663192749023,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 19:13:51.926,"{'cid': '9c60827e-976e-4fb0-be32-94dec90a94ce', 'uuid': '5e3a5f45-69a4-47d2-95bd-21d78e39c51d', 'annotationId': 'ebfa5444-4c69-4d92-a0b3-cfc643b49716', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773342830771, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T19:13:50.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1339.64,21470046.0,300.0,300.42,000000000DFEC3B8,60.0,59.97,22160332.0,3700.0,3698.11,000000000DFEC3B1,0.0,23.03,16.11,1600.0,1599.04,22450161.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,ebfa5444-4c69-4d92-a0b3-cfc643b49716,abf3d6e6-cbae-42a9-8225-203c3276d984,4052.32470703125,4753.78955078125,17324.125,33685.234375,6476.775390625,6342.05322265625,11178.7001953125,9662.80078125,781.1614990234375,1122.6004638671875,9547.42578125,5900.8701171875,8419.3525390625,14882.02734375,3108.4345703125,5517.20361328125,6303.15478515625,842.2738037109375,9138.908203125,7626.64208984375,277426.0,114505.0078125,30390.658203125,23070.732421875,907.334228515625,711.1767578125,332.4991760253906,591.7882690429688,5512.1318359375,5643.03173828125,345.0038757324219,3669.87744140625,517.0075073242188,507.8325805664063,490.2844543457031,378.5688171386719,2621.88037109375,1787.4254150390625,606.77783203125,908.3029174804688,4319.138671875,2621.187744140625,19499.71484375,9415.4306640625,492.0031127929688,2367.755126953125,387.9107666015625,1984.8394775390625,136461.234375,153113.734375,116144.265625,210017.78125,851.6101684570312,957.5787353515624,806.40087890625,473.0052795410156,31223.609375,38545.359375,32123.044921875,28899.603515625,13836.4951171875,11106.826171875,10895.326171875,12150.2587890625,9141,27.604394912719727,29.78021812438965,0,0,0,0,0,0,0,0,0,0,0,1,24.104434967041016,21.045482635498047,1004.2386474609376,214520.453125,4.605833053588867,0,4091227,True,BME690,9288,0,0,0,4086697,24484,0,28.692663192749023,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 19:13:52.226,"{'cid': '9c60827e-976e-4fb0-be32-94dec90a94ce', 'uuid': '5e3a5f45-69a4-47d2-95bd-21d78e39c51d', 'annotationId': 'ebfa5444-4c69-4d92-a0b3-cfc643b49716', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773342830771, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T19:13:50.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1339.28,21470046.0,300.0,299.09,000000000DFEC3B8,60.0,59.92,22160332.0,3700.0,3699.36,000000000DFEC3B1,0.0,23.03,16.1,1600.0,1599.04,22450161.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,ebfa5444-4c69-4d92-a0b3-cfc643b49716,abf3d6e6-cbae-42a9-8225-203c3276d984,4055.515869140625,4743.8828125,17337.96484375,33697.15625,6477.41259765625,6341.515625,11178.3896484375,9661.8154296875,780.6777954101562,1121.2393798828125,9524.6318359375,5984.333984375,8452.3134765625,14869.78515625,3123.366943359375,5514.26708984375,6306.24658203125,841.0553588867188,9121.263671875,7614.19189453125,277429.0625,114527.9609375,30381.935546875,23068.564453125,906.7743530273438,711.09716796875,332.3063659667969,591.4523315429688,5513.36279296875,5672.26513671875,345.1180725097656,3675.263427734375,517.0993041992188,507.9041442871094,490.318603515625,378.448486328125,2621.879638671875,1787.6875,606.7454833984375,908.2877807617188,4319.580078125,2625.75,19492.18359375,9416.181640625,491.99749755859375,2371.150146484375,388.270751953125,1986.9749755859373,136496.15625,153128.046875,116160.0625,210005.828125,851.3314208984375,958.2367553710938,804.7645263671875,473.4054260253906,31223.609375,38548.078125,32113.99609375,28888.28515625,13835.361328125,11107.7978515625,10894.7265625,12148.9609375,9442,27.765565872192383,29.78021812438965,0,0,0,0,0,0,0,0,0,0,0,1,24.10409927368164,21.05748176574707,1004.239501953125,215791.90625,4.608371257781982,0,4091667,True,BME690,9289,0,0,0,4091710,24484,0,27.211898803710938,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 19:13:52.529,"{'cid': '9c60827e-976e-4fb0-be32-94dec90a94ce', 'uuid': '5e3a5f45-69a4-47d2-95bd-21d78e39c51d', 'annotationId': 'ebfa5444-4c69-4d92-a0b3-cfc643b49716', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773342830771, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T19:13:50.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1338.92,21470046.0,300.0,297.74,000000000DFEC3B8,60.0,59.88,22160332.0,3700.0,3700.62,000000000DFEC3B1,0.0,23.03,16.1,1600.0,1599.04,22450161.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,ebfa5444-4c69-4d92-a0b3-cfc643b49716,abf3d6e6-cbae-42a9-8225-203c3276d984,4064.145751953125,4759.43408203125,17322.828125,33683.44140625,6477.4443359375,6342.16796875,11178.75,9662.1669921875,779.86328125,1124.180908203125,9532.9150390625,6019.86572265625,8458.7060546875,14835.21484375,3119.508056640625,5508.08837890625,6312.9775390625,841.1217651367188,9082.8896484375,7611.3642578125,277451.5,114527.296875,30387.87890625,23068.77734375,907.2893676757812,711.6567993164062,332.5177307128906,591.96630859375,5496.9619140625,5651.13427734375,345.00390625,3665.874267578125,516.9815673828125,507.8579406738281,490.1766052246094,378.5571899414063,2621.68115234375,1787.83447265625,606.8214721679688,908.314208984375,4313.01611328125,2614.040771484375,19506.326171875,9415.0205078125,491.894775390625,2371.196533203125,387.9048156738281,1992.1961669921875,136472.5,153117.96875,116117.1328125,210001.5,850.3068237304688,957.5778198242188,806.8031005859375,472.5162353515625,31219.970703125,38535.5234375,32118.380859375,28894.060546875,13836.16796875,11108.302734375,10893.986328125,12149.599609375,9743,27.604394912719727,29.78021812438965,0,0,0,0,0,0,0,0,0,0,0,1,24.10409927368164,21.05748176574707,1004.239501953125,215791.90625,4.608371257781982,0,4091667,True,BME690,9289,0,0,0,4091710,24484,0,27.211898803710938,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 19:13:52.830,"{'cid': '9c60827e-976e-4fb0-be32-94dec90a94ce', 'uuid': '5e3a5f45-69a4-47d2-95bd-21d78e39c51d', 'annotationId': 'ebfa5444-4c69-4d92-a0b3-cfc643b49716', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773342830771, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T19:13:50.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1338.92,21470046.0,300.0,297.8,000000000DFEC3B8,60.0,59.85,22160332.0,3700.0,3701.07,000000000DFEC3B1,0.0,23.03,16.09,1600.0,1599.18,22450161.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,ebfa5444-4c69-4d92-a0b3-cfc643b49716,abf3d6e6-cbae-42a9-8225-203c3276d984,4062.915771484375,4768.62353515625,17331.18359375,33641.125,6477.236328125,6342.1826171875,11177.796875,9665.47265625,781.5045776367188,1122.16015625,9489.2880859375,5956.96435546875,8458.7529296875,14877.2255859375,3121.451416015625,5525.23193359375,6306.4658203125,842.5724487304688,9072.4365234375,7603.6318359375,277462.71875,114546.46875,30384.498046875,23067.0,904.2323608398438,710.556884765625,332.4888000488281,592.0792236328125,5505.7734375,5643.34521484375,345.0580749511719,3666.82763671875,516.8192749023438,507.8363342285156,490.21429443359375,378.5275268554688,2621.583984375,1787.5115966796875,606.7236938476562,908.3201293945312,4319.83251953125,2619.773193359375,19494.79296875,9414.326171875,491.8858337402344,2379.466796875,388.4849548339844,1985.58544921875,136498.03125,153187.421875,116152.765625,209999.796875,851.078857421875,956.9224243164062,805.044189453125,472.6573486328125,31221.0390625,38545.83203125,32118.8828125,28901.740234375,13836.2412109375,11108.1572265625,10894.7958984375,12151.1416015625,10044,27.926740646362305,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,24.10342788696289,21.06949806213379,1004.1751708984376,215791.90625,4.610825538635254,0,4092108,True,BME690,9290,0,0,0,4091710,24484,0,27.211898803710938,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 19:13:53.128,"{'cid': '9c60827e-976e-4fb0-be32-94dec90a94ce', 'uuid': '5e3a5f45-69a4-47d2-95bd-21d78e39c51d', 'annotationId': 'ebfa5444-4c69-4d92-a0b3-cfc643b49716', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773342830771, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T19:13:50.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1339.37,21470046.0,300.0,299.7,000000000DFEC3B8,60.0,59.86,22160332.0,3700.0,3700.35,000000000DFEC3B1,-0.0,23.03,16.11,1600.0,1599.52,22450161.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,ebfa5444-4c69-4d92-a0b3-cfc643b49716,abf3d6e6-cbae-42a9-8225-203c3276d984,4073.47607421875,4758.7197265625,17326.43359375,33646.8984375,6476.470703125,6343.06494140625,11179.56640625,9663.4462890625,782.1323852539062,1120.765380859375,9560.7998046875,5939.7744140625,8469.5283203125,14855.3271484375,3126.226318359375,5547.841796875,6309.9794921875,842.5892333984375,9100.9453125,7613.4501953125,277422.03125,114552.6328125,30387.46484375,23071.259765625,904.8501586914062,711.0116577148438,332.46405029296875,591.9546508789062,5518.052734375,5656.74462890625,345.0420837402344,3668.851318359375,516.9122314453125,507.8850402832031,490.155517578125,378.5160217285156,2621.90673828125,1787.5576171875,606.7052612304688,908.3075561523438,4311.03369140625,2623.878662109375,19509.6015625,9419.8505859375,492.19244384765625,2376.86181640625,388.2452392578125,1983.00390625,136502.90625,153194.171875,116141.046875,209996.0,851.44140625,957.5372314453124,804.9619750976562,472.1431579589844,31212.5703125,38552.4375,32118.845703125,28896.16796875,13837.3271484375,11108.296875,10894.7431640625,12150.0537109375,10345,27.84615135192871,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,24.10342788696289,21.06949806213379,1004.1207275390624,213055.921875,4.610825538635254,0,4092548,True,BME690,9291,0,0,0,4091710,24484,0,27.211898803710938,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 19:13:53.429,"{'cid': '9c60827e-976e-4fb0-be32-94dec90a94ce', 'uuid': '5e3a5f45-69a4-47d2-95bd-21d78e39c51d', 'annotationId': 'ebfa5444-4c69-4d92-a0b3-cfc643b49716', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773342830771, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T19:13:50.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1339.82,21470046.0,300.0,301.62,000000000DFEC3B8,60.0,59.87,22160332.0,3700.0,3699.62,000000000DFEC3B1,-0.0,23.04,16.12,1600.0,1599.87,22450161.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,ebfa5444-4c69-4d92-a0b3-cfc643b49716,abf3d6e6-cbae-42a9-8225-203c3276d984,4070.20361328125,4761.296875,17320.466796875,33657.41796875,6476.0732421875,6340.41943359375,11179.080078125,9663.4033203125,781.6051635742188,1121.416259765625,9606.0322265625,5919.2607421875,8478.3447265625,14860.5224609375,3136.268798828125,5545.6533203125,6310.30126953125,843.0243530273438,9079.8232421875,7600.5107421875,277370.5,114531.4453125,30390.775390625,23072.37890625,905.556884765625,711.722900390625,332.0795593261719,591.8130493164062,5515.90625,5630.87060546875,345.06512451171875,3652.193359375,516.9189453125,507.8585205078125,490.2286071777344,378.52923583984375,2621.198486328125,1787.453125,606.736328125,908.25634765625,4309.541015625,2625.559814453125,19490.470703125,9421.453125,492.324951171875,2368.44921875,388.22357177734375,1988.133056640625,136377.359375,153118.28125,116157.84375,209988.734375,850.986083984375,958.1566162109376,806.4533081054688,472.7573547363281,31214.88671875,38548.62109375,32121.787109375,28890.2109375,13834.806640625,11108.900390625,10894.5048828125,12149.4892578125,10648,27.765565872192383,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,24.103763580322266,21.069480895996094,1004.0736083984376,213055.921875,4.610909938812256,0,4092988,True,BME690,9292,0,0,0,4091710,24484,0,27.211898803710938,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 19:13:53.737,"{'cid': '9c60827e-976e-4fb0-be32-94dec90a94ce', 'uuid': '5e3a5f45-69a4-47d2-95bd-21d78e39c51d', 'annotationId': 'ebfa5444-4c69-4d92-a0b3-cfc643b49716', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773342830771, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T19:13:50.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1340.22,21470046.0,300.0,303.29,000000000DFEC3B8,60.0,59.88,22160332.0,3700.0,3698.9,000000000DFEC3B1,-0.0,23.04,16.14,1600.0,1600.22,22450161.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,ebfa5444-4c69-4d92-a0b3-cfc643b49716,abf3d6e6-cbae-42a9-8225-203c3276d984,4076.3798828125,4759.21533203125,17325.54296875,33645.30859375,6476.22216796875,6340.33984375,11178.63671875,9663.298828125,782.1753540039062,1123.570556640625,9537.447265625,5981.0234375,8411.8955078125,14807.568359375,3127.349365234375,5541.11376953125,6320.77978515625,840.92578125,9117.669921875,7615.9619140625,277379.3125,114536.453125,30389.794921875,23070.890625,905.0167846679688,711.3634033203125,331.9389038085937,592.0782470703125,5507.96875,5639.14892578125,345.1012878417969,3641.755615234375,516.9068603515625,507.845703125,490.1165466308594,378.4601135253906,2620.97021484375,1787.204833984375,606.71728515625,908.3070068359376,4315.8974609375,2624.993408203125,19497.466796875,9419.2890625,491.9957275390625,2381.2861328125,388.44189453125,1986.466796875,136444.390625,153172.0625,116150.3671875,209975.046875,851.7649536132812,956.916748046875,805.705322265625,472.4197082519531,31215.701171875,38552.19921875,32121.341796875,28889.361328125,13838.4619140625,11106.5654296875,10894.5810546875,12150.169921875,10947,27.765565872192383,29.860803604125977,0,0,0,0,0,0,0,0,0,0,0,1,24.103763580322266,21.069480895996094,1004.0736083984376,213055.921875,4.610909938812256,0,4092988,True,BME690,9292,0,0,0,4091710,24484,0,27.211898803710938,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 11, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 19:13:54.031,"{'cid': '9c60827e-976e-4fb0-be32-94dec90a94ce', 'uuid': '5e3a5f45-69a4-47d2-95bd-21d78e39c51d', 'annotationId': 'ebfa5444-4c69-4d92-a0b3-cfc643b49716', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773342830771, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T19:13:50.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1339.98,21470046.0,300.0,301.93,000000000DFEC3B8,60.0,59.9,22160332.0,3700.0,3698.59,000000000DFEC3B1,-0.0,23.04,16.14,1600.0,1600.56,22450161.0
