component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_364625,FLW0_364625,ANLT0_364625,T0_093225,H0_093225,SETP0_813024,FLW0_813024,ANLT0_813024,FLW0_181225
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cd47d2f7-759f-4afa-87c5-7776c9cde7fd,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,4124.50244140625,4809.35986328125,17387.595703125,33763.515625,6491.40234375,6351.08642578125,11218.84375,9698.07421875,788.9420776367188,1133.25732421875,9702.701171875,5997.6904296875,8460.5703125,14647.1533203125,3137.947021484375,5582.22705078125,6391.2255859375,848.8170166015625,9520.98828125,7695.56298828125,278346.375,114812.921875,30434.40234375,23089.232421875,917.98876953125,715.83984375,333.0926208496094,598.2052001953125,5522.5556640625,5628.556640625,350.2366638183594,3661.02001953125,518.2037963867188,509.179931640625,490.7075805664063,379.1682434082031,2627.048828125,1791.1414794921875,607.0100708007812,909.1177368164062,4371.62060546875,2679.011474609375,19537.2421875,9428.1806640625,495.9430236816406,2373.964111328125,391.4665832519531,2004.222900390625,136824.140625,153533.84375,116352.1640625,210614.453125,859.7723999023438,967.5510864257812,809.5193481445312,477.198486328125,31282.607421875,38610.95703125,32130.38671875,28957.48046875,13883.5595703125,11143.748046875,10933.541015625,12192.7158203125,8181,27.765565872192383,29.78021812438965,0,0,0,0,0,0,0,0,0,0,0,1,23.82941627502441,21.71690368652344,1004.177490234375,217078.5,4.679276466369629,0,2860374,True,BME690,6493,0,0,0,2857882,24484,0,27.292722702026367,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:53:21.263,"{'cid': 'ae316e6a-adc7-40ab-9735-c03259b5bc75', 'uuid': 'e3dc009f-9db8-4ef0-ab7b-720146f3c5ea', 'annotationId': 'cd47d2f7-759f-4afa-87c5-7776c9cde7fd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341600685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:53:20.916Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",15.0,0.04,22160332.0,1385.0,1385.52,21470046.0,3700.0,3691.41,000000000DFEC3B1,300.0,293.95,000000000DFEC3B8,23.07,16.29,1600.0,1597.52,22450161.0,-0.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cd47d2f7-759f-4afa-87c5-7776c9cde7fd,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,4122.83447265625,4796.64599609375,17396.51953125,33729.09765625,6490.9638671875,6351.47705078125,11219.2236328125,9698.265625,789.8507080078125,1131.8211669921875,9689.91015625,5990.619140625,8459.603515625,14624.18359375,3144.868896484375,5559.79443359375,6385.75732421875,848.6679077148438,9449.1669921875,7681.13330078125,278384.28125,114804.078125,30432.74609375,23091.0546875,919.0151977539062,714.390625,332.81353759765625,597.5319213867188,5505.9462890625,5640.7099609375,350.1603698730469,3664.15771484375,518.2026977539062,509.1781921386719,490.6494140625,379.1583557128906,2627.374755859375,1790.7271728515625,607.1226806640625,909.1536865234376,4370.34326171875,2675.708251953125,19534.16796875,9425.6455078125,495.4378356933594,2384.940185546875,391.0532531738281,2005.8326416015625,136875.5,153501.328125,116394.3984375,210594.0625,859.2092895507812,967.8858032226562,810.0661010742188,477.3685607910156,31280.53515625,38596.1171875,32127.626953125,28966.1796875,13882.2255859375,11144.119140625,10933.115234375,12192.560546875,8482,27.765565872192383,29.78021812438965,0,0,0,0,0,0,0,0,0,0,0,1,23.82908058166504,21.728893280029297,1004.1749877929688,212641.140625,4.6817708015441895,0,2860814,True,BME690,6494,0,0,0,2857882,24484,0,27.292722702026367,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:53:21.561,"{'cid': 'ae316e6a-adc7-40ab-9735-c03259b5bc75', 'uuid': 'e3dc009f-9db8-4ef0-ab7b-720146f3c5ea', 'annotationId': 'cd47d2f7-759f-4afa-87c5-7776c9cde7fd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341600685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:53:20.916Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",15.0,0.04,22160332.0,1385.0,1385.52,21470046.0,3700.0,3691.41,000000000DFEC3B1,300.0,293.95,000000000DFEC3B8,23.07,16.29,1600.0,1597.52,22450161.0,-0.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cd47d2f7-759f-4afa-87c5-7776c9cde7fd,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,4130.1982421875,4795.61767578125,17396.798828125,33733.13671875,6491.53515625,6354.0029296875,11219.1953125,9697.9970703125,789.7386474609375,1133.52392578125,9710.5625,5990.94873046875,8459.7578125,14613.8056640625,3139.778564453125,5573.357421875,6399.1005859375,848.4724731445312,9372.0869140625,7711.8759765625,278341.5625,114824.203125,30432.2578125,23092.31640625,916.9310913085938,715.4203491210938,333.36334228515625,598.10205078125,5501.076171875,5639.85595703125,350.234130859375,3661.881591796875,518.2538452148438,509.1711120605469,490.7977600097656,379.2217712402344,2627.2783203125,1790.808349609375,607.0760498046875,909.0430908203124,4362.14697265625,2684.374267578125,19533.130859375,9428.71484375,495.6636657714844,2372.400146484375,391.2261352539063,2001.4366455078125,136852.359375,153528.46875,116373.8125,210589.703125,859.09423828125,968.5955200195312,810.7434692382812,477.7914733886719,31284.671875,38597.9609375,32125.86328125,28973.486328125,13881.650390625,11143.83203125,10933.271484375,12192.2216796875,8784,27.84615135192871,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.828744888305664,21.72890853881836,1004.1741943359376,215578.9375,4.681684970855713,0,2861254,True,BME690,6495,0,0,0,2857882,24484,0,27.292722702026367,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:53:21.863,"{'cid': 'ae316e6a-adc7-40ab-9735-c03259b5bc75', 'uuid': 'e3dc009f-9db8-4ef0-ab7b-720146f3c5ea', 'annotationId': 'cd47d2f7-759f-4afa-87c5-7776c9cde7fd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341600685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:53:20.916Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",15.0,3.76,22160332.0,1385.0,1385.51,21470046.0,3700.0,3693.14,000000000DFEC3B1,300.0,294.89,000000000DFEC3B8,23.07,16.29,1600.0,1597.52,22450161.0,-0.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cd47d2f7-759f-4afa-87c5-7776c9cde7fd,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,4145.85205078125,4809.125,17363.43359375,33738.5546875,6491.24267578125,6350.6240234375,11219.3603515625,9696.7353515625,788.7088012695312,1132.8985595703125,9614.560546875,6025.13232421875,8468.8662109375,14580.9326171875,3149.01416015625,5590.6728515625,6387.17578125,847.5146484375,9356.2236328125,7729.1650390625,278294.125,114799.3671875,30420.6015625,23091.240234375,913.3089599609376,714.7548828125,332.9243469238281,598.425537109375,5507.44970703125,5644.212890625,350.1103210449219,3656.361083984375,518.275146484375,509.2062683105469,490.62017822265625,379.2245178222656,2627.319091796875,1790.985595703125,607.04931640625,909.144287109375,4368.62890625,2679.756591796875,19520.203125,9427.251953125,495.3726501464844,2378.760009765625,391.0446472167969,2000.4853515625,136833.28125,153463.21875,116371.2109375,210568.65625,860.2202758789062,968.2262573242188,809.545654296875,477.4326171875,31297.388671875,38604.1953125,32142.24609375,28962.5859375,13883.4560546875,11144.4580078125,10933.3515625,12193.05078125,9085,27.68498039245605,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.828744888305664,21.72890853881836,1004.1741943359376,215578.9375,4.681684970855713,0,2861254,True,BME690,6495,0,0,0,2857882,24484,0,27.292722702026367,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:53:22.164,"{'cid': 'ae316e6a-adc7-40ab-9735-c03259b5bc75', 'uuid': 'e3dc009f-9db8-4ef0-ab7b-720146f3c5ea', 'annotationId': 'cd47d2f7-759f-4afa-87c5-7776c9cde7fd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341600685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:53:20.916Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",15.0,8.2,22160332.0,1385.0,1385.5,21470046.0,3700.0,3695.24,000000000DFEC3B1,300.0,296.06,000000000DFEC3B8,23.06,16.3,1600.0,1597.52,22450161.0,-0.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cd47d2f7-759f-4afa-87c5-7776c9cde7fd,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,4127.90087890625,4819.32080078125,17383.560546875,33737.078125,6491.2802734375,6352.3564453125,11218.49609375,9695.7333984375,791.8130493164062,1131.905517578125,9692.6103515625,6022.72265625,8501.2109375,14600.2041015625,3141.51416015625,5583.23779296875,6385.20849609375,848.5999755859375,9438.1201171875,7684.44775390625,278273.9375,114763.28125,30432.859375,23093.859375,914.5553588867188,715.7952880859375,332.9598999023437,598.5751342773438,5500.97900390625,5623.2275390625,350.1892395019531,3662.6494140625,518.3595581054688,509.2166137695313,490.7734680175781,379.2291564941406,2627.27197265625,1790.8363037109375,607.0303344726562,909.2344970703124,4375.33984375,2682.820556640625,19528.162109375,9429.568359375,495.4418640136719,2377.456787109375,390.78515625,1997.71484375,136792.03125,153439.078125,116388.4140625,210581.4375,859.9459228515625,967.980224609375,808.9094848632812,477.4664001464844,31290.734375,38608.9609375,32133.818359375,28963.171875,13885.6669921875,11145.4404296875,10933.3701171875,12192.3251953125,9386,27.765565872192383,29.78021812438965,0,0,0,0,0,0,0,0,0,0,0,1,23.828744888305664,21.740880966186523,1004.1709594726562,213263.921875,4.684264183044434,0,2861694,True,BME690,6496,0,0,0,2857882,24484,0,27.292722702026367,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:53:22.465,"{'cid': 'ae316e6a-adc7-40ab-9735-c03259b5bc75', 'uuid': 'e3dc009f-9db8-4ef0-ab7b-720146f3c5ea', 'annotationId': 'cd47d2f7-759f-4afa-87c5-7776c9cde7fd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341600685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:53:20.916Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",15.0,12.63,22160332.0,1385.0,1385.49,21470046.0,3700.0,3697.34,000000000DFEC3B1,300.0,297.22,000000000DFEC3B8,23.05,16.31,1600.0,1597.52,22450161.0,-0.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cd47d2f7-759f-4afa-87c5-7776c9cde7fd,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,4127.19140625,4822.02734375,17392.08203125,33746.06640625,6491.63720703125,6352.984375,11218.80078125,9695.59765625,789.3722534179688,1131.00341796875,9711.197265625,6022.22998046875,8511.9228515625,14635.154296875,3146.261474609375,5576.9287109375,6381.3515625,848.6459350585938,9445.791015625,7707.97265625,278272.0625,114761.3203125,30431.22265625,23093.509765625,914.5859375,716.1407470703125,332.9536437988281,598.4218139648438,5508.39892578125,5624.32373046875,350.0917663574219,3651.79248046875,518.2822875976562,509.2604370117188,490.6642761230469,379.1461486816406,2627.0634765625,1791.0147705078125,607.058349609375,909.187255859375,4361.6982421875,2678.178466796875,19523.498046875,9427.794921875,495.3282775878906,2374.4765625,391.3067321777344,2004.0064697265625,136828.0,153437.53125,116391.703125,210589.203125,858.5547485351562,968.4666748046876,810.78173828125,477.0962219238281,31291.84765625,38611.74609375,32128.787109375,28955.5078125,13884.60546875,11143.4921875,10920.0771484375,12192.9326171875,9687,27.84615135192871,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.828073501586918,21.746898651123047,1004.1710205078124,213681.125,4.68538236618042,0,2862134,True,BME690,6497,0,0,0,2857882,24484,0,27.292722702026367,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:53:22.766,"{'cid': 'ae316e6a-adc7-40ab-9735-c03259b5bc75', 'uuid': 'e3dc009f-9db8-4ef0-ab7b-720146f3c5ea', 'annotationId': 'cd47d2f7-759f-4afa-87c5-7776c9cde7fd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341600685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:53:20.916Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",15.0,14.9,22160332.0,1385.0,1385.47,21470046.0,3700.0,3698.51,000000000DFEC3B1,300.0,297.95,000000000DFEC3B8,23.05,16.31,1600.0,1597.77,22450161.0,-0.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cd47d2f7-759f-4afa-87c5-7776c9cde7fd,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,4138.34375,4810.19287109375,17364.337890625,33720.50390625,6491.04052734375,6354.01318359375,11218.857421875,9697.4970703125,789.43310546875,1129.6883544921875,9658.75390625,6009.2333984375,8488.2041015625,14634.33984375,3151.16552734375,5588.080078125,6402.76806640625,848.4903564453125,9401.9150390625,7685.26513671875,278252.6875,114745.828125,30422.376953125,23089.8671875,915.2967529296876,714.486328125,333.2066955566406,598.2361450195312,5517.04931640625,5631.7021484375,350.11328125,3643.041015625,518.312255859375,509.2408447265625,490.6909484863281,379.1683044433594,2627.143798828125,1790.7586669921875,607.0297241210938,909.187255859375,4371.982421875,2674.76806640625,19529.875,9430.55859375,495.4498596191406,2380.14404296875,390.9966735839844,2003.30419921875,136863.859375,153449.296875,116413.140625,210610.21875,859.0474243164062,967.3805541992188,810.4691162109375,476.86370849609375,31301.29296875,38611.5234375,32130.083984375,28956.306640625,13881.8408203125,11144.701171875,10921.42578125,12192.9296875,9988,27.765565872192383,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.828073501586918,21.746898651123047,1004.1710205078124,213681.125,4.68538236618042,0,2862134,True,BME690,6497,0,0,0,2857882,24484,0,27.292722702026367,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:53:23.068,"{'cid': 'ae316e6a-adc7-40ab-9735-c03259b5bc75', 'uuid': 'e3dc009f-9db8-4ef0-ab7b-720146f3c5ea', 'annotationId': 'cd47d2f7-759f-4afa-87c5-7776c9cde7fd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341600685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:53:20.916Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",15.0,14.89,22160332.0,1385.0,1385.46,21470046.0,3700.0,3698.65,000000000DFEC3B1,300.0,298.15,000000000DFEC3B8,23.05,16.34,1600.0,1598.3,22450161.0,-0.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cd47d2f7-759f-4afa-87c5-7776c9cde7fd,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,4143.248046875,4812.41357421875,17362.974609375,33735.7890625,6490.197265625,6352.93896484375,11219.4013671875,9695.294921875,789.8884887695312,1131.0218505859375,9734.6572265625,6029.88427734375,8482.75,14661.259765625,3140.943115234375,5589.70947265625,6391.1064453125,847.5584716796875,9369.349609375,7707.8984375,278261.65625,114747.6875,30427.888671875,23086.455078125,913.7590942382812,715.422607421875,333.0374450683594,598.6596069335938,5508.8701171875,5638.80029296875,350.0954895019531,3649.867431640625,518.25537109375,509.177001953125,490.6975708007813,379.1385192871094,2627.465087890625,1790.852294921875,607.0476684570312,909.1046752929688,4361.64453125,2676.00390625,19534.068359375,9427.658203125,495.3645629882813,2376.962646484375,391.1769409179688,2003.75830078125,136835.640625,153448.359375,116388.75,210635.765625,858.5751342773438,969.2296142578124,811.0074462890625,477.18402099609375,31302.740234375,38609.21484375,32133.4453125,28961.22265625,13882.2294921875,11142.1904296875,10923.23046875,12192.3623046875,10289,27.84615135192871,29.78021812438965,0,0,0,0,0,0,0,0,0,0,0,1,23.82706642150879,21.7529296875,1004.1076049804688,217078.5,4.686413764953613,0,2862574,True,BME690,6498,0,0,0,2857882,24484,0,27.292722702026367,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:53:23.368,"{'cid': 'ae316e6a-adc7-40ab-9735-c03259b5bc75', 'uuid': 'e3dc009f-9db8-4ef0-ab7b-720146f3c5ea', 'annotationId': 'cd47d2f7-759f-4afa-87c5-7776c9cde7fd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341600685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:53:20.916Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",15.0,14.89,22160332.0,1385.0,1385.45,21470046.0,3700.0,3698.8,000000000DFEC3B1,300.0,298.35,000000000DFEC3B8,23.06,16.37,1600.0,1598.82,22450161.0,-0.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cd47d2f7-759f-4afa-87c5-7776c9cde7fd,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,4140.943359375,4804.92431640625,17372.6875,33734.91015625,6490.38623046875,6351.1201171875,11218.466796875,9694.6552734375,790.6666870117188,1131.4747314453125,9688.8955078125,6033.81103515625,8447.3974609375,14627.568359375,3139.234130859375,5614.9970703125,6396.12841796875,846.9481201171875,9428.029296875,7715.9404296875,278190.25,114745.3515625,30414.5625,23088.46875,915.6992797851562,715.9896850585938,333.0599365234375,599.5892944335938,5507.66943359375,5649.08642578125,350.0751037597656,3640.44287109375,518.4208374023438,509.0753479003906,490.8257751464844,379.1156921386719,2626.708740234375,1790.8101806640625,607.0719604492188,909.0967407226562,4359.31884765625,2678.6025390625,19545.3515625,9429.935546875,495.54443359375,2376.30810546875,390.41741943359375,2000.512451171875,136812.9375,153465.390625,116353.3359375,210636.96875,858.1578979492188,967.1685791015624,810.017578125,476.9487609863281,31283.947265625,38604.3671875,32142.865234375,28958.74609375,13880.3232421875,11143.58203125,10932.498046875,12192.0595703125,10590,27.84615135192871,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.82773780822754,21.758886337280277,1004.0530395507812,213890.34375,4.687875747680664,0,2863014,True,BME690,6499,0,0,0,2862885,24484,0,28.449886322021484,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:53:23.674,"{'cid': 'ae316e6a-adc7-40ab-9735-c03259b5bc75', 'uuid': 'e3dc009f-9db8-4ef0-ab7b-720146f3c5ea', 'annotationId': 'cd47d2f7-759f-4afa-87c5-7776c9cde7fd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341600685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:53:20.916Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",15.0,14.88,22160332.0,1385.0,1385.4,21470046.0,3700.0,3698.93,000000000DFEC3B1,300.0,298.41,000000000DFEC3B8,23.06,16.4,1600.0,1599.2,22450161.0,-0.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cd47d2f7-759f-4afa-87c5-7776c9cde7fd,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,4116.1220703125,4809.70458984375,17365.958984375,33720.828125,6489.78466796875,6349.8701171875,11217.1435546875,9695.2392578125,790.7979736328125,1133.190673828125,9666.009765625,6031.71923828125,8463.9833984375,14591.73046875,3145.8486328125,5571.9482421875,6372.505859375,848.762451171875,9421.244140625,7693.46826171875,278197.09375,114729.2734375,30415.517578125,23089.048828125,915.2185668945312,715.7290649414062,333.11798095703125,598.3617553710938,5517.54931640625,5635.0673828125,350.1096496582031,3643.691650390625,518.1849975585938,509.1187438964844,490.7490539550781,379.1485290527344,2627.01025390625,1790.6416015625,607.0110473632812,909.1995849609376,4353.869140625,2674.764892578125,19538.06640625,9429.4111328125,495.47064208984375,2377.857666015625,390.5573120117188,2002.9566650390625,136790.890625,153409.5625,116363.546875,210609.359375,858.7627563476562,967.6810302734376,811.1395874023438,477.468505859375,31298.380859375,38606.64453125,32135.837890625,28957.55859375,13882.3427734375,11142.900390625,10933.8232421875,12192.611328125,10892,27.765565872192383,29.78021812438965,0,0,0,0,0,0,0,0,0,0,0,1,23.82773780822754,21.758886337280277,1004.0530395507812,213890.34375,4.687875747680664,0,2863014,True,BME690,6499,0,0,0,2862885,24484,0,28.449886322021484,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 18:53:23.970,"{'cid': 'ae316e6a-adc7-40ab-9735-c03259b5bc75', 'uuid': 'e3dc009f-9db8-4ef0-ab7b-720146f3c5ea', 'annotationId': 'cd47d2f7-759f-4afa-87c5-7776c9cde7fd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773341600685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T18:53:20.916Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",15.0,14.91,22160332.0,1385.0,1385.12,21470046.0,3700.0,3698.99,000000000DFEC3B1,300.0,297.43,000000000DFEC3B8,23.06,16.4,1600.0,1598.66,22450161.0,-0.0
