component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_454625,FLW0_454625,ANLT0_454625,FLW0_181225,T0_093225,H0_093225
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,648130de-40d9-4b84-a2af-62775e712a2b,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,613.81884765625,900.4104614257812,5968.2265625,5785.52490234375,5967.3994140625,5868.4541015625,10414.2197265625,8482.568359375,528.99658203125,539.7045288085938,2308.16748046875,1394.2183837890625,9292.0234375,559.2725219726562,1640.5303955078125,944.8248291015624,1074.69287109375,654.8050537109375,6362.4775390625,5872.87841796875,151895.765625,72602.1796875,27301.93359375,18522.5078125,249.25831604003903,509.8728332519531,5335.740234375,564.5160522460938,133.10169982910156,136.08006286621094,980.4973754882812,3367.91455078125,329.4305419921875,309.8033142089844,251.73634338378903,198.13580322265625,1484.59375,1380.8006591796875,736.4347534179688,1990.4232177734373,3919.321533203125,3683.1826171875,10913.2783203125,4971.7080078125,221.59556579589844,2742.4091796875,2179.943603515625,30364.8828125,86439.1796875,86514.125,75276.296875,97856.8984375,219961136,17152.1015625,320.6687927246094,582.9705810546875,37447.953125,37579.30859375,30049.919921875,39916.59765625,7972.23388671875,8322.65234375,8203.078125,9642.0537109375,9215,26.07325935363769,27.84615135192871,0,0,0,0,0,0,0,0,0,0,0,1,22.550264358520508,18.744760513305664,1003.1826782226562,130005.953125,3.754780769348145,0,12326502,True,BME690,27990,0,0,0,12325249,24484,0,27.58375358581543,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:25:22.199,"{'cid': '765b2e11-ba69-4f0b-8d37-995d919096f9', 'uuid': 'fb23db85-3d73-4707-8288-e9bb2242693f', 'annotationId': '648130de-40d9-4b84-a2af-62775e712a2b', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773336321586, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:25:21.798Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,300.29,000000000DFEC3B8,1600.0,1595.76,22450161.0,1400.0,1396.32,21470046.0,0.0,0.04,22160332.0,3700.0,3697.07,000000000DFEC3B1,-0.01,21.41,15.85
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,648130de-40d9-4b84-a2af-62775e712a2b,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,614.0596313476562,900.427001953125,5969.65185546875,5781.10888671875,5967.97900390625,5868.7275390625,10412.8369140625,8479.255859375,528.621337890625,539.95263671875,2319.20166015625,1395.0118408203125,9318.427734375,557.9407348632812,1640.7738037109375,945.3116455078124,1074.7489013671875,654.3327026367188,6359.01171875,5860.81396484375,151943.046875,72607.03125,27303.73046875,18520.779296875,249.32981872558597,509.40728759765625,5385.82861328125,563.8256225585938,133.1028289794922,136.02169799804688,980.7430419921876,3363.483642578125,329.4541320800781,309.7737731933594,251.76319885253903,198.07530212402344,1484.729248046875,1380.83935546875,736.4387817382812,1989.990966796875,3912.335693359375,3678.635009765625,10914.5537109375,4972.0537109375,221.6381378173828,2738.989990234375,2175.229248046875,30308.806640625,86438.0078125,86511.6953125,75280.9453125,97838.5,219652480,17186.431640625,320.7776794433594,583.3417358398438,37441.625,37573.234375,30049.08203125,39918.15234375,7972.212890625,8321.4306640625,8203.486328125,9639.380859375,9514,25.992673873901367,27.926740646362305,0,0,0,0,0,0,0,0,0,0,0,1,22.550264358520508,18.744760513305664,1003.1826782226562,130005.953125,3.754780769348145,0,12326502,True,BME690,27990,0,0,0,12325249,24484,0,27.58375358581543,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:25:22.499,"{'cid': '765b2e11-ba69-4f0b-8d37-995d919096f9', 'uuid': 'fb23db85-3d73-4707-8288-e9bb2242693f', 'annotationId': '648130de-40d9-4b84-a2af-62775e712a2b', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773336321586, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:25:21.798Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,300.29,000000000DFEC3B8,1600.0,1595.76,22450161.0,1400.0,1396.32,21470046.0,0.0,0.04,22160332.0,3700.0,3697.07,000000000DFEC3B1,-0.01,21.41,15.85
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,648130de-40d9-4b84-a2af-62775e712a2b,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,613.7305297851562,900.1257934570312,5968.9599609375,5780.78466796875,5965.8916015625,5868.7548828125,10412.5771484375,8481.8955078125,528.5269165039062,539.5621948242188,2322.40625,1395.4541015625,9303.1748046875,559.5686645507812,1642.5614013671875,944.9176025390624,1076.33251953125,656.1864624023438,6362.02734375,5851.73291015625,151943.40625,72612.4765625,27303.982421875,18517.826171875,249.22288513183597,509.5926818847656,5361.9150390625,563.5861206054688,133.07424926757812,136.09901428222656,981.6771240234376,3366.130615234375,329.4278564453125,309.8009338378906,251.7227783203125,198.08236694335935,1484.6273193359375,1380.8515625,736.4752197265625,1990.4788818359373,3914.0966796875,3677.99560546875,10912.3935546875,4972.23681640625,221.60736083984372,2740.187744140625,2176.896240234375,30306.330078125,86439.4140625,86512.90625,75277.953125,97853.0703125,219633440,17131.52734375,320.91046142578125,583.4281616210938,37441.31640625,37573.28515625,30051.6015625,39925.9375,7972.02783203125,8321.5849609375,8204.201171875,9643.4501953125,9815,26.153844833374023,27.926740646362305,0,0,0,0,0,0,0,0,0,0,0,1,22.54993057250977,18.756914138793945,1003.1835327148438,130706.0234375,3.757143020629883,0,12326942,True,BME690,27991,0,0,0,12325249,24484,0,27.58375358581543,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:25:22.803,"{'cid': '765b2e11-ba69-4f0b-8d37-995d919096f9', 'uuid': 'fb23db85-3d73-4707-8288-e9bb2242693f', 'annotationId': '648130de-40d9-4b84-a2af-62775e712a2b', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773336321586, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:25:21.798Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,298.32,000000000DFEC3B8,1600.0,1596.25,22450161.0,1400.0,1397.12,21470046.0,0.0,0.06,22160332.0,3700.0,3697.53,000000000DFEC3B1,-0.01,21.41,15.85
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,648130de-40d9-4b84-a2af-62775e712a2b,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,613.8449096679688,900.420166015625,5966.7861328125,5781.0849609375,5967.3486328125,5868.1572265625,10415.8984375,8480.72265625,529.1629028320312,539.822998046875,2309.680908203125,1396.38037109375,9313.05859375,559.1810913085938,1641.8428955078125,944.7892456054688,1075.224609375,654.7940673828125,6374.54345703125,5848.56787109375,151931.078125,72611.3046875,27301.525390625,18522.544921875,249.3381805419922,510.1351318359375,5353.45751953125,564.1199340820312,133.0711669921875,136.0828399658203,980.97314453125,3364.3037109375,329.3811950683594,309.8088073730469,251.7633209228516,198.0632781982422,1484.5477294921875,1380.862548828125,736.39697265625,1990.5115966796875,3920.34228515625,3686.197509765625,10920.0654296875,4972.2822265625,221.557861328125,2743.327880859375,2176.55029296875,30404.3828125,86437.0234375,86510.7734375,75277.78125,97839.4765625,219384464,17140.21875,320.830322265625,582.94873046875,37446.36328125,37578.79296875,30045.83203125,39911.28125,7971.263671875,8320.966796875,8202.66796875,9639.2138671875,10116,26.153844833374023,28.08791160583496,0,0,0,0,0,0,0,0,0,0,0,1,22.54926300048828,18.75088119506836,1003.1836547851562,130549.796875,3.7557907104492183,0,12327383,True,BME690,27992,0,0,0,12325249,24484,0,27.58375358581543,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:25:23.101,"{'cid': '765b2e11-ba69-4f0b-8d37-995d919096f9', 'uuid': 'fb23db85-3d73-4707-8288-e9bb2242693f', 'annotationId': '648130de-40d9-4b84-a2af-62775e712a2b', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773336321586, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:25:21.798Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,296.24,000000000DFEC3B8,1600.0,1596.77,22450161.0,1400.0,1397.97,21470046.0,0.0,0.08,22160332.0,3700.0,3698.04,000000000DFEC3B1,-0.01,21.41,15.87
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,648130de-40d9-4b84-a2af-62775e712a2b,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,614.1449584960938,900.5136108398438,5968.77001953125,5782.16748046875,5966.51025390625,5868.71337890625,10410.1025390625,8482.4833984375,528.4691772460938,539.4088745117188,2310.5537109375,1395.767578125,9323.5703125,559.194580078125,1640.86181640625,944.7700805664062,1074.354736328125,655.2526245117188,6367.654296875,5873.5400390625,151920.421875,72607.8125,27306.171875,18525.927734375,249.28489685058597,510.0931701660156,5364.65771484375,563.8656005859375,133.10665893554688,136.08314514160156,980.5487060546876,3367.594482421875,329.36016845703125,309.8136291503906,251.7341461181641,198.0958251953125,1484.72607421875,1380.8575439453125,736.4685668945312,1990.6044921875,3922.857421875,3685.717041015625,10915.33203125,4972.15234375,221.65187072753903,2738.52734375,2170.546630859375,30396.220703125,86450.671875,86524.84375,75273.28125,97840.9375,219478608,17220.0078125,320.9277648925781,583.5108642578125,37439.6484375,37572.60546875,30044.359375,39894.44140625,7972.45166015625,8320.87890625,8202.734375,9639.0283203125,10417,26.153844833374023,27.926740646362305,0,0,0,0,0,0,0,0,0,0,0,1,22.54926300048828,18.75088119506836,1003.1836547851562,130549.796875,3.7557907104492183,0,12327383,True,BME690,27992,0,0,0,12325249,24484,0,27.58375358581543,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:25:23.402,"{'cid': '765b2e11-ba69-4f0b-8d37-995d919096f9', 'uuid': 'fb23db85-3d73-4707-8288-e9bb2242693f', 'annotationId': '648130de-40d9-4b84-a2af-62775e712a2b', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773336321586, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:25:21.798Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,294.14,000000000DFEC3B8,1600.0,1597.3,22450161.0,1400.0,1398.83,21470046.0,0.0,0.1,22160332.0,3700.0,3698.55,000000000DFEC3B1,-0.01,21.41,15.89
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,648130de-40d9-4b84-a2af-62775e712a2b,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,613.9783325195312,900.6260986328125,5968.609375,5782.9404296875,5966.91064453125,5868.47998046875,10410.259765625,8483.296875,529.2426147460938,539.720458984375,2308.762451171875,1394.7889404296875,9329.01171875,559.1243896484375,1641.6224365234375,944.5720825195312,1075.4061279296875,655.4066162109375,6358.08544921875,5871.9853515625,151937.859375,72610.1015625,27316.662109375,18522.791015625,249.38499450683597,510.1881408691406,5370.283203125,564.277587890625,133.12388610839844,136.07131958007812,979.286376953125,3369.8486328125,329.4111328125,309.7821655273437,251.75152587890625,198.1284027099609,1484.6734619140625,1380.913818359375,736.4451904296875,1990.4791259765625,3920.736083984375,3685.623046875,10919.232421875,4972.201171875,221.5449066162109,2743.845703125,2174.2275390625,30400.634765625,86451.3828125,86524.71875,75278.0234375,97840.9921875,220030848,17130.4296875,320.8671875,583.1493530273438,37446.2421875,37578.046875,30040.287109375,39928.66796875,7973.208984375,8321.7978515625,8203.6240234375,9640.15625,10718,26.07325935363769,27.84615135192871,0,0,0,0,0,0,0,0,0,0,0,1,22.548259735107425,18.75700187683105,1003.126708984375,130005.953125,3.7568013668060303,0,12327823,True,BME690,27993,0,0,0,12325249,24484,0,27.58375358581543,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:25:23.704,"{'cid': '765b2e11-ba69-4f0b-8d37-995d919096f9', 'uuid': 'fb23db85-3d73-4707-8288-e9bb2242693f', 'annotationId': '648130de-40d9-4b84-a2af-62775e712a2b', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773336321586, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:25:21.798Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,294.96,000000000DFEC3B8,1600.0,1597.69,22450161.0,1400.0,1398.9,21470046.0,0.0,0.11,22160332.0,3700.0,3699.06,000000000DFEC3B1,-0.01,21.41,15.91
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,648130de-40d9-4b84-a2af-62775e712a2b,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,614.1998291015625,900.7044677734375,5969.24853515625,5783.41259765625,5967.091796875,5868.669921875,10419.18359375,8480.369140625,529.0514526367188,539.44970703125,2311.790283203125,1395.1878662109375,9311.958984375,559.0416259765625,1640.555908203125,945.025390625,1075.227294921875,654.876708984375,6361.2060546875,5867.25390625,151920.5625,72619.578125,27301.048828125,18520.95703125,249.1788330078125,509.2927856445313,5327.14208984375,564.7017211914062,133.07823181152344,136.07275390625,981.292724609375,3357.217041015625,329.39471435546875,309.8258361816406,251.78140258789065,198.089599609375,1484.5970458984375,1380.894775390625,736.3803100585938,1990.3741455078125,3921.212158203125,3684.758544921875,10919.76953125,4971.78271484375,221.62176513671875,2741.199462890625,2176.83251953125,30369.26171875,86446.484375,86520.53125,75275.2734375,97847.65625,222107808,17118.9921875,320.8791198730469,582.9797973632812,37441.71484375,37573.9296875,30042.94921875,39896.9453125,7973.71630859375,8321.32421875,8204.8076171875,9639.466796875,11020,26.23443031311035,28.08791160583496,0,0,0,0,0,0,0,0,0,0,0,1,22.54792594909668,18.75701904296875,1003.07958984375,130316.171875,3.7567331790924072,0,12328263,True,BME690,27994,0,0,0,12325249,24484,0,27.58375358581543,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:25:24.005,"{'cid': '765b2e11-ba69-4f0b-8d37-995d919096f9', 'uuid': 'fb23db85-3d73-4707-8288-e9bb2242693f', 'annotationId': '648130de-40d9-4b84-a2af-62775e712a2b', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773336321586, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:25:21.798Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,297.87,000000000DFEC3B8,1600.0,1597.97,22450161.0,1400.0,1398.38,21470046.0,0.0,0.1,22160332.0,3700.0,3699.57,000000000DFEC3B1,-0.01,21.41,15.91
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,648130de-40d9-4b84-a2af-62775e712a2b,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,614.437255859375,900.9501342773438,5968.603515625,5782.484375,5967.4453125,5869.05126953125,10414.2021484375,8482.25390625,528.9525146484375,539.7267456054688,2315.533203125,1392.441650390625,9352.513671875,559.3616333007812,1641.6923828125,944.9801635742188,1075.072998046875,654.8711547851562,6359.8359375,5877.080078125,151935.40625,72621.171875,27299.671875,18521.267578125,249.22271728515625,509.9768676757813,5325.5546875,564.14501953125,133.09747314453125,136.09429931640625,981.34423828125,3367.326171875,329.4017944335937,309.82830810546875,251.77413940429688,198.0907440185547,1484.6446533203125,1380.8785400390625,736.4111328125,1990.1932373046875,3922.679931640625,3686.501708984375,10919.2265625,4971.876953125,221.63751220703125,2733.6484375,2178.198486328125,30329.53515625,86439.1484375,86513.2734375,75277.1875,97855.53125,222576480,17169.314453125,320.9028015136719,584.0677490234375,37440.6015625,37572.55078125,30047.5625,39926.63671875,7972.7685546875,8322.4453125,8203.513671875,9642.6123046875,11320,26.315019607543945,27.84615135192871,0,0,0,0,0,0,0,0,0,0,0,1,22.54792594909668,18.75701904296875,1003.07958984375,130316.171875,3.7567331790924072,0,12328263,True,BME690,27994,0,0,0,12325249,24484,0,27.58375358581543,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:25:24.306,"{'cid': '765b2e11-ba69-4f0b-8d37-995d919096f9', 'uuid': 'fb23db85-3d73-4707-8288-e9bb2242693f', 'annotationId': '648130de-40d9-4b84-a2af-62775e712a2b', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773336321586, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:25:21.798Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,300.78,000000000DFEC3B8,1600.0,1598.26,22450161.0,1400.0,1397.85,21470046.0,0.0,0.1,22160332.0,3700.0,3700.08,000000000DFEC3B1,-0.01,21.4,15.92
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,648130de-40d9-4b84-a2af-62775e712a2b,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,614.2062377929688,900.8388671875,5966.3671875,5782.81396484375,5967.80859375,5869.6494140625,10410.3173828125,8482.357421875,528.9969482421875,539.9603881835938,2307.903564453125,1394.2503662109375,9279.12109375,559.1788330078125,1639.9036865234375,945.06787109375,1075.7293701171875,655.4666137695312,6368.26416015625,5863.17236328125,151864.859375,72610.0234375,27297.22265625,18522.76171875,249.18540954589844,509.63580322265625,5357.95166015625,564.175048828125,133.09873962402344,136.07115173339844,979.4344482421876,3369.861328125,329.4134521484375,309.7865295410156,251.7665863037109,198.1099853515625,1484.6546630859375,1380.870849609375,736.436767578125,1990.6773681640625,3919.035888671875,3684.226806640625,10919.0146484375,4971.58349609375,221.55296325683597,2743.873291015625,2177.947998046875,30294.416015625,86440.9609375,86514.5234375,75288.4453125,97854.234375,222857248,17151.580078125,320.9343566894531,582.0,37437.88671875,37569.60546875,30044.57421875,39923.8125,7971.55419921875,8321.990234375,8203.267578125,9638.66796875,11621,26.23443031311035,28.007326126098636,0,0,0,0,0,0,0,0,0,0,0,1,22.547592163085938,18.7691707611084,1003.0391235351562,130471.828125,3.75909423828125,0,12328703,True,BME690,27995,0,0,0,12325249,24484,0,27.58375358581543,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:25:24.606,"{'cid': '765b2e11-ba69-4f0b-8d37-995d919096f9', 'uuid': 'fb23db85-3d73-4707-8288-e9bb2242693f', 'annotationId': '648130de-40d9-4b84-a2af-62775e712a2b', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773336321586, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:25:21.798Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,302.84,000000000DFEC3B8,1600.0,1598.56,22450161.0,1400.0,1397.6,21470046.0,0.0,0.09,22160332.0,3700.0,3700.38,000000000DFEC3B1,-0.01,21.4,15.92
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,648130de-40d9-4b84-a2af-62775e712a2b,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,614.279541015625,900.9705200195312,5969.4306640625,5781.306640625,5966.66796875,5867.95849609375,10412.994140625,8481.974609375,529.2296752929688,540.0425415039062,2315.65185546875,1394.1273193359375,9331.8271484375,559.2738647460938,1640.9368896484375,945.4404296875,1075.96484375,655.755615234375,6365.54736328125,5846.47119140625,151858.859375,72600.71875,27300.080078125,18522.0546875,249.1756591796875,509.6890258789063,5360.83203125,564.39892578125,133.09661865234375,136.04916381835938,982.1063232421876,3360.073486328125,329.3897705078125,309.7956848144531,251.76873779296875,198.10305786132807,1484.5345458984375,1380.767578125,736.3428344726562,1990.008056640625,3920.632080078125,3685.012451171875,10914.9326171875,4971.41015625,221.5674743652344,2753.685302734375,2173.896484375,30369.76171875,86442.21875,86515.3359375,75293.1328125,97860.1640625,221115680,17066.24609375,320.8345642089844,582.2974853515625,37439.375,37571.6015625,30051.533203125,39919.0703125,7971.482421875,8319.2080078125,8202.4033203125,9643.6572265625,11922,26.315019607543945,27.84615135192871,0,0,0,0,0,0,0,0,0,0,0,1,22.546924591064453,18.7752742767334,1002.99951171875,130471.828125,3.7601728439331055,0,12329143,True,BME690,27996,0,0,0,12325249,24484,0,27.58375358581543,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 32, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:25:24.908,"{'cid': '765b2e11-ba69-4f0b-8d37-995d919096f9', 'uuid': 'fb23db85-3d73-4707-8288-e9bb2242693f', 'annotationId': '648130de-40d9-4b84-a2af-62775e712a2b', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773336321586, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:25:21.798Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,302.02,000000000DFEC3B8,1600.0,1598.92,22450161.0,1400.0,1398.34,21470046.0,0.0,0.07,22160332.0,3700.0,3699.86,000000000DFEC3B1,-0.01,21.4,15.93
