component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_454625,FLW0_454625,ANLT0_454625,FLW0_181225,SETP0_184225,FLW0_184225,ANLT0_184225
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cf1db33d-f8d3-4c60-9f28-cc4647bf6edd,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,626.4627075195312,915.9365234375,5965.30517578125,5777.6396484375,5959.38037109375,5863.12548828125,10404.826171875,8478.18359375,531.9932250976562,541.5751342773438,2347.051025390625,1414.3448486328125,9421.65234375,567.7478637695312,1664.882568359375,961.4261474609376,1081.8638916015625,659.2254638671875,6351.8701171875,5948.064453125,151859.9375,72563.7890625,27323.693359375,18515.857421875,250.89227294921875,512.4122924804688,5330.0390625,565.7591552734375,134.06883239746094,136.98973083496094,993.31396484375,3424.812744140625,329.8334655761719,310.11669921875,251.971923828125,198.27786254882807,1484.5877685546875,1380.439208984375,736.957763671875,1991.0606689453125,3973.34521484375,3738.84228515625,10904.1962890625,4965.90234375,222.8064117431641,2763.212646484375,2181.390625,30723.228515625,86426.203125,86499.9921875,75226.4921875,97781.5703125,221974432,17193.9296875,323.197021484375,585.887939453125,37520.05859375,37651.52734375,30062.7109375,39947.40234375,7968.05224609375,8319.990234375,8196.5185546875,9633.5068359375,9886,27.765565872192383,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.962556838989254,19.36368560791016,1002.9176025390624,121407.9296875,4.203851699829102,0,10737244,True,BME690,24381,0,0,0,10736086,24484,0,28.88400650024414,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:58:52.933,"{'cid': 'c44361f8-b46a-4d23-8a4b-296880c26626', 'uuid': 'a483c5c4-8bd7-4bb9-aa8f-0b31b209b2bb', 'annotationId': 'cf1db33d-f8d3-4c60-9f28-cc4647bf6edd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334732211, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:58:52.429Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.23,16.2,300.0,296.48,000000000DFEC3B8,1600.0,1595.2,22450161.0,1400.0,1398.24,21470046.0,3700.0,3703.71,000000000DFEC3B1,-0.0,0.0,0.07,22160332.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cf1db33d-f8d3-4c60-9f28-cc4647bf6edd,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,625.9794311523438,915.5439453125,5963.38671875,5775.2431640625,5958.31982421875,5862.21533203125,10409.6181640625,8477.27734375,531.7454223632812,542.2180786132812,2348.0126953125,1414.329833984375,9403.5625,567.67236328125,1662.6112060546875,960.6228637695312,1082.52587890625,659.4666137695312,6354.44287109375,5956.43994140625,151869.921875,72564.9921875,27328.693359375,18516.7421875,250.85313415527344,512.1741333007812,5336.923828125,565.7171630859375,134.0716094970703,137.00340270996094,995.7603149414062,3443.48486328125,329.8054504394531,310.08758544921875,251.968505859375,198.32264709472656,1484.524658203125,1380.41796875,737.076416015625,1991.9180908203125,3971.1728515625,3737.78857421875,10903.6494140625,4965.96142578125,222.87925720214844,2769.309326171875,2183.180419921875,30754.619140625,86427.1328125,86501.6015625,75226.5625,97799.7421875,221491760,17163.8671875,323.269287109375,585.6278686523438,37517.1875,37649.1171875,30062.640625,39910.84375,7965.9814453125,8323.3798828125,8196.103515625,9634.2197265625,10187,27.84615135192871,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.96222305297852,19.36978912353516,1002.9168090820312,121340.4921875,4.20509672164917,0,10737684,True,BME690,24382,0,0,0,10736086,24484,0,28.88400650024414,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:58:53.234,"{'cid': 'c44361f8-b46a-4d23-8a4b-296880c26626', 'uuid': 'a483c5c4-8bd7-4bb9-aa8f-0b31b209b2bb', 'annotationId': 'cf1db33d-f8d3-4c60-9f28-cc4647bf6edd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334732211, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:58:52.429Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.24,16.22,300.0,296.87,000000000DFEC3B8,1600.0,1595.54,22450161.0,1400.0,1398.23,21470046.0,3700.0,3703.2,000000000DFEC3B1,-0.0,0.0,0.07,22160332.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cf1db33d-f8d3-4c60-9f28-cc4647bf6edd,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,626.12109375,915.2666015625,5962.61328125,5777.40087890625,5958.9794921875,5862.359375,10406.337890625,8479.248046875,532.5493774414062,542.9424438476562,2352.150634765625,1414.375732421875,9375.9111328125,567.71533203125,1662.1527099609375,961.3316650390624,1082.0106201171875,659.3743896484375,6345.26806640625,5953.86279296875,151860.03125,72573.1953125,27327.837890625,18516.357421875,250.91079711914065,512.21728515625,5354.884765625,565.7474975585938,134.07119750976562,136.99095153808594,995.5438842773438,3443.752197265625,329.82196044921875,310.11773681640625,251.95416259765625,198.28684997558597,1484.54443359375,1380.3465576171875,736.9705200195312,1990.7447509765625,3970.697998046875,3735.88232421875,10907.9619140625,4965.79150390625,222.6841278076172,2770.962646484375,2182.367431640625,30768.310546875,86423.796875,86498.6953125,75228.375,97806.546875,221071440,17156.306640625,323.3311462402344,585.1478881835938,37512.875,37644.2734375,30062.162109375,39864.94140625,7966.3173828125,8322.453125,8197.376953125,9633.6513671875,10488,27.68498039245605,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.96222305297852,19.36978912353516,1002.9168090820312,121340.4921875,4.20509672164917,0,10737684,True,BME690,24382,0,0,0,10736086,24484,0,28.88400650024414,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:58:53.535,"{'cid': 'c44361f8-b46a-4d23-8a4b-296880c26626', 'uuid': 'a483c5c4-8bd7-4bb9-aa8f-0b31b209b2bb', 'annotationId': 'cf1db33d-f8d3-4c60-9f28-cc4647bf6edd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334732211, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:58:52.429Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.24,16.25,300.0,297.95,000000000DFEC3B8,1600.0,1596.52,22450161.0,1400.0,1398.21,21470046.0,3700.0,3701.69,000000000DFEC3B1,-0.0,0.0,0.07,22160332.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cf1db33d-f8d3-4c60-9f28-cc4647bf6edd,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,625.7032470703125,915.0519409179688,5962.71533203125,5777.39404296875,5958.376953125,5861.1298828125,10408.408203125,8481.17578125,531.6463623046875,541.3690795898438,2348.535888671875,1414.0623779296875,9368.4111328125,567.81689453125,1662.2890625,961.3110961914062,1082.2828369140625,659.6449584960938,6347.46728515625,5953.0947265625,151888.71875,72578.5078125,27323.806640625,18510.392578125,250.93858337402344,512.0358276367188,5319.73779296875,565.5233764648438,134.0649871826172,136.98712158203125,996.4332885742188,3426.237060546875,329.8166809082031,310.1228332519531,251.9630126953125,198.32135009765625,1484.469482421875,1380.44189453125,736.9666748046875,1990.8001708984373,3964.99609375,3730.222900390625,10906.47265625,4965.7275390625,222.82135009765625,2761.328857421875,2182.085693359375,30804.75390625,86421.859375,86496.4921875,75224.8046875,97801.6953125,220590976,17081.330078125,323.2447204589844,585.63037109375,37514.28125,37645.93359375,30067.8203125,39924.55859375,7967.3017578125,8323.5673828125,8197.876953125,9632.2509765625,10789,27.765565872192383,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.96222305297852,19.36978912353516,1002.9218139648438,121071.4921875,4.20509672164917,0,10738125,True,BME690,24383,0,0,0,10736086,24484,0,28.88400650024414,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:58:53.835,"{'cid': 'c44361f8-b46a-4d23-8a4b-296880c26626', 'uuid': 'a483c5c4-8bd7-4bb9-aa8f-0b31b209b2bb', 'annotationId': 'cf1db33d-f8d3-4c60-9f28-cc4647bf6edd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334732211, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:58:52.429Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.25,16.28,300.0,299.02,000000000DFEC3B8,1600.0,1597.5,22450161.0,1400.0,1398.18,21470046.0,3700.0,3700.18,000000000DFEC3B1,-0.0,0.0,0.07,22160332.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cf1db33d-f8d3-4c60-9f28-cc4647bf6edd,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,625.5620727539062,915.1635131835938,5961.39111328125,5777.3212890625,5958.96142578125,5862.30810546875,10401.794921875,8478.6982421875,532.1757202148438,542.3978271484375,2348.739013671875,1413.6287841796875,9382.08203125,567.8859252929688,1663.581787109375,961.0567016601562,1081.91015625,658.9076538085938,6384.1064453125,5951.29150390625,151868.296875,72568.7109375,27319.30078125,18515.728515625,250.8971405029297,512.2465209960938,5324.498046875,566.4461669921875,134.02163696289062,136.96458435058594,996.349609375,3428.7685546875,329.8136291503906,310.1158752441406,251.9313201904297,198.3127899169922,1484.320068359375,1380.413818359375,737.0061645507812,1990.692138671875,3969.197509765625,3735.2998046875,10902.9482421875,4965.88330078125,222.8061065673828,2763.657958984375,2184.3896484375,30588.53125,86413.9375,86488.8203125,75223.0546875,97806.796875,220196800,17205.052734375,323.30810546875,587.3587646484375,37519.81640625,37651.86328125,30069.19921875,39946.04296875,7967.44189453125,8322.375,8196.5361328125,9636.8955078125,11090,27.84615135192871,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.96222305297852,19.381959915161133,1002.9218139648438,121407.9296875,4.207739353179932,0,10738565,True,BME690,24384,0,0,0,10736086,24484,0,28.88400650024414,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:58:54.138,"{'cid': 'c44361f8-b46a-4d23-8a4b-296880c26626', 'uuid': 'a483c5c4-8bd7-4bb9-aa8f-0b31b209b2bb', 'annotationId': 'cf1db33d-f8d3-4c60-9f28-cc4647bf6edd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334732211, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:58:52.429Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.24,16.28,300.0,300.1,000000000DFEC3B8,1600.0,1598.48,22450161.0,1400.0,1398.16,21470046.0,3700.0,3698.65,000000000DFEC3B1,0.0,0.0,0.07,22160332.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cf1db33d-f8d3-4c60-9f28-cc4647bf6edd,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,625.9657592773438,915.3170776367188,5963.84228515625,5778.0029296875,5958.89013671875,5861.91943359375,10407.06640625,8477.6708984375,532.6358032226562,542.6492309570312,2345.603515625,1412.1702880859375,9400.6455078125,567.8016967773438,1663.4161376953125,960.887451171875,1082.06005859375,659.5588989257812,6353.46728515625,5942.3564453125,151863.984375,72566.3828125,27324.283203125,18509.55078125,250.8142547607422,512.0014038085938,5329.06103515625,566.798095703125,134.02088928222656,136.9844207763672,995.1099853515624,3425.362060546875,329.78924560546875,310.08941650390625,251.9850311279297,198.28453063964844,1484.5064697265625,1380.31494140625,736.9600219726562,1991.1590576171875,3968.1826171875,3733.586181640625,10904.486328125,4965.9736328125,222.84523010253903,2765.74755859375,2183.666015625,30512.115234375,86407.875,86481.953125,75220.8359375,97789.2734375,219876288,17145.154296875,323.39569091796875,584.6976928710938,37505.13671875,37636.890625,30063.009765625,39947.2734375,7967.97314453125,8324.3271484375,8196.193359375,9634.5654296875,11392,27.84615135192871,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.96222305297852,19.381959915161133,1002.9218139648438,121407.9296875,4.207739353179932,0,10738565,True,BME690,24384,0,0,0,10736086,24484,0,28.88400650024414,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:58:54.439,"{'cid': 'c44361f8-b46a-4d23-8a4b-296880c26626', 'uuid': 'a483c5c4-8bd7-4bb9-aa8f-0b31b209b2bb', 'annotationId': 'cf1db33d-f8d3-4c60-9f28-cc4647bf6edd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334732211, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:58:52.429Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.23,16.29,300.0,300.6,000000000DFEC3B8,1600.0,1598.6,22450161.0,1400.0,1398.23,21470046.0,3700.0,3697.14,000000000DFEC3B1,0.0,0.0,0.07,22160332.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cf1db33d-f8d3-4c60-9f28-cc4647bf6edd,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,626.2317504882812,915.46484375,5963.66748046875,5777.0615234375,5959.28271484375,5862.56201171875,10402.3232421875,8479.7236328125,531.2134399414062,541.50390625,2356.3388671875,1416.8865966796875,9385.439453125,567.725830078125,1663.99609375,961.197998046875,1082.7193603515625,659.976318359375,6357.34130859375,5960.13623046875,151829.65625,72564.046875,27318.724609375,18515.630859375,250.91261291503903,511.61468505859375,5336.39111328125,565.755126953125,134.05955505371094,137.0159912109375,996.3753662109376,3430.392333984375,329.8204040527344,310.1117553710937,251.91241455078125,198.28489685058597,1484.599365234375,1380.3531494140625,736.9033203125,1990.741455078125,3962.565673828125,3729.626953125,10908.205078125,4965.64892578125,222.855712890625,2765.373291015625,2186.037841796875,30581.615234375,86408.59375,86482.5625,75223.6328125,97788.1953125,219624192,17178.88671875,323.3355712890625,584.4891357421875,37504.70703125,37636.09765625,30064.9609375,39928.7421875,7967.66748046875,8324.1806640625,8195.7021484375,9637.16015625,11692,27.926740646362305,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.96222305297852,19.375873565673828,1002.8687744140624,119329.9296875,4.206418037414551,0,10739005,True,BME690,24385,0,0,0,10736086,24484,0,28.88400650024414,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:58:54.742,"{'cid': 'c44361f8-b46a-4d23-8a4b-296880c26626', 'uuid': 'a483c5c4-8bd7-4bb9-aa8f-0b31b209b2bb', 'annotationId': 'cf1db33d-f8d3-4c60-9f28-cc4647bf6edd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334732211, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:58:52.429Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.22,16.29,300.0,301.1,000000000DFEC3B8,1600.0,1598.72,22450161.0,1400.0,1398.3,21470046.0,3700.0,3695.61,000000000DFEC3B1,0.0,0.0,0.08,22160332.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cf1db33d-f8d3-4c60-9f28-cc4647bf6edd,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,626.344482421875,915.4788208007812,5962.0400390625,5778.0703125,5959.587890625,5862.890625,10403.4482421875,8478.81640625,531.1629638671875,540.9522094726562,2341.319580078125,1415.49365234375,9404.052734375,567.7274780273438,1663.953369140625,961.310791015625,1081.482421875,659.42138671875,6367.75537109375,5941.4853515625,151809.40625,72545.296875,27315.44140625,18517.05859375,250.8119659423828,511.5663757324219,5334.6865234375,565.6137084960938,134.05990600585938,136.9763641357422,994.57421875,3425.94677734375,329.7689208984375,310.0748596191406,251.95306396484372,198.3119659423828,1484.4423828125,1380.3084716796875,736.9213256835938,1991.3319091796875,3964.893798828125,3730.883544921875,10902.2392578125,4965.875,222.7969207763672,2758.842041015625,2187.44384765625,30606.55078125,86404.0234375,86477.6015625,75216.2421875,97793.8515625,219397616,17148.4453125,323.2903137207031,586.2794189453125,37501.41796875,37632.1328125,30056.642578125,39915.95703125,7967.68896484375,8321.845703125,8197.1435546875,9636.056640625,11993,27.926740646362305,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.96222305297852,19.39413070678711,1002.8206176757812,121004.4296875,4.210381507873535,0,10739445,True,BME690,24386,0,0,0,10736086,24484,0,28.88400650024414,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:58:55.041,"{'cid': 'c44361f8-b46a-4d23-8a4b-296880c26626', 'uuid': 'a483c5c4-8bd7-4bb9-aa8f-0b31b209b2bb', 'annotationId': 'cf1db33d-f8d3-4c60-9f28-cc4647bf6edd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334732211, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:58:52.429Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.21,16.3,300.0,301.59,000000000DFEC3B8,1600.0,1598.84,22450161.0,1400.0,1398.37,21470046.0,3700.0,3694.11,000000000DFEC3B1,0.0,0.0,0.08,22160332.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cf1db33d-f8d3-4c60-9f28-cc4647bf6edd,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,626.5523071289062,915.8702392578124,5962.99462890625,5776.7255859375,5960.39306640625,5861.61181640625,10405.8505859375,8479.63671875,532.2762451171875,541.923095703125,2343.1220703125,1416.6158447265625,9399.7490234375,567.56201171875,1663.6038818359375,961.3418579101562,1082.6622314453125,659.9675903320312,6350.072265625,5954.6494140625,151806.09375,72553.4140625,27313.775390625,18516.255859375,250.70883178710935,511.2931213378906,5329.5595703125,565.7620239257812,134.0521240234375,137.012939453125,995.9542236328124,3429.0390625,329.8486328125,310.087646484375,251.93948364257807,198.25704956054688,1484.38720703125,1380.3572998046875,736.8978271484375,1991.6053466796875,3965.000244140625,3730.676513671875,10903.20703125,4965.7578125,222.7584228515625,2778.0966796875,2186.056640625,30619.814453125,86408.90625,86482.078125,75219.7890625,97797.59375,219934432,17264.650390625,323.3124084472656,585.9424438476562,37503.5390625,37634.421875,30059.2421875,39889.28125,7967.00439453125,8321.853515625,8196.3017578125,9632.3232421875,12294,27.68498039245605,29.37728881835937,0,0,0,0,0,0,0,0,0,0,0,1,23.96222305297852,19.39413070678711,1002.8206176757812,121004.4296875,4.210381507873535,0,10739445,True,BME690,24386,0,0,0,10736086,24484,0,28.88400650024414,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:58:55.343,"{'cid': 'c44361f8-b46a-4d23-8a4b-296880c26626', 'uuid': 'a483c5c4-8bd7-4bb9-aa8f-0b31b209b2bb', 'annotationId': 'cf1db33d-f8d3-4c60-9f28-cc4647bf6edd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334732211, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:58:52.429Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.22,16.31,300.0,302.28,000000000DFEC3B8,1600.0,1598.69,22450161.0,1400.0,1398.87,21470046.0,3700.0,3695.15,000000000DFEC3B1,0.0,0.0,0.08,22160332.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,cf1db33d-f8d3-4c60-9f28-cc4647bf6edd,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,626.2103271484375,915.6531372070312,5963.0625,5777.4990234375,5959.77197265625,5862.216796875,10402.3564453125,8479.404296875,531.9071655273438,541.32568359375,2344.669921875,1414.94482421875,9404.927734375,567.8998413085938,1662.7376708984375,961.13818359375,1082.5953369140625,659.6736450195312,6349.04541015625,5961.48193359375,151837.3125,72550.3359375,27309.361328125,18513.65625,250.8107147216797,511.9350280761719,5340.091796875,567.0105590820312,134.08035278320312,137.001708984375,996.8543701171876,3433.1240234375,329.8127746582031,310.1086120605469,251.9508056640625,198.2539825439453,1484.5235595703125,1380.2979736328125,736.91162109375,1991.3697509765625,3964.0966796875,3730.879638671875,10902.517578125,4965.662109375,222.81536865234372,2762.5947265625,2184.041259765625,30640.486328125,86405.984375,86479.7734375,75213.7734375,97799.125,219711728,17141.65625,323.3703918457031,586.6113891601562,37507.0703125,37638.8359375,30061.8046875,39890.0078125,7965.63037109375,8320.517578125,8197.6416015625,9633.548828125,12595,27.68498039245605,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.96222305297852,19.375873565673828,1002.7775268554688,118681.640625,4.206418037414551,0,10739885,True,BME690,24387,0,0,0,10736086,24484,0,28.88400650024414,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:58:55.646,"{'cid': 'c44361f8-b46a-4d23-8a4b-296880c26626', 'uuid': 'a483c5c4-8bd7-4bb9-aa8f-0b31b209b2bb', 'annotationId': 'cf1db33d-f8d3-4c60-9f28-cc4647bf6edd', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334732211, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:58:52.429Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.23,16.33,300.0,303.07,000000000DFEC3B8,1600.0,1598.4,22450161.0,1400.0,1399.62,21470046.0,3700.0,3697.67,000000000DFEC3B1,0.0,0.0,0.09,22160332.0
