component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_813024,FLW0_813024,ANLT0_813024,FLW0_181225,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_364625,FLW0_364625,ANLT0_364625,T0_093225,H0_093225,SETP0_184324,FLW0_184324,ANLT0_184324
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7bb06484-3a19-40f0-bb64-084f175cb0bb,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,614.7980346679688,901.4469604492188,5959.41259765625,5775.60546875,5959.53857421875,5858.37646484375,10382.607421875,8467.9130859375,530.8548583984375,541.173583984375,2319.013671875,1391.0601806640625,9291.833984375,559.55908203125,1638.1904296875,942.9774169921876,1078.0367431640625,657.3347778320312,6314.37353515625,5870.44140625,151769.296875,72546.0859375,27255.177734375,18519.376953125,249.8745880126953,510.6329650878906,5367.197265625,565.3292236328125,133.14138793945312,136.30184936523438,982.7025756835938,3347.343505859375,329.47003173828125,309.81610107421875,251.8769378662109,198.20632934570312,1483.7396240234375,1379.8096923828125,736.9144897460938,1991.6925048828125,3924.803466796875,3689.47412109375,10900.2490234375,4964.75830078125,222.18002319335935,2752.659423828125,2183.75244140625,30550.939453125,86339.1875,86414.4921875,75157.5390625,97677.1796875,221599488,17132.318359375,321.5125427246094,582.8262939453125,37457.65625,37589.93359375,30040.125,39860.40234375,7957.2314453125,8311.806640625,8190.2587890625,9623.041015625,9640,27.765565872192383,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.829620361328125,19.3218936920166,1003.0028686523438,121814.1328125,4.163278102874756,0,11097015,True,BME690,25198,0,0,0,11096887,24484,0,28.41683006286621,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:04:52.710,"{'cid': 'bc77cee1-b6dd-4ec4-8ac2-32520ff0cbfc', 'uuid': '70a70deb-443e-4d46-9ed1-4944216d5761', 'annotationId': '7bb06484-3a19-40f0-bb64-084f175cb0bb', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773335092277, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:04:52.506Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3696.48,000000000DFEC3B1,1600.0,1594.0,22450161.0,-0.0,15.0,18.08,22160332.0,300.0,304.0,000000000DFEC3B8,22.92,16.12,1385.0,1384.0,21470046.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7bb06484-3a19-40f0-bb64-084f175cb0bb,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,614.9295043945312,901.5682373046876,5958.3974609375,5773.4189453125,5960.0322265625,5857.21826171875,10389.3466796875,8470.0869140625,530.2484130859375,540.621337890625,2316.92138671875,1391.7978515625,9240.9541015625,559.4844970703125,1639.3299560546875,943.5039672851562,1079.18994140625,658.0615234375,6318.0263671875,5880.0810546875,151741.140625,72534.875,27265.759765625,18524.97265625,249.89279174804688,510.3853759765625,5375.0087890625,564.1959228515625,133.10350036621094,136.23388671875,982.5938110351562,3343.3671875,329.4910583496094,309.8370666503906,251.86819458007807,198.2317352294922,1483.599365234375,1379.7982177734375,736.8388671875,1991.248291015625,3925.244873046875,3689.847900390625,10900.748046875,4964.66748046875,222.26858520507807,2748.54150390625,2182.33251953125,30475.84375,86336.734375,86412.390625,75169.0546875,97682.0078125,221242032,17151.8125,321.64385986328125,582.1769409179688,37488.08203125,37619.93359375,30043.5,39837.07421875,7956.60009765625,8311.6630859375,8190.09375,9621.1767578125,9941,27.68498039245605,29.37728881835937,0,0,0,0,0,0,0,0,0,0,0,1,23.829286575317383,19.321910858154297,1003.0054931640624,122634.7265625,4.163203239440918,0,11097455,True,BME690,25199,0,0,0,11096887,24484,0,28.41683006286621,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:04:53.008,"{'cid': 'bc77cee1-b6dd-4ec4-8ac2-32520ff0cbfc', 'uuid': '70a70deb-443e-4d46-9ed1-4944216d5761', 'annotationId': '7bb06484-3a19-40f0-bb64-084f175cb0bb', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773335092277, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:04:52.506Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3696.48,000000000DFEC3B1,1600.0,1594.0,22450161.0,-0.0,15.0,18.08,22160332.0,300.0,304.0,000000000DFEC3B8,22.92,16.12,1385.0,1384.0,21470046.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7bb06484-3a19-40f0-bb64-084f175cb0bb,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,614.9141235351562,901.652099609375,5958.19580078125,5775.91845703125,5960.0673828125,5858.8369140625,10385.3154296875,8468.5166015625,530.5995483398438,541.0503540039062,2311.166748046875,1391.2421875,9268.3408203125,559.3121337890625,1638.1915283203125,943.57373046875,1079.30224609375,657.9332885742188,6353.01171875,5877.00439453125,151747.625,72541.21875,27265.544921875,18520.7421875,249.78050231933597,509.9837036132813,5362.94287109375,564.4553833007812,133.08731079101562,136.23141479492188,982.7992553710938,3347.135986328125,329.4974670410156,309.867919921875,251.87481689453125,198.1878662109375,1483.7154541015625,1379.878173828125,736.8428344726562,1990.50048828125,3919.5556640625,3683.5556640625,10900.333984375,4964.52685546875,222.27493286132807,2743.250244140625,2181.0146484375,30373.94921875,86336.7890625,86413.9921875,75169.796875,97673.6796875,220839904,17054.79296875,321.7203063964844,581.6821899414062,37464.75390625,37597.24609375,30042.689453125,39823.18359375,7954.93310546875,8310.2197265625,8191.720703125,9623.57421875,10242,27.68498039245605,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.829286575317383,19.321910858154297,1003.0054931640624,122634.7265625,4.163203239440918,0,11097455,True,BME690,25199,0,0,0,11096887,24484,0,28.41683006286621,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:04:53.309,"{'cid': 'bc77cee1-b6dd-4ec4-8ac2-32520ff0cbfc', 'uuid': '70a70deb-443e-4d46-9ed1-4944216d5761', 'annotationId': '7bb06484-3a19-40f0-bb64-084f175cb0bb', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773335092277, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:04:52.506Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3697.51,000000000DFEC3B1,1600.0,1594.22,22450161.0,-0.0,15.0,17.78,22160332.0,300.0,303.65,000000000DFEC3B8,22.92,16.12,1385.0,1384.0,21470046.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7bb06484-3a19-40f0-bb64-084f175cb0bb,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,615.0130615234375,901.7881469726562,5957.6748046875,5772.47509765625,5960.33447265625,5857.6005859375,10385.6455078125,8470.2705078125,531.1036376953125,542.0730590820312,2304.836669921875,1391.10791015625,9308.173828125,559.4287719726562,1639.5723876953125,943.4525146484376,1079.4912109375,658.0594482421875,6357.49169921875,5878.70654296875,151797.171875,72539.1015625,27267.009765625,18515.638671875,249.79690551757807,509.8578186035156,5335.599609375,564.130126953125,133.14051818847656,136.2460479736328,983.05078125,3350.802001953125,329.49755859375,309.8192749023437,251.8954162597656,198.2133636474609,1483.839599609375,1379.8345947265625,736.8755493164062,1991.897216796875,3911.416748046875,3676.783447265625,10897.9248046875,4964.30859375,222.2415771484375,2751.607666015625,2178.404541015625,30451.34765625,86337.015625,86413.25,75167.7890625,97694.859375,220429456,17142.474609375,321.6461181640625,582.658447265625,37461.48828125,37594.35546875,30042.064453125,39813.78125,7957.14990234375,8310.884765625,8190.3935546875,9622.7099609375,10543,27.5238094329834,29.37728881835937,0,0,0,0,0,0,0,0,0,0,0,1,23.829620361328125,19.334062576293945,1003.0062255859376,122841.609375,4.165900707244873,0,11097895,True,BME690,25200,0,0,0,11096887,24484,0,28.41683006286621,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:04:53.610,"{'cid': 'bc77cee1-b6dd-4ec4-8ac2-32520ff0cbfc', 'uuid': '70a70deb-443e-4d46-9ed1-4944216d5761', 'annotationId': '7bb06484-3a19-40f0-bb64-084f175cb0bb', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773335092277, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:04:52.506Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3700.52,000000000DFEC3B1,1600.0,1594.9,22450161.0,-0.01,15.0,16.83,22160332.0,300.0,302.52,000000000DFEC3B8,22.92,16.12,1385.0,1384.0,21470046.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7bb06484-3a19-40f0-bb64-084f175cb0bb,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,614.556396484375,901.1787109375,5959.64892578125,5773.29736328125,5958.32763671875,5858.0458984375,10384.7607421875,8469.8466796875,530.365478515625,541.432373046875,2307.814453125,1392.5780029296875,9312.9267578125,559.5482788085938,1638.9686279296875,943.5609741210938,1079.09521484375,658.0771484375,6321.8291015625,5867.240234375,151733.84375,72545.703125,27272.0078125,18518.380859375,249.76687622070312,509.6852722167969,5354.83349609375,564.7489624023438,133.107666015625,136.2232208251953,985.5853881835938,3356.495849609375,329.5108337402344,309.83990478515625,251.869873046875,198.22206115722656,1483.7606201171875,1379.7130126953125,736.8800659179688,1991.4622802734373,3925.492431640625,3690.39794921875,10902.9765625,4964.59619140625,222.16253662109372,2752.142333984375,2186.166259765625,30414.05078125,86333.921875,86408.2734375,75172.6484375,97700.1484375,220105072,17056.41796875,321.592529296875,580.5291137695312,37459.15625,37591.00390625,30040.517578125,39842.0234375,7957.21484375,8311.83203125,8190.630859375,9622.9140625,10844,27.604394912719727,29.37728881835937,0,0,0,0,0,0,0,0,0,0,0,1,23.829620361328125,19.30972671508789,1003.0062255859376,122703.609375,4.160656929016113,0,11098335,True,BME690,25201,0,0,0,11096887,24484,0,28.41683006286621,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:04:53.912,"{'cid': 'bc77cee1-b6dd-4ec4-8ac2-32520ff0cbfc', 'uuid': '70a70deb-443e-4d46-9ed1-4944216d5761', 'annotationId': '7bb06484-3a19-40f0-bb64-084f175cb0bb', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773335092277, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:04:52.506Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3703.53,000000000DFEC3B1,1600.0,1595.58,22450161.0,-0.01,15.0,15.88,22160332.0,300.0,301.38,000000000DFEC3B8,22.93,16.12,1385.0,1384.0,21470046.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7bb06484-3a19-40f0-bb64-084f175cb0bb,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,615.42724609375,901.9734497070312,5960.0615234375,5777.4130859375,5959.3857421875,5858.14697265625,10388.4521484375,8469.1875,531.1261596679688,541.9317626953125,2308.403076171875,1391.554443359375,9319.0546875,559.5870971679688,1637.681884765625,943.7523803710938,1079.110107421875,658.4515991210938,6321.43310546875,5870.7822265625,151740.84375,72549.859375,27268.041015625,18515.947265625,249.8131866455078,509.8716430664063,5335.43505859375,564.39208984375,133.11680603027344,136.2388153076172,983.7708740234376,3356.072021484375,329.4473876953125,309.8442077636719,251.8278961181641,198.2516632080078,1483.81298828125,1379.806396484375,736.9752197265625,1991.02001953125,3931.16650390625,3694.79248046875,10902.271484375,4964.52587890625,222.1468811035156,2743.978271484375,2183.197021484375,30405.38671875,86330.578125,86406.1953125,75174.3046875,97700.7890625,219861584,17071.8203125,321.6231384277344,582.0740966796875,37468.8046875,37600.828125,30036.421875,39841.6171875,7957.267578125,8310.732421875,8189.76025390625,9626.087890625,11145,27.68498039245605,29.37728881835937,0,0,0,0,0,0,0,0,0,0,0,1,23.829620361328125,19.30972671508789,1003.0062255859376,122703.609375,4.160656929016113,0,11098335,True,BME690,25201,0,0,0,11096887,24484,0,28.41683006286621,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:04:54.215,"{'cid': 'bc77cee1-b6dd-4ec4-8ac2-32520ff0cbfc', 'uuid': '70a70deb-443e-4d46-9ed1-4944216d5761', 'annotationId': '7bb06484-3a19-40f0-bb64-084f175cb0bb', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773335092277, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:04:52.506Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3706.54,000000000DFEC3B1,1600.0,1596.26,22450161.0,-0.01,15.0,14.92,22160332.0,300.0,300.23,000000000DFEC3B8,22.93,16.12,1385.0,1384.0,21470046.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7bb06484-3a19-40f0-bb64-084f175cb0bb,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,614.9934692382812,901.7128295898438,5960.03515625,5773.12353515625,5957.59814453125,5858.0517578125,10386.47265625,8469.8857421875,530.0347290039062,541.0579833984375,2306.6787109375,1391.5738525390625,9315.80078125,559.5103759765625,1639.2890625,943.2960815429688,1078.559814453125,657.2506103515625,6323.28759765625,5862.66162109375,151764.296875,72545.375,27277.806640625,18517.40234375,249.83792114257807,510.2047424316406,5338.1474609375,564.4080810546875,133.1402130126953,136.24252319335938,985.134521484375,3354.949951171875,329.5106201171875,309.8711853027344,251.85247802734372,198.2324066162109,1483.7613525390625,1379.76025390625,736.9111328125,1991.545654296875,3916.4521484375,3682.53759765625,10900.6962890625,4964.42578125,222.21319580078125,2749.7646484375,2183.150390625,30497.01953125,86336.0859375,86411.4453125,75174.6875,97686.4296875,219625200,17044.58984375,321.55718994140625,581.3529052734375,37463.5234375,37595.3125,30045.228515625,39861.00390625,7958.25732421875,8312.34765625,8189.86767578125,9621.71484375,11446,27.68498039245605,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.829286575317383,19.33407974243164,1002.9490356445312,122703.609375,4.165825843811035,0,11098775,True,BME690,25202,0,0,0,11096887,24484,0,28.41683006286621,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:04:54.513,"{'cid': 'bc77cee1-b6dd-4ec4-8ac2-32520ff0cbfc', 'uuid': '70a70deb-443e-4d46-9ed1-4944216d5761', 'annotationId': '7bb06484-3a19-40f0-bb64-084f175cb0bb', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773335092277, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:04:52.506Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3706.28,000000000DFEC3B1,1600.0,1596.93,22450161.0,-0.01,15.0,14.89,22160332.0,300.0,299.36,000000000DFEC3B8,22.92,16.13,1385.0,1383.72,21470046.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7bb06484-3a19-40f0-bb64-084f175cb0bb,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,614.6746826171875,901.174072265625,5959.0615234375,5772.75830078125,5958.734375,5858.43701171875,10383.9755859375,8468.166015625,530.2904052734375,541.3884887695312,2309.191162109375,1391.4901123046875,9289.5146484375,559.480224609375,1638.1712646484375,943.3988647460938,1078.1878662109375,658.0404052734375,6332.74072265625,5868.013671875,151785.265625,72542.8359375,27271.052734375,18517.484375,249.71849060058597,509.3798828125,5349.5126953125,563.8294677734375,133.1275634765625,136.27223205566406,984.37109375,3358.469970703125,329.4770812988281,309.861328125,251.88031005859372,198.2056884765625,1483.7584228515625,1379.8348388671875,736.8412475585938,1991.5797119140625,3928.939697265625,3691.16552734375,10902.2314453125,4964.36376953125,222.09278869628903,2764.50537109375,2183.7109375,30516.84765625,86341.8671875,86417.09375,75173.859375,97694.8984375,219529680,17101.78515625,321.5501708984375,583.0328369140625,37470.828125,37602.20703125,30039.87890625,39814.30859375,7958.37109375,8313.4697265625,8188.52294921875,9624.3212890625,11747,27.68498039245605,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.82895278930664,19.334096908569336,1002.895263671875,122359.96875,4.165750503540039,0,11099215,True,BME690,25203,0,0,0,11096887,24484,0,28.41683006286621,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:04:54.814,"{'cid': 'bc77cee1-b6dd-4ec4-8ac2-32520ff0cbfc', 'uuid': '70a70deb-443e-4d46-9ed1-4944216d5761', 'annotationId': '7bb06484-3a19-40f0-bb64-084f175cb0bb', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773335092277, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:04:52.506Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3706.02,000000000DFEC3B1,1600.0,1597.61,22450161.0,-0.0,15.0,14.89,22160332.0,300.0,298.48,000000000DFEC3B8,22.92,16.15,1385.0,1383.43,21470046.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7bb06484-3a19-40f0-bb64-084f175cb0bb,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,614.99072265625,901.378173828125,5958.40673828125,5773.10986328125,5957.78515625,5857.72412109375,10382.1123046875,8469.197265625,530.0866088867188,540.6629028320312,2304.97802734375,1390.7127685546875,9282.5224609375,559.3871459960938,1636.9676513671875,943.7291259765624,1078.428955078125,658.025146484375,6326.51611328125,5863.453125,151754.03125,72551.2109375,27266.783203125,18519.484375,249.86392211914065,509.7625427246094,5348.0869140625,564.620361328125,133.11825561523438,136.24798583984375,984.4839477539062,3352.2421875,329.49859619140625,309.8387756347656,251.8463897705078,198.2181854248047,1483.6968994140625,1379.7620849609375,736.9217529296875,1992.0928955078125,3938.374267578125,3699.965576171875,10900.4052734375,4964.06689453125,222.16070556640625,2742.972412109375,2177.724609375,30509.146484375,86340.0078125,86415.234375,75169.5,97691.6640625,219519728,17093.240234375,321.537841796875,580.9141235351562,37454.74609375,37585.70703125,30042.607421875,39836.66015625,7958.16162109375,8312.474609375,8189.59423828125,9623.595703125,12048,27.68498039245605,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.82895278930664,19.334096908569336,1002.895263671875,122359.96875,4.165750503540039,0,11099215,True,BME690,25203,0,0,0,11096887,24484,0,28.41683006286621,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:04:55.115,"{'cid': 'bc77cee1-b6dd-4ec4-8ac2-32520ff0cbfc', 'uuid': '70a70deb-443e-4d46-9ed1-4944216d5761', 'annotationId': '7bb06484-3a19-40f0-bb64-084f175cb0bb', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773335092277, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:04:52.506Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3705.76,000000000DFEC3B1,1600.0,1598.28,22450161.0,-0.0,15.0,14.9,22160332.0,300.0,297.61,000000000DFEC3B8,22.91,16.16,1385.0,1383.15,21470046.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,7bb06484-3a19-40f0-bb64-084f175cb0bb,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,614.6470947265625,901.4500122070312,5959.107421875,5776.69970703125,5959.29638671875,5856.759765625,10387.216796875,8469.6796875,530.387451171875,541.43017578125,2310.364013671875,1390.7354736328125,9311.2880859375,559.405029296875,1637.062255859375,943.4826049804688,1078.8974609375,658.2533569335938,6317.419921875,5873.48095703125,151721.25,72544.578125,27273.595703125,18518.05859375,249.88619995117188,509.8308715820313,5365.76025390625,563.6843872070312,133.1245574951172,136.24713134765625,987.3441772460938,3358.09130859375,329.51678466796875,309.830078125,251.83692932128903,198.19924926757807,1483.603759765625,1379.7724609375,736.9513549804688,1992.4400634765625,3927.1796875,3691.78173828125,10896.2998046875,4964.41552734375,222.1492156982422,2742.881591796875,2183.25146484375,30547.728515625,86331.5234375,86406.8359375,75175.8359375,97690.8125,219420736,17100.03515625,321.5552978515625,582.3345336914062,37459.9140625,37592.26953125,30035.12890625,39850.7265625,7957.677734375,8312.169921875,8189.25439453125,9625.51953125,12349,27.604394912719727,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.829286575317383,19.34016227722168,1002.8529052734376,122565.921875,4.167135715484619,0,11099656,True,BME690,25204,0,0,0,11096887,24484,0,28.41683006286621,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 27, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 17:04:55.416,"{'cid': 'bc77cee1-b6dd-4ec4-8ac2-32520ff0cbfc', 'uuid': '70a70deb-443e-4d46-9ed1-4944216d5761', 'annotationId': '7bb06484-3a19-40f0-bb64-084f175cb0bb', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773335092277, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T17:04:52.506Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3704.86,000000000DFEC3B1,1600.0,1598.96,22450161.0,-0.0,15.0,14.91,22160332.0,300.0,298.66,000000000DFEC3B8,22.91,16.18,1385.0,1383.17,21470046.0
