component_sn,sn,d,t,SETP0,FLW0,ANLT0,event_name
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:21.574Z,E,0,1.7578,000000000DFEC3B8,pre-baseline
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:22.586Z,E,300.0,295.1172,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:23.593Z,E,300.0,303.418,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:24.602Z,E,300.0,296.2891,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:25.611Z,E,300.0,300.0,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:26.620Z,E,300.0,300.6836,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:27.629Z,E,300.0,300.293,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:28.637Z,E,300.0,296.875,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:29.646Z,E,300.0,302.6367,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:30.655Z,E,300.0,300.8789,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:31.663Z,E,300.0,294.9219,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:32.672Z,E,300.0,293.2617,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:33.681Z,E,300.0,303.8086,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:34.689Z,E,300.0,302.2461,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:35.698Z,E,300.0,302.0508,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:36.707Z,E,300.0,302.6367,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:37.715Z,E,300.0,304.5898,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:38.725Z,E,300.0,295.9961,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:39.733Z,E,300.0,292.8711,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:40.742Z,E,300.0,300.3906,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:41.751Z,E,300.0,297.0703,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:42.759Z,E,300.0,303.0273,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:43.768Z,E,300.0,297.0703,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:44.777Z,E,300.0,307.1289,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:45.786Z,E,300.0,300.6836,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:46.794Z,E,300.0,303.8086,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:47.802Z,E,300.0,301.1719,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:48.812Z,E,300.0,304.3945,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:49.820Z,E,300.0,298.8281,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:50.829Z,E,300.0,295.2148,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:51.837Z,E,300.0,298.2422,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:52.846Z,E,300.0,304.1992,000000000DFEC3B8,AmbientSamplingRFC
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:53.855Z,E,300.0,297.5586,000000000DFEC3B8,BreathSampleCollection
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:54.863Z,E,300.0,297.168,000000000DFEC3B8,BreathSampleCollection
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:55.872Z,E,300.0,302.832,000000000DFEC3B8,BreathSampleCollection
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:56.881Z,E,300.0,300.8789,000000000DFEC3B8,BreathSampleCollection
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:57.889Z,E,300.0,297.8516,000000000DFEC3B8,BreathSampleCollection
0000000036-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:51:58.899Z,E,300.0,299.2187,000000000DFEC3B8,BreathSampleCollection
