component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_454625,FLW0_454625,ANLT0_454625,FLW0_181225,SETP0_184225,FLW0_184225,ANLT0_184225
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,14708c35-1ed2-4408-8c2f-c0911a976127,8ace83d2-b948-4266-8dcc-696a43a086a8,465.7457885742188,610.7222290039062,5042.05712890625,5464.955078125,5451.51123046875,5434.93408203125,7452.0419921875,6617.19482421875,208.15948486328125,181161648,3164.745849609375,23866.92578125,199.69293212890625,2379.025634765625,2562.507080078125,2778.103271484375,153.0963134765625,2752.022705078125,2312.400634765625,13133.03125,137701.796875,71201.1875,27057.236328125,21591.73046875,107.7151107788086,117.55457305908205,759.117919921875,436.9724426269531,215.03396606445312,1048.053955078125,298.61669921875,139.97073364257812,470.6531066894531,397.30511474609375,423.2235107421875,268.15875244140625,2528.833984375,2184.97119140625,710.0167846679688,810.2159423828125,352.6464233398437,26802.255859375,13948.6669921875,7628.43798828125,1908.468994140625,174461504,1194.5980224609375,460.7081909179688,65659.046875,65810.8671875,59787.16015625,79829.234375,327.2781982421875,21197.759765625,360.39752197265625,298.03936767578125,21138.595703125,23120.400390625,20672.619140625,22706.5859375,9289.525390625,8830.072265625,8428.478515625,7758.31982421875,9461,27.04029083251953,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.562746047973636,20.563364028930664,993.0133056640624,296341.84375,4.36413049697876,0,11560716,True,BME690,26246,0,0,0,11558911,24484,0,31.41975975036621,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 22, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:56:22.658,"{'cid': '6afc9537-e6bd-4255-a1d9-2c9ceb3f1e66', 'uuid': 'd6afe76c-d638-4dfb-bfa5-179bc3fa205d', 'annotationId': '14708c35-1ed2-4408-8c2f-c0911a976127', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680182099, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:56:22.399Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.56,17.72,1250.0,1252.4,21470046.0,300.0,301.17,000000000DFEC3B8,1600.0,1599.44,22450161.0,3700.0,3697.85,000000000DFEC3B1,-0.01,150.0,149.53,22160332.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,14708c35-1ed2-4408-8c2f-c0911a976127,8ace83d2-b948-4266-8dcc-696a43a086a8,466.1371154785156,610.65380859375,5041.78466796875,5463.77587890625,5451.08251953125,5434.94580078125,7451.87646484375,6616.40478515625,208.2517547607422,180945072,3162.362548828125,23640.1328125,199.65115356445312,2385.397216796875,2560.219482421875,2776.0107421875,153.10528564453125,2758.67431640625,2315.671630859375,13261.2763671875,137705.046875,71210.1796875,27062.3359375,21592.390625,107.74301147460938,117.54347229003906,758.8827514648438,436.7210998535156,215.0414886474609,1046.300048828125,298.7007141113281,139.94252014160156,470.6915893554688,397.3238220214844,423.3043212890625,268.1445617675781,2527.741455078125,2185.2783203125,709.9609985351562,810.1821899414062,352.7195739746094,26796.841796875,13953.998046875,7628.236328125,1907.8626708984373,174512112,1194.1883544921875,460.5853576660156,65659.4609375,65799.328125,59798.34765625,79823.515625,327.03125,21156.912109375,360.4154052734375,298.14764404296875,21143.564453125,23120.822265625,20671.755859375,22707.6640625,9288.701171875,8824.015625,8428.98828125,7757.70849609375,10063,27.120880126953125,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.562746047973636,20.563364028930664,993.014892578125,295340.25,4.36413049697876,0,11561597,True,BME690,26248,0,0,0,11558911,24484,0,31.41975975036621,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 22, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:56:23.261,"{'cid': '6afc9537-e6bd-4255-a1d9-2c9ceb3f1e66', 'uuid': 'd6afe76c-d638-4dfb-bfa5-179bc3fa205d', 'annotationId': '14708c35-1ed2-4408-8c2f-c0911a976127', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680182099, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:56:22.399Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.56,17.77,1250.0,1252.06,21470046.0,300.0,302.19,000000000DFEC3B8,1600.0,1599.1,22450161.0,3700.0,3698.12,000000000DFEC3B1,-0.01,150.0,149.59,22160332.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,14708c35-1ed2-4408-8c2f-c0911a976127,8ace83d2-b948-4266-8dcc-696a43a086a8,466.1274719238281,610.7199096679688,5040.98291015625,5464.11669921875,5451.67578125,5434.66943359375,7452.548828125,6615.85498046875,208.30111694335935,180940688,3163.939453125,23785.5,199.6535186767578,2382.197021484375,2555.0830078125,2772.886962890625,153.11312866210938,2746.947998046875,2306.203857421875,13253.28125,137683.9375,71185.96875,27064.5234375,21585.484375,107.71781158447266,117.58475494384766,758.8749389648438,436.7418212890625,215.02874755859372,1046.511474609375,298.78643798828125,139.90972900390625,470.7403259277344,397.2552795410156,423.3041687011719,268.1256408691406,2529.7841796875,2185.33544921875,710.019775390625,810.2377319335938,352.7175598144531,26793.576171875,13951.08984375,7628.15283203125,1907.0615234375,175601056,1193.6142578125,460.2852783203125,65658.03125,65810.921875,59786.4921875,79818.2109375,327.38848876953125,21145.078125,360.6239318847656,298.4793701171875,21145.111328125,23120.603515625,20673.029296875,22706.990234375,9288.8427734375,8822.9462890625,8428.3359375,7757.41259765625,10365,27.120880126953125,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.562746047973636,20.56930160522461,993.014892578125,295340.25,4.365390777587891,0,11562037,True,BME690,26249,0,0,0,11558911,24484,0,31.41975975036621,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 22, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:56:23.564,"{'cid': '6afc9537-e6bd-4255-a1d9-2c9ceb3f1e66', 'uuid': 'd6afe76c-d638-4dfb-bfa5-179bc3fa205d', 'annotationId': '14708c35-1ed2-4408-8c2f-c0911a976127', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680182099, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:56:22.399Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.56,17.82,1250.0,1251.62,21470046.0,300.0,303.48,000000000DFEC3B8,1600.0,1598.67,22450161.0,3700.0,3698.47,000000000DFEC3B1,-0.01,150.0,149.67,22160332.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,14708c35-1ed2-4408-8c2f-c0911a976127,8ace83d2-b948-4266-8dcc-696a43a086a8,466.4103088378906,610.7157592773438,5041.068359375,5463.95068359375,5452.3857421875,5435.04052734375,7452.23095703125,6616.73193359375,208.4559631347656,180974848,3160.165283203125,23773.119140625,199.684326171875,2379.218017578125,2564.964599609375,2772.04443359375,153.13719177246094,2759.455322265625,2310.5703125,13494.892578125,137701.515625,71196.0703125,27059.78515625,21586.828125,107.68045806884766,117.5332260131836,759.557861328125,436.72509765625,215.04437255859372,1046.090087890625,298.85565185546875,139.9398193359375,470.6798400878906,397.26995849609375,423.44677734375,268.0699157714844,2528.873779296875,2184.757080078125,710.0258178710938,810.1788330078125,352.7898254394531,26793.40625,13951.333984375,7628.3720703125,1910.36376953125,175478032,1194.1868896484375,460.3726196289063,65662.625,65811.4296875,59787.20703125,79823.5546875,326.9646911621094,21046.07421875,361.0226135253906,298.62310791015625,21140.29296875,23122.484375,20673.099609375,22706.41796875,9288.3916015625,8826.787109375,8428.6962890625,7757.92578125,10665,27.120880126953125,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.562746047973636,20.56930160522461,993.014892578125,295340.25,4.365390777587891,0,11562037,True,BME690,26249,0,0,0,11558911,24484,0,31.41975975036621,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 22, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:56:23.862,"{'cid': '6afc9537-e6bd-4255-a1d9-2c9ceb3f1e66', 'uuid': 'd6afe76c-d638-4dfb-bfa5-179bc3fa205d', 'annotationId': '14708c35-1ed2-4408-8c2f-c0911a976127', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680182099, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:56:22.399Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.56,17.87,1250.0,1251.2,21470046.0,300.0,304.75,000000000DFEC3B8,1600.0,1598.24,22450161.0,3700.0,3698.82,000000000DFEC3B1,-0.01,150.0,149.76,22160332.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,14708c35-1ed2-4408-8c2f-c0911a976127,8ace83d2-b948-4266-8dcc-696a43a086a8,465.9712829589844,610.2925415039062,5041.95849609375,5464.24609375,5451.1904296875,5434.36279296875,7451.92041015625,6618.01513671875,208.2923126220703,181093120,3163.037353515625,23759.294921875,199.6768798828125,2378.418212890625,2557.9208984375,2771.12744140625,153.1541290283203,2752.539306640625,2308.968505859375,13216.5048828125,137692.5625,71209.90625,27055.09375,21585.6953125,107.68690490722656,117.52798461914062,759.6171875,436.4781799316406,215.0492248535156,1048.009033203125,298.7698974609375,139.93585205078125,470.6257934570313,397.2648010253906,423.3798828125,268.08837890625,2529.2470703125,2184.5888671875,710.036376953125,810.1687622070312,352.703369140625,26786.484375,13952.2890625,7628.275390625,1905.7713623046875,175470272,1194.817626953125,460.7456665039063,65652.390625,65819.5625,59782.8515625,79813.4921875,326.8641967773437,21030.107421875,360.8908386230469,298.3807678222656,21142.533203125,23121.8359375,20674.4140625,22705.955078125,9289.9658203125,8827.4814453125,8428.7451171875,7757.91748046875,10966,27.201465606689453,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.562414169311523,20.57525634765625,993.01416015625,294941.5,4.366572380065918,0,11562477,True,BME690,26250,0,0,0,11558911,24484,0,31.41975975036621,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 22, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:56:24.165,"{'cid': '6afc9537-e6bd-4255-a1d9-2c9ceb3f1e66', 'uuid': 'd6afe76c-d638-4dfb-bfa5-179bc3fa205d', 'annotationId': '14708c35-1ed2-4408-8c2f-c0911a976127', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680182099, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:56:22.399Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.56,17.88,1250.0,1250.77,21470046.0,300.0,304.49,000000000DFEC3B8,1600.0,1598.24,22450161.0,3700.0,3699.19,000000000DFEC3B1,-0.01,150.0,149.82,22160332.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,14708c35-1ed2-4408-8c2f-c0911a976127,8ace83d2-b948-4266-8dcc-696a43a086a8,466.1059265136719,610.1576538085938,5041.44482421875,5463.591796875,5451.64501953125,5434.837890625,7451.95166015625,6616.642578125,208.3454132080078,183039872,3157.66455078125,23775.962890625,199.61627197265625,2376.748046875,2558.632568359375,2772.17236328125,153.1102752685547,2759.11962890625,2318.104736328125,13170.8310546875,137719.578125,71203.59375,27057.322265625,21590.947265625,107.69236755371094,117.55764770507812,760.57666015625,436.7735290527344,215.0425720214844,1045.5987548828125,298.739013671875,139.96002197265625,470.5980529785156,397.3077087402344,423.3785095214844,268.05694580078125,2528.866943359375,2184.145751953125,710.009765625,810.2467041015625,352.6903076171875,26786.75,13951.166015625,7628.39306640625,1907.451904296875,175244432,1193.528564453125,460.6515197753906,65643.34375,65814.5390625,59778.89453125,79803.2890625,326.6908874511719,21190.341796875,360.8602600097656,298.3642883300781,21147.84375,23122.578125,20674.556640625,22706.8203125,9286.814453125,8825.0888671875,8429.3212890625,7758.28369140625,11268,27.120880126953125,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.562414169311523,20.563379287719727,992.9266967773438,295340.25,4.364051818847656,0,11562918,True,BME690,26251,0,0,0,11558911,24484,0,31.41975975036621,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 22, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:56:24.466,"{'cid': '6afc9537-e6bd-4255-a1d9-2c9ceb3f1e66', 'uuid': 'd6afe76c-d638-4dfb-bfa5-179bc3fa205d', 'annotationId': '14708c35-1ed2-4408-8c2f-c0911a976127', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680182099, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:56:22.399Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.56,17.87,1250.0,1250.34,21470046.0,300.0,302.3,000000000DFEC3B8,1600.0,1598.79,22450161.0,3700.0,3699.6,000000000DFEC3B1,-0.01,150.0,149.84,22160332.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,14708c35-1ed2-4408-8c2f-c0911a976127,8ace83d2-b948-4266-8dcc-696a43a086a8,465.3310546875,610.2556762695312,5042.38427734375,5463.87548828125,5452.306640625,5435.31787109375,7452.662109375,6616.39794921875,208.2696685791016,182605648,3165.421142578125,23765.421875,199.5176239013672,2379.81982421875,2558.597412109375,2770.675537109375,153.1389617919922,2750.32421875,2318.440185546875,13172.9814453125,137707.25,71205.140625,27067.1328125,21584.2421875,107.7119369506836,117.572509765625,758.7808837890625,436.73834228515625,215.0675506591797,1048.37548828125,298.802001953125,139.92539978027344,470.59857177734375,397.2872009277344,423.2868041992188,268.1358642578125,2529.041748046875,2184.863037109375,710.0332641601562,810.2069702148438,352.74200439453125,26812.982421875,13949.2978515625,7628.0380859375,1908.402587890625,175060272,1196.0438232421875,460.3328552246094,65646.671875,65816.453125,59780.4609375,79829.1328125,326.64752197265625,21066.1328125,360.3606567382813,298.1322937011719,21141.978515625,23123.9296875,20674.181640625,22706.013671875,9289.5341796875,8824.9013671875,8428.9794921875,7757.681640625,11870,27.120880126953125,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.56208038330078,20.56339454650879,992.85009765625,295740.09375,4.3639726638793945,0,11563358,True,BME690,26252,0,0,0,11558911,24484,0,31.41975975036621,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 22, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:56:25.073,"{'cid': '6afc9537-e6bd-4255-a1d9-2c9ceb3f1e66', 'uuid': 'd6afe76c-d638-4dfb-bfa5-179bc3fa205d', 'annotationId': '14708c35-1ed2-4408-8c2f-c0911a976127', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680182099, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:56:22.399Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.56,17.84,1250.0,1249.5,21470046.0,300.0,298.37,000000000DFEC3B8,1600.0,1599.84,22450161.0,3700.0,3700.42,000000000DFEC3B1,-0.01,150.0,149.89,22160332.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,14708c35-1ed2-4408-8c2f-c0911a976127,8ace83d2-b948-4266-8dcc-696a43a086a8,465.8803405761719,610.2759399414062,5041.181640625,5462.65185546875,5451.74609375,5434.63232421875,7452.23779296875,6616.083984375,208.3025054931641,180992352,3169.84814453125,23827.3359375,199.6265563964844,2383.4599609375,2559.18505859375,2774.65771484375,153.11509704589844,2754.869384765625,2319.634521484375,13136.1474609375,137712.984375,71201.4140625,27058.69921875,21588.642578125,107.69805908203124,117.56368255615234,759.8742065429688,436.5517272949219,215.0464630126953,1046.5498046875,298.7218933105469,139.9480743408203,470.6868286132813,397.2959899902344,423.3244323730469,268.1360168457031,2528.533447265625,2186.12548828125,709.9337158203125,810.191650390625,352.7353820800781,26784.66796875,13952.1552734375,7627.73095703125,1903.1435546875,174866192,1196.559814453125,460.588623046875,65654.1484375,65821.6640625,59788.77734375,79827.9140625,327.3819274902344,21035.515625,360.61669921875,298.2476806640625,21138.841796875,23121.98046875,20672.44140625,22707.216796875,9289.625,8823.3681640625,8429.2724609375,7757.94091796875,12171,27.120880126953125,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.561748504638672,20.56934928894043,992.7833862304688,296140.96875,4.365153789520264,0,11563799,True,BME690,26253,0,0,0,11558911,24484,0,31.41975975036621,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 22, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:56:25.369,"{'cid': '6afc9537-e6bd-4255-a1d9-2c9ceb3f1e66', 'uuid': 'd6afe76c-d638-4dfb-bfa5-179bc3fa205d', 'annotationId': '14708c35-1ed2-4408-8c2f-c0911a976127', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680182099, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:56:22.399Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.56,17.77,1250.0,1249.36,21470046.0,300.0,300.35,000000000DFEC3B8,1600.0,1599.84,22450161.0,3700.0,3700.76,000000000DFEC3B1,-0.01,150.0,149.83,22160332.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,14708c35-1ed2-4408-8c2f-c0911a976127,8ace83d2-b948-4266-8dcc-696a43a086a8,465.841552734375,610.3040161132812,5042.251953125,5461.5615234375,5452.08984375,5434.60498046875,7451.642578125,6617.75341796875,208.36949157714844,180963376,3165.15625,23819.32421875,199.55555725097656,2380.220703125,2552.49462890625,2776.5859375,153.1004638671875,2748.341064453125,2316.322998046875,13082.6005859375,137728.921875,71188.6875,27058.3125,21582.990234375,107.73662567138672,117.5652847290039,758.5614013671875,436.39349365234375,215.0645446777344,1048.1727294921875,298.7693176269531,139.94833374023438,470.659423828125,397.3670349121094,423.4420776367188,268.1437072753906,2529.714599609375,2185.59765625,709.9804077148438,810.238525390625,352.7303466796875,26748.166015625,13952.4814453125,7627.7138671875,1907.314697265625,174597104,1196.2432861328125,460.6570739746094,65658.1328125,65821.1015625,59782.0234375,79814.5859375,326.8890686035156,20981.626953125,360.3918151855469,297.8160705566406,21138.037109375,23126.830078125,20672.857421875,22706.564453125,9290.533203125,8824.0498046875,8428.43359375,7758.40087890625,12472,26.959705352783203,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.561748504638672,20.56934928894043,992.7833862304688,296140.96875,4.365153789520264,0,11563799,True,BME690,26253,0,0,0,11563914,24484,0,32.7519416809082,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 22, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:56:25.670,"{'cid': '6afc9537-e6bd-4255-a1d9-2c9ceb3f1e66', 'uuid': 'd6afe76c-d638-4dfb-bfa5-179bc3fa205d', 'annotationId': '14708c35-1ed2-4408-8c2f-c0911a976127', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680182099, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:56:22.399Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.55,17.71,1250.0,1249.22,21470046.0,300.0,302.36,000000000DFEC3B8,1600.0,1599.84,22450161.0,3700.0,3701.11,000000000DFEC3B1,-0.01,150.0,149.76,22160332.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,14708c35-1ed2-4408-8c2f-c0911a976127,8ace83d2-b948-4266-8dcc-696a43a086a8,466.3473815917969,610.5802612304688,5041.509765625,5462.47802734375,5451.90283203125,5434.5673828125,7451.64697265625,6615.880859375,208.3736114501953,181086944,3158.659912109375,23940.599609375,199.521240234375,2378.258056640625,2562.811767578125,2779.620849609375,153.14471435546875,2755.55078125,2317.8515625,13073.4482421875,137725.703125,71182.0546875,27054.857421875,21586.626953125,107.71713256835938,117.58651733398438,758.3118286132812,436.4336242675781,215.0176239013672,1048.5601806640625,298.6292419433594,139.91786193847656,470.6661071777344,397.3219299316406,423.4606018066406,268.0854797363281,2529.702880859375,2185.5205078125,709.9918212890625,810.1806030273438,352.6645812988281,26713.919921875,13946.5048828125,7627.3955078125,1906.337646484375,174524688,1195.988037109375,461.0057067871094,65656.78125,65820.9296875,59792.64453125,79803.7421875,326.81890869140625,21002.703125,360.49310302734375,298.060302734375,21140.15234375,23124.734375,20672.876953125,22706.279296875,9290.5400390625,8822.0107421875,8428.3466796875,7757.41650390625,12773,27.120880126953125,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.56141471862793,20.56936454772949,992.7232055664062,295940.40625,4.365074634552002,0,11564239,True,BME690,26254,0,0,0,11563914,24484,0,32.7519416809082,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 22, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 16:56:25.973,"{'cid': '6afc9537-e6bd-4255-a1d9-2c9ceb3f1e66', 'uuid': 'd6afe76c-d638-4dfb-bfa5-179bc3fa205d', 'annotationId': '14708c35-1ed2-4408-8c2f-c0911a976127', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680182099, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T16:56:22.399Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.55,17.64,1250.0,1249.08,21470046.0,300.0,304.38,000000000DFEC3B8,1600.0,1599.84,22450161.0,3700.0,3701.46,000000000DFEC3B1,-0.01,150.0,149.7,22160332.0
