component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_184225,FLW0_184225,ANLT0_184225,FLW0_181225
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dc99b29b-5d4a-42ee-90b1-e0345e61f506,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,199.48614501953125,1035.339111328125,5.62788724899292,5991.392578125,6423.93505859375,4522.48291015625,7833.86328125,6991.40771484375,976.8453369140624,17250.0625,724.1182861328125,684.0120849609375,579.9719848632812,690.0966186523438,580.18017578125,827.7623291015625,337.5041198730469,3079.313720703125,1453.831298828125,479.4933776855469,64043.3359375,46415.7265625,15349.720703125,14389.5673828125,481.5472717285156,148.09130859375,386.9614868164063,296.092041015625,118.60623168945312,142.08316040039062,139.18179321289062,171.53976440429688,341.9754333496094,301.2330017089844,315.41033935546875,279.6644287109375,1493.7664794921875,1147.843017578125,440.9482421875,544.8232421875,371.5131530761719,759.6192016601562,14369.1572265625,14783.11328125,442.68548583984375,1154.27490234375,459.610595703125,196.73069763183597,50773.18359375,49841.15625,52690.45703125,56391.9375,229.2269592285156,556.9518432617188,407.9309997558594,273.0876770019531,18644.4921875,17280.498046875,14588.365234375,16488.271484375,8065.5654296875,8502.3134765625,8615.5869140625,7622.67724609375,9517,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.414819717407227,20.166248321533203,1010.5103149414062,198173.578125,4.24398946762085,0,10643535,True,BME690,24172,0,0,0,10639030,24484,0,24.44831085205078,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:29:52.594,"{'cid': '71f6242c-7655-42cc-8bb7-91ed189a51f4', 'uuid': '721d6223-92df-4ce3-a1de-696982d7f5ab', 'annotationId': 'dc99b29b-5d4a-42ee-90b1-e0345e61f506', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415792000, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:29:52.223Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.7,15.84,1385.0,1383.2,21470046.0,300.0,298.83,000000000DFEC3B8,1600.0,1594.32,22450161.0,3700.0,3699.71,000000000DFEC3B1,15.0,17.84,22160332.0,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dc99b29b-5d4a-42ee-90b1-e0345e61f506,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,199.46763610839844,1034.8984375,5.621699333190918,5990.98779296875,6424.3720703125,4521.603515625,7833.33203125,6991.46435546875,972.82275390625,17259.470703125,724.0784912109375,684.3211669921875,579.9458618164062,690.9365844726562,580.0623168945312,829.0315551757812,337.50848388671875,3094.3037109375,1454.5321044921875,479.1482543945313,64039.5390625,46416.30078125,15348.2421875,14387.8349609375,481.6015319824219,148.1102752685547,387.21099853515625,296.115478515625,118.59793853759766,142.0543670654297,139.21664428710938,171.50465393066406,342.0292358398437,301.2431640625,315.4201354980469,279.6093139648437,1493.677734375,1147.812255859375,440.9830017089844,544.8642578125,371.5237731933594,758.785888671875,14372.9541015625,14788.2099609375,442.6092224121094,1152.5943603515625,459.5695495605469,196.8616485595703,50773.5859375,49839.796875,52695.29296875,56386.21484375,229.260009765625,556.9756469726562,407.9314270019531,273.0583190917969,18640.794921875,17281.357421875,14589.5625,16491.169921875,8065.455078125,8501.2626953125,8615.2509765625,7622.615234375,9818,27.201465606689453,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.414819717407227,20.166248321533203,1010.5103149414062,198173.578125,4.24398946762085,0,10643535,True,BME690,24172,0,0,0,10639030,24484,0,24.44831085205078,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:29:52.898,"{'cid': '71f6242c-7655-42cc-8bb7-91ed189a51f4', 'uuid': '721d6223-92df-4ce3-a1de-696982d7f5ab', 'annotationId': 'dc99b29b-5d4a-42ee-90b1-e0345e61f506', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415792000, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:29:52.223Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.7,15.84,1385.0,1383.2,21470046.0,300.0,298.83,000000000DFEC3B8,1600.0,1594.32,22450161.0,3700.0,3699.71,000000000DFEC3B1,15.0,17.84,22160332.0,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dc99b29b-5d4a-42ee-90b1-e0345e61f506,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,199.53128051757807,1034.35302734375,5.615484714508057,5991.00244140625,6424.65283203125,4522.85595703125,7833.85986328125,6991.4990234375,973.1447143554688,17299.38671875,724.058837890625,683.2467041015625,580.000732421875,690.3033447265625,580.3043823242188,827.1865844726562,337.3016052246094,3097.269775390625,1454.0250244140625,478.8466796875,64051.5546875,46416.30859375,15349.07421875,14388.8203125,482.1165771484375,148.12351989746094,387.06787109375,296.1190185546875,118.60183715820312,142.0619659423828,139.16970825195312,171.4805145263672,341.9742126464844,301.2308349609375,315.4030456542969,279.6562805175781,1493.7301025390625,1147.77880859375,441.0147399902344,544.8129272460938,371.5602722167969,759.07080078125,14373.654296875,14782.9912109375,443.02630615234375,1153.4090576171875,459.9443054199219,196.76031494140625,50771.625,49835.484375,52694.640625,56384.49609375,229.20208740234372,557.2404174804688,408.03216552734375,273.0029296875,18647.330078125,17280.45703125,14589.5791015625,16490.466796875,8065.60693359375,8502.0263671875,8615.3876953125,7622.61376953125,10120,27.44322204589844,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.414819717407227,20.166248321533203,1010.5103149414062,198173.578125,4.24398946762085,0,10643975,True,BME690,24173,0,0,0,10644033,24484,0,24.087984085083008,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:29:53.198,"{'cid': '71f6242c-7655-42cc-8bb7-91ed189a51f4', 'uuid': '721d6223-92df-4ce3-a1de-696982d7f5ab', 'annotationId': 'dc99b29b-5d4a-42ee-90b1-e0345e61f506', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415792000, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:29:52.223Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.69,15.85,1385.0,1383.38,21470046.0,300.0,299.25,000000000DFEC3B8,1600.0,1595.55,22450161.0,3700.0,3699.33,000000000DFEC3B1,15.0,17.05,22160332.0,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dc99b29b-5d4a-42ee-90b1-e0345e61f506,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,199.48719787597656,1036.021240234375,5.628036022186279,5991.09716796875,6423.96533203125,4522.98681640625,7833.673828125,6990.66943359375,974.1405639648438,17268.55078125,723.7066040039062,682.756591796875,580.3713989257812,690.1292724609375,579.903564453125,829.4412231445312,337.4825134277344,3086.631103515625,1455.22265625,478.9774169921875,64048.1640625,46415.05859375,15348.69921875,14390.5869140625,481.8319091796875,148.10284423828125,387.1674499511719,296.0621643066406,118.59880065917967,142.0968780517578,139.22103881835938,171.47308349609375,341.9924011230469,301.2187194824219,315.3666076660156,279.6596984863281,1493.622802734375,1147.8057861328125,440.9476013183594,544.833251953125,371.51654052734375,759.0755615234375,14372.6953125,14790.556640625,442.5497131347656,1154.14404296875,460.1021728515625,196.8282623291016,50775.8203125,49840.76171875,52696.2265625,56386.0546875,229.220458984375,557.2328491210938,407.8433227539063,272.8705749511719,18639.93359375,17281.015625,14589.5146484375,16488.521484375,8065.89501953125,8502.5693359375,8614.7255859375,7622.7255859375,10421,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.414819717407227,20.172340393066406,1010.5086059570312,197814.65625,4.2452712059021,0,10644415,True,BME690,24174,0,0,0,10644033,24484,0,24.087984085083008,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:29:53.499,"{'cid': '71f6242c-7655-42cc-8bb7-91ed189a51f4', 'uuid': '721d6223-92df-4ce3-a1de-696982d7f5ab', 'annotationId': 'dc99b29b-5d4a-42ee-90b1-e0345e61f506', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415792000, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:29:52.223Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.69,15.86,1385.0,1383.57,21470046.0,300.0,299.72,000000000DFEC3B8,1600.0,1596.91,22450161.0,3700.0,3698.91,000000000DFEC3B1,15.0,16.16,22160332.0,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dc99b29b-5d4a-42ee-90b1-e0345e61f506,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,199.4847869873047,1036.0831298828125,5.6279706954956055,5991.2109375,6424.3681640625,4522.83056640625,7833.7412109375,6990.66455078125,972.7637329101562,17240.296875,724.0734252929688,683.553466796875,580.4429931640625,690.6934204101562,579.9942626953125,829.430908203125,337.3046264648437,3099.158203125,1454.2950439453125,479.5228576660156,64044.41015625,46414.37890625,15348.43359375,14389.134765625,482.0398559570313,148.0975341796875,387.32330322265625,296.2387390136719,118.59821319580078,142.0874786376953,139.2054901123047,171.50099182128906,341.9945068359375,301.2786865234375,315.3572692871094,279.6274108886719,1493.6990966796875,1147.8243408203125,440.9771728515625,544.8568115234375,371.3871765136719,759.7433471679688,14371.849609375,14788.0068359375,443.51898193359375,1155.0467529296875,459.8124694824219,196.8527374267578,50773.74609375,49840.73046875,52697.66015625,56388.58203125,229.21896362304688,557.2922973632812,407.8272399902344,272.999755859375,18640.197265625,17281.79296875,14588.986328125,16489.17578125,8065.68505859375,8502.4013671875,8615.23828125,7622.70751953125,10722,27.604394912719727,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.414819717407227,20.172340393066406,1010.5086059570312,197814.65625,4.2452712059021,0,10644415,True,BME690,24174,0,0,0,10644033,24484,0,24.087984085083008,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:29:53.800,"{'cid': '71f6242c-7655-42cc-8bb7-91ed189a51f4', 'uuid': '721d6223-92df-4ce3-a1de-696982d7f5ab', 'annotationId': 'dc99b29b-5d4a-42ee-90b1-e0345e61f506', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415792000, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:29:52.223Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.68,15.87,1385.0,1383.76,21470046.0,300.0,300.18,000000000DFEC3B8,1600.0,1598.27,22450161.0,3700.0,3698.48,000000000DFEC3B1,15.0,15.27,22160332.0,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dc99b29b-5d4a-42ee-90b1-e0345e61f506,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,199.4989013671875,1031.5491943359375,5.622965335845947,5990.93896484375,6424.06298828125,4522.8916015625,7834.33984375,6991.09716796875,971.5477294921876,17317.740234375,723.839111328125,683.3016967773438,580.1442260742188,690.6770629882812,580.4583740234375,828.7982177734375,337.0694580078125,3098.878173828125,1455.4334716796875,479.4533081054688,64038.8984375,46413.24609375,15349.9697265625,14389.34375,482.3907470703125,148.08319091796875,387.1276245117188,296.2591247558594,118.56333923339844,142.07855224609375,139.231201171875,171.49900817871094,341.9732666015625,301.2185974121094,315.36944580078125,279.65948486328125,1493.661376953125,1147.8721923828125,440.9854431152344,544.8765869140625,371.4907531738281,759.4139404296875,14375.130859375,14787.240234375,444.0023498535156,1153.526123046875,459.7593078613281,196.8272247314453,50771.7421875,49839.89453125,52692.984375,56387.48828125,229.2773895263672,557.183349609375,408.0701293945313,273.17877197265625,18645.185546875,17281.236328125,14590.0,16489.078125,8065.30810546875,8502.4248046875,8615.384765625,7623.123046875,11023,27.44322204589844,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.415151596069336,20.172325134277344,1010.5077514648438,196745.71875,4.24534797668457,0,10644855,True,BME690,24175,0,0,0,10644033,24484,0,24.087984085083008,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:29:54.101,"{'cid': '71f6242c-7655-42cc-8bb7-91ed189a51f4', 'uuid': '721d6223-92df-4ce3-a1de-696982d7f5ab', 'annotationId': 'dc99b29b-5d4a-42ee-90b1-e0345e61f506', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415792000, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:29:52.223Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.68,15.89,1385.0,1383.92,21470046.0,300.0,300.05,000000000DFEC3B8,1600.0,1598.87,22450161.0,3700.0,3698.06,000000000DFEC3B1,15.0,14.87,22160332.0,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dc99b29b-5d4a-42ee-90b1-e0345e61f506,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,199.5017242431641,1034.4298095703125,5.609182357788086,5990.2685546875,6424.07373046875,4522.7939453125,7834.6220703125,6991.37158203125,971.209228515625,17275.9453125,723.799072265625,682.7272338867188,580.1519775390625,690.49755859375,580.5642700195312,829.61767578125,337.1744689941406,3094.75390625,1454.8011474609375,478.8849487304688,64041.97265625,46414.7421875,15350.0888671875,14388.13671875,482.2297668457031,148.07852172851562,387.0606384277344,296.1516418457031,118.57272338867188,142.08648681640625,139.20022583007812,171.4558563232422,341.96148681640625,301.2298278808594,315.4130554199219,279.63232421875,1493.6158447265625,1147.8505859375,440.9962768554688,544.8363647460938,371.3530578613281,758.4103393554688,14364.12890625,14796.6630859375,443.2022705078125,1153.2479248046875,459.9871826171875,196.89520263671875,50773.875,49840.35546875,52693.6171875,56390.13671875,229.2919158935547,557.1010131835938,408.0321960449219,273.0108337402344,18640.970703125,17280.71875,14590.1875,16488.076171875,8065.6884765625,8502.6669921875,8615.126953125,7623.02001953125,11324,27.28205108642578,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.415817260742188,20.17838287353516,1010.446533203125,197814.65625,4.246784210205078,0,10645295,True,BME690,24176,0,0,0,10644033,24484,0,24.087984085083008,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:29:54.406,"{'cid': '71f6242c-7655-42cc-8bb7-91ed189a51f4', 'uuid': '721d6223-92df-4ce3-a1de-696982d7f5ab', 'annotationId': 'dc99b29b-5d4a-42ee-90b1-e0345e61f506', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415792000, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:29:52.223Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.68,15.92,1385.0,1384.07,21470046.0,300.0,299.43,000000000DFEC3B8,1600.0,1598.84,22450161.0,3700.0,3697.63,000000000DFEC3B1,15.0,14.88,22160332.0,-0.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dc99b29b-5d4a-42ee-90b1-e0345e61f506,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,199.48118591308597,1034.0001220703125,5.648135185241699,5990.0703125,6423.87548828125,4522.76806640625,7834.2236328125,6990.9892578125,974.2700805664062,17282.365234375,723.7324829101562,683.0725708007812,580.0810546875,690.8373413085938,580.4015502929688,829.3861694335938,337.1983337402344,3100.1025390625,1455.490478515625,479.4428405761719,64041.09765625,46415.48046875,15349.0078125,14388.6591796875,482.5239868164063,148.09751892089844,387.1466979980469,296.1759948730469,118.5799789428711,142.078857421875,139.2122039794922,171.5042266845703,341.9865417480469,301.2176208496094,315.364501953125,279.6081848144531,1493.6341552734375,1147.80810546875,440.9827270507813,544.83251953125,371.4505615234375,759.515380859375,14367.9521484375,14788.4736328125,443.2983093261719,1154.81640625,460.3873291015625,196.883544921875,50772.984375,49837.171875,52699.015625,56392.51953125,229.2176513671875,557.1513671875,408.03363037109375,272.9884948730469,18642.99609375,17279.818359375,14590.583984375,16489.03515625,8065.4384765625,8502.494140625,8614.9736328125,7623.0458984375,11625,27.5238094329834,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.415817260742188,20.17838287353516,1010.446533203125,197814.65625,4.246784210205078,0,10645295,True,BME690,24176,0,0,0,10644033,24484,0,24.087984085083008,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:29:54.704,"{'cid': '71f6242c-7655-42cc-8bb7-91ed189a51f4', 'uuid': '721d6223-92df-4ce3-a1de-696982d7f5ab', 'annotationId': 'dc99b29b-5d4a-42ee-90b1-e0345e61f506', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415792000, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:29:52.223Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.68,15.94,1385.0,1384.21,21470046.0,300.0,298.82,000000000DFEC3B8,1600.0,1598.82,22450161.0,3700.0,3697.21,000000000DFEC3B1,15.0,14.88,22160332.0,-0.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dc99b29b-5d4a-42ee-90b1-e0345e61f506,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,199.49490356445312,1033.1070556640625,5.675784587860107,5991.00634765625,6423.80224609375,4523.00927734375,7833.15771484375,6991.19580078125,972.2376708984376,17224.123046875,724.055908203125,683.228759765625,579.897216796875,690.4898681640625,580.5341796875,827.2655029296875,337.4463195800781,3104.530517578125,1453.9600830078125,479.0682678222656,64029.03125,46413.1640625,15349.2109375,14387.9755859375,481.8134765625,148.10643005371094,387.4959716796875,296.34295654296875,118.58404541015624,142.06454467773438,139.20162963867188,171.50070190429688,341.96441650390625,301.22979736328125,315.3990478515625,279.6122436523437,1493.53955078125,1147.7713623046875,440.9621276855469,544.8446655273438,371.4054870605469,758.6060180664062,14369.1875,14793.6103515625,443.3000183105469,1153.988525390625,459.4331970214844,196.826904296875,50764.88671875,49836.27734375,52695.94921875,56387.9296875,229.2164459228516,557.1443481445312,408.4125061035156,273.0683288574219,18644.2890625,17280.74609375,14590.7734375,16488.98046875,8065.298828125,8502.4501953125,8614.953125,7623.30908203125,11926,27.36263656616211,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.416149139404297,20.17227554321289,1010.3928833007812,197100.765625,4.245579242706299,0,10645736,True,BME690,24177,0,0,0,10644033,24484,0,24.087984085083008,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:29:55.003,"{'cid': '71f6242c-7655-42cc-8bb7-91ed189a51f4', 'uuid': '721d6223-92df-4ce3-a1de-696982d7f5ab', 'annotationId': 'dc99b29b-5d4a-42ee-90b1-e0345e61f506', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415792000, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:29:52.223Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.68,15.97,1385.0,1384.29,21470046.0,300.0,298.27,000000000DFEC3B8,1600.0,1598.8,22450161.0,3700.0,3696.96,000000000DFEC3B1,15.0,14.89,22160332.0,-0.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,dc99b29b-5d4a-42ee-90b1-e0345e61f506,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,199.47055053710935,1034.8587646484375,5.609139919281006,5990.2802734375,6423.6533203125,4522.86181640625,7833.5810546875,6991.0478515625,971.7251586914062,17226.572265625,723.7212524414062,683.3701782226562,580.2863159179688,690.7666625976562,579.73974609375,826.9227294921875,337.298095703125,3113.815185546875,1457.6011962890625,479.689697265625,64030.9375,46413.16015625,15349.1337890625,14387.9150390625,482.7492980957031,148.13204956054688,387.4241333007813,296.2273254394531,118.58850860595705,142.08656311035156,139.1883087158203,171.4653778076172,342.0036315917969,301.1982421875,315.40838623046875,279.6361694335937,1493.4755859375,1147.6993408203125,440.95806884765625,544.8637084960938,371.3474731445313,759.3387451171875,14368.6572265625,14788.6298828125,443.1036071777344,1152.5191650390625,460.0007934570313,196.64584350585935,50773.76171875,49835.5625,52690.08203125,56386.1796875,229.2275390625,556.5860595703125,408.4514770507813,273.26171875,18647.994140625,17281.73046875,14590.1689453125,16489.44140625,8065.60400390625,8503.240234375,8614.5712890625,7622.96533203125,12227,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.415817260742188,20.16619873046875,1010.3409423828124,198714.375,4.244219303131104,0,10646176,True,BME690,24178,0,0,0,10644033,24484,0,24.087984085083008,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:29:55.305,"{'cid': '71f6242c-7655-42cc-8bb7-91ed189a51f4', 'uuid': '721d6223-92df-4ce3-a1de-696982d7f5ab', 'annotationId': 'dc99b29b-5d4a-42ee-90b1-e0345e61f506', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415792000, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:29:52.223Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.67,15.98,1385.0,1384.15,21470046.0,300.0,297.92,000000000DFEC3B8,1600.0,1598.83,22450161.0,3700.0,3697.42,000000000DFEC3B1,15.0,14.89,22160332.0,-0.01
