component_sn,sn,d,t,SETP0,FLW0,ANLT0,event_name
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:24.467Z,E,0,1.2,22450161,pre-baseline
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:25.473Z,E,0,0.88,22450161,pre-baseline
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:26.483Z,E,0,1.04,22450161,pre-baseline
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:27.491Z,E,0,0.4,22450161,pre-baseline
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:28.499Z,E,1600,1599.28,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:29.507Z,E,1600,1598.72,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:30.517Z,E,1600,1599.7599,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:31.526Z,E,1600,1599.2001,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:32.535Z,E,1600,1599.92,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:33.543Z,E,1600,1600.64,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:34.552Z,E,1600,1600.0,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:35.560Z,E,1600,1599.2001,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:36.569Z,E,1600,1598.6399,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:37.578Z,E,1600,1600.7998,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:38.587Z,E,1600,1600.72,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:39.596Z,E,1600,1599.04,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:40.605Z,E,1600,1600.4797,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:41.614Z,E,1600,1599.4399,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:42.622Z,E,1600,1599.84,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:43.630Z,E,1600,1599.36,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:44.639Z,E,1600,1599.4399,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:45.648Z,E,1600,1600.24,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:46.656Z,E,1600,1599.6,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:47.665Z,E,1600,1600.6401,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:48.674Z,E,1600,1600.3999,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:49.683Z,E,1600,1599.4399,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:30:50.692Z,E,1600,1599.6801,22450161,AmbientSamplingRFC
